#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR489--MA0501.1.MAF::NFE2	chr1	128772711	128772725	-	0.000	0.000	Merged-chr1-128772538-19
NR10875--MA0591.1.Bach1::Mafk	chr7	28665734	28665748	+	0.000	0.000	Merged-chr7-28665750-36
NR209--MA0659.1.MAFG	chr1	64486460	64486480	-	0.000	0.000	Merged-chr1-64486540-36
NR7652--MA0501.1.MAF::NFE2	chr3	37292937	37292951	-	0.000	0.000	Merged-chr3-37292848-26
NR947--MA0089.1.MAFG::NFE2L1	chr1	183987870	183987875	+	0.000	0.000	Merged-chr1-183987914-47
NR1717--MA0089.1.MAFG::NFE2L1	chr10	116746877	116746882	+	0.000	0.000	Merged-chr10-116746686-40
NR10555--MA0089.1.MAFG::NFE2L1	chr6	134148219	134148224	+	0.000	0.000	Merged-chr6-134148194-39
NR3188--MA0591.1.Bach1::Mafk	chr13	5890181	5890195	-	0.000	0.000	Merged-chr13-5890173-33
NR91--MA0496.2.MAFK	chr1	39196873	39196891	-	0.000	0.000	Merged-chr1-39196974-45
NR3662--MA0089.1.MAFG::NFE2L1	chr13	102873652	102873657	+	0.000	0.000	Merged-chr13-102873625-24
NR469--MA0089.1.MAFG::NFE2L1	chr1	127297096	127297101	-	0.000	0.000	Merged-chr1-127297024-52
NR2784--MA0496.2.MAFK	chr12	76923294	76923312	+	0.000	0.000	Merged-chr12-76923289-32
NR8504--MA0496.2.MAFK	chr4	47314182	47314200	+	0.000	0.000	Merged-chr4-47314208-36
NR11180--MA0089.1.MAFG::NFE2L1	chr7	99027423	99027428	+	0.000	0.000	Merged-chr7-99027397-37
NR6561--MA0089.1.MAFG::NFE2L1	chr2	25620559	25620564	-	0.000	0.000	Merged-chr2-25620603-21
NR2218--MA0117.2.Mafb	chr11	79460874	79460885	+	0.000	0.000	Merged-chr11-79460952-43
NR6036--MA0659.1.MAFG	chr18	79303644	79303664	-	0.000	0.000	Merged-chr18-79303705-44
NR4993--MA0089.1.MAFG::NFE2L1	chr16	52143291	52143296	-	0.000	0.000	Merged-chr16-52143257-58
NR11705--MA0591.1.Bach1::Mafk	chr8	40584824	40584838	-	0.000	0.000	Merged-chr8-40584789-43
NR5456--MA0089.1.MAFG::NFE2L1	chr17	44556037	44556042	+	0.000	0.000	Merged-chr17-44556103-15
NR1881--MA0591.1.Bach1::Mafk	chr11	4249448	4249462	+	0.000	0.000	Merged-chr11-4249438-7
NR5404--MA0591.1.Bach1::Mafk	chr17	29362144	29362158	+	0.000	0.000	Merged-chr17-29362126-13
NR956--MA0089.1.MAFG::NFE2L1	chr1	184751472	184751477	-	0.000	0.000	Merged-chr1-184751461-18
NR8557--MA0089.1.MAFG::NFE2L1	chr4	63939641	63939646	+	0.000	0.000	Merged-chr4-63939569-55
NR12513--MA0591.1.Bach1::Mafk	chr9	83564273	83564287	+	0.000	0.000	Merged-chr9-83564254-44
NR2268--MA0659.1.MAFG	chr11	87074101	87074121	-	0.000	0.000	Merged-chr11-87073947-35
NR1232--MA0501.1.MAF::NFE2	chr10	25457256	25457270	-	0.000	0.000	Merged-chr10-25457296-47
NR8859--MA0089.1.MAFG::NFE2L1	chr4	129827884	129827889	+	0.000	0.000	Merged-chr4-129827894-38
