#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_up.bed
NR1689--MA0741.1.KLF16	chr1	91825521	91825531	-	0.000	0.000	Merged-chr1-91825474-20
NR13396--MA0740.1.KLF14	chr12	8496540	8496553	-	0.000	0.000	Merged-chr12-8496481-10
NR1174--MA0599.1.KLF5	chr1	73940877	73940886	+	0.000	0.000	Merged-chr1-73940938-50
NR55085--MA0599.1.KLF5	chr6	39348152	39348161	+	0.000	0.000	Merged-chr6-39348126-65
NR49033--MA0493.1.Klf1	chr4	155050223	155050233	+	0.000	0.000	Merged-chr4-155050218-26
NR42089--MA0493.1.Klf1	chr3	96575085	96575095	+	0.000	0.000	Merged-chr3-96575084-6
NR69899--MA1107.1.KLF9	chr9	85319577	85319589	-	0.000	0.000	Merged-chr9-85319747-2
NR23--MA0740.1.KLF14	chr1	6454097	6454110	+	0.000	0.000	Merged-chr1-6454252-50
NR10065--MA0599.1.KLF5	chr11	50785953	50785962	+	0.000	0.000	Merged-chr11-50786141-3
NR37283--MA0039.3.KLF4	chr2	101209305	101209315	+	0.000	0.000	Merged-chr2-101209230-18
NR66811--MA0740.1.KLF14	chr8	115568530	115568543	+	0.000	0.000	Merged-chr8-115568627-19
NR71211--MA0493.1.Klf1	chr9	118196828	118196838	-	0.000	0.000	Merged-chr9-118196833-13
NR41421--MA0741.1.KLF16	chr3	79129232	79129242	-	0.000	0.000	Merged-chr3-79129160-12
NR13400--MA0741.1.KLF16	chr12	8496540	8496550	-	0.000	0.000	Merged-chr12-8496481-10
NR51907--MA0493.1.Klf1	chr5	111298867	111298877	-	0.000	0.000	Merged-chr5-111298964-4
NR21292--MA0493.1.Klf1	chr14	87044677	87044687	-	0.000	0.000	Merged-chr14-87044537-7
NR57102--MA0039.3.KLF4	chr6	116682494	116682504	-	0.000	0.000	Merged-chr6-116682504-22
NR41120--MA0493.1.Klf1	chr3	55688153	55688163	-	0.000	0.000	Merged-chr3-55687980-1
NR56917--MA1107.1.KLF9	chr6	112162855	112162867	+	0.000	0.000	Merged-chr6-112162678-1
NR42664--MA0742.1.Klf12	chr3	109407796	109407810	-	0.000	0.000	Merged-chr3-109408017-19
NR38378--MA1107.1.KLF9	chr2	132379895	132379907	-	0.000	0.000	Merged-chr2-132379852-19
