#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed
NR1994--MA0690.1.TBX21	chr8	120396913	120396922	+	0.000	0.000	Merged-chr8-120396987-32
NR693--MA0690.1.TBX21	chr14	101467667	101467676	+	0.000	0.000	Merged-chr14-101467841-26
NR1086--MA0690.1.TBX21	chr2	18689880	18689889	-	0.000	0.000	Merged-chr2-18689978-3
NR1099--MA0690.1.TBX21	chr2	32181496	32181505	-	0.000	0.000	Merged-chr2-32181600-13
NR1315--MA0690.1.TBX21	chr3	101598118	101598127	-	0.000	0.000	Merged-chr3-101598272-22
NR1689--MA0690.1.TBX21	chr6	53778875	53778884	+	0.000	0.000	Merged-chr6-53778855-8
NR486--MA0690.1.TBX21	chr12	102332520	102332529	-	0.000	0.000	Merged-chr12-102332454-11
NR194--MA0690.1.TBX21	chr10	18469742	18469751	+	0.000	0.000	Merged-chr10-18469759-32
NR239--MA0690.1.TBX21	chr10	64084553	64084562	+	0.000	0.000	Merged-chr10-64084628-22
NR218--MA0690.1.TBX21	chr10	39506906	39506915	-	0.000	0.000	Merged-chr10-39506782-12
NR436--MA0690.1.TBX21	chr12	14152247	14152256	+	0.000	0.000	Merged-chr12-14152213-14
NR178--MA0690.1.TBX21	chr1	193285698	193285707	-	0.000	0.000	Merged-chr1-193285975-30
NR1550--MA0690.1.TBX21	chr5	65861293	65861302	-	0.000	0.000	Merged-chr5-65861345-20
NR1412--MA0690.1.TBX21	chr4	35096792	35096801	-	0.000	0.000	Merged-chr4-35096609-40
NR591--MA0690.1.TBX21	chr13	92722541	92722550	-	0.000	0.000	Merged-chr13-92722597-29
NR1242--MA0690.1.TBX21	chr2	167485913	167485922	+	0.000	0.000	Merged-chr2-167485904-9
NR1351--MA0690.1.TBX21	chr3	132927943	132927952	-	0.000	0.000	Merged-chr3-132927951-20
NR35--MA0690.1.TBX21	chr1	61136375	61136384	-	0.000	0.000	Merged-chr1-61136351-1
NR1614--MA0690.1.TBX21	chr5	122548791	122548800	+	0.000	0.000	Merged-chr5-122548864-15
NR1409--MA0690.1.TBX21	chr4	32352103	32352112	+	0.000	0.000	Merged-chr4-32352065-6
NR554--MA0690.1.TBX21	chr13	53346174	53346183	-	0.000	0.000	Merged-chr13-53346089-14
NR1152--MA0690.1.TBX21	chr2	83695519	83695528	+	0.000	0.000	Merged-chr2-83695596-45
NR634--MA0690.1.TBX21	chr14	7864737	7864746	+	0.000	0.000	Merged-chr14-7864865-9
NR852--MA0690.1.TBX21	chr16	76310895	76310904	+	0.000	0.000	Merged-chr16-76310830-49
NR647--MA0690.1.TBX21	chr14	30184812	30184821	-	0.000	0.000	Merged-chr14-30184705-37
NR531--MA0690.1.TBX21	chr13	35841997	35842006	+	0.000	0.000	Merged-chr13-35841945-14
NR2132--MA0690.1.TBX21	chrX	47992723	47992732	+	0.000	0.000	Merged-chrX-47992906-34
NR448--MA0690.1.TBX21	chr12	33220643	33220652	+	0.000	0.000	Merged-chr12-33220672-27
NR937--MA0690.1.TBX21	chr17	80092016	80092025	-	0.000	0.000	Merged-chr17-80091984-12
NR515--MA0690.1.TBX21	chr13	20140317	20140326	+	0.000	0.000	Merged-chr13-20140166-30
NR2007--MA0690.1.TBX21	chr8	126828401	126828410	+	0.000	0.000	Merged-chr8-126828287-16
NR528--MA0690.1.TBX21	chr13	34096003	34096012	+	0.000	0.000	Merged-chr13-34096039-50
NR2055--MA0690.1.TBX21	chr9	75209301	75209310	+	0.000	0.000	Merged-chr9-75209368-16
NR82--MA0690.1.TBX21	chr1	138542802	138542811	-	0.000	0.000	Merged-chr1-138542700-22
NR1605--MA0690.1.TBX21	chr5	114859515	114859524	-	0.000	0.000	Merged-chr5-114859412-13
NR1469--MA0690.1.TBX21	chr4	120044820	120044829	-	0.000	0.000	Merged-chr4-120044912-16
NR402--MA0690.1.TBX21	chr11	103776915	103776924	+	0.000	0.000	Merged-chr11-103776919-6
NR1788--MA0690.1.TBX21	chr6	145469461	145469470	-	0.000	0.000	Merged-chr6-145469437-17
NR1929--MA0690.1.TBX21	chr8	11203511	11203520	+	0.000	0.000	Merged-chr8-11203491-10
NR952--MA0690.1.TBX21	chr18	11967343	11967352	+	0.000	0.000	Merged-chr18-11967276-33
NR1087--MA0690.1.TBX21	chr2	25095323	25095332	+	0.000	0.000	Merged-chr2-25095278-14
NR699--MA0690.1.TBX21	chr14	118109994	118110003	-	0.000	0.000	Merged-chr14-118109992-14
NR936--MA0690.1.TBX21	chr17	78665326	78665335	+	0.000	0.000	Merged-chr17-78665388-16
NR1893--MA0690.1.TBX21	chr7	127177365	127177374	-	0.000	0.000	Merged-chr7-127177205-14
