#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR4863--MA0769.1.Tcf7	chr4	135153156	135153167	+	0.000	0.000	Merged-chr4-135153100-1
NR5485--MA1421.1.TCF7L1	chr6	54703080	54703091	-	0.000	0.000	Merged-chr6-54703132-16
NR2133--MA0769.1.Tcf7	chr14	55913601	55913612	-	0.000	0.000	Merged-chr14-55913661-13
NR5375--MA0523.1.TCF7L2	chr5	150828288	150828301	-	0.000	0.000	Merged-chr5-150828148-2
NR6104--MA1421.1.TCF7L1	chr7	109528566	109528577	+	0.000	0.000	Merged-chr7-109528598-2
NR1048--MA0769.1.Tcf7	chr11	32271343	32271354	+	0.000	0.000	Merged-chr11-32271419-2
NR5300--MA0769.1.Tcf7	chr5	125271938	125271949	+	0.000	0.000	Merged-chr5-125271799-10
NR3107--MA0769.1.Tcf7	chr18	39106313	39106324	+	0.000	0.000	Merged-chr18-39106187-8
NR4398--MA1421.1.TCF7L1	chr3	136531626	136531637	-	0.000	0.000	Merged-chr3-136531691-41
NR4073--MA0523.1.TCF7L2	chr3	16227529	16227542	-	0.000	0.000	Merged-chr3-16227487-10
NR5526--MA0523.1.TCF7L2	chr6	66242638	66242651	+	0.000	0.000	Merged-chr6-66242720-1
NR3266--MA0523.1.TCF7L2	chr18	84419246	84419259	+	0.000	0.000	Merged-chr18-84419143-8
NR5287--MA1421.1.TCF7L1	chr5	122430228	122430239	+	0.000	0.000	Merged-chr5-122430278-22
NR2398--MA0769.1.Tcf7	chr15	59641420	59641431	+	0.000	0.000	Merged-chr15-59641442-25
NR6512--MA1421.1.TCF7L1	chr8	121962918	121962929	-	0.000	0.000	Merged-chr8-121963048-7
NR3376--MA0769.1.Tcf7	chr19	44454938	44454949	+	0.000	0.000	Merged-chr19-44454908-10
NR5529--MA0769.1.Tcf7	chr6	66242733	66242744	+	0.000	0.000	Merged-chr6-66242720-1
NR2058--MA0769.1.Tcf7	chr14	26919471	26919482	-	0.000	0.000	Merged-chr14-26919575-5
NR5876--MA1421.1.TCF7L1	chr7	16906230	16906241	+	0.000	0.000	Merged-chr7-16906031-31
NR2076--MA0769.1.Tcf7	chr14	36316957	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR2074--MA1421.1.TCF7L1	chr14	36316957	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR4319--MA0523.1.TCF7L2	chr3	123459652	123459665	+	0.000	0.000	Merged-chr3-123459627-23
NR2433--MA0523.1.TCF7L2	chr15	66815757	66815770	-	0.000	0.000	Merged-chr15-66815683-20
NR6449--MA0523.1.TCF7L2	chr8	94956393	94956406	-	0.000	0.000	Merged-chr8-94956275-4
NR4368--MA0769.1.Tcf7	chr3	133392034	133392045	-	0.000	0.000	Merged-chr3-133392067-9
NR4587--MA1421.1.TCF7L1	chr4	33791678	33791689	+	0.000	0.000	Merged-chr4-33791808-5
NR6186--MA0523.1.TCF7L2	chr7	125511553	125511566	+	0.000	0.000	Merged-chr7-125511628-40
NR5910--MA0769.1.Tcf7	chr7	30086426	30086437	+	0.000	0.000	Merged-chr7-30086479-1
NR2444--MA1421.1.TCF7L1	chr15	67158783	67158794	-	0.000	0.000	Merged-chr15-67158847-15
NR1578--MA0523.1.TCF7L2	chr12	108811305	108811318	+	0.000	0.000	Merged-chr12-108811310-19
NR6270--MA1421.1.TCF7L1	chr7	143644168	143644179	-	0.000	0.000	Merged-chr7-143644190-29
NR1182--MA0523.1.TCF7L2	chr11	86430515	86430528	+	0.000	0.000	Merged-chr11-86430506-15
NR2417--MA0769.1.Tcf7	chr15	62374854	62374865	+	0.000	0.000	Merged-chr15-62374783-6
NR659--MA0769.1.Tcf7	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR6105--MA0769.1.Tcf7	chr7	109528566	109528577	+	0.000	0.000	Merged-chr7-109528598-2
NR2681--MA0769.1.Tcf7	chr16	38756077	38756088	+	0.000	0.000	Merged-chr16-38756031-13
NR3480--MA0523.1.TCF7L2	chr2	17597779	17597792	+	0.000	0.000	Merged-chr2-17597899-18
NR4187--MA1421.1.TCF7L1	chr3	86206677	86206688	+	0.000	0.000	Merged-chr3-86206725-10
NR4957--MA1421.1.TCF7L1	chr5	8807731	8807742	+	0.000	0.000	Merged-chr5-8807918-2
NR2416--MA0523.1.TCF7L2	chr15	62374854	62374867	+	0.000	0.000	Merged-chr15-62374783-6
NR6653--MA1421.1.TCF7L1	chr9	56273653	56273664	+	0.000	0.000	Merged-chr9-56273762-19
NR1565--MA0523.1.TCF7L2	chr12	107144655	107144668	-	0.000	0.000	Merged-chr12-107144688-5
NR2622--MA0523.1.TCF7L2	chr16	22387898	22387911	+	0.000	0.000	Merged-chr16-22387915-21
NR5979--MA1421.1.TCF7L1	chr7	67444646	67444657	-	0.000	0.000	Merged-chr7-67444614-20
NR6459--MA0769.1.Tcf7	chr8	110813241	110813252	+	0.000	0.000	Merged-chr8-110813191-16
NR2801--MA1421.1.TCF7L1	chr16	93977944	93977955	-	0.000	0.000	Merged-chr16-93977807-10
NR1357--MA1421.1.TCF7L1	chr12	25256494	25256505	+	0.000	0.000	Merged-chr12-25256439-11
NR1935--MA0523.1.TCF7L2	chr13	104615086	104615099	-	0.000	0.000	Merged-chr13-104615216-10
NR3091--MA1421.1.TCF7L1	chr18	34827795	34827806	-	0.000	0.000	Merged-chr18-34827772-23
NR1152--MA0523.1.TCF7L2	chr11	76184636	76184649	-	0.000	0.000	Merged-chr11-76184587-9
NR4320--MA0769.1.Tcf7	chr3	123459652	123459663	+	0.000	0.000	Merged-chr3-123459627-23
NR3481--MA0769.1.Tcf7	chr2	17597779	17597790	+	0.000	0.000	Merged-chr2-17597899-18
NR3020--MA0769.1.Tcf7	chr17	83832195	83832206	-	0.000	0.000	Merged-chr17-83832348-24
NR5323--MA0523.1.TCF7L2	chr5	137870834	137870847	+	0.000	0.000	Merged-chr5-137870793-17
NR5987--MA1421.1.TCF7L1	chr7	74509447	74509458	-	0.000	0.000	Merged-chr7-74509389-8
NR177--MA0769.1.Tcf7	chr1	87378189	87378200	-	0.000	0.000	Merged-chr1-87378193-21
NR5803--MA1421.1.TCF7L1	chr6	144333302	144333313	+	0.000	0.000	Merged-chr6-144333219-22
NR5527--MA0769.1.Tcf7	chr6	66242638	66242649	+	0.000	0.000	Merged-chr6-66242720-1
NR6480--MA1421.1.TCF7L1	chr8	116717017	116717028	+	0.000	0.000	Merged-chr8-116716942-1
NR2391--MA1421.1.TCF7L1	chr15	58750194	58750205	-	0.000	0.000	Merged-chr15-58750240-28
NR5912--MA0523.1.TCF7L2	chr7	31086476	31086489	+	0.000	0.000	Merged-chr7-31086534-15
NR5657--MA0769.1.Tcf7	chr6	115513323	115513334	-	0.000	0.000	Merged-chr6-115513314-25
NR2750--MA0523.1.TCF7L2	chr16	76323634	76323647	-	0.000	0.000	Merged-chr16-76323771-64
NR6004--MA1421.1.TCF7L1	chr7	78762911	78762922	+	0.000	0.000	Merged-chr7-78763113-9
NR4697--MA0769.1.Tcf7	chr4	88693578	88693589	-	0.000	0.000	Merged-chr4-88693660-22
NR6210--MA1421.1.TCF7L1	chr7	130816459	130816470	-	0.000	0.000	Merged-chr7-130816442-11
NR858--MA0769.1.Tcf7	chr10	96115332	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR1759--MA0769.1.Tcf7	chr13	44395000	44395011	-	0.000	0.000	Merged-chr13-44394997-10
NR6100--MA0523.1.TCF7L2	chr7	109225740	109225753	+	0.000	0.000	Merged-chr7-109225670-1
NR3057--MA0769.1.Tcf7	chr18	4369217	4369228	+	0.000	0.000	Merged-chr18-4369357-16
NR1110--MA0769.1.Tcf7	chr11	63352146	63352157	+	0.000	0.000	Merged-chr11-63352234-10
NR4277--MA0769.1.Tcf7	chr3	107185708	107185719	+	0.000	0.000	Merged-chr3-107185785-15
NR1760--MA1421.1.TCF7L1	chr13	44807244	44807255	-	0.000	0.000	Merged-chr13-44807320-10
NR1592--MA1421.1.TCF7L1	chr12	110939502	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR6336--MA0769.1.Tcf7	chr8	36019681	36019692	+	0.000	0.000	Merged-chr8-36019786-19
NR2552--MA0523.1.TCF7L2	chr15	98623469	98623482	+	0.000	0.000	Merged-chr15-98623504-45
NR3031--MA1421.1.TCF7L1	chr17	86200454	86200465	-	0.000	0.000	Merged-chr17-86200490-5
NR5385--MA0769.1.Tcf7	chr6	5148200	5148211	-	0.000	0.000	Merged-chr6-5148035-17
NR3536--MA0523.1.TCF7L2	chr2	37565776	37565789	-	0.000	0.000	Merged-chr2-37565860-32
NR2429--MA0769.1.Tcf7	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR5595--MA1421.1.TCF7L1	chr6	94534990	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR6372--MA0769.1.Tcf7	chr8	61234469	61234480	-	0.000	0.000	Merged-chr8-61234542-15
NR2371--MA0523.1.TCF7L2	chr15	52753837	52753850	+	0.000	0.000	Merged-chr15-52753697-52
NR759--MA0523.1.TCF7L2	chr10	75294288	75294301	-	0.000	0.000	Merged-chr10-75294298-11
NR5013--MA0523.1.TCF7L2	chr5	29895246	29895259	+	0.000	0.000	Merged-chr5-29895249-11
NR856--MA1421.1.TCF7L1	chr10	96115332	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR1129--MA0769.1.Tcf7	chr11	70113941	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR2152--MA0523.1.TCF7L2	chr14	62627559	62627572	+	0.000	0.000	Merged-chr14-62627525-13
NR2465--MA0769.1.Tcf7	chr15	73182578	73182589	+	0.000	0.000	Merged-chr15-73182706-35
NR6050--MA0769.1.Tcf7	chr7	90004036	90004047	+	0.000	0.000	Merged-chr7-90004026-23
NR2285--MA0523.1.TCF7L2	chr14	121830283	121830296	-	0.000	0.000	Merged-chr14-121830164-49
NR4884--MA0523.1.TCF7L2	chr4	139367504	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR1208--MA0523.1.TCF7L2	chr11	97810629	97810642	-	0.000	0.000	Merged-chr11-97810529-18
NR6334--MA1421.1.TCF7L1	chr8	36019681	36019692	+	0.000	0.000	Merged-chr8-36019786-19
NR3993--MA1421.1.TCF7L1	chr2	164868652	164868663	+	0.000	0.000	Merged-chr2-164868622-33
NR576--MA1421.1.TCF7L1	chr1	192340102	192340113	-	0.000	0.000	Merged-chr1-192340000-3
NR3108--MA0769.1.Tcf7	chr18	39141919	39141930	-	0.000	0.000	Merged-chr18-39141814-16
NR3254--MA1421.1.TCF7L1	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR6982--MA0769.1.Tcf7	chrX	75056245	75056256	+	0.000	0.000	Merged-chrX-75056362-10
NR1835--MA0523.1.TCF7L2	chr13	73491212	73491225	-	0.000	0.000	Merged-chr13-73491277-13
NR2122--MA0523.1.TCF7L2	chr14	54578411	54578424	+	0.000	0.000	Merged-chr14-54578277-39
NR2680--MA0523.1.TCF7L2	chr16	38756077	38756090	+	0.000	0.000	Merged-chr16-38756031-13
NR3106--MA0523.1.TCF7L2	chr18	39106313	39106326	+	0.000	0.000	Merged-chr18-39106187-8
NR3256--MA0769.1.Tcf7	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR2708--MA0769.1.Tcf7	chr16	49772876	49772887	+	0.000	0.000	Merged-chr16-49772867-33
NR1545--MA1421.1.TCF7L1	chr12	102945789	102945800	+	0.000	0.000	Merged-chr12-102945751-11
NR2689--MA0523.1.TCF7L2	chr16	44320369	44320382	+	0.000	0.000	Merged-chr16-44320422-17
NR5068--MA0523.1.TCF7L2	chr5	52245286	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR5682--MA0769.1.Tcf7	chr6	120181446	120181457	-	0.000	0.000	Merged-chr6-120181471-9
NR5324--MA0769.1.Tcf7	chr5	137870834	137870845	+	0.000	0.000	Merged-chr5-137870793-17
NR2059--MA0769.1.Tcf7	chr14	27262542	27262553	-	0.000	0.000	Merged-chr14-27262535-17
NR3374--MA1421.1.TCF7L1	chr19	44454938	44454949	+	0.000	0.000	Merged-chr19-44454908-10
NR5298--MA1421.1.TCF7L1	chr5	125271938	125271949	+	0.000	0.000	Merged-chr5-125271799-10
NR5454--MA0769.1.Tcf7	chr6	41163688	41163699	+	0.000	0.000	Merged-chr6-41163628-13
NR5548--MA1421.1.TCF7L1	chr6	71638554	71638565	-	0.000	0.000	Merged-chr6-71638648-13
NR6464--MA0523.1.TCF7L2	chr8	111812443	111812456	+	0.000	0.000	Merged-chr8-111812311-3
NR5489--MA0523.1.TCF7L2	chr6	54926015	54926028	+	0.000	0.000	Merged-chr6-54926058-40
NR1216--MA0523.1.TCF7L2	chr11	98925360	98925373	-	0.000	0.000	Merged-chr11-98925291-3
NR3946--MA0769.1.Tcf7	chr2	153211588	153211599	-	0.000	0.000	Merged-chr2-153211681-14
NR758--MA0769.1.Tcf7	chr10	75000945	75000956	-	0.000	0.000	Merged-chr10-75001009-7
NR2301--MA0769.1.Tcf7	chr15	5561895	5561906	+	0.000	0.000	Merged-chr15-5561949-26
NR378--MA1421.1.TCF7L1	chr1	156676432	156676443	+	0.000	0.000	Merged-chr1-156676429-4
NR5490--MA0769.1.Tcf7	chr6	54926015	54926026	+	0.000	0.000	Merged-chr6-54926058-40
NR2707--MA0523.1.TCF7L2	chr16	49772876	49772889	+	0.000	0.000	Merged-chr16-49772867-33
NR6101--MA0769.1.Tcf7	chr7	109225740	109225751	+	0.000	0.000	Merged-chr7-109225670-1
NR1593--MA0523.1.TCF7L2	chr12	110939500	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR268--MA0523.1.TCF7L2	chr1	127652946	127652959	+	0.000	0.000	Merged-chr1-127652975-7
NR1902--MA1421.1.TCF7L1	chr13	95518101	95518112	+	0.000	0.000	Merged-chr13-95518086-22
NR3430--MA1421.1.TCF7L1	chr2	5003241	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR2057--MA0523.1.TCF7L2	chr14	26919469	26919482	-	0.000	0.000	Merged-chr14-26919575-5
NR3070--MA0523.1.TCF7L2	chr18	20879969	20879982	+	0.000	0.000	Merged-chr18-20879916-27
NR5303--MA1421.1.TCF7L1	chr5	129191994	129192005	-	0.000	0.000	Merged-chr5-129191899-21
NR5596--MA0523.1.TCF7L2	chr6	94534988	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR1721--MA1421.1.TCF7L1	chr13	33071992	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR857--MA0523.1.TCF7L2	chr10	96115330	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR1597--MA0769.1.Tcf7	chr12	111902696	111902707	+	0.000	0.000	Merged-chr12-111902713-12
NR5583--MA0523.1.TCF7L2	chr6	90391831	90391844	-	0.000	0.000	Merged-chr6-90391920-9
NR3544--MA0769.1.Tcf7	chr2	44159717	44159728	+	0.000	0.000	Merged-chr2-44159655-18
NR3559--MA1421.1.TCF7L1	chr2	48379938	48379949	-	0.000	0.000	Merged-chr2-48379752-8
NR3933--MA1421.1.TCF7L1	chr2	150437653	150437664	-	0.000	0.000	Merged-chr2-150437755-14
NR2123--MA0769.1.Tcf7	chr14	54578411	54578422	+	0.000	0.000	Merged-chr14-54578277-39
