#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR26141--MA0741.1.KLF16	chr16	78264698	78264708	-	0.000	0.000	Merged-chr16-78264728-2
NR9733--MA0657.1.KLF13	chr11	50440164	50440181	+	0.000	0.000	Merged-chr11-50440008-21
NR54755--MA1107.1.KLF9	chr6	86127143	86127155	-	0.000	0.000	Merged-chr6-86127203-6
NR12445--MA1107.1.KLF9	chr11	109124571	109124583	+	0.000	0.000	Merged-chr11-109124612-1
NR28371--MA0599.1.KLF5	chr17	37028703	37028712	-	0.000	0.000	Merged-chr17-37028850-28
NR39785--MA0741.1.KLF16	chr2	178239787	178239797	-	0.000	0.000	Merged-chr2-178239621-1
NR57359--MA0599.1.KLF5	chr6	147366198	147366207	+	0.000	0.000	Merged-chr6-147366310-2
NR9893--MA0599.1.KLF5	chr11	54002529	54002538	+	0.000	0.000	Merged-chr11-54002404-3
NR50186--MA0493.1.Klf1	chr5	91517629	91517639	-	0.000	0.000	Merged-chr5-91517668-20
NR24892--MA0039.3.KLF4	chr16	10958475	10958485	+	0.000	0.000	Merged-chr16-10958757-32
NR47074--MA0741.1.KLF16	chr4	134372586	134372596	+	0.000	0.000	Merged-chr4-134372505-25
NR60683--MA0742.1.Klf12	chr7	112679301	112679315	+	0.000	0.000	Merged-chr7-112679423-49
NR58329--MA0741.1.KLF16	chr7	27325316	27325326	+	0.000	0.000	Merged-chr7-27325300-3
NR23579--MA1107.1.KLF9	chr15	82188230	82188242	+	0.000	0.000	Merged-chr15-82188110-14
NR29121--MA0599.1.KLF5	chr17	63405678	63405687	+	0.000	0.000	Merged-chr17-63405591-44
NR55110--MA0741.1.KLF16	chr6	98609334	98609344	+	0.000	0.000	Merged-chr6-98609321-36
NR7126--MA1107.1.KLF9	chr10	83898135	83898147	+	0.000	0.000	Merged-chr10-83898059-2
NR16712--MA0599.1.KLF5	chr13	40676878	40676887	+	0.000	0.000	Merged-chr13-40676828-31
NR26523--MA0599.1.KLF5	chr16	92400131	92400140	-	0.000	0.000	Merged-chr16-92400195-21
NR38801--MA0741.1.KLF16	chr2	158179201	158179211	-	0.000	0.000	Merged-chr2-158179183-18
NR4902--MA0741.1.KLF16	chr10	5795626	5795636	+	0.000	0.000	Merged-chr10-5795457-7
NR31010--MA0599.1.KLF5	chr18	53904421	53904430	+	0.000	0.000	Merged-chr18-53904421-2
NR14485--MA0741.1.KLF16	chr12	76324786	76324796	+	0.000	0.000	Merged-chr12-76324931-27
NR68259--MA1107.1.KLF9	chr9	105683521	105683533	-	0.000	0.000	Merged-chr9-105683443-1
NR41008--MA1107.1.KLF9	chr3	79129204	79129216	-	0.000	0.000	Merged-chr3-79129160-12
NR38910--MA0741.1.KLF16	chr2	160421740	160421750	+	0.000	0.000	Merged-chr2-160421769-26
NR31394--MA0740.1.KLF14	chr18	65924897	65924910	-	0.000	0.000	Merged-chr18-65924997-33
