#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed
NR12854--MA0742.1.Klf12	chr12	16580526	16580540	-	0.000	0.000	Merged-chr12-16580677-15
NR32945--MA0493.1.Klf1	chr2	25480736	25480746	-	0.000	0.000	Merged-chr2-25480802-4
NR7556--MA0493.1.Klf1	chr10	117969969	117969979	-	0.000	0.000	Merged-chr10-117970017-9
NR58542--MA0493.1.Klf1	chr8	11107241	11107251	-	0.000	0.000	Merged-chr8-11107220-18
NR42141--MA0742.1.Klf12	chr4	46565804	46565818	+	0.000	0.000	Merged-chr4-46565631-17
NR45447--MA0741.1.KLF16	chr4	155198029	155198039	+	0.000	0.000	Merged-chr4-155197948-31
NR9996--MA0599.1.KLF5	chr11	70622679	70622688	+	0.000	0.000	Merged-chr11-70622499-26
NR19510--MA1107.1.KLF9	chr14	67951870	67951882	+	0.000	0.000	Merged-chr14-67951902-1
NR1953--MA0599.1.KLF5	chr1	131000513	131000522	+	0.000	0.000	Merged-chr1-131000577-8
NR39347--MA1107.1.KLF9	chr3	101701453	101701465	-	0.000	0.000	Merged-chr3-101701370-14
NR4550--MA1107.1.KLF9	chr10	8370347	8370359	+	0.000	0.000	Merged-chr10-8370203-10
NR11061--MA0599.1.KLF5	chr11	97133379	97133388	+	0.000	0.000	Merged-chr11-97133494-13
NR2528--MA0741.1.KLF16	chr1	151582201	151582211	+	0.000	0.000	Merged-chr1-151582085-10
NR6868--MA0741.1.KLF16	chr10	96118231	96118241	-	0.000	0.000	Merged-chr10-96118246-10
NR18514--MA0039.3.KLF4	chr14	23465421	23465431	-	0.000	0.000	Merged-chr14-23465360-30
NR67169--MA1107.1.KLF9	chrY	90799068	90799080	-	0.000	0.000	Merged-chrY-90799205-23
NR906--MA0741.1.KLF16	chr1	66897064	66897074	+	0.000	0.000	Merged-chr1-66897217-4
NR11223--MA0741.1.KLF16	chr11	98925114	98925124	-	0.000	0.000	Merged-chr11-98925291-3
NR19794--MA0741.1.KLF16	chr14	77848570	77848580	-	0.000	0.000	Merged-chr14-77848610-6
NR42779--MA0493.1.Klf1	chr4	101235194	101235204	+	0.000	0.000	Merged-chr4-101235092-24
NR16030--MA0039.3.KLF4	chr13	45455941	45455951	+	0.000	0.000	Merged-chr13-45455779-40
NR25450--MA1107.1.KLF9	chr16	95712325	95712337	-	0.000	0.000	Merged-chr16-95712235-1
NR24248--MA0741.1.KLF16	chr16	32658898	32658908	+	0.000	0.000	Merged-chr16-32659000-27
NR36759--MA0493.1.Klf1	chr2	164913586	164913596	-	0.000	0.000	Merged-chr2-164913622-30
NR17595--MA1107.1.KLF9	chr13	104937907	104937919	+	0.000	0.000	Merged-chr13-104937983-19
NR58830--MA0599.1.KLF5	chr8	25578428	25578437	+	0.000	0.000	Merged-chr8-25578502-39
NR42922--MA1107.1.KLF9	chr4	107357921	107357933	+	0.000	0.000	Merged-chr4-107358068-17
NR35150--MA0493.1.Klf1	chr2	119250895	119250905	-	0.000	0.000	Merged-chr2-119250733-1
NR61306--MA0039.3.KLF4	chr8	123341778	123341788	-	0.000	0.000	Merged-chr8-123341706-13
NR17602--MA0741.1.KLF16	chr13	104937959	104937969	-	0.000	0.000	Merged-chr13-104937983-19
