#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR2919--MA0766.1.GATA5	chr16	64898528	64898535	-	0.000	0.000	Merged-chr16-64898423-6
NR2700--MA0036.3.GATA2	chr15	94259677	94259687	+	0.000	0.000	Merged-chr15-94259724-7
NR3857--MA1104.1.GATA6	chr2	19628496	19628508	-	0.000	0.000	Merged-chr2-19628399-27
NR6394--MA0035.3.Gata1	chr7	47113494	47113504	-	0.000	0.000	Merged-chr7-47113657-15
NR2410--MA0482.1.Gata4	chr14	100235658	100235668	-	0.000	0.000	Merged-chr14-100235821-25
NR6182--MA0037.3.GATA3	chr6	130312045	130312052	-	0.000	0.000	Merged-chr6-130312055-26
NR7131--MA0140.2.GATA1::TAL1	chr9	7572398	7572415	-	0.000	0.000	Merged-chr9-7572579-40
NR4889--MA0035.3.Gata1	chr3	145933902	145933912	+	0.000	0.000	Merged-chr3-145933993-23
NR1763--MA0037.3.GATA3	chr12	118439074	118439081	+	0.000	0.000	Merged-chr12-118439012-3
NR1938--MA0037.3.GATA3	chr13	73505476	73505483	+	0.000	0.000	Merged-chr13-73505560-1
NR7401--MA1104.1.GATA6	chr9	92314081	92314093	-	0.000	0.000	Merged-chr9-92314019-19
NR2556--MA0035.3.Gata1	chr15	52570470	52570480	+	0.000	0.000	Merged-chr15-52570490-21
NR6482--MA0035.3.Gata1	chr7	84166279	84166289	+	0.000	0.000	Merged-chr7-84166236-11
NR4321--MA0482.1.Gata4	chr2	146498566	146498576	+	0.000	0.000	Merged-chr2-146498425-8
NR2641--MA0482.1.Gata4	chr15	85469059	85469069	-	0.000	0.000	Merged-chr15-85469002-5
NR986--MA0766.1.GATA5	chr10	128990355	128990362	-	0.000	0.000	Merged-chr10-128990510-111
NR5032--MA0482.1.Gata4	chr4	43973613	43973623	+	0.000	0.000	Merged-chr4-43973629-28
NR105--MA0036.3.GATA2	chr1	69496218	69496228	-	0.000	0.000	Merged-chr1-69496310-11
NR638--MA0766.1.GATA5	chr10	21964643	21964650	-	0.000	0.000	Merged-chr10-21964511-16
NR7047--MA1104.1.GATA6	chr8	117548683	117548695	-	0.000	0.000	Merged-chr8-117548585-70
NR180--MA1104.1.GATA6	chr1	86048456	86048468	+	0.000	0.000	Merged-chr1-86048437-13
NR3687--MA1104.1.GATA6	chr19	31321986	31321998	+	0.000	0.000	Merged-chr19-31321995-11
NR3177--MA1104.1.GATA6	chr17	44893784	44893796	+	0.000	0.000	Merged-chr17-44893726-24
NR4300--MA0482.1.Gata4	chr2	136988017	136988027	-	0.000	0.000	Merged-chr2-136988057-20
NR4781--MA0035.3.Gata1	chr3	132886774	132886784	+	0.000	0.000	Merged-chr3-132886809-16
NR5677--MA0482.1.Gata4	chr5	110711538	110711548	+	0.000	0.000	Merged-chr5-110711531-4
NR1941--MA0036.3.GATA2	chr13	73505474	73505484	-	0.000	0.000	Merged-chr13-73505560-1
NR6960--MA0482.1.Gata4	chr8	94240436	94240446	+	0.000	0.000	Merged-chr8-94240399-13
NR2662--MA0766.1.GATA5	chr15	88730899	88730906	+	0.000	0.000	Merged-chr15-88731051-1
NR3368--MA0035.3.Gata1	chr18	34783895	34783905	-	0.000	0.000	Merged-chr18-34783714-45
NR3992--MA0766.1.GATA5	chr2	67131862	67131869	+	0.000	0.000	Merged-chr2-67131784-2
NR5133--MA0482.1.Gata4	chr4	89400517	89400527	-	0.000	0.000	Merged-chr4-89400416-12
NR7244--MA1104.1.GATA6	chr9	51015924	51015936	-	0.000	0.000	Merged-chr9-51015891-3
NR714--MA1104.1.GATA6	chr10	59392115	59392127	-	0.000	0.000	Merged-chr10-59392092-23
NR791--MA0037.3.GATA3	chr10	83733969	83733976	-	0.000	0.000	Merged-chr10-83733897-13
NR7007--MA0140.2.GATA1::TAL1	chr8	113669781	113669798	-	0.000	0.000	Merged-chr8-113669969-10
NR502--MA0140.2.GATA1::TAL1	chr1	177670700	177670717	+	0.000	0.000	Merged-chr1-177670807-27
NR2245--MA0482.1.Gata4	chr14	30675115	30675125	-	0.000	0.000	Merged-chr14-30675172-26
NR932--MA0037.3.GATA3	chr10	117970047	117970054	-	0.000	0.000	Merged-chr10-117970017-9
NR1346--MA0037.3.GATA3	chr11	109694158	109694165	+	0.000	0.000	Merged-chr11-109694201-12
NR2227--MA0140.2.GATA1::TAL1	chr14	18426026	18426043	-	0.000	0.000	Merged-chr14-18426065-14
NR6591--MA0140.2.GATA1::TAL1	chr7	111184633	111184650	+	0.000	0.000	Merged-chr7-111184684-6
NR3722--MA0036.3.GATA2	chr19	40477466	40477476	-	0.000	0.000	Merged-chr19-40477377-1
NR675--MA0140.2.GATA1::TAL1	chr10	32333665	32333682	-	0.000	0.000	Merged-chr10-32333612-1
NR7637--MA0037.3.GATA3	chrX	107088384	107088391	-	0.000	0.000	Merged-chrX-107088422-23
NR3065--MA0482.1.Gata4	chr17	12165548	12165558	+	0.000	0.000	Merged-chr17-12165459-54
NR6636--MA0036.3.GATA2	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR4966--MA0766.1.GATA5	chr4	3209834	3209841	+	0.000	0.000	Merged-chr4-3209817-19
NR1041--MA0037.3.GATA3	chr11	21105545	21105552	-	0.000	0.000	Merged-chr11-21105658-1
NR717--MA0140.2.GATA1::TAL1	chr10	59392118	59392135	+	0.000	0.000	Merged-chr10-59392092-23
NR4322--MA1104.1.GATA6	chr2	146498564	146498576	-	0.000	0.000	Merged-chr2-146498425-8
NR2642--MA1104.1.GATA6	chr15	85469059	85469071	+	0.000	0.000	Merged-chr15-85469002-5
NR4252--MA0482.1.Gata4	chr2	128366015	128366025	-	0.000	0.000	Merged-chr2-128365920-27
NR2248--MA0035.3.Gata1	chr14	30675116	30675126	-	0.000	0.000	Merged-chr14-30675172-26
NR6378--MA0036.3.GATA2	chr7	45374772	45374782	+	0.000	0.000	Merged-chr7-45374832-5
NR7247--MA0140.2.GATA1::TAL1	chr9	52074128	52074145	+	0.000	0.000	Merged-chr9-52073999-13
NR401--MA0037.3.GATA3	chr1	162615723	162615730	+	0.000	0.000	Merged-chr1-162615694-15
NR2350--MA1104.1.GATA6	chr14	66218978	66218990	-	0.000	0.000	Merged-chr14-66218968-32
NR4003--MA0035.3.Gata1	chr2	72282907	72282917	-	0.000	0.000	Merged-chr2-72282934-17
NR4255--MA0035.3.Gata1	chr2	128366016	128366026	-	0.000	0.000	Merged-chr2-128365920-27
NR6187--MA0035.3.Gata1	chr6	130312044	130312054	+	0.000	0.000	Merged-chr6-130312055-26
NR639--MA0035.3.Gata1	chr10	21964642	21964652	+	0.000	0.000	Merged-chr10-21964511-16
NR3855--MA0037.3.GATA3	chr2	19628498	19628505	-	0.000	0.000	Merged-chr2-19628399-27
NR405--MA0766.1.GATA5	chr1	162615723	162615730	+	0.000	0.000	Merged-chr1-162615694-15
