#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR2922--MA1421.1.TCF7L1	chr2	26623143	26623154	+	0.000	0.000	Merged-chr2-26623162-26
NR5228--MA1421.1.TCF7L1	chr8	111449918	111449929	+	0.000	0.000	Merged-chr8-111449964-18
NR3738--MA1421.1.TCF7L1	chr4	21604450	21604461	-	0.000	0.000	Merged-chr4-21604388-2
NR5613--MA0769.1.Tcf7	chr9	116091376	116091387	+	0.000	0.000	Merged-chr9-116091467-52
NR4090--MA0523.1.TCF7L2	chr5	58084164	58084177	-	0.000	0.000	Merged-chr5-58084122-29
NR5631--MA0769.1.Tcf7	chr9	118285718	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR901--MA1421.1.TCF7L1	chr11	58643659	58643670	-	0.000	0.000	Merged-chr11-58643569-22
NR5758--MA0523.1.TCF7L2	chrX	166806120	166806133	+	0.000	0.000	Merged-chrX-166805944-25
NR2631--MA0523.1.TCF7L2	chr18	53418103	53418116	+	0.000	0.000	Merged-chr18-53418017-24
NR3916--MA0523.1.TCF7L2	chr4	132639597	132639610	+	0.000	0.000	Merged-chr4-132639642-2
NR404--MA0523.1.TCF7L2	chr1	179184969	179184982	-	0.000	0.000	Merged-chr1-179184943-3
NR2678--MA0523.1.TCF7L2	chr18	67239303	67239316	-	0.000	0.000	Merged-chr18-67239336-22
NR2174--MA0769.1.Tcf7	chr16	22632518	22632529	-	0.000	0.000	Merged-chr16-22632558-6
NR4073--MA0523.1.TCF7L2	chr5	35813682	35813695	-	0.000	0.000	Merged-chr5-35813752-8
NR949--MA0769.1.Tcf7	chr11	74100908	74100919	+	0.000	0.000	Merged-chr11-74100988-13
NR4179--MA1421.1.TCF7L1	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR1435--MA1421.1.TCF7L1	chr13	12927707	12927718	+	0.000	0.000	Merged-chr13-12927520-1
