#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR1663--MA0768.1.LEF1	chr3	55660081	55660095	+	0.000	0.000	Merged-chr3-55660012-44
NR1869--MA0768.1.LEF1	chr4	58121157	58121171	-	0.000	0.000	Merged-chr4-58121225-3
NR301--MA0768.1.LEF1	chr10	82728183	82728197	-	0.000	0.000	Merged-chr10-82728321-8
NR1202--MA0768.1.LEF1	chr18	12876590	12876604	+	0.000	0.000	Merged-chr18-12876665-8
NR1999--MA0768.1.LEF1	chr5	36140699	36140713	-	0.000	0.000	Merged-chr5-36140594-4,Merged-chr5-36140888-1
NR646--MA0768.1.LEF1	chr13	52617347	52617361	+	0.000	0.000	Merged-chr13-52617361-10
NR431--MA0768.1.LEF1	chr11	96058765	96058779	+	0.000	0.000	Merged-chr11-96058605-21
NR1659--MA0768.1.LEF1	chr3	52397970	52397984	+	0.000	0.000	Merged-chr3-52398143-17
NR1444--MA0768.1.LEF1	chr2	59527630	59527644	-	0.000	0.000	Merged-chr2-59527807-15
NR418--MA0768.1.LEF1	chr11	74800983	74800997	-	0.000	0.000	Merged-chr11-74801071-1
NR888--MA0768.1.LEF1	chr15	18952128	18952142	+	0.000	0.000	Merged-chr15-18951851-25
NR1216--MA0768.1.LEF1	chr18	33060120	33060134	-	0.000	0.000	Merged-chr18-33060171-12
NR436--MA0768.1.LEF1	chr11	98660778	98660792	+	0.000	0.000	Merged-chr11-98660794-12
NR1337--MA0768.1.LEF1	chr19	36384729	36384743	-	0.000	0.000	Merged-chr19-36384536-37
