#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR1227--MA0508.2.PRDM1	chr2	144646519	144646528	-	0.000	0.000	Merged-chr2-144646502-21
NR1567--MA0508.2.PRDM1	chr4	145285646	145285655	-	0.000	0.000	Merged-chr4-145285458-5
NR643--MA0508.2.PRDM1	chr14	36886776	36886785	+	0.000	0.000	Merged-chr14-36886826-1
NR481--MA0508.2.PRDM1	chr12	106673165	106673174	-	0.000	0.000	Merged-chr12-106673173-1
NR55--MA0508.2.PRDM1	chr1	105790531	105790540	+	0.000	0.000	Merged-chr1-105790569-8
NR242--MA0508.2.PRDM1	chr10	77372276	77372285	+	0.000	0.000	Merged-chr10-77372172-15
NR364--MA0508.2.PRDM1	chr11	83662446	83662455	+	0.000	0.000	Merged-chr11-83662452-14
NR505--MA0508.2.PRDM1	chr12	117959154	117959163	-	0.000	0.000	Merged-chr12-117959315-24
NR117--MA0508.2.PRDM1	chr1	163411951	163411960	-	0.000	0.000	Merged-chr1-163411894-2
NR226--MA0508.2.PRDM1	chr10	60156147	60156156	-	0.000	0.000	Merged-chr10-60156095-8
NR683--MA0508.2.PRDM1	chr14	73175902	73175911	+	0.000	0.000	Merged-chr14-73175814-32
NR205--MA0508.2.PRDM1	chr10	37249763	37249772	+	0.000	0.000	Merged-chr10-37249909-39
NR728--MA0508.2.PRDM1	chr15	25865855	25865864	-	0.000	0.000	Merged-chr15-25865817-16
NR1935--MA0508.2.PRDM1	chr7	125423224	125423233	-	0.000	0.000	Merged-chr7-125423125-27
NR2027--MA0508.2.PRDM1	chr8	107574915	107574924	-	0.000	0.000	Merged-chr8-107575004-5
NR1805--MA0508.2.PRDM1	chr6	129817851	129817860	-	0.000	0.000	Merged-chr6-129817846-22
NR1385--MA0508.2.PRDM1	chr3	130796716	130796725	+	0.000	0.000	Merged-chr3-130796721-21
NR1656--MA0508.2.PRDM1	chr5	107943139	107943148	+	0.000	0.000	Merged-chr5-107943154-10
NR1417--MA0508.2.PRDM1	chr3	143777349	143777358	-	0.000	0.000	Merged-chr3-143777288-1
NR570--MA0508.2.PRDM1	chr13	85499899	85499908	-	0.000	0.000	Merged-chr13-85499791-10
NR1744--MA0508.2.PRDM1	chr6	83718257	83718266	-	0.000	0.000	Merged-chr6-83718285-22
NR1582--MA0508.2.PRDM1	chr4	152341086	152341095	-	0.000	0.000	Merged-chr4-152341132-7
NR1213--MA0508.2.PRDM1	chr2	139628875	139628884	-	0.000	0.000	Merged-chr2-139628868-19
NR83--MA0508.2.PRDM1	chr1	143916321	143916330	+	0.000	0.000	Merged-chr1-143916234-1
NR424--MA0508.2.PRDM1	chr12	32009520	32009529	+	0.000	0.000	Merged-chr12-32009552-2
NR1797--MA0508.2.PRDM1	chr6	125541002	125541011	+	0.000	0.000	Merged-chr6-125540912-17
NR730--MA0508.2.PRDM1	chr15	31117626	31117635	-	0.000	0.000	Merged-chr15-31117559-26
NR2060--MA0508.2.PRDM1	chr9	32759574	32759583	+	0.000	0.000	Merged-chr9-32759617-51
NR756--MA0508.2.PRDM1	chr15	81933385	81933394	+	0.000	0.000	Merged-chr15-81933219-12
NR1096--MA0508.2.PRDM1	chr2	18050862	18050871	+	0.000	0.000	Merged-chr2-18050783-11
NR565--MA0508.2.PRDM1	chr13	81297446	81297455	+	0.000	0.000	Merged-chr13-81297421-2
NR361--MA0508.2.PRDM1	chr11	79808189	79808198	-	0.000	0.000	Merged-chr11-79808076-4
NR2071--MA0508.2.PRDM1	chr9	44582506	44582515	-	0.000	0.000	Merged-chr9-44582588-15
NR528--MA0508.2.PRDM1	chr13	19272861	19272870	+	0.000	0.000	Merged-chr13-19272899-14
NR616--MA0508.2.PRDM1	chr13	115042838	115042847	+	0.000	0.000	Merged-chr13-115042812-10
NR2034--MA0508.2.PRDM1	chr8	115410307	115410316	-	0.000	0.000	Merged-chr8-115410237-10
NR1270--MA0508.2.PRDM1	chr2	174566135	174566144	+	0.000	0.000	Merged-chr2-174566072-46
NR1817--MA0508.2.PRDM1	chr6	134883881	134883890	-	0.000	0.000	Merged-chr6-134883955-22
NR2018--MA0508.2.PRDM1	chr8	86864556	86864565	+	0.000	0.000	Merged-chr8-86864748-39
NR1111--MA0508.2.PRDM1	chr2	34945668	34945677	-	0.000	0.000	Merged-chr2-34945759-18
NR1849--MA0508.2.PRDM1	chr7	12891113	12891122	-	0.000	0.000	Merged-chr7-12891207-39
NR1414--MA0508.2.PRDM1	chr3	143457655	143457664	+	0.000	0.000	Merged-chr3-143457661-6
NR1807--MA0508.2.PRDM1	chr6	130538653	130538662	-	0.000	0.000	Merged-chr6-130538609-12
NR450--MA0508.2.PRDM1	chr12	80014479	80014488	+	0.000	0.000	Merged-chr12-80014569-41
NR1148--MA0508.2.PRDM1	chr2	73070696	73070705	-	0.000	0.000	Merged-chr2-73070867-8
NR617--MA0508.2.PRDM1	chr13	115099460	115099469	-	0.000	0.000	Merged-chr13-115099527-3
NR1196--MA0508.2.PRDM1	chr2	120939189	120939198	-	0.000	0.000	Merged-chr2-120939151-7
NR64--MA0508.2.PRDM1	chr1	119709543	119709552	-	0.000	0.000	Merged-chr1-119709632-8
NR949--MA0508.2.PRDM1	chr18	5694790	5694799	-	0.000	0.000	Merged-chr18-5694694-26
NR100--MA0508.2.PRDM1	chr1	155505876	155505885	-	0.000	0.000	Merged-chr1-155505844-22
NR846--MA0508.2.PRDM1	chr16	77099344	77099353	+	0.000	0.000	Merged-chr16-77099308-12
NR174--MA0508.2.PRDM1	chr10	6904232	6904241	+	0.000	0.000	Merged-chr10-6904105-6
NR1410--MA0508.2.PRDM1	chr3	142674824	142674833	+	0.000	0.000	Merged-chr3-142674758-15
NR1654--MA0508.2.PRDM1	chr5	107546186	107546195	+	0.000	0.000	Merged-chr5-107546120-23
NR538--MA0508.2.PRDM1	chr13	41471645	41471654	+	0.000	0.000	Merged-chr13-41471691-6
NR1362--MA0508.2.PRDM1	chr3	108781689	108781698	+	0.000	0.000	Merged-chr3-108781707-12
NR137--MA0508.2.PRDM1	chr1	178594207	178594216	+	0.000	0.000	Merged-chr1-178594136-3
NR1808--MA0508.2.PRDM1	chr6	130538705	130538714	-	0.000	0.000	Merged-chr6-130538609-12
NR1232--MA0508.2.PRDM1	chr2	145233990	145233999	+	0.000	0.000	Merged-chr2-145234039-59
NR1830--MA0508.2.PRDM1	chr6	143176984	143176993	+	0.000	0.000	Merged-chr6-143176847-16
NR1617--MA0508.2.PRDM1	chr5	64212821	64212830	-	0.000	0.000	Merged-chr5-64212951-2
NR1--MA0508.2.PRDM1	chr1	7206748	7206757	+	0.000	0.000	Merged-chr1-7206621-34
NR1869--MA0508.2.PRDM1	chr7	49088529	49088538	+	0.000	0.000	Merged-chr7-49088536-6
NR1577--MA0508.2.PRDM1	chr4	147808609	147808618	+	0.000	0.000	Merged-chr4-147808670-28
NR1609--MA0508.2.PRDM1	chr5	43856007	43856016	+	0.000	0.000	Merged-chr5-43855987-24
