#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR1211--MA0690.1.TBX21	chr2	44343283	44343292	-	0.000	0.000	Merged-chr2-44343176-13
NR1150--MA0690.1.TBX21	chr19	40618062	40618071	-	0.000	0.000	Merged-chr19-40618053-6
NR1556--MA0690.1.TBX21	chr4	82365285	82365294	+	0.000	0.000	Merged-chr4-82365199-20
NR993--MA0690.1.TBX21	chr17	49435194	49435203	+	0.000	0.000	Merged-chr17-49435295-16
NR36--MA0690.1.TBX21	chr1	54601452	54601461	-	0.000	0.000	Merged-chr1-54601410-5
NR967--MA0690.1.TBX21	chr17	26610526	26610535	-	0.000	0.000	Merged-chr17-26610479-9
NR1563--MA0690.1.TBX21	chr4	88692663	88692672	-	0.000	0.000	Merged-chr4-88692699-24
NR35--MA0690.1.TBX21	chr1	54601416	54601425	+	0.000	0.000	Merged-chr1-54601410-5
NR342--MA0690.1.TBX21	chr10	127333174	127333183	+	0.000	0.000	Merged-chr10-127333272-8
NR613--MA0690.1.TBX21	chr13	81705651	81705660	+	0.000	0.000	Merged-chr13-81705633-6
NR1136--MA0690.1.TBX21	chr19	25059709	25059718	+	0.000	0.000	Merged-chr19-25059831-2
NR34--MA0690.1.TBX21	chr1	53894448	53894457	-	0.000	0.000	Merged-chr1-53894600-6
NR840--MA0690.1.TBX21	chr15	80327988	80327997	+	0.000	0.000	Merged-chr15-80327888-7
NR1594--MA0690.1.TBX21	chr4	120959620	120959629	+	0.000	0.000	Merged-chr4-120959527-5
NR1209--MA0690.1.TBX21	chr2	35690019	35690028	-	0.000	0.000	Merged-chr2-35690128-14
NR1807--MA0690.1.TBX21	chr6	8641152	8641161	-	0.000	0.000	Merged-chr6-8641126-10
NR739--MA0690.1.TBX21	chr14	78559106	78559115	+	0.000	0.000	Merged-chr14-78559223-28
NR814--MA0690.1.TBX21	chr15	62390383	62390392	+	0.000	0.000	Merged-chr15-62390498-8
NR251--MA0690.1.TBX21	chr10	39625408	39625417	-	0.000	0.000	Merged-chr10-39625592-31
NR243--MA0690.1.TBX21	chr10	28489238	28489247	+	0.000	0.000	Merged-chr10-28489118-9
NR349--MA0690.1.TBX21	chr11	5296735	5296744	+	0.000	0.000	Merged-chr11-5296760-21
NR206--MA0690.1.TBX21	chr1	194985980	194985989	+	0.000	0.000	Merged-chr1-194986119-7
NR296--MA0690.1.TBX21	chr10	93126269	93126278	+	0.000	0.000	Merged-chr10-93126298-4
NR2256--MA0690.1.TBX21	chr9	57346435	57346444	+	0.000	0.000	Merged-chr9-57346292-13
