#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR1580--MA0690.1.TBX21	chr4	107434692	107434701	+	0.000	0.000	Merged-chr4-107434749-32
NR1681--MA0690.1.TBX21	chr5	64662588	64662597	+	0.000	0.000	Merged-chr5-64662440-49
NR52--MA0690.1.TBX21	chr1	74570562	74570571	-	0.000	0.000	Merged-chr1-74570528-25
NR65--MA0690.1.TBX21	chr1	89090453	89090462	+	0.000	0.000	Merged-chr1-89090487-27
NR92--MA0690.1.TBX21	chr1	126400133	126400142	+	0.000	0.000	Merged-chr1-126400157-1
NR1182--MA0690.1.TBX21	chr2	17597866	17597875	-	0.000	0.000	Merged-chr2-17597899-18
NR2260--MA0690.1.TBX21	chr9	59707757	59707766	+	0.000	0.000	Merged-chr9-59707691-6
NR412--MA0690.1.TBX21	chr11	82424780	82424789	+	0.000	0.000	Merged-chr11-82424845-7
NR1315--MA0690.1.TBX21	chr2	148484331	148484340	+	0.000	0.000	Merged-chr2-148484337-1
NR494--MA0690.1.TBX21	chr12	69102085	69102094	+	0.000	0.000	Merged-chr12-69102156-32
NR1397--MA0690.1.TBX21	chr3	58785997	58786006	-	0.000	0.000	Merged-chr3-58786155-24
NR2215--MA0690.1.TBX21	chr9	5623627	5623636	-	0.000	0.000	Merged-chr9-5623590-21
NR537--MA0690.1.TBX21	chr12	110559567	110559576	+	0.000	0.000	Merged-chr12-110559537-7
NR1523--MA0690.1.TBX21	chr3	157884025	157884034	-	0.000	0.000	Merged-chr3-157884103-23
NR2356--MA0690.1.TBX21	chrX	150956772	150956781	-	0.000	0.000	Merged-chrX-150956788-20
NR1576--MA0690.1.TBX21	chr4	102545344	102545353	-	0.000	0.000	Merged-chr4-102545412-1
NR1141--MA0690.1.TBX21	chr19	30924251	30924260	+	0.000	0.000	Merged-chr19-30924347-34
NR1547--MA0690.1.TBX21	chr4	55591787	55591796	-	0.000	0.000	Merged-chr4-55591721-13
NR1526--MA0690.1.TBX21	chr4	3975222	3975231	+	0.000	0.000	Merged-chr4-3975214-21
NR1181--MA0690.1.TBX21	chr2	17597878	17597887	+	0.000	0.000	Merged-chr2-17597899-18
NR846--MA0690.1.TBX21	chr15	84168898	84168907	-	0.000	0.000	Merged-chr15-84168860-11
NR1098--MA0690.1.TBX21	chr18	80642663	80642672	+	0.000	0.000	Merged-chr18-80642669-13
NR1199--MA0690.1.TBX21	chr2	31042893	31042902	-	0.000	0.000	Merged-chr2-31043017-22
NR1107--MA0690.1.TBX21	chr18	83465362	83465371	-	0.000	0.000	Merged-chr18-83465273-18
NR435--MA0690.1.TBX21	chr11	98909790	98909799	-	0.000	0.000	Merged-chr11-98909769-23
NR2193--MA0690.1.TBX21	chr8	122772618	122772627	+	0.000	0.000	Merged-chr8-122772813-21
NR2172--MA0690.1.TBX21	chr8	115877986	115877995	+	0.000	0.000	Merged-chr8-115877965-1
NR2238--MA0690.1.TBX21	chr9	43238898	43238907	-	0.000	0.000	Merged-chr9-43238844-1
NR759--MA0690.1.TBX21	chr14	118838788	118838797	+	0.000	0.000	Merged-chr14-118838804-5
NR21--MA0690.1.TBX21	chr1	40358939	40358948	-	0.000	0.000	Merged-chr1-40359035-4
NR1918--MA0690.1.TBX21	chr6	135087853	135087862	+	0.000	0.000	Merged-chr6-135087974-38
NR1443--MA0690.1.TBX21	chr3	116129277	116129286	+	0.000	0.000	Merged-chr3-116129408-25
NR1130--MA0690.1.TBX21	chr19	17152781	17152790	-	0.000	0.000	Merged-chr19-17152711-1
NR917--MA0690.1.TBX21	chr16	65542426	65542435	-	0.000	0.000	Merged-chr16-65542301-4
NR585--MA0690.1.TBX21	chr13	41097562	41097571	+	0.000	0.000	Merged-chr13-41097728-40
NR216--MA0690.1.TBX21	chr10	14040866	14040875	-	0.000	0.000	Merged-chr10-14040919-9
NR439--MA0690.1.TBX21	chr11	103776915	103776924	+	0.000	0.000	Merged-chr11-103776919-6
NR896--MA0690.1.TBX21	chr16	44497277	44497286	+	0.000	0.000	Merged-chr16-44497186-22
NR1824--MA0690.1.TBX21	chr6	37564070	37564079	-	0.000	0.000	Merged-chr6-37564158-19
NR2264--MA0690.1.TBX21	chr9	61754045	61754054	-	0.000	0.000	Merged-chr9-61753912-30
NR1131--MA0690.1.TBX21	chr19	17152789	17152798	-	0.000	0.000	Merged-chr19-17152711-1
