#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR7121--MA0769.1.Tcf7	chr6	37617598	37617609	+	0.000	0.000	Merged-chr6-37617601-15
NR4353--MA0523.1.TCF7L2	chr19	11055835	11055848	-	0.000	0.000	Merged-chr19-11055893-27
NR6542--MA1421.1.TCF7L1	chr5	10254795	10254806	+	0.000	0.000	Merged-chr5-10254903-14
NR4555--MA0523.1.TCF7L2	chr2	6716855	6716868	-	0.000	0.000	Merged-chr2-6716828-13
NR3363--MA1421.1.TCF7L1	chr16	7419924	7419935	-	0.000	0.000	Merged-chr16-7419949-42
NR1756--MA0769.1.Tcf7	chr12	34143172	34143183	+	0.000	0.000	Merged-chr12-34143068-3
NR2871--MA0523.1.TCF7L2	chr14	74977104	74977117	+	0.000	0.000	Merged-chr14-74977138-7
NR1603--MA1421.1.TCF7L1	chr11	109364990	109365001	-	0.000	0.000	Merged-chr11-109365028-9
NR4275--MA0523.1.TCF7L2	chr18	79028039	79028052	+	0.000	0.000	Merged-chr18-79027907-21
NR5319--MA0769.1.Tcf7	chr2	169423642	169423653	-	0.000	0.000	Merged-chr2-169423761-9
NR7883--MA0523.1.TCF7L2	chr7	101635945	101635958	+	0.000	0.000	Merged-chr7-101636183-33
NR7555--MA1421.1.TCF7L1	chr6	138269150	138269161	-	0.000	0.000	Merged-chr6-138269074-1
NR7761--MA1421.1.TCF7L1	chr7	64750320	64750331	-	0.000	0.000	Merged-chr7-64750339-1
NR3673--MA0769.1.Tcf7	chr16	92307632	92307643	+	0.000	0.000	Merged-chr16-92307633-7
NR6249--MA0769.1.Tcf7	chr4	87669755	87669766	+	0.000	0.000	Merged-chr4-87669731-33
NR6155--MA0769.1.Tcf7	chr4	53278263	53278274	-	0.000	0.000	Merged-chr4-53278272-26
NR5566--MA1421.1.TCF7L1	chr3	79129256	79129267	-	0.000	0.000	Merged-chr3-79129160-12
NR5849--MA0769.1.Tcf7	chr3	132575307	132575318	-	0.000	0.000	Merged-chr3-132575270-5
NR2198--MA1421.1.TCF7L1	chr13	23734524	23734535	+	0.000	0.000	Merged-chr13-23734534-7
NR3365--MA0769.1.Tcf7	chr16	7419924	7419935	-	0.000	0.000	Merged-chr16-7419949-42
NR7044--MA0769.1.Tcf7	chr6	5147853	5147864	+	0.000	0.000	Merged-chr6-5147663-1
NR5312--MA0769.1.Tcf7	chr2	168429802	168429813	+	0.000	0.000	Merged-chr2-168429700-17
