#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR15--MA0508.2.PRDM1	chr1	39205144	39205153	-	0.000	0.000	Merged-chr1-39205202-13
NR1235--MA0508.2.PRDM1	chr2	128157025	128157034	-	0.000	0.000	Merged-chr2-128156895-3
NR1139--MA0508.2.PRDM1	chr2	29820433	29820442	+	0.000	0.000	Merged-chr2-29820454-25
NR311--MA0508.2.PRDM1	chr10	118550409	118550418	-	0.000	0.000	Merged-chr10-118550430-27
NR292--MA0508.2.PRDM1	chr10	107869222	107869231	-	0.000	0.000	Merged-chr10-107868994-49
NR2260--MA0508.2.PRDM1	chrX	100476535	100476544	-	0.000	0.000	Merged-chrX-100476611-55
NR1052--MA0508.2.PRDM1	chr18	83934415	83934424	-	0.000	0.000	Merged-chr18-83934444-16
NR956--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR271--MA0508.2.PRDM1	chr10	94021281	94021290	+	0.000	0.000	Merged-chr10-94021256-59
NR969--MA0508.2.PRDM1	chr17	65741428	65741437	+	0.000	0.000	Merged-chr17-65741371-24
NR664--MA0508.2.PRDM1	chr13	112551592	112551601	+	0.000	0.000	Merged-chr13-112551755-26
NR1078--MA0508.2.PRDM1	chr19	21785917	21785926	-	0.000	0.000	Merged-chr19-21785964-7
NR1187--MA0508.2.PRDM1	chr2	82589045	82589054	-	0.000	0.000	Merged-chr2-82589054-1
NR1567--MA0508.2.PRDM1	chr4	145263865	145263874	-	0.000	0.000	Merged-chr4-145263821-10
NR914--MA0508.2.PRDM1	chr16	93839202	93839211	+	0.000	0.000	Merged-chr16-93839317-9
NR709--MA0508.2.PRDM1	chr14	61339788	61339797	-	0.000	0.000	Merged-chr14-61339598-17
NR1057--MA0508.2.PRDM1	chr18	89126526	89126535	-	0.000	0.000	Merged-chr18-89126622-17
NR255--MA0508.2.PRDM1	chr10	77609845	77609854	-	0.000	0.000	Merged-chr10-77609801-14
NR364--MA0508.2.PRDM1	chr11	48935117	48935126	+	0.000	0.000	Merged-chr11-48935044-1
NR47--MA0508.2.PRDM1	chr1	82869940	82869949	+	0.000	0.000	Merged-chr1-82869741-41
NR595--MA0508.2.PRDM1	chr13	56507216	56507225	+	0.000	0.000	Merged-chr13-56507278-42
