"","seqnames","start","end","width","strand","V4","V5","V6","V7","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr13",34914624,34915155,532,"*","Merged-chr13-34914852-26",0,"+",NA,"Promoter (1-2kb)",13,34909964,34916989,7026,2,"71864","uc007qbr.1",1834,"ENSMUSG00000021414","Fam217a","family with sequence similarity 217, member A"
"2","chr7",114284444,114284892,449,"*","Merged-chr7-114284648-5",0,"+",NA,"Distal Intergenic",7,114270489,114276116,5628,2,"26440","uc009jhz.1",-8328,"ENSMUSG00000030751","Psma1","proteasome (prosome, macropain) subunit, alpha type 1"
"3","chr5",111115649,111116019,371,"*","Merged-chr5-111115813-11",0,"+",NA,"Intron (uc033ild.2/209683, intron 5 of 22)",5,111004144,111004252,109,1,"735278","uc012ebd.1",111505,"ENSMUSG00000076163","Mir701","microRNA 701"
"4","chr17",23616940,23617470,531,"*","Merged-chr17-23617236-49",0,"+",NA,"Distal Intergenic",17,23605505,23611019,5515,1,"332221","uc012alv.1",11435,"ENSMUSG00000023902","Zscan10","zinc finger and SCAN domain containing 10"
"5","chr1",44042047,44042538,492,"*","Merged-chr1-44042262-60",0,"+",NA,"Distal Intergenic",1,44010510,44020006,9497,2,"433294","uc007avw.1",-22041,"ENSMUSG00000047343","Mettl21c","methyltransferase like 21C"
"6","chr9",13973715,13974031,317,"*","Merged-chr9-13973849-7",0,"+",NA,"Distal Intergenic",9,13836703,13840062,3360,1,"72826","uc009oeh.1",137012,"ENSMUSG00000037808","Fam76b","family with sequence similarity 76, member B"
"7","chr3",81489073,81489980,908,"*","Merged-chr3-81489616-14",0,"+",NA,"Distal Intergenic",3,81802025,81805161,3137,1,"320566","uc008pol.1",-312045,"ENSMUSG00000103695","A830029E22Rik","RIKEN cDNA A830029E22 gene"
"8","chr7",24608148,24608606,459,"*","Merged-chr7-24608343-34",0,"+",NA,"Promoter (2-3kb)",7,24611328,24629297,17970,1,"232970","uc009fqc.1",-2722,"ENSMUSG00000074277","Phldb3","pleckstrin homology like domain, family B, member 3"
"9","chr3",115819500,115819706,207,"*","Merged-chr3-115819602-2",0,"+",NA,"Distal Intergenic",3,115881578,115888059,6482,2,"68161","uc008rbp.3",68353,"ENSMUSG00000054426","A930005H10Rik","RIKEN cDNA A930005H10 gene"
"10","chr10",90728054,90729043,990,"*","Merged-chr10-90728710-55",0,"+",NA,"Intron (uc057kjj.1/77531, intron 17 of 25)",10,90829843,90923602,93760,1,"77531","uc007gtd.1",-100800,"ENSMUSG00000058589","Anks1b","ankyrin repeat and sterile alpha motif domain containing 1B"
"11","chr17",35194233,35194794,562,"*","Merged-chr17-35194472-47",0,"+",NA,"Promoter (<=1kb)",17,35194507,35196305,1799,1,"16994","uc008cgp.2",0,"ENSMUSG00000024399","Ltb","lymphotoxin B"
"12","chr6",65818204,65818829,626,"*","Merged-chr6-65818480-32",0,"+",NA,"Intron (uc009cej.1/70779, intron 2 of 2)",6,65778962,65936377,157416,1,"70779","uc012emx.1",39242,"ENSMUSG00000029913","Prdm5","PR domain containing 5"
"13","chr4",59336127,59336333,207,"*","Merged-chr4-59336230-3",0,"+",NA,"Intron (uc012dew.1/634731, intron 12 of 16)",4,59331957,59362980,31024,2,"634731","uc008szu.1",26647,"ENSMUSG00000038578","Susd1","sushi domain containing 1"
"14","chr7",46057946,46058643,698,"*","Merged-chr7-46058346-11",0,"+",NA,"Exon (uc009gyb.2/211548, exon 15 of 31)",7,46033696,46084212,50517,1,"211548","uc009gyb.2",24250,"ENSMUSG00000030835","Nomo1","nodal modulator 1"
"15","chr14",14042375,14042773,399,"*","Merged-chr14-14042557-42",0,"+",NA,"Intron (uc007sgi.3/246103, intron 3 of 11)",14,14012491,14107302,94812,1,"246103","uc007sgi.3",29884,"ENSMUSG00000021738","Atxn7","ataxin 7"
"16","chr7",49420894,49421579,686,"*","Merged-chr7-49421353-29",0,"+",NA,"Intron (uc057ahi.2/78286, intron 7 of 39)",7,49450760,49464929,14170,1,"78286","uc009hbl.1",-29181,"ENSMUSG00000052512","Nav2","neuron navigator 2"
"17","chr15",10236799,10237183,385,"*","Merged-chr15-10236967-13",0,"+",NA,"Intron (uc007vfs.2/19116, intron 1 of 4)",15,10223906,10349180,125275,1,"19116","uc007vfx.2",12893,"ENSMUSG00000005268","Prlr","prolactin receptor"
"18","chr16",46008718,46009188,471,"*","Merged-chr16-46008957-18",0,"+",NA,"Promoter (1-2kb)",16,45959261,46010413,51153,2,"433022","uc007zje.2",1225,"ENSMUSG00000087141","Plcxd2","phosphatidylinositol-specific phospholipase C, X domain containing 2"
"19","chr17",79052110,79052776,667,"*","Merged-chr17-79052493-40",0,"+",NA,"Promoter (<=1kb)",17,79051906,79090378,38473,1,"70536","uc008dpw.2",204,"ENSMUSG00000024084","Qpct","glutaminyl-peptide cyclotransferase (glutaminyl cyclase)"
"20","chr4",32238810,32239429,620,"*","Merged-chr4-32239199-133",0,"+",NA,"Promoter (<=1kb)",4,32238950,32563367,324418,1,"12014","uc012dbf.1",0,"ENSMUSG00000040270","Bach2","BTB and CNC homology, basic leucine zipper transcription factor 2"
"21","chr5",71903260,71903874,615,"*","Merged-chr5-71903621-28",0,"+",NA,"Intron (uc008xrb.1/14400, intron 4 of 8)",5,71700016,72137244,437229,1,"14400","uc008xrb.1",203244,"ENSMUSG00000029212","Gabrb1","gamma-aminobutyric acid (GABA) A receptor, subunit beta 1"
"22","chr8",10924535,10924949,415,"*","Merged-chr8-10924739-10",0,"+",NA,"Promoter (3-4kb)",8,10924427,10928457,4031,2,"665306","uc009kuy.1",3508,"ENSMUSG00000038917","3930402G23Rik","RIKEN cDNA 3930402G23 gene"
"23","chr16",21845850,21846343,494,"*","Merged-chr16-21846082-27",0,"+",NA,"Distal Intergenic",16,21891969,21931877,39909,1,"71751","uc007yrr.2",-45626,"ENSMUSG00000033618","Map3k13","mitogen-activated protein kinase kinase kinase 13"
"24","chr15",101135443,101135688,246,"*","Merged-chr15-101135569-5",0,"+",NA,"Exon (uc007xsm.2/11482, exon 4 of 11)",15,101128522,101145336,16815,1,"11482","uc007xsq.2",6921,"ENSMUSG00000000530","Acvrl1","activin A receptor, type II-like 1"
"25","chr17",65957608,65957912,305,"*","Merged-chr17-65957772-5",0,"+",NA,"Distal Intergenic",17,65923065,65951187,28123,2,"65960","uc008dgr.2",-6421,"ENSMUSG00000024098","Twsg1","twisted gastrulation BMP signaling modulator 1"
"26","chr12",84220631,84221362,732,"*","Merged-chr12-84220995-60",0,"+",NA,"Promoter (1-2kb)",12,84149168,84218881,69714,2,"238317","uc007oem.4",-1750,"ENSMUSG00000042507","Elmsan1","ELM2 and Myb/SANT-like domain containing 1"
"27","chr5",17422464,17422824,361,"*","Merged-chr5-17422615-4",0,"+",NA,"Distal Intergenic",5,17476122,17480936,4815,1,"70935","uc008wnk.1",-53298,"ENSMUSG00000058643","Speer4f1","spermatogenesis associated glutamate (E)-rich protein 4F1"
"28","chr2",158689662,158690538,877,"*","Merged-chr2-158690200-39",0,"+",NA,"Intron (uc012cil.1/228852, intron 1 of 10)",2,158667135,158766334,99200,1,"228852","uc008nqp.2",22527,"ENSMUSG00000037754","Ppp1r16b","protein phosphatase 1, regulatory subunit 16B"
"29","chr6",135827953,135828434,482,"*","Merged-chr6-135828198-15",0,"+",NA,"Intron (uc009elq.2/14812, intron 6 of 14)",6,135658913,135683391,24479,1,"75024","uc009elp.2",169040,"ENSMUSG00000107396","4930425L21Rik","RIKEN cDNA 4930425L21 gene"
"30","chr9",96696203,96696635,433,"*","Merged-chr9-96696442-50",0,"+",NA,"Intron (uc009rcp.1/245007, intron 2 of 2)",9,96685423,96719445,34023,2,"245007","uc009rcp.1",22810,"ENSMUSG00000040433","Zbtb38","zinc finger and BTB domain containing 38"
"31","chr2",132039927,132040374,448,"*","Merged-chr2-132040154-56",0,"+",NA,"Distal Intergenic",2,131992850,132029988,37139,2,"215653","uc008mmf.2",-9939,"ENSMUSG00000027339","Rassf2","Ras association (RalGDS/AF-6) domain family member 2"
"32","chr2",13792877,13793926,1050,"*","Merged-chr2-13793433-83",0,"+",NA,"Promoter (<=1kb)",2,13654934,13793520,138587,2,"241230","uc008ikc.3",0,"ENSMUSG00000003418","St8sia6","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6"
"33","chr8",8984068,8985610,1543,"*","Merged-chr8-8985040-52",0,"+",NA,"Distal Intergenic",8,9125412,9132288,6877,2,"71249","uc029wqj.1",146678,"ENSMUSG00000108848","4933430N04Rik","RIKEN cDNA 4933430N04 gene"
"34","chr19",47441497,47442030,534,"*","Merged-chr19-47441747-24",0,"+",NA,"Intron (uc008huz.2/14218, intron 1 of 14)",19,47260174,47464411,204238,2,"14218","uc008huz.2",22381,"ENSMUSG00000053617","Sh3pxd2a","SH3 and PX domains 2A"
"35","chr7",30322934,30323250,317,"*","Merged-chr7-30323096-14",0,"+",NA,"Promoter (<=1kb)",7,30321409,30322375,967,2,"68332","uc009ged.1",-559,"ENSMUSG00000074211","Sdhaf1","succinate dehydrogenase complex assembly factor 1"
"36","chr10",19333473,19333823,351,"*","Merged-chr10-19333654-15",0,"+",NA,"Distal Intergenic",10,19356539,19358604,2066,1,"94222","uc007ene.1",-22716,"ENSMUSG00000045591","Olig3","oligodendrocyte transcription factor 3"
"37","chr6",67184614,67185032,419,"*","Merged-chr6-67184785-39",0,"+",NA,"Distal Intergenic",6,67266979,67274010,7032,1,"66870","uc009cfh.1",-81947,"ENSMUSG00000036371","Serbp1","serpine1 mRNA binding protein 1"
"38","chr18",70053238,70053657,420,"*","Merged-chr18-70053424-8",0,"+",NA,"Promoter (<=1kb)",18,69979131,70053588,74458,2,"80718","uc008fnz.2",0,"ENSMUSG00000024511","Rab27b","RAB27B, member RAS oncogene family"
"39","chr9",11513779,11514271,493,"*","Merged-chr9-11513974-36",0,"+",NA,"Distal Intergenic",9,9660891,10904775,1243885,2,"244682","uc012goa.1",-609004,"ENSMUSG00000039488","Cntn5","contactin 5"
"40","chr18",24039511,24039877,367,"*","Merged-chr18-24039685-13",0,"+",NA,"Distal Intergenic",18,24012267,24020771,8505,2,"59057","uc008egn.1",-18740,"ENSMUSG00000051469","Zfp24","zinc finger protein 24"
"41","chr7",128376164,128376622,459,"*","Merged-chr7-128376440-37",0,"+",NA,"Intron (uc009jyw.1/67865, intron 4 of 4)",7,128373625,128418172,44548,2,"67865","uc009jyw.1",41550,"ENSMUSG00000030844","Rgs10","regulator of G-protein signalling 10"
"42","chr9",7176780,7177199,420,"*","Merged-chr9-7176976-53",0,"+",NA,"Promoter (<=1kb)",9,6928503,7177230,248728,2,"110350","uc009occ.1",31,"ENSMUSG00000047193","Dync2h1","dynein cytoplasmic 2 heavy chain 1"
"43","chr18",46092329,46093028,700,"*","Merged-chr18-46092706-65",0,"+",NA,"Distal Intergenic",18,45683487,46045260,361774,2,"107003","uc029tmq.1",-47069,NA,"A330093E20Rik","RIKEN cDNA A330093E20 gene"
"44","chr16",23224606,23225710,1105,"*","Merged-chr16-23225194-112",0,"+",NA,"Promoter (<=1kb)",16,23224740,23360350,135611,1,"20440","uc007yto.2",0,"ENSMUSG00000022885","St6gal1","beta galactoside alpha 2,6 sialyltransferase 1"
"45","chr16",93572360,93572737,378,"*","Merged-chr16-93572534-34",0,"+",NA,"Distal Intergenic",16,93583460,93603815,20356,2,"224440","uc007zzq.3",31078,"ENSMUSG00000022948","Setd4","SET domain containing 4"
"46","chr10",18407197,18407783,587,"*","Merged-chr10-18407539-30",0,"+",NA,"Promoter (<=1kb)",10,18407638,18421140,13503,1,"215819","uc007emg.1",0,"ENSMUSG00000039835","Nhsl1","NHS-like 1"
"47","chr3",144402089,144402564,476,"*","Merged-chr3-144402343-18",0,"+",NA,"Distal Intergenic",3,144434561,144435619,1059,2,"23908","uc008rpq.1",33055,"ENSMUSG00000040151","Hs2st1","heparan sulfate 2-O-sulfotransferase 1"
"48","chr2",53809061,53809426,366,"*","Merged-chr2-53809276-5",0,"+",NA,"Distal Intergenic",2,54084093,54085552,1460,2,"67874","uc008jrp.1",276126,"ENSMUSG00000075334","Rprm","reprimo, TP53 dependent G2 arrest mediator candidate"
"49","chr17",79916877,79917548,672,"*","Merged-chr17-79917226-25",0,"+",NA,"Distal Intergenic",17,79873401,79896123,22723,2,"56298","uc008dqh.1",-20754,"ENSMUSG00000059811","Atl2","atlastin GTPase 2"
"50","chr9",95113321,95113827,507,"*","Merged-chr9-95113538-34",0,"+",NA,"Intron (uc009ray.2/331004, intron 12 of 15)",9,95121686,95124551,2866,1,"331004","uc057maj.1",-7859,"ENSMUSG00000031129","Slc9a9","solute carrier family 9 (sodium/hydrogen exchanger), member 9"
"51","chr12",108098239,108098656,418,"*","Merged-chr12-108098455-21",0,"+",NA,"Distal Intergenic",12,108118242,108163065,44824,2,"52690","uc011yrq.1",64409,"ENSMUSG00000056770","Setd3","SET domain containing 3"
"52","chr5",65910418,65910876,459,"*","Merged-chr5-65910646-31",0,"+",NA,"Distal Intergenic",5,65863569,65896700,33132,1,"74734","uc008xoe.1",46849,"ENSMUSG00000029204","Rhoh","ras homolog family member H"
"53","chr6",71322416,71323193,778,"*","Merged-chr6-71322825-41",0,"+",NA,"Promoter (<=1kb)",6,71322812,71337451,14640,1,"12526","uc009cgp.1",0,"ENSMUSG00000053044","Cd8b1","CD8 antigen, beta chain 1"
"54","chr7",101537959,101538596,638,"*","Merged-chr7-101538203-73",0,"+",NA,"Distal Intergenic",7,101552453,101560865,8413,2,"11871","uc012fqm.1",22269,"ENSMUSG00000092517","Art2a-ps","ADP-ribosyltransferase 2a, pseudogene"
"55","chr3",52088450,52088989,540,"*","Merged-chr3-52088711-20",0,"+",NA,"Intron (uc008pef.3/433586, intron 1 of 4)",3,51687611,52105006,417396,2,"433586","uc008pef.3",16017,"ENSMUSG00000061143","Maml3","mastermind like transcriptional coactivator 3"
"56","chr16",46006293,46006750,458,"*","Merged-chr16-46006437-28",0,"+",NA,"Promoter (3-4kb)",16,45959261,46010413,51153,2,"433022","uc007zje.2",3663,"ENSMUSG00000087141","Plcxd2","phosphatidylinositol-specific phospholipase C, X domain containing 2"
