"","seqnames","start","end","width","strand","V4","V5","V6","V7","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr12",85660857,85661337,481,"*","Merged-chr12-85661084-38",0,"+",NA,"Distal Intergenic",12,85686720,85709087,22368,1,"53314","uc007ohd.1",-25383,"ENSMUSG00000034266","Batf","basic leucine zipper transcription factor, ATF-like"
"2","chr8",123032799,123033196,398,"*","Merged-chr8-123033029-47",0,"+",NA,"Intron (uc009ntz.2/77087, intron 1 of 12)",8,122883822,123042284,158463,2,"77087","uc009ntz.2",9088,"ENSMUSG00000035569","Ankrd11","ankyrin repeat domain 11"
"3","chr10",118050240,118050648,409,"*","Merged-chr10-118050458-52",0,"+",NA,"Distal Intergenic",10,118141787,118148139,6353,1,"17245","uc007hds.2",-91139,"ENSMUSG00000020212","Mdm1","transformed mouse 3T3 cell double minute 1"
"4","chr7",24617786,24618104,319,"*","Merged-chr7-24617959-10",0,"+",NA,"Promoter (<=1kb)",7,24618986,24626720,7735,1,"232970","uc009fqd.1",-882,"ENSMUSG00000074277","Phldb3","pleckstrin homology like domain, family B, member 3"
"5","chr8",88592680,88593022,343,"*","Merged-chr8-88592850-20",0,"+",NA,"3' UTR",8,88626828,88636128,9301,2,"71607","uc009mrp.1",43106,"ENSMUSG00000031662","Snx20","sorting nexin 20"
"6","chr11",97130347,97131136,790,"*","Merged-chr11-97130741-21",0,"+",NA,"Distal Intergenic",11,97098007,97115331,17325,2,"57765","uc007ldr.2",-15016,"ENSMUSG00000001444","Tbx21","T-box 21"
"7","chr9",73038851,73039061,211,"*","Merged-chr9-73038955-2",0,"+",NA,"Promoter (<=1kb)",9,73015696,73039699,24004,2,"55981","uc009qqt.1",638,"ENSMUSG00000079469","Pigb","phosphatidylinositol glycan anchor biosynthesis, class B"
"8","chr2",9563480,9564017,538,"*","Merged-chr2-9563735-15",0,"+",NA,"Distal Intergenic",2,9857078,9878600,21523,2,"14462","uc008ihe.1",314583,"ENSMUSG00000015619","Gata3","GATA binding protein 3"
"9","chr2",157138157,157138587,431,"*","Merged-chr2-157138383-30",0,"+",NA,"Promoter (2-3kb)",2,157119564,157135222,15659,2,"56045","uc008nop.1",-2935,"ENSMUSG00000027639","Samhd1","SAM domain and HD domain, 1"
"10","chr19",40687093,40687823,731,"*","Merged-chr19-40687495-34",0,"+",NA,"Intron (uc008hld.2/12495, intron 1 of 9)",19,40659770,40741602,81833,1,"12495","uc008hlf.2",27323,"ENSMUSG00000048120","Entpd1","ectonucleoside triphosphate diphosphohydrolase 1"
"11","chr16",93392059,93392496,438,"*","Merged-chr16-93392289-32",0,"+",NA,"Distal Intergenic",16,93369720,93369816,97,1,"791074","uc012aio.1",22339,"ENSMUSG00000076457","Mir802","microRNA 802"
"12","chr2",69003000,69003319,320,"*","Merged-chr2-69003152-17",0,"+",NA,"Intron (uc008jxs.1/241447, intron 4 of 9)",2,69135800,69189330,53531,1,"329416","uc008jxt.3",-132481,"ENSMUSG00000034738","Nostrin","nitric oxide synthase trafficker"
"13","chr2",52455756,52456210,455,"*","Merged-chr2-52455990-26",0,"+",NA,"Intron (uc008jra.2/12298, intron 8 of 12)",2,52397951,52424874,26924,2,"75423","uc008jqy.1",-30882,"ENSMUSG00000036093","Arl5a","ADP-ribosylation factor-like 5A"
"14","chr5",33468483,33469118,636,"*","Merged-chr5-33468852-15",0,"+",NA,"Distal Intergenic",5,33430734,33434090,3357,2,"672284","uc056zzg.1",-34393,"ENSMUSG00000029112","Nkx1-1","NK1 homeobox 1"
"15","chr17",71680847,71681287,441,"*","Merged-chr17-71681067-13",0,"+",NA,"Intron (uc008dmt.1/320159, intron 1 of 19)",17,71686701,71729669,42969,1,"320159","uc008dmu.1",-5414,"ENSMUSG00000045761","Togaram2","TOG array regulator of axonemal microtubules 2"
"16","chr8",115495948,115496471,524,"*","Merged-chr8-115496222-29",0,"+",NA,"Distal Intergenic",8,115703253,115706894,3642,2,"17132","uc009nof.1",210423,"ENSMUSG00000055435","Maf","avian musculoaponeurotic fibrosarcoma oncogene homolog"
"17","chr6",140722088,140723175,1088,"*","Merged-chr6-140722560-90",0,"+",NA,"Distal Intergenic",6,140626885,140655481,28597,1,"11569","uc057byq.1",95203,"ENSMUSG00000030232","Aebp2","AE binding protein 2"
"18","chr8",114982577,114982860,284,"*","Merged-chr8-114982721-9",0,"+",NA,"Intron (uc009nod.2/80707, intron 8 of 8)",8,114439652,115352712,913061,1,"80707","uc009nod.2",542925,"ENSMUSG00000004637","Wwox","WW domain-containing oxidoreductase"
"19","chr3",135440177,135440595,419,"*","Merged-chr3-135440382-31",0,"+",NA,"Promoter (1-2kb)",3,135439167,135467178,28012,1,"66105","uc008rlq.1",1010,"ENSMUSG00000078578","Ube2d3","ubiquitin-conjugating enzyme E2D 3"
"20","chr13",33001306,33001757,452,"*","Merged-chr13-33001523-50",0,"+",NA,"Promoter (2-3kb)",13,33004541,33017955,13415,1,"20723","uc007pzz.1",-2784,"ENSMUSG00000045827","Serpinb9","serine (or cysteine) peptidase inhibitor, clade B, member 9"
"21","chr10",117975379,117975962,584,"*","Merged-chr10-117975710-27",0,"+",NA,"Distal Intergenic",10,117925459,117948307,22849,1,"71067","uc029rfv.1",49920,"ENSMUSG00000112500","4933411E08Rik","RIKEN cDNA 4933411E08 gene"
"22","chr6",108309940,108310295,356,"*","Merged-chr6-108310107-36",0,"+",NA,"Intron (uc009ddg.1/16438, intron 4 of 5)",6,108252958,108393000,140043,1,"16438","uc009ddi.1",56982,"ENSMUSG00000030102","Itpr1","inositol 1,4,5-trisphosphate receptor 1"
"23","chr3",101297225,101297596,372,"*","Merged-chr3-101297395-20",0,"+",NA,"Distal Intergenic",3,101275908,101287939,12032,2,"12481","uc012cuv.1",-9286,"ENSMUSG00000027863","Cd2","CD2 antigen"
"24","chr1",171628728,171629769,1042,"*","Merged-chr1-171629248-54",0,"+",NA,"Downstream (2-3kb)",1,171641840,171641900,61,2,"102465784","uc056yfc.1",12131,"ENSMUSG00000098316","Mir7683","microRNA 7683"
"25","chr12",79832675,79832946,272,"*","Merged-chr12-79832817-8",0,"+",NA,"Distal Intergenic",12,79917019,79924733,7715,2,"77290","uc007oak.1",91787,"ENSMUSG00000112765","9430078K24Rik","RIKEN cDNA 9430078K24 gene"
"26","chr15",82156323,82156898,576,"*","Merged-chr15-82156630-19",0,"+",NA,"Intron (uc007wyh.1/20788, intron 1 of 3)",15,82147269,82204960,57692,1,"20788","uc007wyi.1",9054,"ENSMUSG00000022463","Srebf2","sterol regulatory element binding factor 2"
"27","chr7",142379115,142379548,434,"*","Merged-chr7-142379334-29",0,"+",NA,"Intron (uc009kmv.1/13033, intron 5 of 8)",7,142355965,142373578,17614,2,"320802","uc057lwa.1",-5537,"ENSMUSG00000045777","Ifitm10","interferon induced transmembrane protein 10"
"28","chr16",93747241,93747774,534,"*","Merged-chr16-93747513-18",0,"+",NA,"Exon (uc007zzv.1/70028, exon 5 of 37)",16,93763158,93810588,47431,1,"70028","uc007zzx.1",-15384,"ENSMUSG00000022946","Dop1b","DOP1 leucine zipper like protein B"
"29","chr10",117665619,117666041,423,"*","Merged-chr10-117665862-11",0,"+",NA,"Intron (uc007hdi.2/70574, intron 3 of 8)",10,117675893,117687352,11460,1,"70574","uc007hdk.2",-9852,"ENSMUSG00000020183","Cpm","carboxypeptidase M"
"30","chr9",56273590,56274010,421,"*","Merged-chr9-56273762-19",0,"+",NA,"Intron (uc009psz.3/244895, intron 3 of 6)",9,56144087,56161070,16984,2,"56434","uc009psy.2",-112520,"ENSMUSG00000032324","Tspan3","tetraspanin 3"
"31","chr8",70811299,70811682,384,"*","Merged-chr8-70811512-10",0,"+",NA,"Promoter (2-3kb)",8,70808449,70821424,12976,1,"16161","uc009mbr.3",2850,"ENSMUSG00000000791","Il12rb1","interleukin 12 receptor, beta 1"
"32","chr1",88684736,88685178,443,"*","Merged-chr1-88684968-21",0,"+",NA,"Intron (uc011woz.1/uc011woz.1, intron 1 of 2)",1,88698225,88702191,3967,2,"320982","uc007byt.2",17013,"ENSMUSG00000049866","Arl4c","ADP-ribosylation factor-like 4C"
"33","chr4",135077161,135077482,322,"*","Merged-chr4-135077339-17",0,"+",NA,"Distal Intergenic",4,135120645,135177990,57346,1,"12399","uc008vgb.1",-43163,"ENSMUSG00000070691","Runx3","runt related transcription factor 3"
"34","chr2",68881984,68882400,417,"*","Merged-chr2-68882205-16",0,"+",NA,"Intron (uc008jxs.1/241447, intron 1 of 9)",2,68861557,69111290,249734,1,"241447","uc057ldf.1",20427,"ENSMUSG00000027035","Cers6","ceramide synthase 6"
"35","chr10",79691880,79692339,460,"*","Merged-chr10-79692164-17",0,"+",NA,"Promoter (1-2kb)",10,79693826,79695261,1436,1,"16904","uc056yhm.1",-1487,"ENSMUSG00000054206","Gzmm","granzyme M (lymphocyte met-ase 1)"
"36","chr7",98809429,98810052,624,"*","Merged-chr7-98809754-32",0,"+",NA,"Distal Intergenic",7,98835112,98854747,19636,1,"22411","uc009ikv.3",-25060,"ENSMUSG00000015957","Wnt11","wingless-type MMTV integration site family, member 11"
"37","chr13",32966056,32966412,357,"*","Merged-chr13-32966239-7",0,"+",NA,"Promoter (<=1kb)",13,32965513,32979037,13525,1,"20708","uc011yyc.1",543,"ENSMUSG00000042842","Serpinb6b","serine (or cysteine) peptidase inhibitor, clade B, member 6b"
"38","chr14",67911628,67912296,669,"*","Merged-chr14-67911920-26",0,"+",NA,"Intron (uc007ull.1/68813, intron 1 of 51)",14,67751928,67933572,181645,2,"68813","uc007ull.1",21276,"ENSMUSG00000044447","Dock5","dedicator of cytokinesis 5"
"39","chr2",61712587,61713047,461,"*","Merged-chr2-61712803-19",0,"+",NA,"Promoter (<=1kb)",2,61711694,61800376,88683,1,"59029","uc008jvc.1",893,"ENSMUSG00000026914","Psmd14","proteasome (prosome, macropain) 26S subunit, non-ATPase, 14"
"40","chr4",101298248,101298869,622,"*","Merged-chr4-101298593-40",0,"+",NA,"Distal Intergenic",4,101151974,101265282,113309,2,"16451","uc008tvk.1",-32966,"ENSMUSG00000028530","Jak1","Janus kinase 1"
"41","chr11",3703481,3703864,384,"*","Merged-chr11-3703654-26",0,"+",NA,"3' UTR",11,3703731,3722227,18497,2,"74309","uc007hto.2",18363,"ENSMUSG00000020435","Osbp2","oxysterol binding protein 2"
"42","chr19",43809278,43809705,428,"*","Merged-chr19-43809499-23",0,"+",NA,"Intron (uc008how.1/12780, intron 11 of 31)",19,43782308,43838218,55911,1,"12780","uc008how.1",26970,"ENSMUSG00000025194","Abcc2","ATP-binding cassette, sub-family C (CFTR/MRP), member 2"
"43","chr2",62618790,62619258,469,"*","Merged-chr2-62619105-22",0,"+",NA,"Intron (uc008jvm.2/71586, intron 4 of 15)",2,62595793,62646255,50463,2,"71586","uc008jvm.2",26997,"ENSMUSG00000026896","Ifih1","interferon induced with helicase C domain 1"
"44","chr11",104631332,104631666,335,"*","Merged-chr11-104631492-24",0,"+",NA,"Intron (uc011ygd.2/16416, intron 2 of 14)",11,104637387,104670473,33087,1,"16416","uc007lwx.3",-5721,"ENSMUSG00000020689","Itgb3","integrin beta 3"
"45","chr4",8834594,8835033,440,"*","Merged-chr4-8834782-18",0,"+",NA,"Intron (uc008rxz.2/320790, intron 15 of 37)",4,8856671,8868449,11779,1,"320790","uc012daj.2",-21638,"ENSMUSG00000041235","Chd7","chromodomain helicase DNA binding protein 7"
"46","chr6",108665516,108666008,493,"*","Merged-chr6-108665749-34",0,"+",NA,"Promoter (4-5kb)",6,108577036,108660934,83899,2,"75394","uc009ddk.2",-4582,"ENSMUSG00000087341","0610040F04Rik","RIKEN cDNA 0610040F04 gene"
"47","chr11",115338756,115339058,303,"*","Merged-chr11-115338922-7",0,"+",NA,"Promoter (4-5kb)",11,115334734,115346926,12193,1,"69602","uc007mhf.1",4022,"ENSMUSG00000018862","Otop3","otopetrin 3"
"48","chr7",79262405,79262902,498,"*","Merged-chr7-79262630-29",0,"+",NA,"Distal Intergenic",7,79273266,79345371,72106,1,"54608","uc012fnf.1",-10364,"ENSMUSG00000039202","Abhd2","abhydrolase domain containing 2"
"49","chr2",172390389,172390749,361,"*","Merged-chr2-172390550-32",0,"+",NA,"Promoter (3-4kb)",2,172393794,172429554,35761,1,"320664","uc008ocr.1",-3045,"ENSMUSG00000074570","Cass4","Cas scaffolding protein family member 4"
"50","chr11",106687354,106687817,464,"*","Merged-chr11-106687558-7",0,"+",NA,"Intron (uc007lze.2/18613, intron 7 of 15)",11,106654213,106715281,61069,2,"18613","uc007lze.2",27464,"ENSMUSG00000020717","Pecam1","platelet/endothelial cell adhesion molecule 1"
"51","chr14",25522381,25522732,352,"*","Merged-chr14-25522595-18",0,"+",NA,"Intron (uc007srm.2/328365, intron 2 of 10)",14,25534439,25534523,85,1,"100526533","uc011zhn.1",-11707,"ENSMUSG00000093081","Mir3075","microRNA 3075"
"52","chr11",46453082,46453530,449,"*","Merged-chr11-46453304-7",0,"+",NA,"Promoter (1-2kb)",11,46454931,46481255,26325,1,"171285","uc011xtp.2",-1401,"ENSMUSG00000020399","Havcr2","hepatitis A virus cellular receptor 2"
"53","chr11",95261172,95261556,385,"*","Merged-chr11-95261394-7",0,"+",NA,"Promoter (<=1kb)",11,95261529,95269262,7734,1,"93670","uc007lac.2",0,"ENSMUSG00000020872","Tac4","tachykinin 4"
"54","chr10",76542761,76543301,541,"*","Merged-chr10-76543066-52",0,"+",NA,"Intron (uc007fuq.2/16987, intron 11 of 21)",10,76531605,76557139,25535,1,"16987","uc011xha.2",11156,"ENSMUSG00000033105","Lss","lanosterol synthase"
"55","chr3",133506320,133506726,407,"*","Merged-chr3-133506515-24",0,"+",NA,"Intron (uc008rkq.2/214133, intron 2 of 10)",3,133463677,133488717,25041,2,"214133","uc057lgr.1",-17603,"ENSMUSG00000040943","Tet2","tet methylcytosine dioxygenase 2"
"56","chr1",51934514,51935047,534,"*","Merged-chr1-51934774-44",0,"+",NA,"Distal Intergenic",1,51862645,51915978,53334,2,"17912","uc007axv.3",-18536,"ENSMUSG00000018417","Myo1b","myosin IB"
"57","chr8",31170190,31170434,245,"*","Merged-chr8-31170310-4",0,"+",NA,"Promoter (1-2kb)",8,31159468,31168724,9257,2,"67920","uc009lji.1",-1466,"ENSMUSG00000031578","Mak16","MAK16 homolog"
"58","chr6",54807380,54807900,521,"*","Merged-chr6-54807598-18",0,"+",NA,"Distal Intergenic",6,54816916,54890224,73309,1,"387524","uc009cae.2",-9016,"ENSMUSG00000058446","Znrf2","zinc and ring finger 2"
"59","chr13",115099404,115099657,254,"*","Merged-chr13-115099527-3",0,"+",NA,"Promoter (2-3kb)",13,115088355,115101964,13610,2,"105083","uc007ryd.2",2307,"ENSMUSG00000042275","Pelo","pelota mRNA surveillance and ribosome rescue factor"
"60","chr9",123807758,123808153,396,"*","Merged-chr9-123807942-4",0,"+",NA,"Promoter (1-2kb)",9,123806477,123811754,5278,1,"80901","uc033jnz.1",1281,"ENSMUSG00000048521","Cxcr6","chemokine (C-X-C motif) receptor 6"
"61","chr4",43970388,43970846,459,"*","Merged-chr4-43970605-19",0,"+",NA,"Exon (uc008srf.1/384009, exon 4 of 5)",4,43983504,43985533,2030,1,"442829","uc008srg.1",-12658,"ENSMUSG00000070999","Ccin","calicin"
"62","chr15",96497727,96498137,411,"*","Merged-chr15-96497899-21",0,"+",NA,"Distal Intergenic",15,96411698,96460843,49146,2,"72193","uc007xkf.1",-36884,"ENSMUSG00000033228","Scaf11","SR-related CTD-associated factor 11"
"63","chr10",21204432,21205010,579,"*","Merged-chr10-21204743-52",0,"+",NA,"Distal Intergenic",10,21186944,21188617,1674,1,"102636600","uc007eok.1",17488,"ENSMUSG00000111005","Gm33619","predicted gene, 33619"
"64","chr16",58543074,58543623,550,"*","Merged-chr16-58543350-40",0,"+",NA,"Distal Intergenic",16,58470541,58524246,53706,2,"54613","uc007znv.2",-18828,"ENSMUSG00000022747","St3gal6","ST3 beta-galactoside alpha-2,3-sialyltransferase 6"
"65","chr9",122191205,122191528,324,"*","Merged-chr9-122191366-2",0,"+",NA,"Intron (uc009ser.2/102566, intron 12 of 12)",9,122201339,122263789,62451,2,"102566","uc009seu.1",72261,"ENSMUSG00000037949","Ano10","anoctamin 10"
"66","chr1",138303143,138303699,557,"*","Merged-chr1-138303413-31",0,"+",NA,"Distal Intergenic",1,138273738,138289462,15725,1,"338375","uc007cvm.1",29405,"ENSMUSG00000026394","Atp6v1g3","ATPase, H+ transporting, lysosomal V1 subunit G3"
"67","chr19",5571797,5572407,611,"*","Merged-chr19-5572133-30",0,"+",NA,"Promoter (3-4kb)",19,5568074,5571261,3188,1,"381201","uc008gdw.1",3723,"ENSMUSG00000049562","Ap5b1","adaptor-related protein complex 5, beta 1 subunit"
"68","chr13",98832549,98832975,427,"*","Merged-chr13-98832743-37",0,"+",NA,"Distal Intergenic",13,98755568,98815449,59882,2,"218503","uc011zdl.2",-17100,"ENSMUSG00000041685","Fcho2","FCH domain only 2"
"69","chr10",117969871,117970187,317,"*","Merged-chr10-117970017-9",0,"+",NA,"Distal Intergenic",10,117925459,117948307,22849,1,"71067","uc029rfv.1",44412,"ENSMUSG00000112500","4933411E08Rik","RIKEN cDNA 4933411E08 gene"
"70","chr2",174519410,174519786,377,"*","Merged-chr2-174519588-9",0,"+",NA,"Distal Intergenic",2,174465091,174472941,7851,2,"66390","uc008ofg.1",-46469,"ENSMUSG00000016257","Prelid3b","PRELI domain containing 3B"
"71","chr1",173451352,173452412,1061,"*","Merged-chr1-173451815-42",0,"+",NA,"Promoter (2-3kb)",1,173455334,173462320,6987,1,"383619","uc033foc.2",-2922,"ENSMUSG00000037860","Aim2","absent in melanoma 2"
"72","chr10",116396349,116396665,317,"*","Merged-chr10-116396494-9",0,"+",NA,"Distal Intergenic",10,116418121,116421235,3115,1,"67342","uc007hbx.1",-21456,"ENSMUSG00000020164","Kcnmb4os1","potassium large conductance calcium-activated channel, subfamily M, beta member 4, opposite strand 1"
"73","chr10",96356977,96357672,696,"*","Merged-chr10-96357351-35",0,"+",NA,"Distal Intergenic",10,96226207,96248708,22502,1,"74881","uc033fsi.1",130770,"ENSMUSG00000112762","4930459C07Rik","RIKEN cDNA 4930459C07 gene"
