"","seqnames","start","end","width","strand","V4","V5","V6","V7","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr13",34914624,34915155,532,"*","Merged-chr13-34914852-26",0,"+",NA,"Promoter (1-2kb)",13,34909964,34916989,7026,2,"71864","uc007qbr.1",1834,"ENSMUSG00000021414","Fam217a","family with sequence similarity 217, member A"
"2","chr8",39114012,39114243,232,"*","Merged-chr8-39114127-2",0,"+",NA,"Intron (uc029wsp.1/80286, intron 4 of 5)",8,39005867,39165114,159248,1,"80286","uc029wso.2",108145,"ENSMUSG00000039530","Tusc3","tumor suppressor candidate 3"
"3","chr6",140707321,140707672,352,"*","Merged-chr6-140707496-2",0,"+",NA,"Distal Intergenic",6,140626885,140655481,28597,1,"11569","uc057byq.1",80436,"ENSMUSG00000030232","Aebp2","AE binding protein 2"
"4","chr17",28142262,28142501,240,"*","Merged-chr17-28142381-2",0,"+",NA,"Promoter (<=1kb)",17,28142526,28171345,28820,1,"268935","uc008bqd.1",-25,"ENSMUSG00000038677","Scube3","signal peptide, CUB domain, EGF-like 3"
"5","chr9",46025297,46025618,322,"*","Merged-chr9-46025474-7",0,"+",NA,"Intron (uc009pgz.2/70661, intron 1 of 24)",9,46012820,46224194,211375,1,"70661","uc009pgz.2",12477,"ENSMUSG00000034135","Sik3","SIK family kinase 3"
"6","chr3",138854262,138854795,534,"*","Merged-chr3-138854493-16",0,"+",NA,"Intron (uc008rnp.2/56224, intron 1 of 7)",3,138742208,138904433,162226,1,"56224","uc008rnq.2",112054,"ENSMUSG00000028152","Tspan5","tetraspanin 5"
"7","chr13",6652543,6652897,355,"*","Merged-chr13-6652733-20",0,"+",NA,"Promoter (3-4kb)",13,6619061,6648771,29711,2,"56421","uc007pkd.2",-3772,"ENSMUSG00000021196","Pfkp","phosphofructokinase, platelet"
"8","chr16",57421832,57422348,517,"*","Merged-chr16-57422160-30",0,"+",NA,"Intron (uc012agu.1/78749, intron 1 of 4)",16,57353277,57572804,219528,1,"78749","uc012agu.1",68555,"ENSMUSG00000043336","Filip1l","filamin A interacting protein 1-like"
"9","chr8",125667211,125667613,403,"*","Merged-chr8-125667402-39",0,"+",NA,"Promoter (2-3kb)",8,125669818,125673365,3548,1,"74393","uc009nyi.2",-2205,"ENSMUSG00000050930","Map10","microtubule-associated protein 10"
"10","chr5",96825737,96826236,500,"*","Merged-chr5-96826004-8",0,"+",NA,"3' UTR",5,96811050,96834906,23857,1,"11745","uc008yfn.1",14687,"ENSMUSG00000029484","Anxa3","annexin A3"
