"","seqnames","start","end","width","strand","V4","V5","V6","V7","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr8",125667211,125667613,403,"*","Merged-chr8-125667402-39",0,"+",NA,"Promoter (2-3kb)",8,125669818,125673365,3548,1,"74393","uc009nyi.2",-2205,"ENSMUSG00000050930","Map10","microtubule-associated protein 10"
"2","chr9",121602445,121602758,314,"*","Merged-chr9-121602588-5",0,"+",NA,"Intron (uc009sdj.2/75384, intron 2 of 3)",9,121587020,121614255,27236,1,"75384","uc009sdk.2",15425,"ENSMUSG00000084995","Lyzl4os","lysozyme-like 4, opposite strand"
"3","chr17",23616940,23617470,531,"*","Merged-chr17-23617236-49",0,"+",NA,"Distal Intergenic",17,23605505,23611019,5515,1,"332221","uc012alv.1",11435,"ENSMUSG00000023902","Zscan10","zinc finger and SCAN domain containing 10"
"4","chr3",81489073,81489980,908,"*","Merged-chr3-81489616-14",0,"+",NA,"Distal Intergenic",3,81802025,81805161,3137,1,"320566","uc008pol.1",-312045,"ENSMUSG00000103695","A830029E22Rik","RIKEN cDNA A830029E22 gene"
"5","chr7",110796551,110796954,404,"*","Merged-chr7-110796753-46",0,"+",NA,"Intron (uc009jfl.3/11717, intron 6 of 14)",7,110772604,110812409,39806,1,"11717","uc009jfn.3",23947,"ENSMUSG00000005686","Ampd3","adenosine monophosphate deaminase 3"
"6","chr13",108667104,108667450,347,"*","Merged-chr13-108667281-5",0,"+",NA,"Intron (uc007rvg.2/238871, intron 1 of 16)",13,108654105,109955969,1301865,1,"238871","uc007rvg.2",12999,"ENSMUSG00000021699","Pde4d","phosphodiesterase 4D, cAMP specific"
"7","chr4",59336127,59336333,207,"*","Merged-chr4-59336230-3",0,"+",NA,"Intron (uc012dew.1/634731, intron 12 of 16)",4,59331957,59362980,31024,2,"634731","uc008szu.1",26647,"ENSMUSG00000038578","Susd1","sushi domain containing 1"
"8","chr16",45763795,45764288,494,"*","Merged-chr16-45763997-18",0,"+",NA,"Intron (uc012agi.3/208177, intron 7 of 12)",16,45729725,45742955,13231,2,"213012","uc007ziz.2",-20840,"ENSMUSG00000033157","Abhd10","abhydrolase domain containing 10"
"9","chr2",65413755,65414644,890,"*","Merged-chr2-65414267-82",0,"+",NA,"Distal Intergenic",2,65364296,65364400,105,2,"102466151","uc033hnd.1",-49355,"ENSMUSG00000099184","Mir6337","microRNA 6337"
"10","chr1",108038332,108038731,400,"*","Merged-chr1-108038539-17",0,"+",NA,"Distal Intergenic",1,107917259,107950947,33689,1,"319596","uc011wqh.1",121073,"ENSMUSG00000100457","D830032E09Rik","RIKEN cDNA D830032E09 gene"
"11","chr16",96680250,96680634,385,"*","Merged-chr16-96680441-2",0,"+",NA,"Intron (uc008add.2/13508, intron 18 of 32)",16,96592079,96622824,30746,2,"13508","uc012aiy.2",-57426,"ENSMUSG00000050272","Dscam","DS cell adhesion molecule"
