"","seqnames","start","end","width","strand","V4","V5","V6","V7","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr2",59881441,59881765,325,"*","Merged-chr2-59881585-6",0,"+",NA,"Promoter (<=1kb)",2,59878130,59882512,4383,2,"72137","uc008jtq.1",747,"ENSMUSG00000026988","Wdsub1","WD repeat, SAM and U-box domain containing 1"
"2","chr1",108038332,108038731,400,"*","Merged-chr1-108038539-17",0,"+",NA,"Distal Intergenic",1,107917259,107950947,33689,1,"319596","uc011wqh.1",121073,"ENSMUSG00000100457","D830032E09Rik","RIKEN cDNA D830032E09 gene"
"3","chr1",34478782,34479350,569,"*","Merged-chr1-34479093-40",0,"+",NA,"Intron (uc007aou.1/uc007aou.1, intron 4 of 4)",1,34472736,34475733,2998,1,"19253","uc007aot.4",6046,"ENSMUSG00000026126","Ptpn18","protein tyrosine phosphatase, non-receptor type 18"
"4","chr12",33109520,33109935,416,"*","Merged-chr12-33109714-15",0,"+",NA,"Downstream (1-2kb)",12,33033796,33092875,59080,2,"68764","uc007nij.1",-16645,"ENSMUSG00000035860","Cdhr3","cadherin-related family member 3"
"5","chr10",127176043,127176242,200,"*","Merged-chr10-127176142-1",0,"+",NA,"Promoter (4-5kb)",10,127172426,127180645,8220,2,"216441","uc033fsy.1",4403,"ENSMUSG00000040441","Slc26a10","solute carrier family 26, member 10"
"6","chr17",50132693,50132892,200,"*","Merged-chr17-50132792-1",0,"+",NA,"Intron (uc008cyr.1/76438, intron 2 of 9)",17,49993307,50190497,197191,2,"76438","uc008cyr.1",57605,"ENSMUSG00000039316","Rftn1","raftlin lipid raft linker 1"
"7","chr9",45241408,45241798,391,"*","Merged-chr9-45241570-21",0,"+",NA,"Exon (uc009pfl.2/408059, exon 2 of 5)",9,45266643,45266707,65,2,"102466803","uc033jkc.1",24909,"ENSMUSG00000098361","Mir7086","microRNA 7086"
"8","chr2",71809800,71810391,592,"*","Merged-chr2-71810145-53",0,"+",NA,"Intron (uc008kbb.2/16403, intron 1 of 3)",2,71825509,71852635,27127,1,"16403","uc008kbe.1",-15118,"ENSMUSG00000027111","Itga6","integrin alpha 6"
"9","chr9",96354005,96354204,200,"*","Merged-chr9-96354104-1",0,"+",NA,"Intron (uc009rck.3/11933, intron 1 of 6)",9,96332673,96364299,31627,2,"11933","uc009rck.3",10095,"ENSMUSG00000032412","Atp1b3","ATPase, Na+/K+ transporting, beta 3 polypeptide"
"10","chr7",133709718,133709917,200,"*","Merged-chr7-133709817-1",0,"+",NA,"Promoter (<=1kb)",7,133709333,133721145,11813,1,"66165","uc009kdi.1",385,"ENSMUSG00000030983","Bccip","BRCA2 and CDKN1A interacting protein"
"11","chr10",42848322,42848521,200,"*","Merged-chr10-42848421-1",0,"+",NA,"Distal Intergenic",10,42860512,42960782,100271,1,"268297","uc007eza.2",-11991,"ENSMUSG00000044770","Scml4","Scm polycomb group protein like 4"
"12","chr3",87960810,87961206,397,"*","Merged-chr3-87960988-36",0,"+",NA,"Distal Intergenic",3,87971093,87973391,2299,1,"18008","uc008ptl.1",-9887,"ENSMUSG00000004891","Nes","nestin"
"13","chr19",24526520,24526913,394,"*","Merged-chr19-24526716-2",0,"+",NA,"Intron (uc008hap.1/18719, intron 1 of 14)",19,24294796,24555827,261032,2,"18719","uc008hap.1",28914,"ENSMUSG00000024867","Pip5k1b","phosphatidylinositol-4-phosphate 5-kinase, type 1 beta"
"14","chr11",85564124,85564474,351,"*","Merged-chr11-85564330-12",0,"+",NA,"Intron (uc007krp.2/192197, intron 20 of 23)",11,85640704,85826058,185355,1,"192197","uc007kru.2",-76230,"ENSMUSG00000059439","Bcas3","breast carcinoma amplified sequence 3"
"15","chr15",102381737,102381961,225,"*","Merged-chr15-102381845-3",0,"+",NA,"Distal Intergenic",15,102357177,102366968,9792,2,"170574","uc007xvn.1",-14769,"ENSMUSG00000060284","Sp7","Sp7 transcription factor 7"
"16","chr3",143936409,143936811,403,"*","Merged-chr3-143936594-7",0,"+",NA,"Distal Intergenic",3,143670892,143712143,41252,2,"621809","uc008rpj.1",-224266,"ENSMUSG00000105279","Gm6260","predicted gene 6260"
"17","chr15",84854810,84855009,200,"*","Merged-chr15-84854909-1",0,"+",NA,"Promoter (<=1kb)",15,84785376,84855099,69724,2,"271305","uc007xcm.2",90,"ENSMUSG00000016624","Phf21b","PHD finger protein 21B"
"18","chr10",80827008,80827207,200,"*","Merged-chr10-80827107-1",0,"+",NA,"Promoter (<=1kb)",10,80826656,80829290,2635,1,"18245","uc056yhp.1",352,"ENSMUSG00000035242","Oaz1","ornithine decarboxylase antizyme 1"
"19","chr7",80032416,80032620,205,"*","Merged-chr7-80032517-2",0,"+",NA,"Intron (uc009hzi.2/209225, intron 1 of 5)",7,80026228,80092751,66524,1,"209225","uc009hzl.2",6188,"ENSMUSG00000048897","Zfp710","zinc finger protein 710"
"20","chr17",24162565,24162764,200,"*","Merged-chr17-24162664-1",0,"+",NA,"Promoter (<=1kb)",17,24155833,24163733,7901,2,"245847","uc008aum.1",969,"ENSMUSG00000036820","Amdhd2","amidohydrolase domain containing 2"
"21","chr14",121936377,121936576,200,"*","Merged-chr14-121936476-1",0,"+",NA,"Intron (uc007vao.1/68889, intron 4 of 8)",14,121911434,121915774,4341,2,"110168","uc007vap.1",-20603,"ENSMUSG00000050350","Gpr18","G protein-coupled receptor 18"
"22","chr9",85119095,85119294,200,"*","Merged-chr9-85119194-1",0,"+",NA,"Distal Intergenic",9,85320439,85327124,6686,2,"212943","uc012gxn.1",207830,"ENSMUSG00000032265","Tent5a","terminal nucleotidyltransferase 5A"
"23","chr2",17741002,17741201,200,"*","Merged-chr2-17741101-1",0,"+",NA,"Distal Intergenic",2,17346734,17731068,384335,2,"74103","uc008ila.1",-9934,"ENSMUSG00000053702","Nebl","nebulette"
