"","seqnames","start","end","width","strand","V4","V5","V6","V7","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr13",51676831,51677336,506,"*","Merged-chr13-51677073-51",0,"+",NA,"Promoter (2-3kb)",13,51673865,51684044,10180,1,"75420","uc007qmm.2",2966,"ENSMUSG00000035139","Secisbp2","SECIS binding protein 2"
"2","chr12",85660857,85661337,481,"*","Merged-chr12-85661084-38",0,"+",NA,"Distal Intergenic",12,85686720,85709087,22368,1,"53314","uc007ohd.1",-25383,"ENSMUSG00000034266","Batf","basic leucine zipper transcription factor, ATF-like"
"3","chr12",102725533,102726152,620,"*","Merged-chr12-102725794-51",0,"+",NA,"Distal Intergenic",12,102739830,102743661,3832,2,"64113","uc011yqo.2",17509,"ENSMUSG00000096458","Moap1","modulator of apoptosis 1"
"4","chr6",100879433,100879906,474,"*","Merged-chr6-100879682-24",0,"+",NA,"Distal Intergenic",6,100852485,100868717,16233,1,"232314","uc009dcc.1",26948,"ENSMUSG00000052144","Ppp4r2","protein phosphatase 4, regulatory subunit 2"
"5","chr15",61538916,61539388,473,"*","Merged-chr15-61539170-27",0,"+",NA,"Intron (uc007vye.1/432956, intron 3 of 3)",15,61534676,61739217,204542,2,"432956","uc007vye.1",199829,"ENSMUSG00000116031","D030024E09Rik","RIKEN cDNA D030024E09 gene"
"6","chr19",17263895,17264413,519,"*","Merged-chr19-17264155-12",0,"+",NA,"Distal Intergenic",19,17326141,17339505,13365,2,"14537","uc012bjg.2",75092,"ENSMUSG00000038843","Gcnt1","glucosaminyl (N-acetyl) transferase 1, core 2"
"7","chr10",118050240,118050648,409,"*","Merged-chr10-118050458-52",0,"+",NA,"Distal Intergenic",10,118141787,118148139,6353,1,"17245","uc007hds.2",-91139,"ENSMUSG00000020212","Mdm1","transformed mouse 3T3 cell double minute 1"
"8","chr8",87958272,87959266,995,"*","Merged-chr8-87958879-43",0,"+",NA,"Promoter (<=1kb)",8,87661810,87959595,297786,2,"94187","uc009mqv.1",329,"ENSMUSG00000045333","Zfp423","zinc finger protein 423"
"9","chr14",9089808,9090262,455,"*","Merged-chr14-9090049-14",0,"+",NA,"Distal Intergenic",14,8666390,8673378,6989,1,"74859","uc007sfi.1",423418,"ENSMUSG00000097898","4930455B14Rik","RIKEN cDNA 4930455B14 gene"
"10","chr13",6652543,6652897,355,"*","Merged-chr13-6652733-20",0,"+",NA,"Promoter (3-4kb)",13,6619061,6648771,29711,2,"56421","uc007pkd.2",-3772,"ENSMUSG00000021196","Pfkp","phosphofructokinase, platelet"
"11","chr16",57421832,57422348,517,"*","Merged-chr16-57422160-30",0,"+",NA,"Intron (uc012agu.1/78749, intron 1 of 4)",16,57353277,57572804,219528,1,"78749","uc012agu.1",68555,"ENSMUSG00000043336","Filip1l","filamin A interacting protein 1-like"
"12","chr2",163123596,163123997,402,"*","Merged-chr2-163123770-16",0,"+",NA,"Intron (uc008nsn.1/uc008nsn.1, intron 1 of 1)",2,163087031,163089601,2571,2,"68236","uc008nsm.1",-33995,"ENSMUSG00000070708","Gtsf1l","gametocyte specific factor 1-like"
"13","chr6",17633899,17634204,306,"*","Merged-chr6-17634029-17",0,"+",NA,"Promoter (2-3kb)",6,17637098,17659609,22512,1,"12343","uc009azs.1",-2894,"ENSMUSG00000015733","Capza2","capping protein (actin filament) muscle Z-line, alpha 2"
"14","chr2",164544702,164545099,398,"*","Merged-chr2-164544892-36",0,"+",NA,"Distal Intergenic",2,164550530,164559730,9201,1,"670507","uc008nvd.1",-5431,NA,"Gm14317","predicted gene 14317"
"15","chr16",57571749,57572310,562,"*","Merged-chr16-57572005-26",0,"+",NA,"Exon (uc012agu.1/78749, exon 5 of 5)",16,57549242,57572804,23563,1,"78749","uc007znj.2",22507,"ENSMUSG00000043336","Filip1l","filamin A interacting protein 1-like"
"16","chr5",35813562,35813935,374,"*","Merged-chr5-35813752-8",0,"+",NA,"Intron (uc008xeg.2/231148, intron 6 of 19)",5,35757880,35884979,127100,1,"231148","uc033ijc.1",55682,"ENSMUSG00000029095","Ablim2","actin-binding LIM protein 2"
"17","chr3",37292651,37293070,420,"*","Merged-chr3-37292848-26",0,"+",NA,"Distal Intergenic",3,37308627,37310439,1813,2,"207175","uc008pal.1",17369,"ENSMUSG00000045031","Cetn4","centrin 4"
"18","chr2",70118614,70119177,564,"*","Merged-chr2-70118902-52",0,"+",NA,"Intron (uc008jzd.2/329421, intron 7 of 34)",2,70096298,70183266,86969,1,"329421","uc008jze.1",22316,"ENSMUSG00000042064","Myo3b","myosin IIIB"
"19","chr5",149202880,149203516,637,"*","Merged-chr5-149203183-18",0,"+",NA,"Intron (uc009apg.2/231915, intron 6 of 8)",5,149191336,149215434,24099,1,"231915","uc009apn.1",11544,"ENSMUSG00000041264","Uspl1","ubiquitin specific peptidase like 1"
"20","chr16",93392059,93392496,438,"*","Merged-chr16-93392289-32",0,"+",NA,"Distal Intergenic",16,93369720,93369816,97,1,"791074","uc012aio.1",22339,"ENSMUSG00000076457","Mir802","microRNA 802"
"21","chr2",69003000,69003319,320,"*","Merged-chr2-69003152-17",0,"+",NA,"Intron (uc008jxs.1/241447, intron 4 of 9)",2,69135800,69189330,53531,1,"329416","uc008jxt.3",-132481,"ENSMUSG00000034738","Nostrin","nitric oxide synthase trafficker"
"22","chr4",107652699,107653170,472,"*","Merged-chr4-107652939-20",0,"+",NA,"Distal Intergenic",4,107676290,107683577,7288,2,"56296","uc008tzx.2",30407,"ENSMUSG00000028610","Dmrtb1","DMRT-like family B with proline-rich C-terminal, 1"
"23","chr9",111495543,111496180,638,"*","Merged-chr9-111495876-23",0,"+",NA,"Distal Intergenic",9,111439081,111489611,50531,1,"245038","uc009rvv.2",56462,"ENSMUSG00000032500","Dclk3","doublecortin-like kinase 3"
"24","chr4",11090736,11091058,323,"*","Merged-chr4-11090900-12",0,"+",NA,"Distal Intergenic",4,11071393,11076205,4813,2,"76947","uc008ryy.2",-14531,"ENSMUSG00000050323","Ndufaf6","NADH:ubiquinone oxidoreductase complex assembly factor 6"
"25","chr7",112136610,112137009,400,"*","Merged-chr7-112136797-13",0,"+",NA,"Intron (uc009jgi.1/50781, intron 3 of 6)",7,112121590,112150748,29159,2,"50781","uc009jgk.1",13739,"ENSMUSG00000030772","Dkk3","dickkopf WNT signaling pathway inhibitor 3"
