"","seqnames","start","end","width","strand","V4","V5","V6","V7","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr13",34914624,34915155,532,"*","Merged-chr13-34914852-26",0,"+",NA,"Promoter (1-2kb)",13,34909964,34916989,7026,2,"71864","uc007qbr.1",1834,"ENSMUSG00000021414","Fam217a","family with sequence similarity 217, member A"
"2","chr11",63146591,63146990,400,"*","Merged-chr11-63146790-18",0,"+",NA,"Intron (uc056yli.1/18858, intron 3 of 4)",11,63132803,63159547,26745,1,"18858","uc056yln.1",13788,"ENSMUSG00000018217","Pmp22","peripheral myelin protein 22"
"3","chr7",67353051,67353256,206,"*","Merged-chr7-67353153-2",0,"+",NA,"Intron (uc009hif.3/17258, intron 1 of 11)",7,67231163,67372858,141696,2,"17258","uc009hif.3",19602,"ENSMUSG00000030557","Mef2a","myocyte enhancer factor 2A"
"4","chr8",39114012,39114243,232,"*","Merged-chr8-39114127-2",0,"+",NA,"Intron (uc029wsp.1/80286, intron 4 of 5)",8,39005867,39165114,159248,1,"80286","uc029wso.2",108145,"ENSMUSG00000039530","Tusc3","tumor suppressor candidate 3"
"5","chr6",140707321,140707672,352,"*","Merged-chr6-140707496-2",0,"+",NA,"Distal Intergenic",6,140626885,140655481,28597,1,"11569","uc057byq.1",80436,"ENSMUSG00000030232","Aebp2","AE binding protein 2"
"6","chr14",9089808,9090262,455,"*","Merged-chr14-9090049-14",0,"+",NA,"Distal Intergenic",14,8666390,8673378,6989,1,"74859","uc007sfi.1",423418,"ENSMUSG00000097898","4930455B14Rik","RIKEN cDNA 4930455B14 gene"
"7","chr13",6652543,6652897,355,"*","Merged-chr13-6652733-20",0,"+",NA,"Promoter (3-4kb)",13,6619061,6648771,29711,2,"56421","uc007pkd.2",-3772,"ENSMUSG00000021196","Pfkp","phosphofructokinase, platelet"
"8","chr12",100282306,100282795,490,"*","Merged-chr12-100282510-28",0,"+",NA,"Intron (uc029rxj.1/100038713, intron 1 of 3)",12,100276609,100300908,24300,1,"100038713","uc029rxj.1",5697,"ENSMUSG00000113679","Gm10432","predicted gene 10432"
"9","chr16",57421832,57422348,517,"*","Merged-chr16-57422160-30",0,"+",NA,"Intron (uc012agu.1/78749, intron 1 of 4)",16,57353277,57572804,219528,1,"78749","uc012agu.1",68555,"ENSMUSG00000043336","Filip1l","filamin A interacting protein 1-like"
"10","chr8",125667211,125667613,403,"*","Merged-chr8-125667402-39",0,"+",NA,"Promoter (2-3kb)",8,125669818,125673365,3548,1,"74393","uc009nyi.2",-2205,"ENSMUSG00000050930","Map10","microtubule-associated protein 10"
"11","chr5",96825737,96826236,500,"*","Merged-chr5-96826004-8",0,"+",NA,"3' UTR",5,96811050,96834906,23857,1,"11745","uc008yfn.1",14687,"ENSMUSG00000029484","Anxa3","annexin A3"
"12","chr2",163123596,163123997,402,"*","Merged-chr2-163123770-16",0,"+",NA,"Intron (uc008nsn.1/uc008nsn.1, intron 1 of 1)",2,163087031,163089601,2571,2,"68236","uc008nsm.1",-33995,"ENSMUSG00000070708","Gtsf1l","gametocyte specific factor 1-like"
"13","chr19",33265097,33265673,577,"*","Merged-chr19-33265390-26",0,"+",NA,"Intron (uc008hft.3/67795, intron 4 of 6)",19,33157112,33157201,90,1,"100628575","uc056zie.1",107985,"ENSMUSG00000106278","Mir3970","microRNA 3970"
"14","chr2",70118614,70119177,564,"*","Merged-chr2-70118902-52",0,"+",NA,"Intron (uc008jzd.2/329421, intron 7 of 34)",2,70096298,70183266,86969,1,"329421","uc008jze.1",22316,"ENSMUSG00000042064","Myo3b","myosin IIIB"
"15","chr3",123083968,123084451,484,"*","Merged-chr3-123084162-14",0,"+",NA,"Intron (uc012cxa.1/118449, intron 4 of 4)",3,123024043,123034987,10945,2,"59006","uc008rff.2",-48981,"ENSMUSG00000028116","Myoz2","myozenin 2"
"16","chr3",15228404,15229039,636,"*","Merged-chr3-15228808-12",0,"+",NA,"Distal Intergenic",3,15296551,15332302,35752,2,"751864","uc008oqv.1",103263,"ENSMUSG00000078783","Gm9733","predicted gene 9733"
"17","chr5",149202880,149203516,637,"*","Merged-chr5-149203183-18",0,"+",NA,"Intron (uc009apg.2/231915, intron 6 of 8)",5,149191336,149215434,24099,1,"231915","uc009apn.1",11544,"ENSMUSG00000041264","Uspl1","ubiquitin specific peptidase like 1"
"18","chrX",17521037,17521699,663,"*","Merged-chrX-17521323-26",0,"+",NA,"Distal Intergenic",20,17555600,17571641,16042,2,"72018","uc009ssf.2",49942,"ENSMUSG00000025040","Fundc1","FUN14 domain containing 1"
