"","seqnames","start","end","width","strand","V4","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr8",119436961,119437356,396,"*","Merged-chr8-119437136-21","Promoter (<=1kb)",8,119437162,119446256,9095,1,"71839","uc009npp.1",0,"ENSMUSG00000074063","Osgin1","oxidative stress induced growth inhibitor 1"
"2","chr2",127131271,127131737,467,"*","Merged-chr2-127131488-25","Promoter (2-3kb)",2,127103809,127133954,30146,2,"215387","uc008met.3",2217,"ENSMUSG00000034906","Ncaph","non-SMC condensin I complex, subunit H"
"3","chr3",100436773,100437194,422,"*","Merged-chr3-100436966-50","Intron (uc008qqt.2/73806, intron 2 of 2)",3,100426405,100437754,11350,1,"73806","uc008qqt.2",10368,"ENSMUSG00000086923","4930406D18Rik","RIKEN cDNA 4930406D18 gene"
"4","chr11",109434335,109435025,691,"*","Merged-chr11-109434619-26","Exon (uc007mch.1/13929, exon 8 of 9)",11,109440078,109453359,13282,1,"100503496","uc007mck.2",-5053,NA,"Gm45916","predicted gene, 45916"
"5","chr1",119636813,119637248,436,"*","Merged-chr1-119636990-21","Intron (uc007ciw.2/226352, intron 2 of 24)",1,119594824,119648617,53794,2,"226352","uc007cix.2",11369,"ENSMUSG00000026383","Epb41l5","erythrocyte membrane protein band 4.1 like 5"
"6","chr13",5769675,5770071,397,"*","Merged-chr13-5769839-23","Distal Intergenic",13,5855509,5858092,2584,2,"71867","uc007pjv.1",88021,"ENSMUSG00000100625","1700016G22Rik","RIKEN cDNA 1700016G22 gene"
"7","chr1",192752683,192753709,1027,"*","Merged-chr1-192753229-57","Intron (uc007edp.2/226861, intron 2 of 11)",1,192512828,192771219,258392,2,"226861","uc007edp.2",17510,"ENSMUSG00000037375","Hhat","hedgehog acyltransferase"
"8","chr7",131549273,131549471,199,"*","Merged-chr7-131549371-1","Promoter (<=1kb)",7,131548773,131556582,7810,1,"15372","uc057lvl.1",500,"ENSMUSG00000050100","Hmx2","H6 homeobox 2"
"9","chrX",101737145,101737881,737,"*","Merged-chrX-101737471-46","Promoter (2-3kb)",20,101731535,101734147,2613,2,"12766","uc009tye.2",-2998,"ENSMUSG00000050232","Cxcr3","chemokine (C-X-C motif) receptor 3"
"10","chr13",63253199,63253586,388,"*","Merged-chr13-63253382-4","Intron (uc007qxj.2/72061, intron 13 of 16)",13,63240029,63326096,86068,1,"72061","uc033gmh.1",13170,"ENSMUSG00000021458","2010111I01Rik","RIKEN cDNA 2010111I01 gene"
"11","chr2",32714895,32715475,581,"*","Merged-chr2-32715137-51","Promoter (1-2kb)",2,32712900,32712972,73,2,"100628606","uc029twr.1",-1923,"ENSMUSG00000105841","Mir3960","microRNA 3960"
"12","chr13",45865669,45866056,388,"*","Merged-chr13-45865819-22","Intron (uc011yyv.3/20238, intron 2 of 7)",13,45549755,45964991,415237,2,"20238","uc011yyv.3",98935,"ENSMUSG00000046876","Atxn1","ataxin 1"
"13","chr17",8190028,8190974,947,"*","Merged-chr17-8190546-24","Intron (uc008ajb.2/75296, intron 9 of 11)",17,8165518,8196470,30953,1,"75296","uc008ajc.2",24510,"ENSMUSG00000069135","Fgfr1op","Fgfr1 oncogene partner"
"14","chr8",106948813,106949255,443,"*","Merged-chr8-106949012-29","Intron (uc009ngt.1/20650, intron 1 of 6)",8,106935750,107014192,78443,1,"20650","uc012gjx.1",13063,"ENSMUSG00000041308","Sntb2","syntrophin, basic 2"
"15","chr7",112094918,112095322,405,"*","Merged-chr7-112095114-21","Intron (uc009jgg.2/74996, intron 20 of 27)",7,112121590,112150748,29159,2,"50781","uc009jgk.1",55426,"ENSMUSG00000030772","Dkk3","dickkopf WNT signaling pathway inhibitor 3"
