#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR152--MA0463.1.Bcl6	chr1	175672120	175672133	-	0.000	0.000	Merged-chr1-175671979-22
NR1053--MA0463.1.Bcl6	chr2	11170163	11170176	-	0.000	0.000	Merged-chr2-11170102-28
NR170--MA0463.1.Bcl6	chr1	184751347	184751360	+	0.000	0.000	Merged-chr1-184751461-18
NR1271--MA0731.1.BCL6B	chr3	67573297	67573313	+	0.000	0.000	Merged-chr3-67573176-41
NR2048--MA0731.1.BCL6B	chr9	75209477	75209493	+	0.000	0.000	Merged-chr9-75209368-16
NR1725--MA0463.1.Bcl6	chr6	127240322	127240335	+	0.000	0.000	Merged-chr6-127240470-92
NR721--MA0463.1.Bcl6	chr15	6622717	6622730	-	0.000	0.000	Merged-chr15-6622657-10
NR30--MA0731.1.BCL6B	chr1	69498973	69498989	+	0.000	0.000	Merged-chr1-69499196-51
NR1011--MA0731.1.BCL6B	chr19	5273246	5273262	-	0.000	0.000	Merged-chr19-5273188-67
NR1873--MA0463.1.Bcl6	chr7	130533444	130533457	-	0.000	0.000	Merged-chr7-130533557-34
NR726--MA0463.1.Bcl6	chr15	10486030	10486043	-	0.000	0.000	Merged-chr15-10486107-67
NR1818--MA0731.1.BCL6B	chr7	92165372	92165388	-	0.000	0.000	Merged-chr7-92165181-43
NR1590--MA0731.1.BCL6B	chr5	99248700	99248716	+	0.000	0.000	Merged-chr5-99248675-23
NR1656--MA0731.1.BCL6B	chr6	41541645	41541661	-	0.000	0.000	Merged-chr6-41541875-48
NR1775--MA0463.1.Bcl6	chr7	31131019	31131032	-	0.000	0.000	Merged-chr7-31131054-34
NR1560--MA0463.1.Bcl6	chr5	64360596	64360609	+	0.000	0.000	Merged-chr5-64360756-39
NR1314--MA0463.1.Bcl6	chr3	107062570	107062583	+	0.000	0.000	Merged-chr3-107062583-69
NR38--MA0463.1.Bcl6	chr1	80855201	80855214	+	0.000	0.000	Merged-chr1-80855392-26
NR1565--MA0463.1.Bcl6	chr5	72161046	72161059	+	0.000	0.000	Merged-chr5-72161207-53
NR1677--MA0463.1.Bcl6	chr6	84617231	84617244	-	0.000	0.000	Merged-chr6-84617241-46
NR724--MA0731.1.BCL6B	chr15	9435904	9435920	-	0.000	0.000	Merged-chr15-9435954-24
NR671--MA0731.1.BCL6B	chr14	55604120	55604136	+	0.000	0.000	Merged-chr14-55604128-61
NR105--MA0463.1.Bcl6	chr1	152287779	152287792	-	0.000	0.000	Merged-chr1-152287912-60
NR1485--MA0463.1.Bcl6	chr4	136082046	136082059	-	0.000	0.000	Merged-chr4-136081901-45
NR338--MA0463.1.Bcl6	chr11	67010719	67010732	-	0.000	0.000	Merged-chr11-67010576-15
NR1597--MA0463.1.Bcl6	chr5	104022046	104022059	+	0.000	0.000	Merged-chr5-104021929-50
NR1226--MA0731.1.BCL6B	chr2	169061909	169061925	-	0.000	0.000	Merged-chr2-169061680-26
NR235--MA0463.1.Bcl6	chr10	76835918	76835931	+	0.000	0.000	Merged-chr10-76835846-46
NR356--MA0463.1.Bcl6	chr11	80302874	80302887	+	0.000	0.000	Merged-chr11-80302747-27
