#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR6139--MA1104.1.GATA6	chrX	160766222	160766234	+	0.000	0.000	Merged-chrX-160766177-60
NR3288--MA0035.3.Gata1	chr2	121457052	121457062	+	0.000	0.000	Merged-chr2-121457132-54
NR3197--MA0766.1.GATA5	chr2	92192029	92192036	+	0.000	0.000	Merged-chr2-92192158-30
NR345--MA0140.2.GATA1::TAL1	chr1	164972974	164972991	+	0.000	0.000	Merged-chr1-164973033-32
NR755--MA0766.1.GATA5	chr10	118172705	118172712	-	0.000	0.000	Merged-chr10-118172658-46
NR989--MA0140.2.GATA1::TAL1	chr11	88204227	88204244	+	0.000	0.000	Merged-chr11-88204255-77
NR5348--MA0035.3.Gata1	chr7	143649722	143649732	+	0.000	0.000	Merged-chr7-143649559-54
NR2662--MA0482.1.Gata4	chr18	54986978	54986988	-	0.000	0.000	Merged-chr18-54986948-23
NR5518--MA0036.3.GATA2	chr8	110859814	110859824	+	0.000	0.000	Merged-chr8-110860019-49
NR2933--MA0482.1.Gata4	chr19	55860147	55860157	-	0.000	0.000	Merged-chr19-55860279-23
NR4993--MA0036.3.GATA2	chr7	15930171	15930181	+	0.000	0.000	Merged-chr7-15930108-23
NR5798--MA0140.2.GATA1::TAL1	chr9	80057985	80058002	+	0.000	0.000	Merged-chr9-80057847-17
NR660--MA0482.1.Gata4	chr10	93228774	93228784	-	0.000	0.000	Merged-chr10-93228796-6
NR1850--MA0766.1.GATA5	chr14	78436108	78436115	+	0.000	0.000	Merged-chr14-78436014-44
NR312--MA0482.1.Gata4	chr1	155784598	155784608	-	0.000	0.000	Merged-chr1-155784753-78
NR4329--MA0037.3.GATA3	chr5	90612256	90612263	+	0.000	0.000	Merged-chr5-90612116-89
NR2378--MA0037.3.GATA3	chr17	6079941	6079948	+	0.000	0.000	Merged-chr17-6079781-61
NR743--MA1104.1.GATA6	chr10	116664335	116664347	+	0.000	0.000	Merged-chr10-116664420-26
NR2827--MA0035.3.Gata1	chr19	9899582	9899592	+	0.000	0.000	Merged-chr19-9899505-60
NR4340--MA0036.3.GATA2	chr5	91814608	91814618	+	0.000	0.000	Merged-chr5-91814561-31
NR4611--MA0036.3.GATA2	chr6	32158580	32158590	+	0.000	0.000	Merged-chr6-32158498-25
NR5117--MA0036.3.GATA2	chr7	72339698	72339708	+	0.000	0.000	Merged-chr7-72339570-17
NR2711--MA1104.1.GATA6	chr18	67768396	67768408	-	0.000	0.000	Merged-chr18-67768535-29
NR5199--MA0035.3.Gata1	chr7	101504103	101504113	+	0.000	0.000	Merged-chr7-101503907-73
NR4202--MA0035.3.Gata1	chr4	156235719	156235729	-	0.000	0.000	Merged-chr4-156235547-2
NR1890--MA0140.2.GATA1::TAL1	chr14	103017227	103017244	-	0.000	0.000	Merged-chr14-103017290-44
NR27--MA0036.3.GATA2	chr1	36920486	36920496	+	0.000	0.000	Merged-chr1-36920402-81
NR5165--MA0035.3.Gata1	chr7	90218186	90218196	+	0.000	0.000	Merged-chr7-90218311-11
NR2944--MA0036.3.GATA2	chr2	6522773	6522783	-	0.000	0.000	Merged-chr2-6522633-5
NR3036--MA0036.3.GATA2	chr2	31186088	31186098	+	0.000	0.000	Merged-chr2-31186156-11
NR2012--MA0035.3.Gata1	chr15	58595044	58595054	-	0.000	0.000	Merged-chr15-58595150-15
NR2678--MA0035.3.Gata1	chr18	56888876	56888886	+	0.000	0.000	Merged-chr18-56889017-47
NR543--MA0482.1.Gata4	chr10	45132511	45132521	-	0.000	0.000	Merged-chr10-45132499-25
NR128--MA0766.1.GATA5	chr1	85981822	85981829	+	0.000	0.000	Merged-chr1-85981995-4
NR5224--MA1104.1.GATA6	chr7	113419584	113419596	+	0.000	0.000	Merged-chr7-113419557-35
NR1388--MA1104.1.GATA6	chr13	8457039	8457051	-	0.000	0.000	Merged-chr13-8457184-81
NR1337--MA0482.1.Gata4	chr12	116177228	116177238	+	0.000	0.000	Merged-chr12-116177118-24
NR3273--MA0037.3.GATA3	chr2	118759912	118759919	-	0.000	0.000	Merged-chr2-118759977-35
NR227--MA0036.3.GATA2	chr1	126748149	126748159	-	0.000	0.000	Merged-chr1-126748091-24
NR393--MA0140.2.GATA1::TAL1	chr1	176281460	176281477	+	0.000	0.000	Merged-chr1-176281638-1
NR2501--MA0035.3.Gata1	chr17	44718329	44718339	-	0.000	0.000	Merged-chr17-44718379-50
NR827--MA0482.1.Gata4	chr11	11522201	11522211	-	0.000	0.000	Merged-chr11-11522120-49
NR4071--MA0766.1.GATA5	chr4	126103849	126103856	-	0.000	0.000	Merged-chr4-126103759-104
NR2703--MA1104.1.GATA6	chr18	66502125	66502137	+	0.000	0.000	Merged-chr18-66502099-22
NR936--MA0482.1.Gata4	chr11	72550344	72550354	+	0.000	0.000	Merged-chr11-72550348-34
NR3209--MA1104.1.GATA6	chr2	98665145	98665157	+	0.000	0.000	Merged-chr2-98665090-39
NR546--MA0035.3.Gata1	chr10	45132512	45132522	-	0.000	0.000	Merged-chr10-45132499-25
NR2981--MA0482.1.Gata4	chr2	13760571	13760581	-	0.000	0.000	Merged-chr2-13760550-51
NR2862--MA0035.3.Gata1	chr19	29355579	29355589	-	0.000	0.000	Merged-chr19-29355447-56
NR5694--MA0037.3.GATA3	chr9	41118252	41118259	+	0.000	0.000	Merged-chr9-41118206-38
NR6060--MA0035.3.Gata1	chrX	11753197	11753207	-	0.000	0.000	Merged-chrX-11753307-53
