#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1060--MA0508.2.PRDM1	chr19	34846599	34846608	-	0.000	0.000	Merged-chr19-34846685-64
NR202--MA0508.2.PRDM1	chr10	30655970	30655979	+	0.000	0.000	Merged-chr10-30655945-56
NR454--MA0508.2.PRDM1	chr12	84784643	84784652	+	0.000	0.000	Merged-chr12-84784700-21
NR1139--MA0508.2.PRDM1	chr2	65182903	65182912	+	0.000	0.000	Merged-chr2-65182800-62
NR311--MA0508.2.PRDM1	chr11	14111025	14111034	+	0.000	0.000	Merged-chr11-14111026-9
NR28--MA0508.2.PRDM1	chr1	82879333	82879342	-	0.000	0.000	Merged-chr1-82879357-31
NR1248--MA0508.2.PRDM1	chr2	152368993	152369002	-	0.000	0.000	Merged-chr2-152368914-12
NR1519--MA0508.2.PRDM1	chr4	101458550	101458559	+	0.000	0.000	Merged-chr4-101458526-22
NR1086--MA0508.2.PRDM1	chr2	5642776	5642785	-	0.000	0.000	Merged-chr2-5642867-48
NR800--MA0508.2.PRDM1	chr16	23226210	23226219	+	0.000	0.000	Merged-chr16-23226158-41
NR1466--MA0508.2.PRDM1	chr4	46581219	46581228	+	0.000	0.000	Merged-chr4-46581066-45
NR1737--MA0508.2.PRDM1	chr6	72900502	72900511	+	0.000	0.000	Merged-chr6-72900407-12
NR380--MA0508.2.PRDM1	chr11	94210257	94210266	+	0.000	0.000	Merged-chr11-94210319-4
NR1607--MA0508.2.PRDM1	chr5	38307966	38307975	-	0.000	0.000	Merged-chr5-38307807-52
NR969--MA0508.2.PRDM1	chr18	50053409	50053418	+	0.000	0.000	Merged-chr18-50053279-83
NR826--MA0508.2.PRDM1	chr16	49164721	49164730	+	0.000	0.000	Merged-chr16-49164589-42
NR1174--MA0508.2.PRDM1	chr2	105021926	105021935	-	0.000	0.000	Merged-chr2-105022109-54
NR2000--MA0508.2.PRDM1	chr8	68735089	68735098	+	0.000	0.000	Merged-chr8-68735158-122
NR664--MA0508.2.PRDM1	chr14	59341474	59341483	-	0.000	0.000	Merged-chr14-59341391-54
NR1078--MA0508.2.PRDM1	chr19	55792951	55792960	+	0.000	0.000	Merged-chr19-55792789-50
NR250--MA0508.2.PRDM1	chr10	84917552	84917561	-	0.000	0.000	Merged-chr10-84917565-76
NR521--MA0508.2.PRDM1	chr13	6515638	6515647	-	0.000	0.000	Merged-chr13-6515620-23
NR839--MA0508.2.PRDM1	chr16	62940830	62940839	-	0.000	0.000	Merged-chr16-62940729-45
NR630--MA0508.2.PRDM1	chr14	16270106	16270115	+	0.000	0.000	Merged-chr14-16270059-31
NR425--MA0508.2.PRDM1	chr12	32099662	32099671	+	0.000	0.000	Merged-chr12-32099741-8
NR1315--MA0508.2.PRDM1	chr3	65650520	65650529	+	0.000	0.000	Merged-chr3-65650597-39
NR1567--MA0508.2.PRDM1	chr4	145285646	145285655	-	0.000	0.000	Merged-chr4-145285458-5
NR805--MA0508.2.PRDM1	chr16	25970372	25970381	+	0.000	0.000	Merged-chr16-25970446-35
NR991--MA0508.2.PRDM1	chr18	70611308	70611317	+	0.000	0.000	Merged-chr18-70611498-71
NR643--MA0508.2.PRDM1	chr14	36886776	36886785	+	0.000	0.000	Merged-chr14-36886826-1
NR481--MA0508.2.PRDM1	chr12	106673165	106673174	-	0.000	0.000	Merged-chr12-106673173-1
NR799--MA0508.2.PRDM1	chr16	22493578	22493587	+	0.000	0.000	Merged-chr16-22493542-26
NR55--MA0508.2.PRDM1	chr1	105790531	105790540	+	0.000	0.000	Merged-chr1-105790569-8
NR385--MA0508.2.PRDM1	chr11	98294568	98294577	-	0.000	0.000	Merged-chr11-98294653-16
NR2101--MA0508.2.PRDM1	chr9	75256336	75256345	-	0.000	0.000	Merged-chr9-75256322-14
NR351--MA0508.2.PRDM1	chr11	72689898	72689907	+	0.000	0.000	Merged-chr11-72690099-58
NR1036--MA0508.2.PRDM1	chr19	16781168	16781177	+	0.000	0.000	Merged-chr19-16781022-84
NR778--MA0508.2.PRDM1	chr15	103215469	103215478	+	0.000	0.000	Merged-chr15-103215427-34
NR2170--MA0508.2.PRDM1	chrX	96130406	96130415	-	0.000	0.000	Merged-chrX-96130578-90
NR505--MA0508.2.PRDM1	chr12	117959154	117959163	-	0.000	0.000	Merged-chr12-117959315-24
NR200--MA0508.2.PRDM1	chr10	26879203	26879212	+	0.000	0.000	Merged-chr10-26879299-36
NR194--MA0508.2.PRDM1	chr10	19168055	19168064	-	0.000	0.000	Merged-chr10-19167953-53
NR736--MA0508.2.PRDM1	chr15	42676325	42676334	-	0.000	0.000	Merged-chr15-42676388-81
NR322--MA0508.2.PRDM1	chr11	32039765	32039774	-	0.000	0.000	Merged-chr11-32039842-30
NR1259--MA0508.2.PRDM1	chr2	163164676	163164685	-	0.000	0.000	Merged-chr2-163164784-61
NR683--MA0508.2.PRDM1	chr14	73175902	73175911	+	0.000	0.000	Merged-chr14-73175814-32
NR749--MA0508.2.PRDM1	chr15	67087609	67087618	-	0.000	0.000	Merged-chr15-67087587-27
NR335--MA0508.2.PRDM1	chr11	53128858	53128867	+	0.000	0.000	Merged-chr11-53128879-36
NR606--MA0508.2.PRDM1	chr13	110564221	110564230	+	0.000	0.000	Merged-chr13-110564159-46
NR858--MA0508.2.PRDM1	chr16	87507938	87507947	+	0.000	0.000	Merged-chr16-87507775-34
NR2032--MA0508.2.PRDM1	chr8	111769140	111769149	-	0.000	0.000	Merged-chr8-111769335-16
NR301--MA0508.2.PRDM1	chr10	128821776	128821785	-	0.000	0.000	Merged-chr10-128821761-47
NR2141--MA0508.2.PRDM1	chr9	111047460	111047469	-	0.000	0.000	Merged-chr9-111047494-21
NR18--MA0508.2.PRDM1	chr1	60017118	60017127	-	0.000	0.000	Merged-chr1-60017133-4
NR348--MA0508.2.PRDM1	chr11	70789449	70789458	-	0.000	0.000	Merged-chr11-70789509-26
NR205--MA0508.2.PRDM1	chr10	37249763	37249772	+	0.000	0.000	Merged-chr10-37249909-39
NR314--MA0508.2.PRDM1	chr11	22814205	22814214	-	0.000	0.000	Merged-chr11-22814136-127
NR423--MA0508.2.PRDM1	chr12	32006713	32006722	+	0.000	0.000	Merged-chr12-32006631-21
NR675--MA0508.2.PRDM1	chr14	66196557	66196566	+	0.000	0.000	Merged-chr14-66196468-7
NR199--MA0508.2.PRDM1	chr10	26203131	26203140	-	0.000	0.000	Merged-chr10-26203040-18
NR2120--MA0508.2.PRDM1	chr9	92266007	92266016	+	0.000	0.000	Merged-chr9-92266025-66
NR165--MA0508.2.PRDM1	chr1	192730830	192730839	+	0.000	0.000	Merged-chr1-192730717-13
NR436--MA0508.2.PRDM1	chr12	55366686	55366695	+	0.000	0.000	Merged-chr12-55366796-37
NR688--MA0508.2.PRDM1	chr14	76188298	76188307	+	0.000	0.000	Merged-chr14-76188312-28
NR1802--MA0508.2.PRDM1	chr6	129366092	129366101	+	0.000	0.000	Merged-chr6-129366136-25
NR306--MA0508.2.PRDM1	chr11	4289425	4289434	+	0.000	0.000	Merged-chr11-4289401-53
NR415--MA0508.2.PRDM1	chr12	16532201	16532210	+	0.000	0.000	Merged-chr12-16532110-1
NR667--MA0508.2.PRDM1	chr14	61556957	61556966	-	0.000	0.000	Merged-chr14-61556804-76
NR938--MA0508.2.PRDM1	chr17	88042613	88042622	+	0.000	0.000	Merged-chr17-88042729-54
NR2112--MA0508.2.PRDM1	chr9	83023896	83023905	-	0.000	0.000	Merged-chr9-83023833-29
NR319--MA0508.2.PRDM1	chr11	30196030	30196039	+	0.000	0.000	Merged-chr11-30196013-11
NR2159--MA0508.2.PRDM1	chrX	7789679	7789688	+	0.000	0.000	Merged-chrX-7789819-46
NR537--MA0508.2.PRDM1	chr13	30933190	30933199	-	0.000	0.000	Merged-chr13-30933157-53
NR789--MA0508.2.PRDM1	chr16	10992745	10992754	-	0.000	0.000	Merged-chr16-10992753-110
NR2029--MA0508.2.PRDM1	chr8	109863613	109863622	-	0.000	0.000	Merged-chr8-109863558-21
NR375--MA0508.2.PRDM1	chr11	88455569	88455578	+	0.000	0.000	Merged-chr11-88455545-42
NR646--MA0508.2.PRDM1	chr14	41013849	41013858	+	0.000	0.000	Merged-chr14-41013855-53
NR1980--MA0508.2.PRDM1	chr8	25132731	25132740	+	0.000	0.000	Merged-chr8-25132757-32
NR898--MA0508.2.PRDM1	chr17	33824544	33824553	+	0.000	0.000	Merged-chr17-33824550-48
NR1903--MA0508.2.PRDM1	chr7	98103403	98103412	+	0.000	0.000	Merged-chr7-98103355-56
NR407--MA0508.2.PRDM1	chr11	121083088	121083097	-	0.000	0.000	Merged-chr11-121083089-49
NR768--MA0508.2.PRDM1	chr15	95885123	95885132	+	0.000	0.000	Merged-chr15-95885143-33
NR1502--MA0508.2.PRDM1	chr4	88544152	88544161	-	0.000	0.000	Merged-chr4-88544037-33
NR1340--MA0508.2.PRDM1	chr3	88254476	88254485	-	0.000	0.000	Merged-chr3-88254557-24
NR2117--MA0508.2.PRDM1	chr9	88329274	88329283	-	0.000	0.000	Merged-chr9-88329441-57
NR2098--MA0508.2.PRDM1	chr9	72260374	72260383	-	0.000	0.000	Merged-chr9-72260549-32
NR1720--MA0508.2.PRDM1	chr6	52987520	52987529	-	0.000	0.000	Merged-chr6-52987651-24
NR367--MA0508.2.PRDM1	chr11	83942126	83942135	-	0.000	0.000	Merged-chr11-83942163-42
NR638--MA0508.2.PRDM1	chr14	27562754	27562763	+	0.000	0.000	Merged-chr14-27562668-44
NR128--MA0508.2.PRDM1	chr1	172368889	172368898	+	0.000	0.000	Merged-chr1-172369010-35
NR1733--MA0508.2.PRDM1	chr6	67266807	67266816	+	0.000	0.000	Merged-chr6-67267043-98
NR1842--MA0508.2.PRDM1	chr6	148436570	148436579	-	0.000	0.000	Merged-chr6-148436541-68
NR1680--MA0508.2.PRDM1	chr5	140871436	140871445	+	0.000	0.000	Merged-chr5-140871418-38
NR1998--MA0508.2.PRDM1	chr8	68218585	68218594	-	0.000	0.000	Merged-chr8-68218689-19
NR1441--MA0508.2.PRDM1	chr3	154571102	154571111	+	0.000	0.000	Merged-chr3-154571116-11
NR1616--MA0508.2.PRDM1	chr5	62711044	62711053	+	0.000	0.000	Merged-chr5-62711036-55
NR1454--MA0508.2.PRDM1	chr4	11077744	11077753	+	0.000	0.000	Merged-chr4-11077783-17
NR229--MA0508.2.PRDM1	chr10	62544539	62544548	-	0.000	0.000	Merged-chr10-62544557-11
NR1834--MA0508.2.PRDM1	chr6	145616540	145616549	-	0.000	0.000	Merged-chr6-145616643-48
NR2178--MA0508.2.PRDM1	chrX	134550976	134550985	-	0.000	0.000	Merged-chrX-134551091-19
NR1956--MA0508.2.PRDM1	chr7	134699981	134699990	-	0.000	0.000	Merged-chr7-134699874-1
NR1271--MA0508.2.PRDM1	chr2	174723538	174723547	+	0.000	0.000	Merged-chr2-174723668-14
NR189--MA0508.2.PRDM1	chr10	17828041	17828050	-	0.000	0.000	Merged-chr10-17827922-26
NR1794--MA0508.2.PRDM1	chr6	124911743	124911752	-	0.000	0.000	Merged-chr6-124911783-36
NR1380--MA0508.2.PRDM1	chr3	129421918	129421927	-	0.000	0.000	Merged-chr3-129421994-33
NR1922--MA0508.2.PRDM1	chr7	114066942	114066951	+	0.000	0.000	Merged-chr7-114066923-10
NR1303--MA0508.2.PRDM1	chr3	51559774	51559783	-	0.000	0.000	Merged-chr3-51559853-4
NR1284--MA0508.2.PRDM1	chr3	14533802	14533811	-	0.000	0.000	Merged-chr3-14534014-70
NR1141--MA0508.2.PRDM1	chr2	68364638	68364647	+	0.000	0.000	Merged-chr2-68364639-40
NR1664--MA0508.2.PRDM1	chr5	121838728	121838737	+	0.000	0.000	Merged-chr5-121838614-43
NR1316--MA0508.2.PRDM1	chr3	65858203	65858212	+	0.000	0.000	Merged-chr3-65858192-18
NR2027--MA0508.2.PRDM1	chr8	107574915	107574924	-	0.000	0.000	Merged-chr8-107575004-5
NR2136--MA0508.2.PRDM1	chr9	105485492	105485501	-	0.000	0.000	Merged-chr9-105485406-20
NR1882--MA0508.2.PRDM1	chr7	75821666	75821675	+	0.000	0.000	Merged-chr7-75821795-19
NR1011--MA0508.2.PRDM1	chr18	84857104	84857113	+	0.000	0.000	Merged-chr18-84857209-14
NR1805--MA0508.2.PRDM1	chr6	129817851	129817860	-	0.000	0.000	Merged-chr6-129817846-22
NR1372--MA0508.2.PRDM1	chr3	123385939	123385948	+	0.000	0.000	Merged-chr3-123385920-64
NR610--MA0508.2.PRDM1	chr13	112424799	112424808	-	0.000	0.000	Merged-chr13-112424975-114
NR1752--MA0508.2.PRDM1	chr6	97526411	97526420	-	0.000	0.000	Merged-chr6-97526268-25
NR1547--MA0508.2.PRDM1	chr4	132898346	132898355	+	0.000	0.000	Merged-chr4-132898365-25
NR1133--MA0508.2.PRDM1	chr2	60080213	60080222	+	0.000	0.000	Merged-chr2-60080152-7
NR1799--MA0508.2.PRDM1	chr6	127265147	127265156	-	0.000	0.000	Merged-chr6-127265230-18
NR1385--MA0508.2.PRDM1	chr3	130796716	130796725	+	0.000	0.000	Merged-chr3-130796721-21
NR2096--MA0508.2.PRDM1	chr9	69467470	69467479	-	0.000	0.000	Merged-chr9-69467550-22
NR1242--MA0508.2.PRDM1	chr2	150558809	150558818	-	0.000	0.000	Merged-chr2-150558773-40
NR1308--MA0508.2.PRDM1	chr3	55517379	55517388	-	0.000	0.000	Merged-chr3-55517605-60
NR2019--MA0508.2.PRDM1	chr8	88161331	88161340	+	0.000	0.000	Merged-chr8-88161496-26
NR1417--MA0508.2.PRDM1	chr3	143777349	143777358	-	0.000	0.000	Merged-chr3-143777288-1
