#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR1053--MA0731.1.BCL6B	chr19	10845766	10845782	-	0.000	0.000	Merged-chr19-10845657-6
NR1165--MA0463.1.Bcl6	chr2	60370320	60370333	-	0.000	0.000	Merged-chr2-60370406-27
NR2040--MA0463.1.Bcl6	chr7	109781533	109781546	+	0.000	0.000	Merged-chr7-109781592-85
NR1794--MA0731.1.BCL6B	chr6	31088367	31088383	-	0.000	0.000	Merged-chr6-31088452-52
NR806--MA0463.1.Bcl6	chr15	97374078	97374091	-	0.000	0.000	Merged-chr15-97373973-3
NR2157--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
NR1032--MA0731.1.BCL6B	chr18	77065401	77065417	+	0.000	0.000	Merged-chr18-77065454-126
NR1826--MA0731.1.BCL6B	chr6	65578768	65578784	-	0.000	0.000	Merged-chr6-65578768-17
NR2027--MA0463.1.Bcl6	chr7	101896592	101896605	+	0.000	0.000	Merged-chr7-101896554-69
NR2139--MA0463.1.Bcl6	chr8	61436815	61436828	+	0.000	0.000	Merged-chr8-61436904-17
NR1640--MA0463.1.Bcl6	chr5	21786687	21786700	-	0.000	0.000	Merged-chr5-21786800-52
NR399--MA0463.1.Bcl6	chr11	101658403	101658416	-	0.000	0.000	Merged-chr11-101658454-78
NR1709--MA0731.1.BCL6B	chr5	97009427	97009443	+	0.000	0.000	Merged-chr5-97009545-38
NR60--MA0463.1.Bcl6	chr1	86394525	86394538	+	0.000	0.000	Merged-chr1-86394473-34
NR780--MA0463.1.Bcl6	chr15	58171635	58171648	-	0.000	0.000	Merged-chr15-58171434-29
NR1887--MA0463.1.Bcl6	chr6	120483384	120483397	+	0.000	0.000	Merged-chr6-120483394-54
NR1669--MA0731.1.BCL6B	chr5	65867462	65867478	-	0.000	0.000	Merged-chr5-65867573-52
NR1793--MA0463.1.Bcl6	chr6	31088367	31088380	-	0.000	0.000	Merged-chr6-31088452-52
NR1906--MA0731.1.BCL6B	chr6	134124678	134124694	+	0.000	0.000	Merged-chr6-134124552-10
NR1268--MA0731.1.BCL6B	chr2	167505401	167505417	+	0.000	0.000	Merged-chr2-167505349-52
NR1539--MA0731.1.BCL6B	chr4	101349648	101349664	-	0.000	0.000	Merged-chr4-101349658-19
NR1565--MA0463.1.Bcl6	chr4	121002613	121002626	+	0.000	0.000	Merged-chr4-121002570-50
NR1104--MA0463.1.Bcl6	chr2	18765846	18765859	+	0.000	0.000	Merged-chr2-18765910-35
NR1583--MA0463.1.Bcl6	chr4	135155554	135155567	-	0.000	0.000	Merged-chr4-135155615-17
NR310--MA0731.1.BCL6B	chr10	111925666	111925682	+	0.000	0.000	Merged-chr10-111925713-30
NR291--MA0731.1.BCL6B	chr10	93985650	93985666	+	0.000	0.000	Merged-chr10-93985650-27
NR1181--MA0731.1.BCL6B	chr2	79005093	79005109	-	0.000	0.000	Merged-chr2-79004997-23
NR1140--MA0463.1.Bcl6	chr2	48333073	48333086	+	0.000	0.000	Merged-chr2-48333008-54
NR208--MA0463.1.Bcl6	chr1	191480275	191480288	-	0.000	0.000	Merged-chr1-191480137-17
NR1924--MA0463.1.Bcl6	chr6	140657588	140657601	+	0.000	0.000	Merged-chr6-140657459-39
NR468--MA0463.1.Bcl6	chr12	76527674	76527687	+	0.000	0.000	Merged-chr12-76527633-28
NR2011--MA0463.1.Bcl6	chr7	89168600	89168613	-	0.000	0.000	Merged-chr7-89168777-23
NR374--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
NR62--MA0731.1.BCL6B	chr1	86741047	86741063	+	0.000	0.000	Merged-chr1-86740940-3
NR1190--MA0463.1.Bcl6	chr2	93199062	93199075	+	0.000	0.000	Merged-chr2-93199242-68
NR676--MA0731.1.BCL6B	chr14	57680130	57680146	-	0.000	0.000	Merged-chr14-57680165-28
NR804--MA0731.1.BCL6B	chr15	93405614	93405630	+	0.000	0.000	Merged-chr15-93405700-9
NR1218--MA0731.1.BCL6B	chr2	122243970	122243986	-	0.000	0.000	Merged-chr2-122243973-37
NR1844--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
NR2146--MA0463.1.Bcl6	chr8	72285484	72285497	+	0.000	0.000	Merged-chr8-72285397-19
NR173--MA0463.1.Bcl6	chr1	170853712	170853725	+	0.000	0.000	Merged-chr1-170853758-47
NR1289--MA0463.1.Bcl6	chr2	179975347	179975360	+	0.000	0.000	Merged-chr2-179975451-14
NR1069--MA0731.1.BCL6B	chr19	34290519	34290535	-	0.000	0.000	Merged-chr19-34290594-61
NR2222--MA0731.1.BCL6B	chr9	28261428	28261444	+	0.000	0.000	Merged-chr9-28261552-34
NR1097--MA0463.1.Bcl6	chr2	9997856	9997869	-	0.000	0.000	Merged-chr2-9997770-18
NR1979--MA0463.1.Bcl6	chr7	49272654	49272667	+	0.000	0.000	Merged-chr7-49272707-39
NR881--MA0463.1.Bcl6	chr16	75617789	75617802	+	0.000	0.000	Merged-chr16-75617911-31
