#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR64164--MA0741.1.KLF16	chr9	48740362	48740372	-	0.000	0.000	Merged-chr9-48740358-13
NR2218--MA1107.1.KLF9	chr1	132341979	132341991	+	0.000	0.000	Merged-chr1-132341932-46
NR22820--MA1107.1.KLF9	chr15	96709970	96709982	-	0.000	0.000	Merged-chr15-96709889-88
NR16227--MA1107.1.KLF9	chr13	60996224	60996236	-	0.000	0.000	Merged-chr13-60996242-1
NR28758--MA0741.1.KLF16	chr18	5591834	5591844	-	0.000	0.000	Merged-chr18-5591959-116
NR63934--MA0599.1.KLF5	chr9	40997193	40997202	-	0.000	0.000	Merged-chr9-40997373-39
NR34024--MA0599.1.KLF5	chr2	67565658	67565667	-	0.000	0.000	Merged-chr2-67565838-76
NR16903--MA1107.1.KLF9	chr13	93243116	93243128	-	0.000	0.000	Merged-chr13-93243259-30
NR4836--MA0039.3.KLF4	chr10	7589678	7589688	-	0.000	0.000	Merged-chr10-7589879-63
NR52160--MA0599.1.KLF5	chr6	48504492	48504501	-	0.000	0.000	Merged-chr6-48504400-36
NR26813--MA0493.1.Klf1	chr17	35359665	35359675	-	0.000	0.000	Merged-chr17-35359572-17
NR24461--MA0741.1.KLF16	chr16	56037868	56037878	+	0.000	0.000	Merged-chr16-56037763-63
NR4520--MA0657.1.KLF13	chr1	192092696	192092713	-	0.000	0.000	Merged-chr1-192092599-105
NR36991--MA0493.1.Klf1	chr2	167760228	167760238	+	0.000	0.000	Merged-chr2-167760188-26
NR48838--MA1107.1.KLF9	chr5	110780470	110780482	+	0.000	0.000	Merged-chr5-110780503-76
NR66635--MA0599.1.KLF5	chr9	120691794	120691803	-	0.000	0.000	Merged-chr9-120691973-52
NR15850--MA0599.1.KLF5	chr13	51107495	51107504	-	0.000	0.000	Merged-chr13-51107497-14
NR61526--MA0599.1.KLF5	chr8	81014977	81014986	+	0.000	0.000	Merged-chr8-81015053-72
NR22499--MA0599.1.KLF5	chr15	89075973	89075982	-	0.000	0.000	Merged-chr15-89076090-81
NR49835--MA0599.1.KLF5	chr5	130029496	130029505	-	0.000	0.000	Merged-chr5-130029456-53
NR64575--MA1107.1.KLF9	chr9	64936591	64936603	+	0.000	0.000	Merged-chr9-64936635-11
NR45718--MA0741.1.KLF16	chr4	148288179	148288189	+	0.000	0.000	Merged-chr4-148288108-27
NR66843--MA0741.1.KLF16	chr9	123989742	123989752	-	0.000	0.000	Merged-chr9-123989844-27
NR64021--MA0599.1.KLF5	chr9	44043382	44043391	+	0.000	0.000	Merged-chr9-44043404-33
NR56365--MA0741.1.KLF16	chr7	28716735	28716745	-	0.000	0.000	Merged-chr7-28716768-36
NR45386--MA0599.1.KLF5	chr4	141793710	141793719	-	0.000	0.000	Merged-chr4-141793612-90
NR16152--MA0599.1.KLF5	chr13	58359173	58359182	+	0.000	0.000	Merged-chr13-58359164-70
NR51701--MA0493.1.Klf1	chr6	29348101	29348111	-	0.000	0.000	Merged-chr6-29348020-58
NR28586--MA0599.1.KLF5	chr17	87974940	87974949	+	0.000	0.000	Merged-chr17-87975056-71
NR25499--MA0742.1.Klf12	chr16	97515304	97515318	-	0.000	0.000	Merged-chr16-97515393-11
NR9291--MA0740.1.KLF14	chr11	54522779	54522792	+	0.000	0.000	Merged-chr11-54522854-80
NR60534--MA0493.1.Klf1	chr8	35495559	35495569	-	0.000	0.000	Merged-chr8-35495610-146
NR21497--MA0039.3.KLF4	chr15	64252709	64252719	-	0.000	0.000	Merged-chr15-64252738-7
NR14705--MA0039.3.KLF4	chr12	113155251	113155261	-	0.000	0.000	Merged-chr12-113155292-10
