#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR1689--MA0741.1.KLF16	chr1	93803880	93803890	+	0.000	0.000	Merged-chr1-93804092-59
NR26136--MA0039.3.KLF4	chr17	24152508	24152518	+	0.000	0.000	Merged-chr17-24152368-58
NR28465--MA0599.1.KLF5	chr17	86353929	86353938	-	0.000	0.000	Merged-chr17-86353995-34
NR20646--MA0599.1.KLF5	chr15	4043395	4043404	-	0.000	0.000	Merged-chr15-4043315-79
NR51500--MA0599.1.KLF5	chr6	13650825	13650834	-	0.000	0.000	Merged-chr6-13650892-33
NR23398--MA0740.1.KLF14	chr16	10412205	10412218	-	0.000	0.000	Merged-chr16-10412067-63
NR1174--MA0599.1.KLF5	chr1	75487847	75487856	+	0.000	0.000	Merged-chr1-75487610-71
NR63934--MA0599.1.KLF5	chr9	40997193	40997202	-	0.000	0.000	Merged-chr9-40997043-1
NR15183--MA0599.1.KLF5	chr13	21366909	21366918	+	0.000	0.000	Merged-chr13-21366779-27
NR14514--MA0599.1.KLF5	chr12	110393800	110393809	+	0.000	0.000	Merged-chr12-110393714-17
NR24190--MA0741.1.KLF16	chr16	38902329	38902339	-	0.000	0.000	Merged-chr16-38902351-60
NR7186--MA0741.1.KLF16	chr10	95009311	95009321	-	0.000	0.000	Merged-chr10-95009173-43
NR17224--MA0599.1.KLF5	chr13	100833340	100833349	-	0.000	0.000	Merged-chr13-100833237-73
NR7457--MA0741.1.KLF16	chr10	110920129	110920139	+	0.000	0.000	Merged-chr10-110920143-70
NR55--MA0741.1.KLF16	chr1	9848216	9848226	-	0.000	0.000	Merged-chr1-9848247-58
NR47332--MA0741.1.KLF16	chr5	53540270	53540280	-	0.000	0.000	Merged-chr5-53540253-35
NR57802--MA0599.1.KLF5	chr7	90476070	90476079	+	0.000	0.000	Merged-chr7-90476243-63
NR24732--MA0741.1.KLF16	chr16	76283307	76283317	+	0.000	0.000	Merged-chr16-76283420-1
NR18622--MA0742.1.Klf12	chr14	33447261	33447275	-	0.000	0.000	Merged-chr14-33447186-64
NR29658--MA0599.1.KLF5	chr18	60733208	60733217	+	0.000	0.000	Merged-chr18-60733277-41
NR35360--MA0599.1.KLF5	chr2	122348947	122348956	+	0.000	0.000	Merged-chr2-122348825-59
NR29642--MA0740.1.KLF14	chr18	60560702	60560715	+	0.000	0.000	Merged-chr18-60560900-69
NR7476--MA0599.1.KLF5	chr10	111385754	111385763	+	0.000	0.000	Merged-chr10-111385696-32
NR47794--MA0599.1.KLF5	chr5	73651271	73651280	-	0.000	0.000	Merged-chr5-73651167-69
NR10065--MA0599.1.KLF5	chr11	74926822	74926831	+	0.000	0.000	Merged-chr11-74926727-12
NR35445--MA0741.1.KLF16	chr2	127070883	127070893	-	0.000	0.000	Merged-chr2-127070724-48
NR61311--MA0599.1.KLF5	chr8	72161056	72161065	+	0.000	0.000	Merged-chr8-72161057-74
NR63906--MA1107.1.KLF9	chr9	40450015	40450027	+	0.000	0.000	Merged-chr9-40450038-65
NR14120--MA0742.1.Klf12	chr12	102469120	102469134	-	0.000	0.000	Merged-chr12-102469248-59
NR3979--MA0039.3.KLF4	chr1	180829982	180829992	+	0.000	0.000	Merged-chr1-180830009-39
NR47099--MA1107.1.KLF9	chr5	35893236	35893248	+	0.000	0.000	Merged-chr5-35893424-58
NR64892--MA0741.1.KLF16	chr9	73087335	73087345	-	0.000	0.000	Merged-chr9-73087475-30
NR42676--MA0599.1.KLF5	chr4	56802338	56802347	-	0.000	0.000	Merged-chr4-56802429-61
NR39539--MA0039.3.KLF4	chr3	101288145	101288155	-	0.000	0.000	Merged-chr3-101288021-52
NR66638--MA0741.1.KLF16	chr9	120867019	120867029	+	0.000	0.000	Merged-chr9-120866868-24
NR37928--MA0742.1.Klf12	chr3	27984082	27984096	-	0.000	0.000	Merged-chr3-27984101-47
NR33289--MA0741.1.KLF16	chr2	31688503	31688513	-	0.000	0.000	Merged-chr2-31688408-53
NR38822--MA0741.1.KLF16	chr3	84337873	84337883	-	0.000	0.000	Merged-chr3-84337779-55
NR61549--MA0740.1.KLF14	chr8	83165535	83165548	-	0.000	0.000	Merged-chr8-83165718-13
NR36759--MA0599.1.KLF5	chr2	163750226	163750235	+	0.000	0.000	Merged-chr2-163750187-67
NR64860--MA0740.1.KLF14	chr9	72389833	72389846	+	0.000	0.000	Merged-chr9-72389636-26
NR6998--MA0741.1.KLF16	chr10	89747866	89747876	+	0.000	0.000	Merged-chr10-89747839-80
NR59742--MA0741.1.KLF16	chr7	142457656	142457666	+	0.000	0.000	Merged-chr7-142457551-10
NR22951--MA0599.1.KLF5	chr15	98993162	98993171	+	0.000	0.000	Merged-chr15-98993334-102
NR10713--MA1107.1.KLF9	chr11	89024208	89024220	+	0.000	0.000	Merged-chr11-89024298-29
NR64208--MA1107.1.KLF9	chr9	50728315	50728327	+	0.000	0.000	Merged-chr9-50728136-17
NR34145--MA0599.1.KLF5	chr2	71800980	71800989	+	0.000	0.000	Merged-chr2-71801040-44
NR49806--MA0741.1.KLF16	chr5	129779306	129779316	+	0.000	0.000	Merged-chr5-129779227-46
NR52405--MA0741.1.KLF16	chr6	54715892	54715902	+	0.000	0.000	Merged-chr6-54715898-42
NR34484--MA1107.1.KLF9	chr2	84740803	84740815	-	0.000	0.000	Merged-chr2-84740933-21
NR50183--MA0741.1.KLF16	chr5	135024038	135024048	-	0.000	0.000	Merged-chr5-135023951-46
NR40944--MA0599.1.KLF5	chr3	142688859	142688868	+	0.000	0.000	Merged-chr3-142688787-41
NR15365--MA0039.3.KLF4	chr13	30825066	30825076	+	0.000	0.000	Merged-chr13-30825153-10
NR16728--MA0741.1.KLF16	chr13	83518396	83518406	+	0.000	0.000	Merged-chr13-83518348-35
NR4076--MA0493.1.Klf1	chr1	183297294	183297304	-	0.000	0.000	Merged-chr1-183297368-141
NR44384--MA0039.3.KLF4	chr4	126813422	126813432	-	0.000	0.000	Merged-chr4-126813400-21
NR24779--MA0741.1.KLF16	chr16	77360455	77360465	-	0.000	0.000	Merged-chr16-77360376-19
NR57586--MA1107.1.KLF9	chr7	80450046	80450058	+	0.000	0.000	Merged-chr7-80450087-44
NR5060--MA0740.1.KLF14	chr10	19591919	19591932	+	0.000	0.000	Merged-chr10-19591977-65
NR39235--MA1107.1.KLF9	chr3	95523804	95523816	+	0.000	0.000	Merged-chr3-95523820-51
NR27584--MA0039.3.KLF4	chr17	56673179	56673189	+	0.000	0.000	Merged-chr17-56673330-61
NR58869--MA0493.1.Klf1	chr7	122940479	122940489	+	0.000	0.000	Merged-chr7-122940483-54
NR66541--MA0599.1.KLF5	chr9	119055631	119055640	+	0.000	0.000	Merged-chr9-119055783-1
NR6376--MA1107.1.KLF9	chr10	78169836	78169848	-	0.000	0.000	Merged-chr10-78169866-58
NR66224--MA0741.1.KLF16	chr9	114368363	114368373	+	0.000	0.000	Merged-chr9-114368290-39
NR43624--MA0741.1.KLF16	chr4	107314358	107314368	+	0.000	0.000	Merged-chr4-107314290-66
NR42877--MA0493.1.Klf1	chr4	62408695	62408705	+	0.000	0.000	Merged-chr4-62408524-84
NR12692--MA0742.1.Klf12	chr12	28589728	28589742	+	0.000	0.000	Merged-chr12-28589573-34
NR53377--MA0742.1.Klf12	chr6	97221803	97221817	-	0.000	0.000	Merged-chr6-97221757-71
NR30363--MA0599.1.KLF5	chr18	77822611	77822620	+	0.000	0.000	Merged-chr18-77822747-6
NR20548--MA0741.1.KLF16	chr14	121366284	121366294	+	0.000	0.000	Merged-chr14-121366379-77
NR51799--MA0740.1.KLF14	chr6	30896911	30896924	-	0.000	0.000	Merged-chr6-30896699-63
NR15456--MA0740.1.KLF14	chr13	35741216	35741229	+	0.000	0.000	Merged-chr13-35741035-13
