#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR68803--MA0742.1.Klf12	chrX	48234630	48234644	+	0.000	0.000	Merged-chrX-48234508-35
NR25977--MA0657.1.KLF13	chr16	16146889	16146906	+	0.000	0.000	Merged-chr16-16146725-61
NR8878--MA1107.1.KLF9	chr10	116853275	116853287	+	0.000	0.000	Merged-chr10-116853312-9
NR62484--MA0741.1.KLF16	chr8	22166303	22166313	-	0.000	0.000	Merged-chr8-22166326-62
NR14729--MA0599.1.KLF5	chr12	81807420	81807429	+	0.000	0.000	Merged-chr12-81807409-36
NR1174--MA0599.1.KLF5	chr1	58973436	58973445	+	0.000	0.000	Merged-chr1-58973623-66
NR39010--MA0741.1.KLF16	chr2	136917805	136917815	-	0.000	0.000	Merged-chr2-136917960-10
NR12679--MA0599.1.KLF5	chr11	115463462	115463471	-	0.000	0.000	Merged-chr11-115463666-29
NR43533--MA0599.1.KLF5	chr3	124708074	124708083	-	0.000	0.000	Merged-chr3-124708012-3
NR49168--MA0599.1.KLF5	chr4	155050348	155050357	+	0.000	0.000	Merged-chr4-155050218-26
NR26190--MA1107.1.KLF9	chr16	23102918	23102930	-	0.000	0.000	Merged-chr16-23102925-22
NR49949--MA0741.1.KLF16	chr5	24598565	24598575	-	0.000	0.000	Merged-chr5-24598728-19
NR57126--MA0599.1.KLF5	chr6	128143626	128143635	-	0.000	0.000	Merged-chr6-128143679-59
NR34587--MA0740.1.KLF14	chr19	41206901	41206914	+	0.000	0.000	Merged-chr19-41206944-35
NR68348--MA1107.1.KLF9	chr9	121314942	121314954	-	0.000	0.000	Merged-chr9-121314876-15
NR65146--MA0741.1.KLF16	chr8	120668183	120668193	+	0.000	0.000	Merged-chr8-120668120-83
NR4621--MA0039.3.KLF4	chr1	181230952	181230962	+	0.000	0.000	Merged-chr1-181230993-50
NR39373--MA0740.1.KLF14	chr2	152112054	152112067	-	0.000	0.000	Merged-chr2-152112124-39
NR24732--MA0741.1.KLF16	chr15	85654012	85654022	+	0.000	0.000	Merged-chr15-85653877-74
NR29658--MA0599.1.KLF5	chr17	45686276	45686285	-	0.000	0.000	Merged-chr17-45686351-100
NR35360--MA0599.1.KLF5	chr2	11777728	11777737	+	0.000	0.000	Merged-chr2-11777973-128
NR60204--MA0741.1.KLF16	chr7	80032535	80032545	+	0.000	0.000	Merged-chr7-80032517-2
NR58677--MA0599.1.KLF5	chr7	25082747	25082756	-	0.000	0.000	Merged-chr7-25082743-14
NR2515--MA0741.1.KLF16	chr1	119504798	119504808	+	0.000	0.000	Merged-chr1-119504796-62
NR10065--MA0599.1.KLF5	chr11	20831250	20831259	-	0.000	0.000	Merged-chr11-20831042-78
NR45923--MA0741.1.KLF16	chr4	43656491	43656501	-	0.000	0.000	Merged-chr4-43656546-52
NR63700--MA1107.1.KLF9	chr8	70797266	70797278	-	0.000	0.000	Merged-chr8-70797334-59
NR65678--MA0742.1.Klf12	chr9	15357834	15357848	+	0.000	0.000	Merged-chr9-15357727-65
NR13737--MA0493.1.Klf1	chr12	33036351	33036361	+	0.000	0.000	Merged-chr12-33036196-25
NR62942--MA0493.1.Klf1	chr8	39056373	39056383	-	0.000	0.000	Merged-chr8-39056272-4
NR64575--MA1107.1.KLF9	chr8	104632611	104632623	-	0.000	0.000	Merged-chr8-104632399-10
NR55948--MA1107.1.KLF9	chr6	88924915	88924927	+	0.000	0.000	Merged-chr6-88924833-5
NR59049--MA0039.3.KLF4	chr7	30626220	30626230	+	0.000	0.000	Merged-chr7-30626131-41
NR48011--MA0740.1.KLF14	chr4	128962502	128962515	+	0.000	0.000	Merged-chr4-128962566-44
NR927--MA0741.1.KLF16	chr1	44101586	44101596	+	0.000	0.000	Merged-chr1-44101717-6
NR69326--MA1107.1.KLF9	chrX	135601842	135601854	+	0.000	0.000	Merged-chrX-135601772-31
NR47221--MA0599.1.KLF5	chr4	98436895	98436904	-	0.000	0.000	Merged-chr4-98436733-103
NR11123--MA0493.1.Klf1	chr11	69491679	69491689	-	0.000	0.000	Merged-chr11-69491804-11
NR35311--MA0742.1.Klf12	chr2	11187395	11187409	-	0.000	0.000	Merged-chr2-11187260-69
NR2482--MA1107.1.KLF9	chr1	119151861	119151873	-	0.000	0.000	Merged-chr1-119151846-1
NR62070--MA0741.1.KLF16	chr8	4193384	4193394	-	0.000	0.000	Merged-chr8-4193483-29
NR34215--MA0039.3.KLF4	chr19	21747506	21747516	+	0.000	0.000	Merged-chr19-21747536-25
NR59440--MA0599.1.KLF5	chr7	45339645	45339654	+	0.000	0.000	Merged-chr7-45339768-30
NR57791--MA0741.1.KLF16	chr6	144922866	144922876	-	0.000	0.000	Merged-chr6-144923057-24
NR24306--MA1107.1.KLF9	chr15	78581515	78581527	-	0.000	0.000	Merged-chr15-78581743-66
NR31009--MA0741.1.KLF16	chr17	86963020	86963030	+	0.000	0.000	Merged-chr17-86962989-104
NR31774--MA1107.1.KLF9	chr18	24309578	24309590	-	0.000	0.000	Merged-chr18-24309700-12
NR21292--MA0493.1.Klf1	chr14	70520270	70520280	+	0.000	0.000	Merged-chr14-70520372-68
NR20891--MA1107.1.KLF9	chr14	54686690	54686702	+	0.000	0.000	Merged-chr14-54686537-116
NR52405--MA0741.1.KLF16	chr5	115119355	115119365	-	0.000	0.000	Merged-chr5-115119310-50
NR50454--MA0741.1.KLF16	chr5	44239421	44239431	+	0.000	0.000	Merged-chr5-44239344-7
NR65205--MA0599.1.KLF5	chr8	122432956	122432965	+	0.000	0.000	Merged-chr8-122432955-76
NR909--MA0599.1.KLF5	chr1	43500581	43500590	-	0.000	0.000	Merged-chr1-43500582-54
NR51951--MA1107.1.KLF9	chr5	105114874	105114886	-	0.000	0.000	Merged-chr5-105114898-53
NR43082--MA0741.1.KLF16	chr3	104992828	104992838	+	0.000	0.000	Merged-chr3-104992904-39
NR17883--MA0741.1.KLF16	chr13	80885659	80885669	-	0.000	0.000	Merged-chr13-80885729-117
NR11015--MA1107.1.KLF9	chr11	64978884	64978896	-	0.000	0.000	Merged-chr11-64979086-60
NR38397--MA0599.1.KLF5	chr2	121457045	121457054	+	0.000	0.000	Merged-chr2-121457132-54
NR44036--MA0493.1.Klf1	chr3	139205639	139205649	-	0.000	0.000	Merged-chr3-139205719-57
NR5895--MA0742.1.Klf12	chr10	25576338	25576352	-	0.000	0.000	Merged-chr10-25576456-2
NR6713--MA0599.1.KLF5	chr10	59916789	59916798	+	0.000	0.000	Merged-chr10-59916836-10
NR12566--MA1107.1.KLF9	chr11	111792065	111792077	+	0.000	0.000	Merged-chr11-111792002-31
NR38109--MA0039.3.KLF4	chr2	115581751	115581761	-	0.000	0.000	Merged-chr2-115581699-80
NR46015--MA0741.1.KLF16	chr4	45766155	45766165	-	0.000	0.000	Merged-chr4-45766216-17
NR6855--MA0741.1.KLF16	chr10	63023947	63023957	+	0.000	0.000	Merged-chr10-63023888-111
NR10853--MA0599.1.KLF5	chr11	60223072	60223081	+	0.000	0.000	Merged-chr11-60222972-52
NR24446--MA0599.1.KLF5	chr15	80264287	80264296	+	0.000	0.000	Merged-chr15-80264351-45
NR49947--MA0599.1.KLF5	chr5	24577499	24577508	-	0.000	0.000	Merged-chr5-24577562-64
