#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR2572--MA0036.3.GATA2	chr15	56047194	56047204	-	0.000	0.000	Merged-chr15-56047041-38
NR2919--MA0766.1.GATA5	chr16	64898528	64898535	-	0.000	0.000	Merged-chr16-64898423-6
NR6455--MA0036.3.GATA2	chr7	78583902	78583912	-	0.000	0.000	Merged-chr7-78583930-15
NR6803--MA0482.1.Gata4	chr7	145243334	145243344	+	0.000	0.000	Merged-chr7-145243309-40
NR5087--MA0482.1.Gata4	chr4	62636268	62636278	+	0.000	0.000	Merged-chr4-62636315-14
NR7023--MA0036.3.GATA2	chr8	115064799	115064809	+	0.000	0.000	Merged-chr8-115064848-48
NR6936--MA0035.3.Gata1	chr8	79734393	79734403	-	0.000	0.000	Merged-chr8-79734534-16
NR1008--MA0035.3.Gata1	chr10	130340393	130340403	+	0.000	0.000	Merged-chr10-130340277-13
NR3468--MA0766.1.GATA5	chr18	66502128	66502135	+	0.000	0.000	Merged-chr18-66502099-22
NR6293--MA0036.3.GATA2	chr7	6127301	6127311	+	0.000	0.000	Merged-chr7-6127268-44
NR3535--MA0482.1.Gata4	chr18	79092834	79092844	+	0.000	0.000	Merged-chr18-79092831-54
NR7275--MA0036.3.GATA2	chr9	61860471	61860481	-	0.000	0.000	Merged-chr9-61860455-30
NR6893--MA0482.1.Gata4	chr8	57638198	57638208	-	0.000	0.000	Merged-chr8-57637972-56
NR2790--MA0036.3.GATA2	chr16	23151492	23151502	-	0.000	0.000	Merged-chr16-23151647-12
NR4521--MA1104.1.GATA6	chr3	21996047	21996059	+	0.000	0.000	Merged-chr3-21996009-51
NR2543--MA0035.3.Gata1	chr15	50667570	50667580	+	0.000	0.000	Merged-chr15-50667671-62
NR3373--MA0482.1.Gata4	chr18	35942672	35942682	-	0.000	0.000	Merged-chr18-35942527-59
NR5119--MA0482.1.Gata4	chr4	86725372	86725382	+	0.000	0.000	Merged-chr4-86725378-12
NR6360--MA0035.3.Gata1	chr7	37490502	37490512	+	0.000	0.000	Merged-chr7-37490614-68
NR5499--MA0036.3.GATA2	chr5	63768123	63768133	+	0.000	0.000	Merged-chr5-63767981-25
NR3300--MA0037.3.GATA3	chr17	79615213	79615220	-	0.000	0.000	Merged-chr17-79615226-63
NR4384--MA0766.1.GATA5	chr2	152789714	152789721	+	0.000	0.000	Merged-chr2-152789536-78
NR363--MA1104.1.GATA6	chr1	156901950	156901962	+	0.000	0.000	Merged-chr1-156901975-24
NR726--MA0482.1.Gata4	chr10	59431032	59431042	-	0.000	0.000	Merged-chr10-59431050-41
NR3972--MA0140.2.GATA1::TAL1	chr2	62654689	62654706	-	0.000	0.000	Merged-chr2-62654769-30
NR336--MA0035.3.Gata1	chr1	151683047	151683057	+	0.000	0.000	Merged-chr1-151683056-48
NR245--MA0766.1.GATA5	chr1	125466896	125466903	+	0.000	0.000	Merged-chr1-125466833-56
NR1938--MA0037.3.GATA3	chr13	73505476	73505483	+	0.000	0.000	Merged-chr13-73505560-1
NR6264--MA0035.3.Gata1	chr6	143954596	143954606	-	0.000	0.000	Merged-chr6-143954525-20
NR2602--MA1104.1.GATA6	chr15	72928856	72928868	+	0.000	0.000	Merged-chr15-72929064-48
NR5659--MA1104.1.GATA6	chr5	105699707	105699719	+	0.000	0.000	Merged-chr5-105699890-8
NR2675--MA0482.1.Gata4	chr15	91616639	91616649	-	0.000	0.000	Merged-chr15-91616695-12
NR5218--MA0035.3.Gata1	chr4	109282331	109282341	+	0.000	0.000	Merged-chr4-109282202-8
NR4135--MA0036.3.GATA2	chr2	103652311	103652321	+	0.000	0.000	Merged-chr2-103652335-51
NR302--MA0035.3.Gata1	chr1	143202924	143202934	-	0.000	0.000	Merged-chr1-143203062-8
NR7625--MA0140.2.GATA1::TAL1	chrX	98259796	98259813	+	0.000	0.000	Merged-chrX-98259743-49
NR5721--MA0037.3.GATA3	chr5	122232124	122232131	+	0.000	0.000	Merged-chr5-122232202-28
NR5369--MA0036.3.GATA2	chr4	154798017	154798027	-	0.000	0.000	Merged-chr4-154798011-18
NR192--MA0766.1.GATA5	chr1	94035513	94035520	-	0.000	0.000	Merged-chr1-94035484-87
NR7126--MA0482.1.Gata4	chr9	5311522	5311532	+	0.000	0.000	Merged-chr9-5311572-34
NR7506--MA0482.1.Gata4	chr9	116138613	116138623	+	0.000	0.000	Merged-chr9-116138726-20
NR4624--MA0036.3.GATA2	chr3	84570696	84570706	+	0.000	0.000	Merged-chr3-84570776-21
NR3849--MA1104.1.GATA6	chr2	19320159	19320171	-	0.000	0.000	Merged-chr2-19320316-15
NR4590--MA1104.1.GATA6	chr3	69177417	69177429	-	0.000	0.000	Merged-chr3-69177555-55
NR61--MA0140.2.GATA1::TAL1	chr1	52454648	52454665	-	0.000	0.000	Merged-chr1-52454811-49
NR6142--MA0036.3.GATA2	chr6	126849235	126849245	-	0.000	0.000	Merged-chr6-126849069-62
NR2678--MA0035.3.Gata1	chr15	91616640	91616650	-	0.000	0.000	Merged-chr15-91616695-12
NR4420--MA0035.3.Gata1	chr2	163102175	163102185	+	0.000	0.000	Merged-chr2-163102101-1
NR2833--MA1104.1.GATA6	chr16	43661707	43661719	+	0.000	0.000	Merged-chr16-43661789-37
NR4985--MA0036.3.GATA2	chr4	11610147	11610157	-	0.000	0.000	Merged-chr4-11610147-18
NR6352--MA0035.3.Gata1	chr7	30280500	30280510	-	0.000	0.000	Merged-chr7-30280528-94
NR4351--MA1104.1.GATA6	chr2	150748922	150748934	+	0.000	0.000	Merged-chr2-150749158-47
NR2492--MA0482.1.Gata4	chr14	122788393	122788403	-	0.000	0.000	Merged-chr14-122788282-21
NR6206--MA0037.3.GATA3	chr6	135418446	135418453	-	0.000	0.000	Merged-chr6-135418528-77
NR3401--MA0037.3.GATA3	chr18	46448741	46448748	+	0.000	0.000	Merged-chr18-46448750-18
NR827--MA0482.1.Gata4	chr10	96204411	96204421	+	0.000	0.000	Merged-chr10-96204406-28
NR735--MA1104.1.GATA6	chr10	61658158	61658170	+	0.000	0.000	Merged-chr10-61658061-29
