#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR3307--MA0002.2.RUNX1	chr15	36733859	36733869	+	0.000	0.000	Merged-chr15-36733808-27
NR5814--MA0511.2.RUNX2	chr3	60531040	60531048	+	0.000	0.000	Merged-chr3-60530998-30
NR1627--MA0002.2.RUNX1	chr11	87240397	87240407	-	0.000	0.000	Merged-chr11-87240422-3
NR3658--MA0511.2.RUNX2	chr16	23264253	23264261	+	0.000	0.000	Merged-chr16-23264212-1
NR9204--MA0684.1.RUNX3	chr9	80313775	80313784	-	0.000	0.000	Merged-chr9-80313733-27
NR9261--MA0002.2.RUNX1	chr9	92217818	92217828	+	0.000	0.000	Merged-chr9-92217904-40
NR9327--MA0002.2.RUNX1	chr9	106394477	106394487	+	0.000	0.000	Merged-chr9-106394684-34
NR1293--MA0511.2.RUNX2	chr10	119382451	119382459	-	0.000	0.000	Merged-chr10-119382475-33
NR3145--MA0002.2.RUNX1	chr14	115250747	115250757	+	0.000	0.000	Merged-chr14-115250840-27
NR846--MA0002.2.RUNX1	chr10	12614550	12614560	-	0.000	0.000	Merged-chr10-12614708-18
NR1465--MA0002.2.RUNX1	chr11	35537601	35537611	-	0.000	0.000	Merged-chr11-35537638-11
NR2119--MA0684.1.RUNX3	chr12	98269813	98269822	+	0.000	0.000	Merged-chr12-98269804-132
NR7028--MA0002.2.RUNX1	chr5	53809455	53809465	+	0.000	0.000	Merged-chr5-53809637-58
NR8930--MA0002.2.RUNX1	chr8	124509391	124509401	+	0.000	0.000	Merged-chr8-124509346-29
NR1051--MA0002.2.RUNX1	chr10	61680237	61680247	-	0.000	0.000	Merged-chr10-61680390-61
NR3939--MA0002.2.RUNX1	chr16	92801758	92801768	+	0.000	0.000	Merged-chr16-92801827-54
NR9313--MA0684.1.RUNX3	chr9	99243137	99243146	+	0.000	0.000	Merged-chr9-99243262-100
NR1988--MA0002.2.RUNX1	chr12	70123785	70123795	-	0.000	0.000	Merged-chr12-70123693-6
NR9165--MA0002.2.RUNX1	chr9	70524445	70524455	+	0.000	0.000	Merged-chr9-70524539-1
NR7904--MA0684.1.RUNX3	chr6	128007301	128007310	+	0.000	0.000	Merged-chr6-128007455-5
NR684--MA0002.2.RUNX1	chr1	175602475	175602485	-	0.000	0.000	Merged-chr1-175602466-27
NR9565--MA0684.1.RUNX3	chrX	145307430	145307439	-	0.000	0.000	Merged-chrX-145307441-1
NR2795--MA0002.2.RUNX1	chr14	8659868	8659878	-	0.000	0.000	Merged-chr14-8659683-4
NR5605--MA0684.1.RUNX3	chr3	9828679	9828688	+	0.000	0.000	Merged-chr3-9828773-58
NR3654--MA0684.1.RUNX3	chr16	22461877	22461886	-	0.000	0.000	Merged-chr16-22461951-26
NR5728--MA0002.2.RUNX1	chr3	41077544	41077554	+	0.000	0.000	Merged-chr3-41077638-22
NR9422--MA0684.1.RUNX3	chrX	11647196	11647205	+	0.000	0.000	Merged-chrX-11647127-35
NR7537--MA0684.1.RUNX3	chr6	38848074	38848083	-	0.000	0.000	Merged-chr6-38848269-41
NR5043--MA0002.2.RUNX1	chr2	45197066	45197076	-	0.000	0.000	Merged-chr2-45197380-25
