#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR9281--MA0684.1.RUNX3	chr7	75600614	75600623	+	0.000	0.000	Merged-chr7-75600674-52
NR3307--MA0002.2.RUNX1	chr14	55370543	55370553	-	0.000	0.000	Merged-chr14-55370593-10
NR10975--MA0002.2.RUNX1	chrX	159021643	159021653	-	0.000	0.000	Merged-chrX-159021727-36
NR10660--MA0511.2.RUNX2	chr9	108154971	108154979	-	0.000	0.000	Merged-chr9-108154914-20
NR10931--MA0511.2.RUNX2	chrX	98265962	98265970	-	0.000	0.000	Merged-chrX-98266025-47
NR10455--MA0511.2.RUNX2	chr9	75246466	75246474	-	0.000	0.000	Merged-chr9-75246433-36
NR6049--MA0511.2.RUNX2	chr2	128117813	128117821	-	0.000	0.000	Merged-chr2-128117807-36
NR5239--MA0002.2.RUNX1	chr19	10880208	10880218	+	0.000	0.000	Merged-chr19-10880366-39
NR10899--MA0684.1.RUNX3	chrX	71378634	71378643	-	0.000	0.000	Merged-chrX-71378738-26
NR10356--MA0002.2.RUNX1	chr9	54612825	54612835	+	0.000	0.000	Merged-chr9-54612864-43
NR9204--MA0684.1.RUNX3	chr7	49364549	49364558	+	0.000	0.000	Merged-chr7-49364720-42
NR1879--MA0002.2.RUNX1	chr11	97112723	97112733	-	0.000	0.000	Merged-chr11-97112765-38
NR9261--MA0002.2.RUNX1	chr7	67500551	67500561	+	0.000	0.000	Merged-chr7-67500556-27
NR7647--MA0002.2.RUNX1	chr5	23637511	23637521	-	0.000	0.000	Merged-chr5-23637519-38
NR3893--MA0684.1.RUNX3	chr15	85328195	85328204	-	0.000	0.000	Merged-chr15-85328019-32
NR10961--MA0684.1.RUNX3	chrX	140505939	140505948	+	0.000	0.000	Merged-chrX-140506133-71
NR5381--MA0511.2.RUNX2	chr19	40300140	40300148	+	0.000	0.000	Merged-chr19-40300210-18
NR9932--MA0684.1.RUNX3	chr8	79286679	79286688	+	0.000	0.000	Merged-chr8-79286667-44
NR4842--MA0002.2.RUNX1	chr17	86880725	86880735	-	0.000	0.000	Merged-chr17-86880662-37
NR2119--MA0684.1.RUNX3	chr12	10589699	10589708	-	0.000	0.000	Merged-chr12-10589543-1
NR6774--MA0002.2.RUNX1	chr3	129613934	129613944	+	0.000	0.000	Merged-chr3-129613875-22
NR10150--MA0511.2.RUNX2	chr8	124317964	124317972	-	0.000	0.000	Merged-chr8-124317867-82
NR1180--MA0684.1.RUNX3	chr10	80763638	80763647	+	0.000	0.000	Merged-chr10-80763655-40
NR1722--MA0684.1.RUNX3	chr11	67633799	67633808	+	0.000	0.000	Merged-chr11-67633953-18
NR10051--MA0002.2.RUNX1	chr8	112034853	112034863	+	0.000	0.000	Merged-chr8-112034861-32
NR6902--MA0002.2.RUNX1	chr3	146765121	146765131	-	0.000	0.000	Merged-chr3-146765113-32
NR640--MA0511.2.RUNX2	chr1	172197314	172197322	-	0.000	0.000	Merged-chr1-172197316-25
NR7071--MA0002.2.RUNX1	chr4	43937320	43937330	-	0.000	0.000	Merged-chr4-43937152-65
NR1530--MA0511.2.RUNX2	chr11	11766269	11766277	+	0.000	0.000	Merged-chr11-11766225-56
NR5728--MA0002.2.RUNX1	chr2	59167121	59167131	-	0.000	0.000	Merged-chr2-59167123-35
NR1498--MA0684.1.RUNX3	chr11	4339439	4339448	-	0.000	0.000	Merged-chr11-4339426-10
NR9230--MA0511.2.RUNX2	chr7	63999433	63999441	-	0.000	0.000	Merged-chr7-63999373-46
NR3306--MA0684.1.RUNX3	chr14	55370515	55370524	+	0.000	0.000	Merged-chr14-55370593-10
NR8420--MA0002.2.RUNX1	chr6	48818041	48818051	+	0.000	0.000	Merged-chr6-48818082-13
NR8056--MA0511.2.RUNX2	chr5	113670843	113670851	-	0.000	0.000	Merged-chr5-113670817-25
NR9797--MA0002.2.RUNX1	chr8	25060029	25060039	-	0.000	0.000	Merged-chr8-25059963-13
NR7180--MA0002.2.RUNX1	chr4	88115655	88115665	+	0.000	0.000	Merged-chr4-88115597-29
NR1705--MA0511.2.RUNX2	chr11	64116920	64116928	-	0.000	0.000	Merged-chr11-64116814-48
NR10831--MA0684.1.RUNX3	chrX	11647196	11647205	+	0.000	0.000	Merged-chrX-11647127-35
NR8672--MA0002.2.RUNX1	chr6	114680768	114680778	+	0.000	0.000	Merged-chr6-114680975-48
NR1335--MA0002.2.RUNX1	chr10	108168049	108168059	+	0.000	0.000	Merged-chr10-108168166-48
NR10163--MA0511.2.RUNX2	chr8	126200370	126200378	-	0.000	0.000	Merged-chr8-126200294-39
NR10434--MA0511.2.RUNX2	chr9	70080178	70080186	-	0.000	0.000	Merged-chr9-70080238-33
NR7103--MA0002.2.RUNX1	chr4	56114154	56114164	+	0.000	0.000	Merged-chr4-56114012-43
NR7769--MA0002.2.RUNX1	chr5	62772103	62772113	-	0.000	0.000	Merged-chr5-62772215-28
NR6915--MA0002.2.RUNX1	chr3	152127581	152127591	+	0.000	0.000	Merged-chr3-152127515-20
NR9306--MA0002.2.RUNX1	chr7	80167005	80167015	-	0.000	0.000	Merged-chr7-80166871-28
NR5552--MA0684.1.RUNX3	chr2	11040172	11040181	+	0.000	0.000	Merged-chr2-11040200-20
NR431--MA0684.1.RUNX3	chr1	135268209	135268218	+	0.000	0.000	Merged-chr1-135268339-27
NR10464--MA0684.1.RUNX3	chr9	75805158	75805167	+	0.000	0.000	Merged-chr9-75805166-16
NR825--MA0002.2.RUNX1	chr1	193146437	193146447	-	0.000	0.000	Merged-chr1-193146532-29
NR510--MA0511.2.RUNX2	chr1	152089699	152089707	+	0.000	0.000	Merged-chr1-152089513-11
NR7212--MA0002.2.RUNX1	chr4	97996308	97996318	+	0.000	0.000	Merged-chr4-97996259-58
NR10050--MA0684.1.RUNX3	chr8	112034787	112034796	-	0.000	0.000	Merged-chr8-112034861-32
NR140--MA0002.2.RUNX1	chr1	60744504	60744514	+	0.000	0.000	Merged-chr1-60744410-6
NR6901--MA0684.1.RUNX3	chr3	146758209	146758218	+	0.000	0.000	Merged-chr3-146758289-47
NR8704--MA0002.2.RUNX1	chr6	120119998	120120008	+	0.000	0.000	Merged-chr6-120119917-19
NR1696--MA0002.2.RUNX1	chr11	61699094	61699104	+	0.000	0.000	Merged-chr11-61699049-20
NR3061--MA0511.2.RUNX2	chr13	104863664	104863672	-	0.000	0.000	Merged-chr13-104863787-63
NR10239--MA0002.2.RUNX1	chr9	11579177	11579187	+	0.000	0.000	Merged-chr9-11579132-23
NR62--MA0002.2.RUNX1	chr1	38557783	38557793	-	0.000	0.000	Merged-chr1-38557840-50
NR1176--MA0511.2.RUNX2	chr10	80763638	80763646	+	0.000	0.000	Merged-chr10-80763655-40
NR2522--MA0002.2.RUNX1	chr12	114937092	114937102	+	0.000	0.000	Merged-chr12-114937149-39
NR1447--MA0511.2.RUNX2	chr10	126013825	126013833	-	0.000	0.000	Merged-chr10-126013819-17
NR811--MA0684.1.RUNX3	chr1	192106601	192106610	-	0.000	0.000	Merged-chr1-192106489-61
NR663--MA0002.2.RUNX1	chr1	176950177	176950187	-	0.000	0.000	Merged-chr1-176950373-27
NR934--MA0002.2.RUNX1	chr10	21907895	21907905	-	0.000	0.000	Merged-chr10-21908039-9
NR10967--MA0002.2.RUNX1	chrX	143030812	143030822	+	0.000	0.000	Merged-chrX-143030752-27
NR3584--MA0511.2.RUNX2	chr15	4085775	4085783	+	0.000	0.000	Merged-chr15-4085955-91
NR5165--MA0002.2.RUNX1	chr18	84874255	84874265	+	0.000	0.000	Merged-chr18-84874398-59
NR3904--MA0684.1.RUNX3	chr15	89131568	89131577	+	0.000	0.000	Merged-chr15-89131620-40
NR520--MA0002.2.RUNX1	chr1	153037908	153037918	-	0.000	0.000	Merged-chr1-153037964-21
NR10077--MA0002.2.RUNX1	chr8	116928143	116928153	-	0.000	0.000	Merged-chr8-116928093-15
NR10033--MA0511.2.RUNX2	chr8	110079765	110079773	-	0.000	0.000	Merged-chr8-110079856-46
NR1186--MA0002.2.RUNX1	chr10	81525311	81525321	+	0.000	0.000	Merged-chr10-81525209-7
NR9924--MA0684.1.RUNX3	chr8	78975205	78975214	-	0.000	0.000	Merged-chr8-78975191-34
NR10205--MA0002.2.RUNX1	chr8	128622959	128622969	+	0.000	0.000	Merged-chr8-128622909-9
NR9110--MA0002.2.RUNX1	chr7	27591624	27591634	+	0.000	0.000	Merged-chr7-27591935-152
NR5545--MA0002.2.RUNX1	chr2	9792666	9792676	-	0.000	0.000	Merged-chr2-9792573-15
