#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR1053--MA0463.1.Bcl6	chr16	23608674	23608687	-	0.000	0.000	Merged-chr16-23608841-3
NR1071--MA0463.1.Bcl6	chr16	44321831	44321844	+	0.000	0.000	Merged-chr16-44321913-9
NR2319--MA0731.1.BCL6B	chr7	27196245	27196261	+	0.000	0.000	Merged-chr7-27196117-84
NR2255--MA0463.1.Bcl6	chr6	120470859	120470872	+	0.000	0.000	Merged-chr6-120470872-38
NR148--MA0463.1.Bcl6	chr1	136255787	136255800	-	0.000	0.000	Merged-chr1-136255836-2
NR1826--MA0731.1.BCL6B	chr4	53278267	53278283	-	0.000	0.000	Merged-chr4-53278272-26
NR1510--MA0463.1.Bcl6	chr2	126676037	126676050	+	0.000	0.000	Merged-chr2-126676063-4
NR1141--MA0731.1.BCL6B	chr17	5887463	5887479	-	0.000	0.000	Merged-chr17-5887399-51
NR1412--MA0731.1.BCL6B	chr2	52979409	52979425	-	0.000	0.000	Merged-chr2-52979573-5
NR1837--MA0463.1.Bcl6	chr4	57656576	57656589	+	0.000	0.000	Merged-chr4-57656422-17
NR631--MA0731.1.BCL6B	chr13	14011559	14011575	+	0.000	0.000	Merged-chr13-14011718-22
NR1672--MA0463.1.Bcl6	chr3	97297577	97297590	+	0.000	0.000	Merged-chr3-97297834-52
NR2650--MA0463.1.Bcl6	chr9	96167362	96167375	+	0.000	0.000	Merged-chr9-96167406-22
NR2681--MA0731.1.BCL6B	chrX	8252416	8252432	-	0.000	0.000	Merged-chrX-8252507-67
NR1778--MA0731.1.BCL6B	chr4	8792355	8792371	+	0.000	0.000	Merged-chr4-8792257-5
NR1906--MA0731.1.BCL6B	chr4	108460927	108460943	-	0.000	0.000	Merged-chr4-108460975-1
NR602--MA0731.1.BCL6B	chr12	117173460	117173476	-	0.000	0.000	Merged-chr12-117173433-4
NR1659--MA0463.1.Bcl6	chr3	88043087	88043100	+	0.000	0.000	Merged-chr3-88043136-39
NR1330--MA0731.1.BCL6B	chr19	14598236	14598252	+	0.000	0.000	Merged-chr19-14598034-110
NR561--MA0463.1.Bcl6	chr12	73671716	73671729	+	0.000	0.000	Merged-chr12-73671742-5
NR418--MA0463.1.Bcl6	chr11	24284276	24284289	+	0.000	0.000	Merged-chr11-24284420-3
NR1234--MA0731.1.BCL6B	chr17	88405208	88405224	+	0.000	0.000	Merged-chr17-88405254-11
NR724--MA0731.1.BCL6B	chr13	93355319	93355335	+	0.000	0.000	Merged-chr13-93355176-15
NR2664--MA0463.1.Bcl6	chr9	106306858	106306871	+	0.000	0.000	Merged-chr9-106306956-36
NR1866--MA0731.1.BCL6B	chr4	86739316	86739332	+	0.000	0.000	Merged-chr4-86739424-15
NR454--MA0463.1.Bcl6	chr11	75533410	75533423	-	0.000	0.000	Merged-chr11-75533258-32
NR1356--MA0731.1.BCL6B	chr19	60310813	60310829	-	0.000	0.000	Merged-chr19-60310774-21
NR2436--MA0463.1.Bcl6	chr7	139068522	139068535	+	0.000	0.000	Merged-chr7-139068338-42
NR105--MA0463.1.Bcl6	chr1	88578415	88578428	-	0.000	0.000	Merged-chr1-88578300-28
NR1364--MA0463.1.Bcl6	chr2	9200785	9200798	-	0.000	0.000	Merged-chr2-9200570-11
NR1006--MA0463.1.Bcl6	chr15	100845568	100845581	-	0.000	0.000	Merged-chr15-100845371-50
NR1812--MA0463.1.Bcl6	chr4	40781446	40781459	-	0.000	0.000	Merged-chr4-40781341-5
NR921--MA0731.1.BCL6B	chr15	5144593	5144609	+	0.000	0.000	Merged-chr15-5144505-4
NR1064--MA0731.1.BCL6B	chr16	31683791	31683807	+	0.000	0.000	Merged-chr16-31683796-20
NR1942--MA0463.1.Bcl6	chr4	134767951	134767964	-	0.000	0.000	Merged-chr4-134767796-55
NR62--MA0731.1.BCL6B	chr1	59923361	59923377	-	0.000	0.000	Merged-chr1-59923331-34
NR2016--MA0463.1.Bcl6	chr5	35713917	35713930	+	0.000	0.000	Merged-chr5-35713868-16
NR1938--MA0463.1.Bcl6	chr4	133073286	133073299	-	0.000	0.000	Merged-chr4-133073490-32
NR388--MA0463.1.Bcl6	chr10	122578750	122578763	+	0.000	0.000	Merged-chr10-122578660-68
NR173--MA0463.1.Bcl6	chr1	161713000	161713013	-	0.000	0.000	Merged-chr1-161713119-39
NR2164--MA0463.1.Bcl6	chr6	30340652	30340665	-	0.000	0.000	Merged-chr6-30340459-13
NR860--MA0731.1.BCL6B	chr14	57910804	57910820	-	0.000	0.000	Merged-chr14-57910674-41
NR13--MA0463.1.Bcl6	chr1	12875753	12875766	-	0.000	0.000	Merged-chr1-12875704-39
NR1880--MA0463.1.Bcl6	chr4	95053371	95053384	-	0.000	0.000	Merged-chr4-95053399-2
NR2603--MA0463.1.Bcl6	chr9	56995099	56995112	-	0.000	0.000	Merged-chr9-56995243-79
NR2474--MA0731.1.BCL6B	chr8	41443766	41443782	+	0.000	0.000	Merged-chr8-41443750-12
NR1518--MA0463.1.Bcl6	chr2	132607901	132607914	+	0.000	0.000	Merged-chr2-132607891-50
NR27--MA0463.1.Bcl6	chr1	23321543	23321556	+	0.000	0.000	Merged-chr1-23321414-28
NR729--MA0463.1.Bcl6	chr13	95685910	95685923	+	0.000	0.000	Merged-chr13-95685937-61
NR45--MA0463.1.Bcl6	chr1	36445320	36445333	+	0.000	0.000	Merged-chr1-36445137-58
NR1442--MA0463.1.Bcl6	chr2	71051812	71051825	-	0.000	0.000	Merged-chr2-71051882-1
NR868--MA0463.1.Bcl6	chr14	74977128	74977141	-	0.000	0.000	Merged-chr14-74977138-7
NR1769--MA0463.1.Bcl6	chr3	156550813	156550826	+	0.000	0.000	Merged-chr3-156550805-1
NR865--MA0731.1.BCL6B	chr14	70076773	70076789	+	0.000	0.000	Merged-chr14-70076912-39
NR1136--MA0731.1.BCL6B	chr16	97272486	97272502	-	0.000	0.000	Merged-chr16-97272459-57
NR1572--MA0463.1.Bcl6	chr2	165889049	165889062	-	0.000	0.000	Merged-chr2-165889031-9
NR2703--MA0731.1.BCL6B	chrX	100494214	100494230	-	0.000	0.000	Merged-chrX-100494288-61
NR2680--MA0463.1.Bcl6	chrX	8132522	8132535	+	0.000	0.000	Merged-chrX-8132452-84
NR573--MA0731.1.BCL6B	chr12	86891613	86891629	+	0.000	0.000	Merged-chr12-86891663-3
NR368--MA0731.1.BCL6B	chr10	105292902	105292918	-	0.000	0.000	Merged-chr10-105293001-1
NR2684--MA0731.1.BCL6B	chrX	13370534	13370550	+	0.000	0.000	Merged-chrX-13370495-7
NR225--MA0731.1.BCL6B	chr1	189936882	189936898	+	0.000	0.000	Merged-chr1-189936861-20
NR1367--MA0731.1.BCL6B	chr2	11118760	11118776	-	0.000	0.000	Merged-chr2-11118835-29
NR2697--MA0731.1.BCL6B	chrX	52760345	52760361	-	0.000	0.000	Merged-chrX-52760494-47
NR172--MA0731.1.BCL6B	chr1	161660902	161660918	+	0.000	0.000	Merged-chr1-161660991-11
NR2461--MA0463.1.Bcl6	chr8	34047020	34047033	+	0.000	0.000	Merged-chr8-34046985-6
NR1161--MA0463.1.Bcl6	chr17	17567233	17567246	+	0.000	0.000	Merged-chr17-17567389-12
NR493--MA0463.1.Bcl6	chr12	8326926	8326939	+	0.000	0.000	Merged-chr12-8326967-30
NR2437--MA0731.1.BCL6B	chr7	139068519	139068535	-	0.000	0.000	Merged-chr7-139068338-42
NR1054--MA0463.1.Bcl6	chr16	23988588	23988601	+	0.000	0.000	Merged-chr16-23988801-56
NR2381--MA0463.1.Bcl6	chr7	83564940	83564953	-	0.000	0.000	Merged-chr7-83565043-35
NR401--MA0731.1.BCL6B	chr11	4704383	4704399	+	0.000	0.000	Merged-chr11-4704501-78
NR1166--MA0463.1.Bcl6	chr17	24251628	24251641	+	0.000	0.000	Merged-chr17-24251490-51
NR1072--MA0463.1.Bcl6	chr16	44321829	44321842	-	0.000	0.000	Merged-chr16-44321913-9
NR557--MA0731.1.BCL6B	chr12	69529960	69529976	-	0.000	0.000	Merged-chr12-69529974-44
NR1511--MA0463.1.Bcl6	chr2	126676219	126676232	-	0.000	0.000	Merged-chr2-126676063-4
NR2429--MA0731.1.BCL6B	chr7	126230773	126230789	-	0.000	0.000	Merged-chr7-126230639-34
NR1838--MA0463.1.Bcl6	chr4	58081258	58081271	+	0.000	0.000	Merged-chr4-58081365-7
NR167--MA0463.1.Bcl6	chr1	159390151	159390164	-	0.000	0.000	Merged-chr1-159390218-34
NR400--MA0463.1.Bcl6	chr11	3931994	3932007	+	0.000	0.000	Merged-chr11-3931934-36
NR727--MA0463.1.Bcl6	chr13	94381827	94381840	+	0.000	0.000	Merged-chr13-94381981-20
NR1413--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR1655--MA0463.1.Bcl6	chr3	84581905	84581918	+	0.000	0.000	Merged-chr3-84581913-3
NR2321--MA0731.1.BCL6B	chr7	28372749	28372765	-	0.000	0.000	Merged-chr7-28372841-69
NR1776--MA0463.1.Bcl6	chr4	6817584	6817597	+	0.000	0.000	Merged-chr4-6817535-45
NR2651--MA0463.1.Bcl6	chr9	96515933	96515946	-	0.000	0.000	Merged-chr9-96515884-18
NR1427--MA0463.1.Bcl6	chr2	60880863	60880876	+	0.000	0.000	Merged-chr2-60880763-2
NR2605--MA0731.1.BCL6B	chr9	57836947	57836963	-	0.000	0.000	Merged-chr9-57836875-58
NR2129--MA0731.1.BCL6B	chr5	145201539	145201555	+	0.000	0.000	Merged-chr5-145201700-67
NR507--MA0731.1.BCL6B	chr12	24565591	24565607	-	0.000	0.000	Merged-chr12-24565518-17
NR1217--MA0463.1.Bcl6	chr17	79100012	79100025	-	0.000	0.000	Merged-chr17-79100085-51
NR1329--MA0463.1.Bcl6	chr19	14598236	14598249	-	0.000	0.000	Merged-chr19-14598034-110
NR2565--MA0731.1.BCL6B	chr8	126422087	126422103	+	0.000	0.000	Merged-chr8-126422027-2
NR358--MA0731.1.BCL6B	chr10	98785560	98785576	+	0.000	0.000	Merged-chr10-98785565-23
NR2683--MA0463.1.Bcl6	chrX	13370534	13370547	-	0.000	0.000	Merged-chrX-13370495-7
NR1365--MA0463.1.Bcl6	chr2	10343658	10343671	-	0.000	0.000	Merged-chr2-10343676-43
NR482--MA0463.1.Bcl6	chr11	114873360	114873373	-	0.000	0.000	Merged-chr11-114873395-35
NR124--MA0463.1.Bcl6	chr1	106607031	106607044	-	0.000	0.000	Merged-chr1-106607160-12
NR1671--MA0731.1.BCL6B	chr3	96563333	96563349	+	0.000	0.000	Merged-chr3-96563377-23
NR2567--MA0463.1.Bcl6	chr8	127447272	127447285	-	0.000	0.000	Merged-chr8-127447217-34
NR2448--MA0731.1.BCL6B	chr8	13686698	13686714	+	0.000	0.000	Merged-chr8-13686705-81
