#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR64164--MA0741.1.KLF16	chr8	94703561	94703571	-	0.000	0.000	Merged-chr8-94703693-158
NR44497--MA0493.1.Klf1	chr4	41507055	41507065	-	0.000	0.000	Merged-chr4-41507096-33
NR33308--MA0741.1.KLF16	chr19	31337343	31337353	-	0.000	0.000	Merged-chr19-31337298-1
NR8539--MA0599.1.KLF5	chr10	122047966	122047975	-	0.000	0.000	Merged-chr10-122047923-4
NR10708--MA0741.1.KLF16	chr11	74838635	74838645	-	0.000	0.000	Merged-chr11-74838839-1
NR10134--MA0740.1.KLF14	chr11	60222930	60222943	-	0.000	0.000	Merged-chr11-60222972-52
NR23398--MA0740.1.KLF14	chr15	79927823	79927836	+	0.000	0.000	Merged-chr15-79927783-58
NR54210--MA0599.1.KLF5	chr6	53068638	53068647	-	0.000	0.000	Merged-chr6-53068337-93
NR1174--MA0599.1.KLF5	chr1	74332604	74332613	+	0.000	0.000	Merged-chr1-74332540-53
NR46372--MA0742.1.Klf12	chr4	119733752	119733766	-	0.000	0.000	Merged-chr4-119733692-69
NR33774--MA0742.1.Klf12	chr19	45998318	45998332	+	0.000	0.000	Merged-chr19-45998382-59
NR34024--MA0599.1.KLF5	chr19	55062151	55062160	+	0.000	0.000	Merged-chr19-55062253-32
NR26141--MA0741.1.KLF16	chr16	78264698	78264708	-	0.000	0.000	Merged-chr16-78264728-2
NR68142--MA1107.1.KLF9	chr9	102834907	102834919	+	0.000	0.000	Merged-chr9-102834749-1
NR49012--MA0741.1.KLF16	chr5	32192287	32192297	-	0.000	0.000	Merged-chr5-32192251-27
NR26980--MA0740.1.KLF14	chr17	6961215	6961228	+	0.000	0.000	Merged-chr17-6961334-74
NR9408--MA0741.1.KLF16	chr11	29515045	29515055	-	0.000	0.000	Merged-chr11-29515062-56
NR9733--MA0657.1.KLF13	chr11	50440164	50440181	+	0.000	0.000	Merged-chr11-50440008-21
NR54755--MA1107.1.KLF9	chr6	86127143	86127155	-	0.000	0.000	Merged-chr6-86127203-6
NR34587--MA0740.1.KLF14	chr2	12923944	12923957	-	0.000	0.000	Merged-chr2-12924162-70
NR23838--MA0742.1.Klf12	chr15	88819427	88819441	-	0.000	0.000	Merged-chr15-88819448-54
NR42089--MA0493.1.Klf1	chr3	107577980	107577990	+	0.000	0.000	Merged-chr3-107578034-11
NR53648--MA0493.1.Klf1	chr6	29467751	29467761	-	0.000	0.000	Merged-chr6-29467922-63
NR50770--MA0740.1.KLF14	chr5	110101286	110101299	+	0.000	0.000	Merged-chr5-110101482-63
NR41134--MA0599.1.KLF5	chr3	84345600	84345609	+	0.000	0.000	Merged-chr3-84345416-77
NR55752--MA0599.1.KLF5	chr6	118593943	118593952	+	0.000	0.000	Merged-chr6-118593680-90
NR25279--MA0039.3.KLF4	chr16	29978020	29978030	-	0.000	0.000	Merged-chr16-29977874-22
NR52143--MA0742.1.Klf12	chr5	135669956	135669970	+	0.000	0.000	Merged-chr5-135669926-12
NR49835--MA0599.1.KLF5	chr5	74704612	74704621	+	0.000	0.000	Merged-chr5-74704453-70
NR57107--MA1107.1.KLF9	chr6	144664961	144664973	+	0.000	0.000	Merged-chr6-144664964-20
NR12271--MA0740.1.KLF14	chr11	104631542	104631555	-	0.000	0.000	Merged-chr11-104631492-24
NR42470--MA0599.1.KLF5	chr3	122466445	122466454	-	0.000	0.000	Merged-chr3-122466256-42
NR17631--MA0741.1.KLF16	chr13	74808096	74808106	-	0.000	0.000	Merged-chr13-74808125-133
NR12445--MA1107.1.KLF9	chr11	109124571	109124583	+	0.000	0.000	Merged-chr11-109124612-1
NR43496--MA0741.1.KLF16	chr3	146207604	146207614	+	0.000	0.000	Merged-chr3-146207752-15
NR62186--MA0599.1.KLF5	chr8	3221122	3221131	+	0.000	0.000	Merged-chr8-3221344-66
NR33494--MA0741.1.KLF16	chr19	38746189	38746199	-	0.000	0.000	Merged-chr19-38746267-36
NR26714--MA1107.1.KLF9	chr16	95761935	95761947	-	0.000	0.000	Merged-chr16-95762105-29
NR40357--MA0493.1.Klf1	chr3	36475724	36475734	+	0.000	0.000	Merged-chr3-36475795-73
NR10023--MA0741.1.KLF16	chr11	58098023	58098033	+	0.000	0.000	Merged-chr11-58098164-53
NR6061--MA0741.1.KLF16	chr10	66920654	66920664	+	0.000	0.000	Merged-chr10-66920672-46
NR48852--MA0493.1.Klf1	chr5	24685861	24685871	+	0.000	0.000	Merged-chr5-24685796-115
NR28666--MA0493.1.Klf1	chr17	46880156	46880166	+	0.000	0.000	Merged-chr17-46880120-39
NR6332--MA0741.1.KLF16	chr10	75060659	75060669	-	0.000	0.000	Merged-chr10-75060687-104
NR51701--MA0493.1.Klf1	chr5	129008591	129008601	+	0.000	0.000	Merged-chr5-129008452-69
NR46429--MA0741.1.KLF16	chr4	120731131	120731141	-	0.000	0.000	Merged-chr4-120731377-66
NR28586--MA0599.1.KLF5	chr17	45686922	45686931	-	0.000	0.000	Merged-chr17-45686924-2
NR19824--MA0493.1.Klf1	chr14	34549235	34549245	+	0.000	0.000	Merged-chr14-34549308-78
NR26393--MA0741.1.KLF16	chr16	90334357	90334367	+	0.000	0.000	Merged-chr16-90334244-28
NR14039--MA0493.1.Klf1	chr12	52383127	52383137	-	0.000	0.000	Merged-chr12-52383146-23
NR28371--MA0599.1.KLF5	chr17	37028703	37028712	-	0.000	0.000	Merged-chr17-37028850-28
NR31577--MA0740.1.KLF14	chr18	69344383	69344396	-	0.000	0.000	Merged-chr18-69344405-52
NR20552--MA0599.1.KLF5	chr14	63606425	63606434	+	0.000	0.000	Merged-chr14-63606739-89
NR21007--MA0741.1.KLF16	chr14	78619066	78619076	-	0.000	0.000	Merged-chr14-78619032-26
NR23262--MA0599.1.KLF5	chr15	77851290	77851299	-	0.000	0.000	Merged-chr15-77851362-6
NR8784--MA1107.1.KLF9	chr10	127643824	127643836	+	0.000	0.000	Merged-chr10-127643888-16
NR34986--MA0741.1.KLF16	chr2	27427071	27427081	-	0.000	0.000	Merged-chr2-27426949-82
NR3201--MA0493.1.Klf1	chr1	165236709	165236719	+	0.000	0.000	Merged-chr1-165236818-106
NR47855--MA0741.1.KLF16	chr4	148167199	148167209	+	0.000	0.000	Merged-chr4-148167175-10
NR25303--MA0599.1.KLF5	chr16	30510676	30510685	+	0.000	0.000	Merged-chr16-30510671-63
NR7109--MA0741.1.KLF16	chr10	83534142	83534152	+	0.000	0.000	Merged-chr10-83533900-47
NR909--MA0599.1.KLF5	chr1	60823144	60823153	-	0.000	0.000	Merged-chr1-60823075-21
NR51951--MA1107.1.KLF9	chr5	134313685	134313697	+	0.000	0.000	Merged-chr5-134313860-43
NR25642--MA1107.1.KLF9	chr16	45742981	45742993	-	0.000	0.000	Merged-chr16-45742884-57
NR14950--MA0740.1.KLF14	chr12	91779236	91779249	-	0.000	0.000	Merged-chr12-91779074-57
NR38477--MA0493.1.Klf1	chr2	151702531	151702541	+	0.000	0.000	Merged-chr2-151702413-39
NR39020--MA1107.1.KLF9	chr2	163203499	163203511	+	0.000	0.000	Merged-chr2-163203461-118
NR63831--MA0599.1.KLF5	chr8	84198570	84198579	-	0.000	0.000	Merged-chr8-84198676-1
NR22704--MA0741.1.KLF16	chr15	58141252	58141262	+	0.000	0.000	Merged-chr15-58141388-72
NR15080--MA0599.1.KLF5	chr12	98920600	98920609	+	0.000	0.000	Merged-chr12-98920565-69
NR58741--MA0740.1.KLF14	chr7	35754531	35754544	+	0.000	0.000	Merged-chr7-35754427-56
NR14372--MA0742.1.Klf12	chr12	71030418	71030432	+	0.000	0.000	Merged-chr12-71030638-56
NR32076--MA1107.1.KLF9	chr18	81521154	81521166	-	0.000	0.000	Merged-chr18-81521002-1
NR52129--MA0599.1.KLF5	chr5	135632605	135632614	+	0.000	0.000	Merged-chr5-135632742-49
NR61095--MA1107.1.KLF9	chr7	125034713	125034725	-	0.000	0.000	Merged-chr7-125034795-1
NR49065--MA0599.1.KLF5	chr5	34196736	34196745	-	0.000	0.000	Merged-chr5-34196616-50
NR9423--MA0599.1.KLF5	chr11	30649083	30649092	+	0.000	0.000	Merged-chr11-30649256-50
NR8535--MA0741.1.KLF16	chr10	122047889	122047899	+	0.000	0.000	Merged-chr10-122047923-4
NR62162--MA0039.3.KLF4	chr7	144470636	144470646	+	0.000	0.000	Merged-chr7-144470746-9
NR32958--MA1107.1.KLF9	chr19	14286613	14286625	+	0.000	0.000	Merged-chr19-14286604-14
NR42662--MA0493.1.Klf1	chr3	127837492	127837502	+	0.000	0.000	Merged-chr3-127837495-68
NR12487--MA0742.1.Klf12	chr11	109611630	109611644	+	0.000	0.000	Merged-chr11-109611660-96
NR50540--MA0599.1.KLF5	chr5	103760639	103760648	+	0.000	0.000	Merged-chr5-103760727-77
NR53250--MA0599.1.KLF5	chr5	150594437	150594446	-	0.000	0.000	Merged-chr5-150594562-11
NR39785--MA0741.1.KLF16	chr2	178239787	178239797	-	0.000	0.000	Merged-chr2-178239621-1
NR42788--MA0599.1.KLF5	chr3	131019727	131019736	+	0.000	0.000	Merged-chr3-131019630-77
NR48954--MA0039.3.KLF4	chr5	30240772	30240782	-	0.000	0.000	Merged-chr5-30240775-35
NR52830--MA0740.1.KLF14	chr5	144358275	144358288	-	0.000	0.000	Merged-chr5-144358177-56
NR59145--MA0742.1.Klf12	chr7	49778327	49778341	+	0.000	0.000	Merged-chr7-49778462-70
NR29480--MA0740.1.KLF14	chr17	74865011	74865024	-	0.000	0.000	Merged-chr17-74864979-18
NR5721--MA0493.1.Klf1	chr10	44483306	44483316	+	0.000	0.000	Merged-chr10-44483317-39
NR34843--MA0741.1.KLF16	chr2	25054333	25054343	+	0.000	0.000	Merged-chr2-25054565-53
NR50736--MA1107.1.KLF9	chr5	108660813	108660825	-	0.000	0.000	Merged-chr5-108660605-68
NR44726--MA0657.1.KLF13	chr4	45018579	45018596	-	0.000	0.000	Merged-chr4-45018744-59
NR59552--MA0599.1.KLF5	chr7	75863433	75863442	-	0.000	0.000	Merged-chr7-75863636-9
NR55398--MA0493.1.Klf1	chr6	108895258	108895268	+	0.000	0.000	Merged-chr6-108895381-27
NR3528--MA0493.1.Klf1	chr1	173508872	173508882	-	0.000	0.000	Merged-chr1-173508831-21
NR58154--MA0741.1.KLF16	chr7	24481951	24481961	+	0.000	0.000	Merged-chr7-24481860-36
NR62401--MA0599.1.KLF5	chr8	12756983	12756992	-	0.000	0.000	Merged-chr8-12757081-86
NR3064--MA0741.1.KLF16	chr1	161748417	161748427	-	0.000	0.000	Merged-chr1-161748373-32
NR2236--MA1107.1.KLF9	chr1	134344574	134344586	-	0.000	0.000	Merged-chr1-134344743-32
NR34596--MA1107.1.KLF9	chr2	12924052	12924064	-	0.000	0.000	Merged-chr2-12924162-70
NR12491--MA0599.1.KLF5	chr11	109611763	109611772	+	0.000	0.000	Merged-chr11-109611660-96
NR3448--MA0599.1.KLF5	chr1	171699277	171699286	+	0.000	0.000	Merged-chr1-171699154-28
NR52393--MA0599.1.KLF5	chr5	138619765	138619774	+	0.000	0.000	Merged-chr5-138619664-54
NR6023--MA0493.1.Klf1	chr10	62726133	62726143	-	0.000	0.000	Merged-chr10-62726030-37
NR28679--MA1107.1.KLF9	chr17	47171159	47171171	-	0.000	0.000	Merged-chr17-47171280-54
NR57359--MA0599.1.KLF5	chr6	147366198	147366207	+	0.000	0.000	Merged-chr6-147366310-2
NR63061--MA0599.1.KLF5	chr8	61224155	61224164	+	0.000	0.000	Merged-chr8-61224285-72
NR33398--MA0741.1.KLF16	chr19	34846574	34846584	-	0.000	0.000	Merged-chr19-34846685-64
NR64130--MA0741.1.KLF16	chr8	94183279	94183289	+	0.000	0.000	Merged-chr8-94183356-48
NR5547--MA0742.1.Klf12	chr10	40400500	40400514	+	0.000	0.000	Merged-chr10-40400528-9
NR33003--MA0741.1.KLF16	chr19	15883311	15883321	-	0.000	0.000	Merged-chr19-15883225-34
NR12213--MA0493.1.Klf1	chr11	103267523	103267533	+	0.000	0.000	Merged-chr11-103267533-59
NR37849--MA0599.1.KLF5	chr2	132669326	132669335	+	0.000	0.000	Merged-chr2-132669439-31
NR9893--MA0599.1.KLF5	chr11	54002529	54002538	+	0.000	0.000	Merged-chr11-54002404-3
NR46440--MA0740.1.KLF14	chr4	120854746	120854759	+	0.000	0.000	Merged-chr4-120854918-43
NR26831--MA0493.1.Klf1	chr16	97462527	97462537	-	0.000	0.000	Merged-chr16-97462478-3
NR19837--MA1107.1.KLF9	chr14	34768543	34768555	+	0.000	0.000	Merged-chr14-34768619-7
NR10298--MA0599.1.KLF5	chr11	65807148	65807157	+	0.000	0.000	Merged-chr11-65807044-98
NR5613--MA1107.1.KLF9	chr10	42269538	42269550	+	0.000	0.000	Merged-chr10-42269495-58
NR70171--MA0599.1.KLF5	chrX	112311460	112311469	+	0.000	0.000	Merged-chrX-112311512-60
NR55770--MA0599.1.KLF5	chr6	119199131	119199140	+	0.000	0.000	Merged-chr6-119199024-52
NR60294--MA0741.1.KLF16	chr7	101504768	101504778	-	0.000	0.000	Merged-chr7-101504709-13
NR44826--MA0740.1.KLF14	chr4	46507481	46507494	+	0.000	0.000	Merged-chr4-46507538-69
NR27348--MA0493.1.Klf1	chr17	21535509	21535519	-	0.000	0.000	Merged-chr17-21535383-93
NR53371--MA0599.1.KLF5	chr6	4749386	4749395	+	0.000	0.000	Merged-chr6-4749300-25
NR11353--MA0741.1.KLF16	chr11	88595769	88595779	+	0.000	0.000	Merged-chr11-88595910-28
NR39437--MA0741.1.KLF16	chr2	169398380	169398390	-	0.000	0.000	Merged-chr2-169398588-9
NR52038--MA0741.1.KLF16	chr5	134932338	134932348	-	0.000	0.000	Merged-chr5-134932473-29
NR52211--MA0740.1.KLF14	chr5	135903790	135903803	-	0.000	0.000	Merged-chr5-135903918-23
NR60565--MA0741.1.KLF16	chr7	110221681	110221691	-	0.000	0.000	Merged-chr7-110221778-96
NR5166--MA0493.1.Klf1	chr10	18193273	18193283	-	0.000	0.000	Merged-chr10-18193414-42
NR63924--MA1107.1.KLF9	chr8	85492412	85492424	+	0.000	0.000	Merged-chr8-85492637-59
NR7218--MA0741.1.KLF16	chr10	86021907	86021917	-	0.000	0.000	Merged-chr10-86022093-75
NR50260--MA0740.1.KLF14	chr5	93267528	93267541	+	0.000	0.000	Merged-chr5-93267720-160
NR13675--MA0599.1.KLF5	chr12	25143692	25143701	-	0.000	0.000	Merged-chr12-25143690-13
NR37757--MA0741.1.KLF16	chr2	130906407	130906417	+	0.000	0.000	Merged-chr2-130906515-68
NR40375--MA0493.1.Klf1	chr3	36613427	36613437	+	0.000	0.000	Merged-chr3-36613405-48
NR39557--MA0039.3.KLF4	chr2	172440459	172440469	+	0.000	0.000	Merged-chr2-172440509-70
NR65796--MA0599.1.KLF5	chr9	22165114	22165123	-	0.000	0.000	Merged-chr9-22165025-24
NR33852--MA0599.1.KLF5	chr19	47356634	47356643	-	0.000	0.000	Merged-chr19-47356691-46
NR622--MA0741.1.KLF16	chr1	44101583	44101593	+	0.000	0.000	Merged-chr1-44101717-6
NR66333--MA0741.1.KLF16	chr9	48795119	48795129	-	0.000	0.000	Merged-chr9-48795268-19
NR33255--MA0741.1.KLF16	chr19	29355212	29355222	+	0.000	0.000	Merged-chr19-29355447-56
NR10--MA0599.1.KLF5	chr1	4857771	4857780	-	0.000	0.000	Merged-chr1-4858004-101
NR56268--MA1107.1.KLF9	chr6	128839162	128839174	+	0.000	0.000	Merged-chr6-128839257-138
NR68291--MA0599.1.KLF5	chr9	106160137	106160146	-	0.000	0.000	Merged-chr9-106160171-45
NR48167--MA0740.1.KLF14	chr4	152138937	152138950	-	0.000	0.000	Merged-chr4-152138737-60
NR10081--MA0740.1.KLF14	chr11	59384666	59384679	+	0.000	0.000	Merged-chr11-59384734-17
NR34449--MA0493.1.Klf1	chr2	5747802	5747812	+	0.000	0.000	Merged-chr2-5747765-15
NR60472--MA0599.1.KLF5	chr7	107595027	107595036	-	0.000	0.000	Merged-chr7-107594871-89
NR8463--MA0599.1.KLF5	chr10	121420263	121420272	+	0.000	0.000	Merged-chr10-121420246-43
NR40286--MA0599.1.KLF5	chr3	30995754	30995763	-	0.000	0.000	Merged-chr3-30995800-69
NR64924--MA0741.1.KLF16	chr8	120114105	120114115	-	0.000	0.000	Merged-chr8-120114148-66
NR23221--MA0740.1.KLF14	chr15	77071683	77071696	-	0.000	0.000	Merged-chr15-77071598-27
NR36632--MA0741.1.KLF16	chr2	91957408	91957418	-	0.000	0.000	Merged-chr2-91957300-36
NR54717--MA0741.1.KLF16	chr6	85374727	85374737	+	0.000	0.000	Merged-chr6-85374701-69
NR18942--MA0740.1.KLF14	chr13	111725421	111725434	+	0.000	0.000	Merged-chr13-111725455-80
NR50186--MA0493.1.Klf1	chr5	91517629	91517639	-	0.000	0.000	Merged-chr5-91517668-20
NR24892--MA0039.3.KLF4	chr16	10958475	10958485	+	0.000	0.000	Merged-chr16-10958757-32
NR26425--MA0741.1.KLF16	chr16	90810574	90810584	-	0.000	0.000	Merged-chr16-90810372-70
NR61530--MA0493.1.Klf1	chr7	132576463	132576473	+	0.000	0.000	Merged-chr7-132576269-107
NR39862--MA0740.1.KLF14	chr2	180042431	180042444	+	0.000	0.000	Merged-chr2-180042476-118
NR9521--MA0493.1.Klf1	chr11	35446919	35446929	-	0.000	0.000	Merged-chr11-35446903-8
NR47821--MA0741.1.KLF16	chr4	148038690	148038700	-	0.000	0.000	Merged-chr4-148038906-70
NR47074--MA0741.1.KLF16	chr4	134372586	134372596	+	0.000	0.000	Merged-chr4-134372505-25
NR47994--MA0039.3.KLF4	chr4	150029911	150029921	-	0.000	0.000	Merged-chr4-150029862-9
NR70363--MA0493.1.Klf1	chrX	152016301	152016311	-	0.000	0.000	Merged-chrX-152016475-78
NR41264--MA0599.1.KLF5	chr3	89091059	89091068	-	0.000	0.000	Merged-chr3-89091071-26
NR26863--MA0599.1.KLF5	chr17	3314331	3314340	-	0.000	0.000	Merged-chr17-3314377-47
NR30381--MA0599.1.KLF5	chr18	20896434	20896443	-	0.000	0.000	Merged-chr18-20896385-98
NR29573--MA0599.1.KLF5	chr17	78835665	78835674	+	0.000	0.000	Merged-chr17-78835526-79
NR58263--MA0741.1.KLF16	chr7	25282070	25282080	-	0.000	0.000	Merged-chr7-25282176-85
NR66790--MA0741.1.KLF16	chr9	63698601	63698611	-	0.000	0.000	Merged-chr9-63698652-22
