#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR1814--MA0463.1.Bcl6	chr7	97371626	97371639	-	0.000	0.000	Merged-chr7-97371683-55
NR152--MA0463.1.Bcl6	chr1	180906885	180906898	+	0.000	0.000	Merged-chr1-180906986-1
NR891--MA0731.1.BCL6B	chr17	86301247	86301263	+	0.000	0.000	Merged-chr17-86301226-81
NR1162--MA0731.1.BCL6B	chr2	150915316	150915332	-	0.000	0.000	Merged-chr2-150915256-26
NR479--MA0463.1.Bcl6	chr12	118411158	118411171	+	0.000	0.000	Merged-chr12-118411153-21
NR2040--MA0463.1.Bcl6	chr9	80332335	80332348	+	0.000	0.000	Merged-chr9-80332405-28
NR1794--MA0731.1.BCL6B	chr7	68286116	68286132	-	0.000	0.000	Merged-chr7-68286059-41
NR1183--MA0463.1.Bcl6	chr2	170520575	170520588	-	0.000	0.000	Merged-chr2-170520657-42
NR1922--MA0731.1.BCL6B	chr8	71537596	71537612	+	0.000	0.000	Merged-chr8-71537469-55
NR2009--MA0463.1.Bcl6	chr9	50414258	50414271	-	0.000	0.000	Merged-chr9-50414250-13
NR1969--MA0731.1.BCL6B	chr8	117673711	117673727	+	0.000	0.000	Merged-chr8-117673653-52
NR1819--MA0463.1.Bcl6	chr7	99468976	99468989	+	0.000	0.000	Merged-chr7-99468692-92
NR64--MA0731.1.BCL6B	chr1	106601003	106601019	-	0.000	0.000	Merged-chr1-106601056-67
NR824--MA0463.1.Bcl6	chr17	12165427	12165440	+	0.000	0.000	Merged-chr17-12165459-54
NR1284--MA0731.1.BCL6B	chr3	123173829	123173845	+	0.000	0.000	Merged-chr3-123173705-1
NR2027--MA0463.1.Bcl6	chr9	66274710	66274723	-	0.000	0.000	Merged-chr9-66274857-15
NR166--MA0463.1.Bcl6	chr1	185193768	185193781	+	0.000	0.000	Merged-chr1-185193700-43
NR740--MA0731.1.BCL6B	chr16	10814859	10814875	+	0.000	0.000	Merged-chr16-10814720-1
NR399--MA0463.1.Bcl6	chr12	35799388	35799401	-	0.000	0.000	Merged-chr12-35799508-49
NR1011--MA0731.1.BCL6B	chr19	56295265	56295281	-	0.000	0.000	Merged-chr19-56295235-24
NR1197--MA0463.1.Bcl6	chr2	180081045	180081058	-	0.000	0.000	Merged-chr2-180080885-21
NR1770--MA0463.1.Bcl6	chr7	27804765	27804778	+	0.000	0.000	Merged-chr7-27804809-45
NR1412--MA0463.1.Bcl6	chr4	101998738	101998751	-	0.000	0.000	Merged-chr4-101998677-38
NR623--MA0463.1.Bcl6	chr14	55603985	55603998	+	0.000	0.000	Merged-chr14-55604128-61
NR1524--MA0463.1.Bcl6	chr5	72167799	72167812	-	0.000	0.000	Merged-chr5-72167906-73
