#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed
NR1689--MA0741.1.KLF16	chr1	91825521	91825531	-	0.000	0.000	Merged-chr1-91825474-20
NR41564--MA0741.1.KLF16	chr3	84480456	84480466	-	0.000	0.000	Merged-chr3-84480339-69
NR53539--MA0742.1.Klf12	chr5	137741613	137741627	-	0.000	0.000	Merged-chr5-137741418-73
NR13517--MA1107.1.KLF9	chr12	12176295	12176307	+	0.000	0.000	Merged-chr12-12176537-33
NR3235--MA0742.1.Klf12	chr1	155742404	155742418	-	0.000	0.000	Merged-chr1-155742292-41
NR16227--MA1107.1.KLF9	chr13	13784334	13784346	-	0.000	0.000	Merged-chr13-13784433-81
NR13396--MA0740.1.KLF14	chr12	8496540	8496553	-	0.000	0.000	Merged-chr12-8496481-10
NR1174--MA0599.1.KLF5	chr1	73940877	73940886	+	0.000	0.000	Merged-chr1-73940938-50
NR54796--MA0740.1.KLF14	chr6	29517305	29517318	-	0.000	0.000	Merged-chr6-29517345-20
NR16903--MA1107.1.KLF9	chr13	51101682	51101694	-	0.000	0.000	Merged-chr13-51101722-7
NR55085--MA0599.1.KLF5	chr6	39348152	39348161	+	0.000	0.000	Merged-chr6-39348126-65
NR46643--MA0742.1.Klf12	chr4	107253785	107253799	-	0.000	0.000	Merged-chr4-107253637-93
NR49033--MA0493.1.Klf1	chr4	155050223	155050233	+	0.000	0.000	Merged-chr4-155050218-26
NR17224--MA0599.1.KLF5	chr13	58359137	58359146	+	0.000	0.000	Merged-chr13-58359164-70
NR26948--MA0599.1.KLF5	chr16	90220989	90220998	+	0.000	0.000	Merged-chr16-90220998-103
NR38285--MA0599.1.KLF5	chr2	131127350	131127359	+	0.000	0.000	Merged-chr2-131127461-8
NR55--MA0741.1.KLF16	chr1	9848214	9848224	-	0.000	0.000	Merged-chr1-9848247-58
NR42089--MA0493.1.Klf1	chr3	96575085	96575095	+	0.000	0.000	Merged-chr3-96575084-6
NR29469--MA0741.1.KLF16	chr17	55959464	55959474	+	0.000	0.000	Merged-chr17-55959368-72
NR69899--MA1107.1.KLF9	chr9	85319577	85319589	-	0.000	0.000	Merged-chr9-85319747-2
NR7425--MA0740.1.KLF14	chr10	84534059	84534072	+	0.000	0.000	Merged-chr10-84533973-56
NR23--MA0740.1.KLF14	chr1	6454097	6454110	+	0.000	0.000	Merged-chr1-6454252-50
NR10065--MA0599.1.KLF5	chr11	50785953	50785962	+	0.000	0.000	Merged-chr11-50786141-3
NR19435--MA0740.1.KLF14	chr14	20803632	20803645	+	0.000	0.000	Merged-chr14-20803678-27
NR590--MA0741.1.KLF16	chr1	40400001	40400011	+	0.000	0.000	Merged-chr1-40399864-38
NR68523--MA0741.1.KLF16	chr9	46012747	46012757	+	0.000	0.000	Merged-chr9-46012745-59
NR17360--MA0741.1.KLF16	chr13	63567789	63567799	-	0.000	0.000	Merged-chr13-63568018-54
NR8883--MA0741.1.KLF16	chr10	127188917	127188927	+	0.000	0.000	Merged-chr10-127189101-51
NR46224--MA1107.1.KLF9	chr4	87669660	87669672	+	0.000	0.000	Merged-chr4-87669731-33
NR58884--MA0740.1.KLF14	chr7	6286455	6286468	-	0.000	0.000	Merged-chr7-6286404-52
NR42470--MA0599.1.KLF5	chr3	104638363	104638372	-	0.000	0.000	Merged-chr3-104638712-128
NR22284--MA0599.1.KLF5	chr15	6624691	6624700	-	0.000	0.000	Merged-chr15-6625020-114
NR12369--MA0741.1.KLF16	chr11	103382152	103382162	+	0.000	0.000	Merged-chr11-103382133-47
NR45466--MA0493.1.Klf1	chr4	53012172	53012182	-	0.000	0.000	Merged-chr4-53012213-75
NR656--MA0741.1.KLF16	chr1	44101586	44101596	+	0.000	0.000	Merged-chr1-44101717-6
NR61901--MA0741.1.KLF16	chr7	105554335	105554345	+	0.000	0.000	Merged-chr7-105554530-56
NR10732--MA0599.1.KLF5	chr11	69094967	69094976	-	0.000	0.000	Merged-chr11-69095094-65
NR37283--MA0039.3.KLF4	chr2	101209305	101209315	+	0.000	0.000	Merged-chr2-101209230-18
NR27589--MA1107.1.KLF9	chr17	8372447	8372459	+	0.000	0.000	Merged-chr17-8372379-108
NR66811--MA0740.1.KLF14	chr8	115568530	115568543	+	0.000	0.000	Merged-chr8-115568627-19
NR8949--MA0741.1.KLF16	chr10	127621763	127621773	+	0.000	0.000	Merged-chr10-127621595-57
NR71211--MA0493.1.Klf1	chr9	118196828	118196838	-	0.000	0.000	Merged-chr9-118196833-13
NR41421--MA0741.1.KLF16	chr3	79129232	79129242	-	0.000	0.000	Merged-chr3-79129160-12
NR57685--MA0493.1.Klf1	chr6	128227933	128227943	-	0.000	0.000	Merged-chr6-128227783-25
NR72196--MA0740.1.KLF14	chrX	73921995	73922008	-	0.000	0.000	Merged-chrX-73921958-51
NR5815--MA0493.1.Klf1	chr10	42934813	42934823	-	0.000	0.000	Merged-chr10-42934777-29
NR56393--MA1107.1.KLF9	chr6	91878066	91878078	-	0.000	0.000	Merged-chr6-91878167-58
NR26393--MA0741.1.KLF16	chr16	59639196	59639206	+	0.000	0.000	Merged-chr16-59639250-60
NR13400--MA0741.1.KLF16	chr12	8496540	8496550	-	0.000	0.000	Merged-chr12-8496481-10
NR51907--MA0493.1.Klf1	chr5	111298867	111298877	-	0.000	0.000	Merged-chr5-111298964-4
NR36276--MA0657.1.KLF13	chr2	58194694	58194711	-	0.000	0.000	Merged-chr2-58194790-46
NR49264--MA0741.1.KLF16	chr5	5514540	5514550	+	0.000	0.000	Merged-chr5-5514609-81
NR70392--MA0741.1.KLF16	chr9	101251890	101251900	+	0.000	0.000	Merged-chr9-101251656-72
NR22050--MA1107.1.KLF9	chr14	120830492	120830504	-	0.000	0.000	Merged-chr14-120830600-27
NR71676--MA1107.1.KLF9	chrX	8074619	8074631	-	0.000	0.000	Merged-chrX-8074652-54
NR11588--MA1107.1.KLF9	chr11	88162130	88162142	+	0.000	0.000	Merged-chr11-88161947-43
NR21292--MA0493.1.Klf1	chr14	87044677	87044687	-	0.000	0.000	Merged-chr14-87044537-7
NR31220--MA0599.1.KLF5	chr18	34855239	34855248	+	0.000	0.000	Merged-chr18-34855284-104
NR1207--MA0742.1.Klf12	chr1	74601423	74601437	-	0.000	0.000	Merged-chr1-74601351-54
NR57102--MA0039.3.KLF4	chr6	116682494	116682504	-	0.000	0.000	Merged-chr6-116682504-22
NR25303--MA0599.1.KLF5	chr16	13256612	13256621	-	0.000	0.000	Merged-chr16-13256575-87
NR68469--MA1107.1.KLF9	chr9	44646140	44646152	-	0.000	0.000	Merged-chr9-44646194-52
NR63901--MA0039.3.KLF4	chr7	144470636	144470646	+	0.000	0.000	Merged-chr7-144470746-9
NR41120--MA0493.1.Klf1	chr3	55688153	55688163	-	0.000	0.000	Merged-chr3-55687980-1
NR56917--MA1107.1.KLF9	chr6	112162855	112162867	+	0.000	0.000	Merged-chr6-112162678-1
NR42664--MA0742.1.Klf12	chr3	109407796	109407810	-	0.000	0.000	Merged-chr3-109408017-19
NR34812--MA0599.1.KLF5	chr2	9879650	9879659	-	0.000	0.000	Merged-chr2-9879570-49
NR55873--MA0599.1.KLF5	chr6	72097575	72097584	+	0.000	0.000	Merged-chr6-72097676-68
NR71071--MA0740.1.KLF14	chr9	114933885	114933898	+	0.000	0.000	Merged-chr9-114933914-87
NR40249--MA1107.1.KLF9	chr2	180251485	180251497	-	0.000	0.000	Merged-chr2-180251419-35
NR1008--MA0493.1.Klf1	chr1	65186644	65186654	-	0.000	0.000	Merged-chr1-65186701-72
NR20753--MA0741.1.KLF16	chr14	66232447	66232457	-	0.000	0.000	Merged-chr14-66232261-58
NR513--MA0741.1.KLF16	chr1	39478786	39478796	+	0.000	0.000	Merged-chr1-39478588-52
NR31984--MA0039.3.KLF4	chr18	66471582	66471592	+	0.000	0.000	Merged-chr18-66471661-3
NR362--MA0657.1.KLF13	chr1	35813995	35814012	-	0.000	0.000	Merged-chr1-35813885-25
NR38378--MA1107.1.KLF9	chr2	132379895	132379907	-	0.000	0.000	Merged-chr2-132379852-19
NR53250--MA0599.1.KLF5	chr5	134540096	134540105	-	0.000	0.000	Merged-chr5-134540113-16
