#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR5837--MA0501.1.MAF::NFE2	chr17	31789323	31789337	+	0.000	0.000	Merged-chr17-31789470-34
NR8354--MA0591.1.Bach1::Mafk	chr3	61345900	61345914	+	0.000	0.000	Merged-chr3-61345898-20
NR3122--MA0591.1.Bach1::Mafk	chr13	8385608	8385622	+	0.000	0.000	Merged-chr13-8385507-1
NR12765--MA0495.2.MAFF	chr8	84985336	84985356	+	0.000	0.000	Merged-chr8-84985409-5
NR8817--MA0496.2.MAFK	chr3	133563698	133563716	+	0.000	0.000	Merged-chr3-133563771-42
NR1011--MA0117.2.Mafb	chr1	185404171	185404182	-	0.000	0.000	Merged-chr1-185404130-28
NR6825--MA0501.1.MAF::NFE2	chr19	34501031	34501045	-	0.000	0.000	Merged-chr19-34500926-32
NR1981--MA0089.1.MAFG::NFE2L1	chr10	121474179	121474184	-	0.000	0.000	Merged-chr10-121474163-48
NR9868--MA0089.1.MAFG::NFE2L1	chr4	155207923	155207928	+	0.000	0.000	Merged-chr4-155207729-1
NR5749--MA0089.1.MAFG::NFE2L1	chr17	17766518	17766523	+	0.000	0.000	Merged-chr17-17766663-23
NR5266--MA0495.2.MAFF	chr16	36666059	36666079	-	0.000	0.000	Merged-chr16-36665954-31
NR11745--MA0591.1.Bach1::Mafk	chr7	24082177	24082191	-	0.000	0.000	Merged-chr7-24082240-79
NR12123--MA0089.1.MAFG::NFE2L1	chr7	101302097	101302102	+	0.000	0.000	Merged-chr7-101301960-107
NR9658--MA0501.1.MAF::NFE2	chr4	117202283	117202297	+	0.000	0.000	Merged-chr4-117202479-67
NR8655--MA0501.1.MAF::NFE2	chr3	106449625	106449639	-	0.000	0.000	Merged-chr3-106449359-119
NR10917--MA0591.1.Bach1::Mafk	chr6	41152191	41152205	+	0.000	0.000	Merged-chr6-41152178-27
NR8816--MA0501.1.MAF::NFE2	chr3	133563697	133563711	-	0.000	0.000	Merged-chr3-133563771-42
NR6765--MA0089.1.MAFG::NFE2L1	chr19	9991389	9991394	+	0.000	0.000	Merged-chr19-9991497-15
NR12982--MA0591.1.Bach1::Mafk	chr8	128391561	128391575	-	0.000	0.000	Merged-chr8-128391383-45
NR529--MA0496.2.MAFK	chr1	95263049	95263067	-	0.000	0.000	Merged-chr1-95263160-5
NR9679--MA0089.1.MAFG::NFE2L1	chr4	121016847	121016852	-	0.000	0.000	Merged-chr4-121016870-126
NR1141--MA0117.2.Mafb	chr10	7076368	7076379	+	0.000	0.000	Merged-chr10-7076382-12
NR8661--MA0495.2.MAFF	chr3	107278812	107278832	+	0.000	0.000	Merged-chr3-107279033-49
NR267--MA0501.1.MAF::NFE2	chr1	58734252	58734266	-	0.000	0.000	Merged-chr1-58734414-54
NR2106--MA0659.1.MAFG	chr11	11573642	11573662	+	0.000	0.000	Merged-chr11-11573827-37
NR9651--MA0089.1.MAFG::NFE2L1	chr4	114947349	114947354	-	0.000	0.000	Merged-chr4-114947588-34
NR13144--MA0591.1.Bach1::Mafk	chr9	49489131	49489145	+	0.000	0.000	Merged-chr9-49489147-43
NR3303--MA0117.2.Mafb	chr13	51651721	51651732	+	0.000	0.000	Merged-chr13-51651703-54
NR9599--MA0501.1.MAF::NFE2	chr4	98035568	98035582	-	0.000	0.000	Merged-chr4-98035513-10
NR9751--MA0495.2.MAFF	chr4	142153734	142153754	+	0.000	0.000	Merged-chr4-142153700-30
NR2317--MA0591.1.Bach1::Mafk	chr11	74838655	74838669	+	0.000	0.000	Merged-chr11-74838839-1
NR783--MA0501.1.MAF::NFE2	chr1	144086345	144086359	-	0.000	0.000	Merged-chr1-144086303-34
NR13152--MA0089.1.MAFG::NFE2L1	chr9	54642838	54642843	+	0.000	0.000	Merged-chr9-54642751-52
NR7461--MA0117.2.Mafb	chr2	101993240	101993251	+	0.000	0.000	Merged-chr2-101993125-49
NR3753--MA0496.2.MAFK	chr13	111807869	111807887	-	0.000	0.000	Merged-chr13-111808090-12
