#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR12057--MA0591.1.Bach1::Mafk	chr8	123406971	123406985	-	0.000	0.000	Merged-chr8-123406909-21
NR11773--MA0496.2.MAFK	chr8	70635681	70635699	+	0.000	0.000	Merged-chr8-70635559-11
NR11979--MA0496.2.MAFK	chr8	115618589	115618607	-	0.000	0.000	Merged-chr8-115618419-52
NR8031--MA0089.1.MAFG::NFE2L1	chr3	123444614	123444619	+	0.000	0.000	Merged-chr3-123444791-39
NR10811--MA0659.1.MAFG	chr7	16057370	16057390	+	0.000	0.000	Merged-chr7-16057177-61
NR8743--MA0117.2.Mafb	chr4	115984234	115984245	-	0.000	0.000	Merged-chr4-115984376-24
NR11107--MA0089.1.MAFG::NFE2L1	chr7	80779424	80779429	+	0.000	0.000	Merged-chr7-80779458-48
NR10875--MA0591.1.Bach1::Mafk	chr7	28665734	28665748	+	0.000	0.000	Merged-chr7-28665750-36
NR11297--MA0089.1.MAFG::NFE2L1	chr7	110164796	110164801	-	0.000	0.000	Merged-chr7-110164691-100
NR5822--MA0501.1.MAF::NFE2	chr18	39031391	39031405	-	0.000	0.000	Merged-chr18-39031215-33
NR2060--MA0591.1.Bach1::Mafk	chr11	55461093	55461107	+	0.000	0.000	Merged-chr11-55461087-74
NR10959--MA0089.1.MAFG::NFE2L1	chr7	45771381	45771386	+	0.000	0.000	Merged-chr7-45771241-24
NR271--MA0591.1.Bach1::Mafk	chr1	75486720	75486734	+	0.000	0.000	Merged-chr1-75486810-6
