#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR712--MA0508.2.PRDM1	chr14	62761108	62761117	+	0.000	0.000	Merged-chr14-62761015-141
NR1506--MA0508.2.PRDM1	chr4	130900038	130900047	+	0.000	0.000	Merged-chr4-130900085-53
NR834--MA0508.2.PRDM1	chr16	18443709	18443718	+	0.000	0.000	Merged-chr16-18443657-29
NR1519--MA0508.2.PRDM1	chr4	139330790	139330799	+	0.000	0.000	Merged-chr4-139330878-48
NR1214--MA0508.2.PRDM1	chr2	121511679	121511688	+	0.000	0.000	Merged-chr2-121511602-35
NR781--MA0508.2.PRDM1	chr15	58887951	58887960	-	0.000	0.000	Merged-chr15-58888033-1
NR1227--MA0508.2.PRDM1	chr2	131171444	131171453	-	0.000	0.000	Merged-chr2-131171602-23
NR380--MA0508.2.PRDM1	chr11	72954003	72954012	-	0.000	0.000	Merged-chr11-72953852-64
NR97--MA0508.2.PRDM1	chr1	143653899	143653908	+	0.000	0.000	Merged-chr1-143653917-44
NR63--MA0508.2.PRDM1	chr1	95605707	95605716	+	0.000	0.000	Merged-chr1-95605725-17
NR393--MA0508.2.PRDM1	chr11	83662446	83662455	+	0.000	0.000	Merged-chr11-83662452-14
NR1283--MA0508.2.PRDM1	chr3	5272106	5272115	-	0.000	0.000	Merged-chr3-5272073-63
NR1349--MA0508.2.PRDM1	chr3	104641014	104641023	-	0.000	0.000	Merged-chr3-104641156-30
NR2090--MA0508.2.PRDM1	chr9	60991674	60991683	+	0.000	0.000	Merged-chr9-60991715-48
NR1044--MA0508.2.PRDM1	chr18	84857104	84857113	+	0.000	0.000	Merged-chr18-84857209-14
NR1219--MA0508.2.PRDM1	chr2	127131459	127131468	-	0.000	0.000	Merged-chr2-127131488-25
NR786--MA0508.2.PRDM1	chr15	61539046	61539055	+	0.000	0.000	Merged-chr15-61539170-27
NR1057--MA0508.2.PRDM1	chr19	9984228	9984237	+	0.000	0.000	Merged-chr19-9984381-24
NR1328--MA0508.2.PRDM1	chr3	89730749	89730758	-	0.000	0.000	Merged-chr3-89730861-61
NR481--MA0508.2.PRDM1	chr12	84175876	84175885	+	0.000	0.000	Merged-chr12-84175952-55
NR404--MA0508.2.PRDM1	chr11	92904896	92904905	+	0.000	0.000	Merged-chr11-92904902-1
NR385--MA0508.2.PRDM1	chr11	75538881	75538890	+	0.000	0.000	Merged-chr11-75538984-27
NR927--MA0508.2.PRDM1	chr17	33824544	33824553	+	0.000	0.000	Merged-chr17-33824550-48
NR1307--MA0508.2.PRDM1	chr3	51583814	51583823	-	0.000	0.000	Merged-chr3-51583913-17
NR2191--MA0508.2.PRDM1	chrX	101429573	101429582	+	0.000	0.000	Merged-chrX-101429503-77
NR1288--MA0508.2.PRDM1	chr3	21838229	21838238	+	0.000	0.000	Merged-chr3-21838264-19
NR9--MA0508.2.PRDM1	chr1	20820395	20820404	+	0.000	0.000	Merged-chr1-20820206-62
NR731--MA0508.2.PRDM1	chr14	76152654	76152663	-	0.000	0.000	Merged-chr14-76152800-92
NR221--MA0508.2.PRDM1	chr10	39908940	39908949	-	0.000	0.000	Merged-chr10-39908965-34
NR2061--MA0508.2.PRDM1	chr9	22366938	22366947	+	0.000	0.000	Merged-chr9-22366928-17
NR853--MA0508.2.PRDM1	chr16	33685655	33685664	-	0.000	0.000	Merged-chr16-33685543-14
NR919--MA0508.2.PRDM1	chr17	26551377	26551386	+	0.000	0.000	Merged-chr17-26551311-33
NR234--MA0508.2.PRDM1	chr10	52382205	52382214	-	0.000	0.000	Merged-chr10-52382064-99
NR505--MA0508.2.PRDM1	chr12	110381461	110381470	-	0.000	0.000	Merged-chr12-110381552-59
NR343--MA0508.2.PRDM1	chr11	21569329	21569338	-	0.000	0.000	Merged-chr11-21569385-20
NR409--MA0508.2.PRDM1	chr11	97104325	97104334	+	0.000	0.000	Merged-chr11-97104187-33
NR866--MA0508.2.PRDM1	chr16	49772880	49772889	-	0.000	0.000	Merged-chr16-49772867-33
NR452--MA0508.2.PRDM1	chr12	32006713	32006722	+	0.000	0.000	Merged-chr12-32006631-21
NR975--MA0508.2.PRDM1	chr17	88598977	88598986	+	0.000	0.000	Merged-chr17-88599180-35
NR26--MA0508.2.PRDM1	chr1	52274472	52274481	+	0.000	0.000	Merged-chr1-52274408-12
NR561--MA0508.2.PRDM1	chr13	21579906	21579915	-	0.000	0.000	Merged-chr13-21579773-26
NR213--MA0508.2.PRDM1	chr10	22148954	22148963	-	0.000	0.000	Merged-chr10-22148932-76
NR845--MA0508.2.PRDM1	chr16	25970372	25970381	+	0.000	0.000	Merged-chr16-25970446-35
NR431--MA0508.2.PRDM1	chr11	111795841	111795850	-	0.000	0.000	Merged-chr11-111795733-12
NR1097--MA0508.2.PRDM1	chr19	43571342	43571351	+	0.000	0.000	Merged-chr19-43571259-40
NR858--MA0508.2.PRDM1	chr16	36598500	36598509	+	0.000	0.000	Merged-chr16-36598490-46
NR715--MA0508.2.PRDM1	chr14	64434207	64434216	-	0.000	0.000	Merged-chr14-64434245-45
NR239--MA0508.2.PRDM1	chr10	57753280	57753289	+	0.000	0.000	Merged-chr10-57753371-62
NR967--MA0508.2.PRDM1	chr17	84032735	84032744	+	0.000	0.000	Merged-chr17-84032623-33
NR1701--MA0508.2.PRDM1	chr6	50416936	50416945	+	0.000	0.000	Merged-chr6-50417055-62
NR18--MA0508.2.PRDM1	chr1	39559124	39559133	+	0.000	0.000	Merged-chr1-39559167-24
NR282--MA0508.2.PRDM1	chr10	94545658	94545667	-	0.000	0.000	Merged-chr10-94545691-55
NR619--MA0508.2.PRDM1	chr13	92354948	92354957	+	0.000	0.000	Merged-chr13-92354723-122
NR391--MA0508.2.PRDM1	chr11	79790477	79790486	+	0.000	0.000	Merged-chr11-79790505-24
NR186--MA0508.2.PRDM1	chr1	192730830	192730839	+	0.000	0.000	Merged-chr1-192730717-13
NR2037--MA0508.2.PRDM1	chr8	122533265	122533274	+	0.000	0.000	Merged-chr8-122533289-14
NR306--MA0508.2.PRDM1	chr10	118407118	118407127	+	0.000	0.000	Merged-chr10-118407091-36
NR558--MA0508.2.PRDM1	chr13	19139078	19139087	-	0.000	0.000	Merged-chr13-19139213-36
NR415--MA0508.2.PRDM1	chr11	100574826	100574835	+	0.000	0.000	Merged-chr11-100574858-115
NR319--MA0508.2.PRDM1	chr10	127471328	127471337	+	0.000	0.000	Merged-chr10-127471535-20
NR428--MA0508.2.PRDM1	chr11	109722895	109722904	-	0.000	0.000	Merged-chr11-109722883-5
NR2125--MA0508.2.PRDM1	chr9	91362238	91362247	+	0.000	0.000	Merged-chr9-91362188-45
NR1871--MA0508.2.PRDM1	chr7	55986679	55986688	-	0.000	0.000	Merged-chr7-55986784-30
NR375--MA0508.2.PRDM1	chr11	70789449	70789458	-	0.000	0.000	Merged-chr11-70789509-26
NR1980--MA0508.2.PRDM1	chr8	25948927	25948936	+	0.000	0.000	Merged-chr8-25949044-65
NR245--MA0508.2.PRDM1	chr10	62544539	62544548	-	0.000	0.000	Merged-chr10-62544557-11
NR2085--MA0508.2.PRDM1	chr9	56995337	56995346	+	0.000	0.000	Merged-chr9-56995243-79
NR1502--MA0508.2.PRDM1	chr4	129496812	129496821	+	0.000	0.000	Merged-chr4-129496759-24
NR1340--MA0508.2.PRDM1	chr3	96557067	96557076	-	0.000	0.000	Merged-chr3-96557157-22
NR258--MA0508.2.PRDM1	chr10	75424737	75424746	+	0.000	0.000	Merged-chr10-75424715-43
NR1876--MA0508.2.PRDM1	chr7	58829263	58829272	-	0.000	0.000	Merged-chr7-58829355-33
NR1680--MA0508.2.PRDM1	chr5	151686738	151686747	+	0.000	0.000	Merged-chr5-151686934-46
NR359--MA0508.2.PRDM1	chr11	46431307	46431316	-	0.000	0.000	Merged-chr11-46431327-26
NR2199--MA0508.2.PRDM1	chrX	134308039	134308048	+	0.000	0.000	Merged-chrX-134308001-68
NR197--MA0508.2.PRDM1	chr10	7470409	7470418	+	0.000	0.000	Merged-chr10-7470291-37
NR2165--MA0508.2.PRDM1	chrX	7789679	7789688	+	0.000	0.000	Merged-chrX-7789819-46
NR2178--MA0508.2.PRDM1	chrX	70385620	70385629	+	0.000	0.000	Merged-chrX-70385731-95
NR1324--MA0508.2.PRDM1	chr3	83993486	83993495	+	0.000	0.000	Merged-chr3-83993440-19
NR1651--MA0508.2.PRDM1	chr5	124497027	124497036	+	0.000	0.000	Merged-chr5-124497096-41
NR298--MA0508.2.PRDM1	chr10	111156973	111156982	-	0.000	0.000	Merged-chr10-111156928-138
NR1284--MA0508.2.PRDM1	chr3	8667427	8667436	-	0.000	0.000	Merged-chr3-8667385-80
NR1412--MA0508.2.PRDM1	chr3	152193887	152193896	+	0.000	0.000	Merged-chr3-152193769-51
NR30--MA0508.2.PRDM1	chr1	60070884	60070893	+	0.000	0.000	Merged-chr1-60070874-17
NR1521--MA0508.2.PRDM1	chr4	139598954	139598963	+	0.000	0.000	Merged-chr4-139599159-54
NR1773--MA0508.2.PRDM1	chr6	125541002	125541011	+	0.000	0.000	Merged-chr6-125540912-17
NR1481--MA0508.2.PRDM1	chr4	101458550	101458559	+	0.000	0.000	Merged-chr4-101458526-22
NR1308--MA0508.2.PRDM1	chr3	55517379	55517388	-	0.000	0.000	Merged-chr3-55517605-60
NR35--MA0508.2.PRDM1	chr1	66279478	66279487	+	0.000	0.000	Merged-chr1-66279555-43
NR1526--MA0508.2.PRDM1	chr4	145263865	145263874	-	0.000	0.000	Merged-chr4-145263821-10
NR1093--MA0508.2.PRDM1	chr19	34640787	34640796	+	0.000	0.000	Merged-chr19-34640764-45
NR1221--MA0508.2.PRDM1	chr2	127301078	127301087	+	0.000	0.000	Merged-chr2-127301003-17
NR440--MA0508.2.PRDM1	chr12	8500050	8500059	+	0.000	0.000	Merged-chr12-8499918-111
NR1072--MA0508.2.PRDM1	chr19	18766571	18766580	+	0.000	0.000	Merged-chr19-18766611-24
