#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR2710--MA0766.1.GATA5	chr16	44294066	44294073	-	0.000	0.000	Merged-chr16-44294172-8
NR2605--MA0140.2.GATA1::TAL1	chr15	100984043	100984060	-	0.000	0.000	Merged-chr15-100983947-40
NR5808--MA1104.1.GATA6	chr6	141047175	141047187	+	0.000	0.000	Merged-chr6-141047196-1
NR1035--MA1104.1.GATA6	chr11	58189859	58189871	+	0.000	0.000	Merged-chr11-58189839-18
NR3197--MA0766.1.GATA5	chr18	50028363	50028370	+	0.000	0.000	Merged-chr18-50028414-49
NR3458--MA0036.3.GATA2	chr19	33053336	33053346	+	0.000	0.000	Merged-chr19-33053321-32
NR5123--MA1104.1.GATA6	chr5	92398408	92398420	+	0.000	0.000	Merged-chr5-92398390-31
NR3145--MA0035.3.Gata1	chr18	7703682	7703692	+	0.000	0.000	Merged-chr18-7703691-3
NR2333--MA0036.3.GATA2	chr14	105232719	105232729	+	0.000	0.000	Merged-chr14-105232653-27
NR2891--MA0035.3.Gata1	chr17	7927889	7927899	+	0.000	0.000	Merged-chr17-7928003-98
NR3857--MA0037.3.GATA3	chr2	118638376	118638383	-	0.000	0.000	Merged-chr2-118638272-10
NR5077--MA0035.3.Gata1	chr5	64919119	64919129	-	0.000	0.000	Merged-chr5-64918962-32
NR161--MA0035.3.Gata1	chr1	75487548	75487558	+	0.000	0.000	Merged-chr1-75487610-71
NR617--MA0482.1.Gata4	chr10	21791258	21791268	+	0.000	0.000	Merged-chr10-21791159-10
NR3693--MA0140.2.GATA1::TAL1	chr2	59474550	59474567	-	0.000	0.000	Merged-chr2-59474458-28
NR4613--MA0482.1.Gata4	chr4	40773027	40773037	+	0.000	0.000	Merged-chr4-40773188-44
NR6391--MA0140.2.GATA1::TAL1	chr8	71542801	71542818	+	0.000	0.000	Merged-chr8-71542903-45
NR6949--MA0035.3.Gata1	chr9	124281595	124281605	+	0.000	0.000	Merged-chr9-124281557-1
NR5228--MA0482.1.Gata4	chr5	105699707	105699717	-	0.000	0.000	Merged-chr5-105699890-8
NR6009--MA0037.3.GATA3	chr7	80672386	80672393	-	0.000	0.000	Merged-chr7-80672574-36
NR3067--MA0766.1.GATA5	chr17	71491184	71491191	-	0.000	0.000	Merged-chr17-71491103-50
NR2423--MA0482.1.Gata4	chr15	36440112	36440122	-	0.000	0.000	Merged-chr15-36440213-15
NR6992--MA0035.3.Gata1	chrX	77580108	77580118	-	0.000	0.000	Merged-chrX-77580117-37
NR5070--MA0037.3.GATA3	chr5	64472608	64472615	-	0.000	0.000	Merged-chr5-64472447-77
NR3267--MA0035.3.Gata1	chr18	65795609	65795619	+	0.000	0.000	Merged-chr18-65795530-14
NR4929--MA0036.3.GATA2	chr4	154798017	154798027	-	0.000	0.000	Merged-chr4-154798011-18
NR4914--MA1104.1.GATA6	chr4	150938224	150938236	-	0.000	0.000	Merged-chr4-150938152-39
NR734--MA0766.1.GATA5	chr10	75765087	75765094	+	0.000	0.000	Merged-chr10-75765225-18
NR5446--MA0482.1.Gata4	chr6	34156300	34156310	+	0.000	0.000	Merged-chr6-34156229-28
NR4735--MA0140.2.GATA1::TAL1	chr4	101254799	101254816	-	0.000	0.000	Merged-chr4-101254668-139
NR2912--MA0482.1.Gata4	chr17	13654817	13654827	-	0.000	0.000	Merged-chr17-13654932-70
NR5079--MA0482.1.Gata4	chr5	65535551	65535561	+	0.000	0.000	Merged-chr5-65535639-23
NR6607--MA0037.3.GATA3	chr9	7576787	7576794	+	0.000	0.000	Merged-chr9-7576753-19
NR613--MA1104.1.GATA6	chr10	21268929	21268941	+	0.000	0.000	Merged-chr10-21269012-32
NR4624--MA0036.3.GATA2	chr4	41569652	41569662	+	0.000	0.000	Merged-chr4-41569502-63
NR1232--MA1104.1.GATA6	chr11	100818516	100818528	+	0.000	0.000	Merged-chr11-100818640-6
NR2954--MA0766.1.GATA5	chr17	34196618	34196625	-	0.000	0.000	Merged-chr17-34196730-34
NR315--MA0035.3.Gata1	chr1	130838473	130838483	-	0.000	0.000	Merged-chr1-130838519-27
NR1119--MA0482.1.Gata4	chr11	77625291	77625301	+	0.000	0.000	Merged-chr11-77625263-36
NR2155--MA0035.3.Gata1	chr14	54197800	54197810	+	0.000	0.000	Merged-chr14-54197805-29
NR5115--MA1104.1.GATA6	chr5	90742162	90742174	-	0.000	0.000	Merged-chr5-90742238-22
NR6633--MA0482.1.Gata4	chr9	24413891	24413901	-	0.000	0.000	Merged-chr9-24413892-11
NR2064--MA0766.1.GATA5	chr14	18820858	18820865	-	0.000	0.000	Merged-chr14-18820757-45
NR4590--MA1104.1.GATA6	chr4	11900201	11900213	+	0.000	0.000	Merged-chr4-11900204-55
NR2949--MA0035.3.Gata1	chr17	34103077	34103087	+	0.000	0.000	Merged-chr17-34102981-20
NR6885--MA0482.1.Gata4	chr9	109863296	109863306	-	0.000	0.000	Merged-chr9-109863307-1
NR2654--MA0482.1.Gata4	chr16	17015987	17015997	-	0.000	0.000	Merged-chr16-17015762-57
NR5909--MA0037.3.GATA3	chr7	28867693	28867700	-	0.000	0.000	Merged-chr7-28867749-38
NR5449--MA0035.3.Gata1	chr6	34156299	34156309	+	0.000	0.000	Merged-chr6-34156229-28
NR7038--MA0766.1.GATA5	chrX	153140121	153140128	-	0.000	0.000	Merged-chrX-153140079-69
NR5700--MA0037.3.GATA3	chr6	122742624	122742631	-	0.000	0.000	Merged-chr6-122742614-91
NR2644--MA0035.3.Gata1	chr16	13306419	13306429	+	0.000	0.000	Merged-chr16-13306399-29
NR6580--MA0482.1.Gata4	chr8	126210245	126210255	+	0.000	0.000	Merged-chr8-126210143-17
NR1098--MA0036.3.GATA2	chr11	75169168	75169178	+	0.000	0.000	Merged-chr11-75169080-24
NR1006--MA1104.1.GATA6	chr11	44529318	44529330	-	0.000	0.000	Merged-chr11-44529424-39
NR6296--MA0037.3.GATA3	chr8	19703493	19703500	+	0.000	0.000	Merged-chr8-19703358-67
NR275--MA0035.3.Gata1	chr1	118477151	118477161	+	0.000	0.000	Merged-chr1-118477016-17
NR3209--MA1104.1.GATA6	chr18	55107109	55107121	-	0.000	0.000	Merged-chr18-55107186-34
NR4271--MA0035.3.Gata1	chr3	84570696	84570706	+	0.000	0.000	Merged-chr3-84570776-21
NR2657--MA0035.3.Gata1	chr16	17015988	17015998	-	0.000	0.000	Merged-chr16-17015762-57
NR4180--MA0766.1.GATA5	chr3	21996050	21996057	+	0.000	0.000	Merged-chr3-21996009-51
NR2633--MA0140.2.GATA1::TAL1	chr16	10786391	10786408	+	0.000	0.000	Merged-chr16-10786452-22
