#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR2399--MA0037.3.GATA3	chr14	47476788	47476795	+	0.000	0.000	Merged-chr14-47476839-9
NR3179--MA0035.3.Gata1	chr16	58546298	58546308	-	0.000	0.000	Merged-chr16-58546287-56
NR1750--MA0037.3.GATA3	chr12	107139203	107139210	+	0.000	0.000	Merged-chr12-107139139-48
NR3063--MA1104.1.GATA6	chr16	44965406	44965418	+	0.000	0.000	Merged-chr16-44965339-61
NR1586--MA0140.2.GATA1::TAL1	chr12	73605388	73605405	+	0.000	0.000	Merged-chr12-73605389-1
NR1970--MA0036.3.GATA2	chr13	52922196	52922206	-	0.000	0.000	Merged-chr13-52922066-27
NR1402--MA0037.3.GATA3	chr11	109694158	109694165	+	0.000	0.000	Merged-chr11-109694201-12
NR6784--MA0482.1.Gata4	chr7	27933591	27933601	-	0.000	0.000	Merged-chr7-27933719-74
NR7023--MA0036.3.GATA2	chr7	117394165	117394175	+	0.000	0.000	Merged-chr7-117394201-50
NR5138--MA0036.3.GATA2	chr3	136531892	136531902	+	0.000	0.000	Merged-chr3-136531691-41
NR7198--MA1104.1.GATA6	chr8	33898107	33898119	+	0.000	0.000	Merged-chr8-33898095-27
NR503--MA0766.1.GATA5	chr1	164960957	164960964	+	0.000	0.000	Merged-chr1-164960822-1
NR7899--MA0035.3.Gata1	chr9	118488058	118488068	-	0.000	0.000	Merged-chr9-118488337-36
NR1169--MA0766.1.GATA5	chr11	51760533	51760540	+	0.000	0.000	Merged-chr11-51760433-27
NR3296--MA0036.3.GATA2	chr16	93918465	93918475	+	0.000	0.000	Merged-chr16-93918388-61
NR2841--MA1104.1.GATA6	chr15	78495175	78495187	+	0.000	0.000	Merged-chr15-78495177-43
NR3714--MA0037.3.GATA3	chr18	49982268	49982275	-	0.000	0.000	Merged-chr18-49982392-61
NR1492--MA0037.3.GATA3	chr12	36019796	36019803	+	0.000	0.000	Merged-chr12-36019766-41
NR684--MA0035.3.Gata1	chr10	17550175	17550185	-	0.000	0.000	Merged-chr10-17550297-37
NR1001--MA1104.1.GATA6	chr10	120183060	120183072	-	0.000	0.000	Merged-chr10-120183053-23
NR388--MA0766.1.GATA5	chr1	139009693	139009700	-	0.000	0.000	Merged-chr1-139009798-23
NR1415--MA0037.3.GATA3	chr11	114883356	114883363	+	0.000	0.000	Merged-chr11-114883420-19
