#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR68803--MA0742.1.Klf12	chrX	48234630	48234644	+	0.000	0.000	Merged-chrX-48234508-35
NR8878--MA1107.1.KLF9	chr10	116853275	116853287	+	0.000	0.000	Merged-chr10-116853312-9
NR62484--MA0741.1.KLF16	chr8	22166303	22166313	-	0.000	0.000	Merged-chr8-22166326-62
NR14729--MA0599.1.KLF5	chr12	81807420	81807429	+	0.000	0.000	Merged-chr12-81807409-36
NR11118--MA1107.1.KLF9	chr11	69409483	69409495	+	0.000	0.000	Merged-chr11-69409455-74
NR43533--MA0599.1.KLF5	chr3	124708074	124708083	-	0.000	0.000	Merged-chr3-124708012-3
NR49949--MA0741.1.KLF16	chr5	24598565	24598575	-	0.000	0.000	Merged-chr5-24598728-19
NR65146--MA0741.1.KLF16	chr8	120668183	120668193	+	0.000	0.000	Merged-chr8-120668120-83
NR4621--MA0039.3.KLF4	chr1	181230952	181230962	+	0.000	0.000	Merged-chr1-181230993-50
NR39373--MA0740.1.KLF14	chr2	152112054	152112067	-	0.000	0.000	Merged-chr2-152112124-39
NR24732--MA0741.1.KLF16	chr15	85654012	85654022	+	0.000	0.000	Merged-chr15-85653877-74
NR35360--MA0599.1.KLF5	chr2	11777728	11777737	+	0.000	0.000	Merged-chr2-11777973-128
NR21118--MA0740.1.KLF14	chr14	61556993	61557006	-	0.000	0.000	Merged-chr14-61556804-76
NR60204--MA0741.1.KLF16	chr7	80032535	80032545	+	0.000	0.000	Merged-chr7-80032517-2
NR58677--MA0599.1.KLF5	chr7	25082747	25082756	-	0.000	0.000	Merged-chr7-25082743-14
NR68523--MA0741.1.KLF16	chrX	8132735	8132745	+	0.000	0.000	Merged-chrX-8132839-1
NR7848--MA0657.1.KLF13	chr10	84622250	84622267	-	0.000	0.000	Merged-chr10-84622424-60
NR63700--MA1107.1.KLF9	chr8	70797266	70797278	-	0.000	0.000	Merged-chr8-70797334-59
NR22576--MA0741.1.KLF16	chr14	122983250	122983260	-	0.000	0.000	Merged-chr14-122983276-115
NR65678--MA0742.1.Klf12	chr9	15357834	15357848	+	0.000	0.000	Merged-chr9-15357727-65
NR13737--MA0493.1.Klf1	chr12	33036351	33036361	+	0.000	0.000	Merged-chr12-33036196-25
NR53353--MA0599.1.KLF5	chr5	137025263	137025272	+	0.000	0.000	Merged-chr5-137025344-26
NR64575--MA1107.1.KLF9	chr8	104632611	104632623	-	0.000	0.000	Merged-chr8-104632399-10
NR29335--MA0742.1.Klf12	chr17	33998960	33998974	-	0.000	0.000	Merged-chr17-33999093-34
NR16437--MA0039.3.KLF4	chr13	23453845	23453855	+	0.000	0.000	Merged-chr13-23453663-42
NR12271--MA0740.1.KLF14	chr11	101226464	101226477	+	0.000	0.000	Merged-chr11-101226407-43
NR9641--MA1107.1.KLF9	chr11	3517627	3517639	-	0.000	0.000	Merged-chr11-3517558-36
NR12369--MA0741.1.KLF16	chr11	103175214	103175224	-	0.000	0.000	Merged-chr11-103175136-47
NR59049--MA0039.3.KLF4	chr7	30626220	30626230	+	0.000	0.000	Merged-chr7-30626131-41
NR20990--MA0493.1.Klf1	chr14	57769261	57769271	-	0.000	0.000	Merged-chr14-57769251-39
NR35413--MA0740.1.KLF14	chr2	13575062	13575075	+	0.000	0.000	Merged-chr2-13575035-10
NR66638--MA0741.1.KLF16	chr9	57708567	57708577	-	0.000	0.000	Merged-chr9-57708660-35
NR37293--MA0493.1.Klf1	chr2	76370325	76370335	-	0.000	0.000	Merged-chr2-76370231-76
NR11123--MA0493.1.Klf1	chr11	69491679	69491689	-	0.000	0.000	Merged-chr11-69491804-11
NR35311--MA0742.1.Klf12	chr2	11187395	11187409	-	0.000	0.000	Merged-chr2-11187260-69
NR36871--MA0741.1.KLF16	chr2	60504639	60504649	-	0.000	0.000	Merged-chr2-60504518-1
NR33834--MA0599.1.KLF5	chr19	4928290	4928299	+	0.000	0.000	Merged-chr19-4928305-60
NR3694--MA0599.1.KLF5	chr1	156660676	156660685	+	0.000	0.000	Merged-chr1-156660698-35
NR44380--MA0740.1.KLF14	chr3	146812929	146812942	+	0.000	0.000	Merged-chr3-146812896-87
NR60669--MA0599.1.KLF5	chr7	98309544	98309553	-	0.000	0.000	Merged-chr7-98309453-63
NR24306--MA1107.1.KLF9	chr15	78581515	78581527	-	0.000	0.000	Merged-chr15-78581743-66
NR65398--MA0741.1.KLF16	chr8	125725408	125725418	-	0.000	0.000	Merged-chr8-125725496-61
NR20891--MA1107.1.KLF9	chr14	54686690	54686702	+	0.000	0.000	Merged-chr14-54686537-116
NR52405--MA0741.1.KLF16	chr5	115119355	115119365	-	0.000	0.000	Merged-chr5-115119310-50
NR50183--MA0741.1.KLF16	chr5	33629645	33629655	+	0.000	0.000	Merged-chr5-33629620-114
NR50454--MA0741.1.KLF16	chr5	44239421	44239431	+	0.000	0.000	Merged-chr5-44239344-7
NR52768--MA0740.1.KLF14	chr5	124095850	124095863	-	0.000	0.000	Merged-chr5-124095874-61
NR60900--MA0740.1.KLF14	chr7	105452031	105452044	-	0.000	0.000	Merged-chr7-105452166-2
NR909--MA0599.1.KLF5	chr1	43500581	43500590	-	0.000	0.000	Merged-chr1-43500582-54
NR51951--MA1107.1.KLF9	chr5	105114874	105114886	-	0.000	0.000	Merged-chr5-105114898-53
NR37648--MA0741.1.KLF16	chr2	91921923	91921933	+	0.000	0.000	Merged-chr2-91921982-40
NR53560--MA0741.1.KLF16	chr5	139826570	139826580	+	0.000	0.000	Merged-chr5-139826788-34
NR17883--MA0741.1.KLF16	chr13	80885659	80885669	-	0.000	0.000	Merged-chr13-80885729-117
NR38397--MA0599.1.KLF5	chr2	121457045	121457054	+	0.000	0.000	Merged-chr2-121457132-54
NR44036--MA0493.1.Klf1	chr3	139205639	139205649	-	0.000	0.000	Merged-chr3-139205719-57
NR5895--MA0742.1.Klf12	chr10	25576338	25576352	-	0.000	0.000	Merged-chr10-25576456-2
NR6713--MA0599.1.KLF5	chr10	59916789	59916798	+	0.000	0.000	Merged-chr10-59916836-10
NR38109--MA0039.3.KLF4	chr2	115581751	115581761	-	0.000	0.000	Merged-chr2-115581699-80
NR46015--MA0741.1.KLF16	chr4	45766155	45766165	-	0.000	0.000	Merged-chr4-45766216-17
NR9629--MA0599.1.KLF5	chr11	3371487	3371496	-	0.000	0.000	Merged-chr11-3371528-30
