#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR41564--MA0741.1.KLF16	chr3	84480456	84480466	-	0.000	0.000	Merged-chr3-84480339-69
NR53539--MA0742.1.Klf12	chr5	137741613	137741627	-	0.000	0.000	Merged-chr5-137741418-73
NR13517--MA1107.1.KLF9	chr12	12176295	12176307	+	0.000	0.000	Merged-chr12-12176537-33
NR31314--MA0599.1.KLF5	chr18	36734991	36735000	+	0.000	0.000	Merged-chr18-36735138-69
NR13396--MA0740.1.KLF14	chr12	8496540	8496553	-	0.000	0.000	Merged-chr12-8496481-10
NR18756--MA0741.1.KLF16	chr13	112464079	112464089	-	0.000	0.000	Merged-chr13-112464093-61
NR63934--MA0599.1.KLF5	chr8	3353394	3353403	+	0.000	0.000	Merged-chr8-3353373-47
NR54796--MA0740.1.KLF14	chr6	29517305	29517318	-	0.000	0.000	Merged-chr6-29517345-20
NR55085--MA0599.1.KLF5	chr6	39348152	39348161	+	0.000	0.000	Merged-chr6-39348126-65
NR52160--MA0599.1.KLF5	chr5	114667679	114667688	+	0.000	0.000	Merged-chr5-114667670-56
NR49033--MA0493.1.Klf1	chr4	155050223	155050233	+	0.000	0.000	Merged-chr4-155050218-26
NR64594--MA0599.1.KLF5	chr8	34163502	34163511	-	0.000	0.000	Merged-chr8-34163505-53
NR55--MA0741.1.KLF16	chr1	9848214	9848224	-	0.000	0.000	Merged-chr1-9848247-58
NR42089--MA0493.1.Klf1	chr3	96575085	96575095	+	0.000	0.000	Merged-chr3-96575084-6
NR24732--MA0741.1.KLF16	chr15	99457771	99457781	+	0.000	0.000	Merged-chr15-99457871-64
