#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR1053--MA0463.1.Bcl6	chr2	75055298	75055311	+	0.000	0.000	Merged-chr2-75055098-51
NR1259--MA0463.1.Bcl6	chr3	136531733	136531746	-	0.000	0.000	Merged-chr3-136531691-41
NR264--MA0463.1.Bcl6	chr11	11656639	11656652	+	0.000	0.000	Merged-chr11-11656569-9
NR1956--MA0731.1.BCL6B	chr9	63718334	63718350	+	0.000	0.000	Merged-chr9-63718438-9
NR1953--MA0463.1.Bcl6	chr9	61681177	61681190	-	0.000	0.000	Merged-chr9-61681164-50
NR497--MA0463.1.Bcl6	chr13	17432660	17432673	+	0.000	0.000	Merged-chr13-17432552-25
NR806--MA0463.1.Bcl6	chr16	97272489	97272502	+	0.000	0.000	Merged-chr16-97272459-57
NR1183--MA0463.1.Bcl6	chr3	68794445	68794458	+	0.000	0.000	Merged-chr3-68794543-41
NR1175--MA0731.1.BCL6B	chr3	55517630	55517646	-	0.000	0.000	Merged-chr3-55517605-60
NR1032--MA0731.1.BCL6B	chr2	53088802	53088818	-	0.000	0.000	Merged-chr2-53088913-36
NR1049--MA0463.1.Bcl6	chr2	71360338	71360351	-	0.000	0.000	Merged-chr2-71360379-16
NR1725--MA0463.1.Bcl6	chr7	80583354	80583367	-	0.000	0.000	Merged-chr7-80583398-64
NR287--MA0463.1.Bcl6	chr11	51638254	51638267	-	0.000	0.000	Merged-chr11-51638186-26
NR954--MA0463.1.Bcl6	chr19	20362487	20362500	-	0.000	0.000	Merged-chr19-20362355-23
NR1085--MA0463.1.Bcl6	chr2	117374548	117374561	-	0.000	0.000	Merged-chr2-117374468-47
NR992--MA0731.1.BCL6B	chr2	11331892	11331908	-	0.000	0.000	Merged-chr2-11331773-28
NR1677--MA0731.1.BCL6B	chr7	7130893	7130909	+	0.000	0.000	Merged-chr7-7130705-50
NR1534--MA0731.1.BCL6B	chr5	145201539	145201555	+	0.000	0.000	Merged-chr5-145201700-67
NR1197--MA0463.1.Bcl6	chr3	86110365	86110378	+	0.000	0.000	Merged-chr3-86110244-24
NR1873--MA0463.1.Bcl6	chr8	105605932	105605945	+	0.000	0.000	Merged-chr8-105606136-2
NR1627--MA0463.1.Bcl6	chr6	119479228	119479241	-	0.000	0.000	Merged-chr6-119479144-6
NR1891--MA0463.1.Bcl6	chr8	116439348	116439361	+	0.000	0.000	Merged-chr8-116439156-33
NR42--MA0463.1.Bcl6	chr1	79684420	79684433	-	0.000	0.000	Merged-chr1-79684355-13
NR189--MA0463.1.Bcl6	chr10	60381444	60381457	+	0.000	0.000	Merged-chr10-60381393-83
NR1242--MA0731.1.BCL6B	chr3	121593387	121593403	+	0.000	0.000	Merged-chr3-121593516-30
NR301--MA0463.1.Bcl6	chr11	61175326	61175339	+	0.000	0.000	Merged-chr11-61175090-72
NR1560--MA0463.1.Bcl6	chr6	29517502	29517515	-	0.000	0.000	Merged-chr6-29517345-20
NR1202--MA0463.1.Bcl6	chr3	89340645	89340658	+	0.000	0.000	Merged-chr3-89340758-16
NR780--MA0463.1.Bcl6	chr16	57398853	57398866	+	0.000	0.000	Merged-chr16-57398780-28
NR1999--MA0463.1.Bcl6	chr9	96515933	96515946	-	0.000	0.000	Merged-chr9-96515884-18
NR1220--MA0463.1.Bcl6	chr3	103405529	103405542	-	0.000	0.000	Merged-chr3-103405452-17
NR1778--MA0731.1.BCL6B	chr7	122132856	122132872	-	0.000	0.000	Merged-chr7-122132985-53
NR431--MA0463.1.Bcl6	chr12	85123320	85123333	+	0.000	0.000	Merged-chr12-85123310-39
NR1635--MA0731.1.BCL6B	chr6	125411040	125411056	-	0.000	0.000	Merged-chr6-125411117-9
NR1462--MA0463.1.Bcl6	chr5	67260764	67260777	-	0.000	0.000	Merged-chr5-67260794-69
NR1583--MA0463.1.Bcl6	chr6	54925914	54925927	+	0.000	0.000	Merged-chr6-54926058-40
NR794--MA0463.1.Bcl6	chr16	91081709	91081722	-	0.000	0.000	Merged-chr16-91081677-19
NR1337--MA0463.1.Bcl6	chr4	84976142	84976155	+	0.000	0.000	Merged-chr4-84976176-1
NR1449--MA0463.1.Bcl6	chr5	35713917	35713930	+	0.000	0.000	Merged-chr5-35713868-16
NR1234--MA0463.1.Bcl6	chr3	115888037	115888050	+	0.000	0.000	Merged-chr3-115888038-82
NR1452--MA0731.1.BCL6B	chr5	45675263	45675279	-	0.000	0.000	Merged-chr5-45675268-16
NR454--MA0463.1.Bcl6	chr12	111810072	111810085	-	0.000	0.000	Merged-chr12-111809959-15
NR1499--MA0731.1.BCL6B	chr5	110653362	110653378	-	0.000	0.000	Merged-chr5-110653386-72
NR846--MA0731.1.BCL6B	chr17	63460248	63460264	+	0.000	0.000	Merged-chr17-63460148-16
NR1239--MA0463.1.Bcl6	chr3	121570749	121570762	+	0.000	0.000	Merged-chr3-121570822-16
NR235--MA0463.1.Bcl6	chr10	111924537	111924550	-	0.000	0.000	Merged-chr10-111924366-28
NR1136--MA0463.1.Bcl6	chr2	169634167	169634180	-	0.000	0.000	Merged-chr2-169634008-43
NR468--MA0463.1.Bcl6	chr12	115024067	115024080	-	0.000	0.000	Merged-chr12-115023988-26
NR1858--MA0731.1.BCL6B	chr8	83768905	83768921	-	0.000	0.000	Merged-chr8-83768833-20
NR1369--MA0463.1.Bcl6	chr4	116651704	116651717	-	0.000	0.000	Merged-chr4-116651530-57
NR825--MA0731.1.BCL6B	chr17	32389275	32389291	+	0.000	0.000	Merged-chr17-32389394-69
NR411--MA0731.1.BCL6B	chr12	59206850	59206866	+	0.000	0.000	Merged-chr12-59206918-90
NR1808--MA0463.1.Bcl6	chr8	4212923	4212936	-	0.000	0.000	Merged-chr8-4212854-13
NR2016--MA0463.1.Bcl6	chr9	110896722	110896735	+	0.000	0.000	Merged-chr9-110896831-29
NR1837--MA0731.1.BCL6B	chr8	46543352	46543368	+	0.000	0.000	Merged-chr8-46543326-23
NR785--MA0731.1.BCL6B	chr16	64757870	64757886	-	0.000	0.000	Merged-chr16-64757779-2
NR1938--MA0463.1.Bcl6	chr9	44526626	44526639	-	0.000	0.000	Merged-chr9-44526635-59
NR1579--MA0731.1.BCL6B	chr6	51384385	51384401	+	0.000	0.000	Merged-chr6-51384192-15
NR13--MA0463.1.Bcl6	chr1	24005719	24005732	+	0.000	0.000	Merged-chr1-24005554-52
NR655--MA0731.1.BCL6B	chr14	99943573	99943589	+	0.000	0.000	Merged-chr14-99943406-23
NR926--MA0731.1.BCL6B	chr18	79258159	79258175	+	0.000	0.000	Merged-chr18-79258074-1
NR1634--MA0463.1.Bcl6	chr6	125411043	125411056	+	0.000	0.000	Merged-chr6-125411117-9
NR67--MA0731.1.BCL6B	chr1	106395688	106395704	+	0.000	0.000	Merged-chr1-106395596-30
NR845--MA0463.1.Bcl6	chr17	63460248	63460261	-	0.000	0.000	Merged-chr17-63460148-16
NR1746--MA0463.1.Bcl6	chr7	98341516	98341529	-	0.000	0.000	Merged-chr7-98341648-39
NR1157--MA0731.1.BCL6B	chr3	9924595	9924611	+	0.000	0.000	Merged-chr3-9924809-24
NR1442--MA0463.1.Bcl6	chr5	23787890	23787903	+	0.000	0.000	Merged-chr5-23787783-52
NR1308--MA0463.1.Bcl6	chr4	21752100	21752113	+	0.000	0.000	Merged-chr4-21752041-18
NR626--MA0731.1.BCL6B	chr14	61971215	61971231	-	0.000	0.000	Merged-chr14-61971047-1
NR1684--MA0463.1.Bcl6	chr7	19797137	19797150	-	0.000	0.000	Merged-chr7-19797327-39
NR2052--MA0731.1.BCL6B	chrX	100494214	100494230	-	0.000	0.000	Merged-chrX-100494288-61
NR735--MA0731.1.BCL6B	chr15	93715358	93715374	+	0.000	0.000	Merged-chr15-93715568-13
NR987--MA0731.1.BCL6B	chr19	60310813	60310829	-	0.000	0.000	Merged-chr19-60310774-21
NR1344--MA0463.1.Bcl6	chr4	95053371	95053384	-	0.000	0.000	Merged-chr4-95053399-2
NR225--MA0731.1.BCL6B	chr10	98785560	98785576	+	0.000	0.000	Merged-chr10-98785565-23
NR1241--MA0463.1.Bcl6	chr3	121593387	121593400	-	0.000	0.000	Merged-chr3-121593516-30
NR215--MA0463.1.Bcl6	chr10	91028170	91028183	+	0.000	0.000	Merged-chr10-91028217-15
NR1380--MA0463.1.Bcl6	chr4	121097910	121097923	-	0.000	0.000	Merged-chr4-121098088-59
NR112--MA0463.1.Bcl6	chr1	159390151	159390164	-	0.000	0.000	Merged-chr1-159390218-34
NR1801--MA0463.1.Bcl6	chr7	140141472	140141485	-	0.000	0.000	Merged-chr7-140141513-4
NR823--MA0731.1.BCL6B	chr17	29973397	29973413	-	0.000	0.000	Merged-chr17-29973396-19
NR347--MA0731.1.BCL6B	chr11	103383740	103383756	-	0.000	0.000	Merged-chr11-103383822-2
NR1031--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR363--MA0463.1.Bcl6	chr11	114873360	114873373	-	0.000	0.000	Merged-chr11-114873395-35
NR117--MA0463.1.Bcl6	chr1	161713000	161713013	-	0.000	0.000	Merged-chr1-161713119-39
NR1018--MA0463.1.Bcl6	chr2	38739662	38739675	-	0.000	0.000	Merged-chr2-38739625-29
NR674--MA0731.1.BCL6B	chr14	120398254	120398270	+	0.000	0.000	Merged-chr14-120398417-32
NR359--MA0463.1.Bcl6	chr11	113574369	113574382	+	0.000	0.000	Merged-chr11-113574265-17
NR2023--MA0463.1.Bcl6	chr9	117863533	117863546	+	0.000	0.000	Merged-chr9-117863484-2
NR171--MA0463.1.Bcl6	chr10	19747678	19747691	+	0.000	0.000	Merged-chr10-19747869-22
NR1067--MA0731.1.BCL6B	chr2	92008460	92008476	+	0.000	0.000	Merged-chr2-92008494-55
NR498--MA0463.1.Bcl6	chr13	19219745	19219758	+	0.000	0.000	Merged-chr13-19219739-41
NR950--MA0463.1.Bcl6	chr19	14598236	14598249	-	0.000	0.000	Merged-chr19-14598034-110
NR395--MA0463.1.Bcl6	chr12	34092125	34092138	+	0.000	0.000	Merged-chr12-34092027-9
NR414--MA0731.1.BCL6B	chr12	70911012	70911028	+	0.000	0.000	Merged-chr12-70910866-67
NR318--MA0731.1.BCL6B	chr11	80142034	80142050	-	0.000	0.000	Merged-chr11-80142193-43
NR20--MA0463.1.Bcl6	chr1	40085978	40085991	-	0.000	0.000	Merged-chr1-40085963-65
NR1068--MA0463.1.Bcl6	chr2	92055638	92055651	-	0.000	0.000	Merged-chr2-92055769-38
NR807--MA0731.1.BCL6B	chr16	97272486	97272502	-	0.000	0.000	Merged-chr16-97272459-57
NR2055--MA0463.1.Bcl6	chrX	101764843	101764856	-	0.000	0.000	Merged-chrX-101764866-33
NR645--MA0731.1.BCL6B	chr14	74847825	74847841	+	0.000	0.000	Merged-chr14-74847708-53
NR1874--MA0463.1.Bcl6	chr8	105855013	105855026	-	0.000	0.000	Merged-chr8-105855087-69
NR727--MA0463.1.Bcl6	chr15	86028074	86028087	-	0.000	0.000	Merged-chr15-86028178-32
NR1628--MA0463.1.Bcl6	chr6	120077241	120077254	+	0.000	0.000	Merged-chr6-120077232-23
NR1892--MA0463.1.Bcl6	chr8	119946328	119946341	+	0.000	0.000	Merged-chr8-119946472-42
NR387--MA0731.1.BCL6B	chr12	24565591	24565607	-	0.000	0.000	Merged-chr12-24565518-17
NR101--MA0731.1.BCL6B	chr1	153559668	153559684	-	0.000	0.000	Merged-chr1-153559503-28
NR969--MA0463.1.Bcl6	chr19	36083571	36083584	-	0.000	0.000	Merged-chr19-36083552-106
NR528--MA0731.1.BCL6B	chr13	55513333	55513349	+	0.000	0.000	Merged-chr13-55513377-73
NR1203--MA0463.1.Bcl6	chr3	89821358	89821371	+	0.000	0.000	Merged-chr3-89821353-15
NR70--MA0463.1.Bcl6	chr1	119087772	119087785	+	0.000	0.000	Merged-chr1-119087737-35
NR2063--MA0731.1.BCL6B	chrX	159021780	159021796	+	0.000	0.000	Merged-chrX-159021727-36
NR1875--MA0731.1.BCL6B	chr8	106133632	106133648	+	0.000	0.000	Merged-chr8-106133705-22
NR204--MA0463.1.Bcl6	chr10	79926618	79926631	+	0.000	0.000	Merged-chr10-79926758-91
NR1950--MA0731.1.BCL6B	chr9	57836947	57836963	-	0.000	0.000	Merged-chr9-57836875-58
NR110--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR1575--MA0463.1.Bcl6	chr6	41048041	41048054	-	0.000	0.000	Merged-chr6-41048174-22
NR795--MA0463.1.Bcl6	chr16	91443423	91443436	-	0.000	0.000	Merged-chr16-91443415-25
NR580--MA0463.1.Bcl6	chr13	109685729	109685742	+	0.000	0.000	Merged-chr13-109685834-42
NR1593--MA0463.1.Bcl6	chr6	67302542	67302555	-	0.000	0.000	Merged-chr6-67302658-20
NR1020--MA0463.1.Bcl6	chr2	39226237	39226250	-	0.000	0.000	Merged-chr2-39226114-95
NR589--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR1710--MA0463.1.Bcl6	chr7	66180295	66180308	-	0.000	0.000	Merged-chr7-66180398-100
NR1267--MA0463.1.Bcl6	chr3	138841020	138841033	-	0.000	0.000	Merged-chr3-138840850-1
NR1943--MA0463.1.Bcl6	chr9	49485868	49485881	+	0.000	0.000	Merged-chr9-49486056-34
NR2047--MA0731.1.BCL6B	chrX	77586167	77586183	+	0.000	0.000	Merged-chrX-77586206-37
NR814--MA0463.1.Bcl6	chr17	8203709	8203722	+	0.000	0.000	Merged-chr17-8203608-6
NR2017--MA0463.1.Bcl6	chr9	110916849	110916862	+	0.000	0.000	Merged-chr9-110916944-19
NR259--MA0463.1.Bcl6	chr11	3931994	3932007	+	0.000	0.000	Merged-chr11-3931934-36
NR1827--MA0463.1.Bcl6	chr8	34622655	34622668	+	0.000	0.000	Merged-chr8-34622775-45
