#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
NR33037--MA0741.1.KLF16	chr19	5567927	5567937	-	0.000	0.000	Merged-chr19-5567991-110
NR63258--MA0599.1.KLF5	chr7	133776805	133776814	+	0.000	0.000	Merged-chr7-133776611-71
NR31314--MA0599.1.KLF5	chr18	36734991	36735000	+	0.000	0.000	Merged-chr18-36735138-69
NR18756--MA0741.1.KLF16	chr13	112464079	112464089	-	0.000	0.000	Merged-chr13-112464093-61
NR63934--MA0599.1.KLF5	chr8	3353394	3353403	+	0.000	0.000	Merged-chr8-3353373-47
NR23141--MA0599.1.KLF5	chr15	61538990	61538999	+	0.000	0.000	Merged-chr15-61539170-27
NR44941--MA0741.1.KLF16	chr4	40722379	40722389	+	0.000	0.000	Merged-chr4-40722214-26
NR52160--MA0599.1.KLF5	chr5	114667679	114667688	+	0.000	0.000	Merged-chr5-114667670-56
NR18724--MA0740.1.KLF14	chr13	111725455	111725468	+	0.000	0.000	Merged-chr13-111725455-80
NR58757--MA0493.1.Klf1	chr7	3617324	3617334	-	0.000	0.000	Merged-chr7-3617392-59
NR64594--MA0599.1.KLF5	chr8	34163502	34163511	-	0.000	0.000	Merged-chr8-34163505-53
NR24732--MA0741.1.KLF16	chr15	99457771	99457781	+	0.000	0.000	Merged-chr15-99457871-64
NR58250--MA0741.1.KLF16	chr6	140722427	140722437	+	0.000	0.000	Merged-chr6-140722560-90
NR39542--MA0742.1.Klf12	chr2	165983252	165983266	-	0.000	0.000	Merged-chr2-165983267-1
NR37964--MA0740.1.KLF14	chr2	121355267	121355280	+	0.000	0.000	Merged-chr2-121355266-61
NR46439--MA1107.1.KLF9	chr4	101235216	101235228	+	0.000	0.000	Merged-chr4-101235092-24
NR55925--MA0741.1.KLF16	chr6	73248456	73248466	+	0.000	0.000	Merged-chr6-73248594-64
NR65012--MA0742.1.Klf12	chr8	60993047	60993061	+	0.000	0.000	Merged-chr8-60993240-112
NR49835--MA0599.1.KLF5	chr5	30647882	30647891	-	0.000	0.000	Merged-chr5-30648005-55
NR71788--MA0741.1.KLF16	chrX	12160145	12160155	+	0.000	0.000	Merged-chrX-12160238-21
NR13737--MA0493.1.Klf1	chr12	25266909	25266919	-	0.000	0.000	Merged-chr12-25266933-26
NR53353--MA0599.1.KLF5	chr5	135632599	135632608	+	0.000	0.000	Merged-chr5-135632742-49
NR42746--MA0039.3.KLF4	chr3	115692528	115692538	+	0.000	0.000	Merged-chr3-115692552-34
NR31863--MA0039.3.KLF4	chr18	63692398	63692408	+	0.000	0.000	Merged-chr18-63692384-62
NR38280--MA0741.1.KLF16	chr2	130840169	130840179	-	0.000	0.000	Merged-chr2-130839995-87
NR927--MA0741.1.KLF16	chr1	61181511	61181521	+	0.000	0.000	Merged-chr1-61181462-55
NR24664--MA1107.1.KLF9	chr15	98927707	98927719	+	0.000	0.000	Merged-chr15-98927787-24
NR27035--MA0599.1.KLF5	chr16	91729084	91729093	-	0.000	0.000	Merged-chr16-91729013-92
NR10386--MA0740.1.KLF14	chr11	58995975	58995988	+	0.000	0.000	Merged-chr11-58995988-22
NR46429--MA0741.1.KLF16	chr4	101235199	101235209	+	0.000	0.000	Merged-chr4-101235092-24
NR16491--MA1107.1.KLF9	chr13	32338784	32338796	-	0.000	0.000	Merged-chr13-32338674-80
NR45171--MA0599.1.KLF5	chr4	43669259	43669268	-	0.000	0.000	Merged-chr4-43669290-57
NR36544--MA0599.1.KLF5	chr2	71055641	71055650	-	0.000	0.000	Merged-chr2-71055719-62
NR60390--MA0741.1.KLF16	chr7	45341578	45341588	+	0.000	0.000	Merged-chr7-45341468-34
NR28371--MA0599.1.KLF5	chr17	28594072	28594081	+	0.000	0.000	Merged-chr17-28593992-6
NR70663--MA0741.1.KLF16	chr9	107334666	107334676	+	0.000	0.000	Merged-chr9-107334469-86
NR52134--MA0741.1.KLF16	chr5	114380506	114380516	-	0.000	0.000	Merged-chr5-114380529-85
NR26935--MA0741.1.KLF16	chr16	90197545	90197555	-	0.000	0.000	Merged-chr16-90197695-59
NR23548--MA0493.1.Klf1	chr15	76639949	76639959	+	0.000	0.000	Merged-chr15-76639801-70
NR72888--MA0599.1.KLF5	chrX	163848684	163848693	-	0.000	0.000	Merged-chrX-163848776-29
NR59559--MA0742.1.Klf12	chr7	25689340	25689354	+	0.000	0.000	Merged-chr7-25689415-98
NR21473--MA0742.1.Klf12	chr14	101879180	101879194	+	0.000	0.000	Merged-chr14-101879110-69
