#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR441--MA0508.2.PRDM1	chr11	79993064	79993073	-	0.000	0.000	Merged-chr11-79993076-75
NR693--MA0508.2.PRDM1	chr13	85498921	85498930	+	0.000	0.000	Merged-chr13-85498931-37
NR1506--MA0508.2.PRDM1	chr2	101755965	101755974	-	0.000	0.000	Merged-chr2-101756112-111
NR2661--MA0508.2.PRDM1	chr9	92266007	92266016	+	0.000	0.000	Merged-chr9-92266025-66
NR1466--MA0508.2.PRDM1	chr2	68430727	68430736	-	0.000	0.000	Merged-chr2-68430660-54
NR1737--MA0508.2.PRDM1	chr3	116332125	116332134	-	0.000	0.000	Merged-chr3-116332074-27
NR1989--MA0508.2.PRDM1	chr4	141618939	141618948	+	0.000	0.000	Merged-chr4-141618821-28
NR2510--MA0508.2.PRDM1	chr8	35628452	35628461	+	0.000	0.000	Merged-chr8-35628375-52
NR380--MA0508.2.PRDM1	chr10	117571672	117571681	+	0.000	0.000	Merged-chr10-117571495-58
NR1336--MA0508.2.PRDM1	chr19	6869645	6869654	+	0.000	0.000	Merged-chr19-6869528-29
NR303--MA0508.2.PRDM1	chr10	59897143	59897152	-	0.000	0.000	Merged-chr10-59896998-59
NR1588--MA0508.2.PRDM1	chr2	170024985	170024994	+	0.000	0.000	Merged-chr2-170025063-12
NR1174--MA0508.2.PRDM1	chr17	50678358	50678367	-	0.000	0.000	Merged-chr17-50678198-44
NR412--MA0508.2.PRDM1	chr11	14111025	14111034	+	0.000	0.000	Merged-chr11-14111026-9
NR1697--MA0508.2.PRDM1	chr3	79177284	79177293	+	0.000	0.000	Merged-chr3-79177375-21
NR664--MA0508.2.PRDM1	chr13	63886566	63886575	+	0.000	0.000	Merged-chr13-63886405-114
NR250--MA0508.2.PRDM1	chr10	19530182	19530191	-	0.000	0.000	Merged-chr10-19530154-52
NR2632--MA0508.2.PRDM1	chr9	69072415	69072424	+	0.000	0.000	Merged-chr9-69072353-12
NR805--MA0508.2.PRDM1	chr14	18271189	18271198	-	0.000	0.000	Merged-chr14-18271014-66
NR372--MA0508.2.PRDM1	chr10	107869222	107869231	-	0.000	0.000	Merged-chr10-107868994-49
NR1057--MA0508.2.PRDM1	chr16	49772880	49772889	-	0.000	0.000	Merged-chr16-49772867-33
NR547--MA0508.2.PRDM1	chr12	83987859	83987868	+	0.000	0.000	Merged-chr12-83987988-78
NR1437--MA0508.2.PRDM1	chr2	49773281	49773290	-	0.000	0.000	Merged-chr2-49773140-2
NR799--MA0508.2.PRDM1	chr14	15770067	15770076	+	0.000	0.000	Merged-chr14-15770075-60
NR404--MA0508.2.PRDM1	chr11	4804243	4804252	+	0.000	0.000	Merged-chr11-4804243-58
NR656--MA0508.2.PRDM1	chr13	51115870	51115879	-	0.000	0.000	Merged-chr13-51115960-42
NR765--MA0508.2.PRDM1	chr13	113198243	113198252	-	0.000	0.000	Merged-chr13-113198047-76
NR351--MA0508.2.PRDM1	chr10	93938811	93938820	+	0.000	0.000	Merged-chr10-93938916-38
NR1036--MA0508.2.PRDM1	chr16	24152155	24152164	+	0.000	0.000	Merged-chr16-24152137-5
NR2733--MA0508.2.PRDM1	chrX	159159850	159159859	+	0.000	0.000	Merged-chrX-159159822-7
NR460--MA0508.2.PRDM1	chr11	117965735	117965744	+	0.000	0.000	Merged-chr11-117965771-41
NR255--MA0508.2.PRDM1	chr10	22148954	22148963	-	0.000	0.000	Merged-chr10-22148932-76
NR1145--MA0508.2.PRDM1	chr17	28007329	28007338	+	0.000	0.000	Merged-chr17-28007418-17
NR2571--MA0508.2.PRDM1	chr8	111595747	111595756	-	0.000	0.000	Merged-chr8-111595874-65
NR2223--MA0508.2.PRDM1	chr6	29287297	29287306	+	0.000	0.000	Merged-chr6-29287093-11
NR744--MA0508.2.PRDM1	chr13	106691942	106691951	-	0.000	0.000	Merged-chr13-106691961-50
NR377--MA0508.2.PRDM1	chr10	111100282	111100291	+	0.000	0.000	Merged-chr10-111100246-10
NR648--MA0508.2.PRDM1	chr13	45907109	45907118	+	0.000	0.000	Merged-chr13-45907051-110
NR1267--MA0508.2.PRDM1	chr18	39801356	39801365	-	0.000	0.000	Merged-chr18-39801283-11
NR2693--MA0508.2.PRDM1	chr9	120582695	120582704	+	0.000	0.000	Merged-chr9-120582751-83
NR452--MA0508.2.PRDM1	chr11	101448428	101448437	-	0.000	0.000	Merged-chr11-101448490-55
NR2563--MA0508.2.PRDM1	chr8	94413698	94413707	+	0.000	0.000	Merged-chr8-94413719-53
