#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR170--MA0508.2.PRDM1	chr1	175564520	175564529	-	0.000	0.000	Merged-chr1-175564566-22
NR693--MA0508.2.PRDM1	chr13	106691992	106692001	+	0.000	0.000	Merged-chr13-106691961-50
NR1506--MA0508.2.PRDM1	chr3	108781689	108781698	+	0.000	0.000	Merged-chr3-108781707-12
NR202--MA0508.2.PRDM1	chr1	191396353	191396362	+	0.000	0.000	Merged-chr1-191396236-4
NR1758--MA0508.2.PRDM1	chr4	149914600	149914609	+	0.000	0.000	Merged-chr4-149914394-27
NR1615--MA0508.2.PRDM1	chr4	32424569	32424578	+	0.000	0.000	Merged-chr4-32424580-38
NR311--MA0508.2.PRDM1	chr10	108093215	108093224	-	0.000	0.000	Merged-chr10-108093126-24
NR1201--MA0508.2.PRDM1	chr19	53900127	53900136	-	0.000	0.000	Merged-chr19-53900039-75
NR2422--MA0508.2.PRDM1	chr9	83652851	83652860	-	0.000	0.000	Merged-chr9-83653017-27
NR563--MA0508.2.PRDM1	chr12	115262600	115262609	-	0.000	0.000	Merged-chr12-115262701-27
NR1182--MA0508.2.PRDM1	chr19	32268756	32268765	+	0.000	0.000	Merged-chr19-32268730-8
NR1519--MA0508.2.PRDM1	chr3	121105080	121105089	-	0.000	0.000	Merged-chr3-121105161-35
NR420--MA0508.2.PRDM1	chr11	96667233	96667242	+	0.000	0.000	Merged-chr11-96667069-36
NR1105--MA0508.2.PRDM1	chr18	55681661	55681670	-	0.000	0.000	Merged-chr18-55681578-17
NR1086--MA0508.2.PRDM1	chr18	23754559	23754568	+	0.000	0.000	Merged-chr18-23754514-42
NR704--MA0508.2.PRDM1	chr13	111461449	111461458	-	0.000	0.000	Merged-chr13-111461542-22
NR1052--MA0508.2.PRDM1	chr17	73814695	73814704	-	0.000	0.000	Merged-chr17-73814943-62
NR1118--MA0508.2.PRDM1	chr18	65490399	65490408	+	0.000	0.000	Merged-chr18-65490249-48
NR84--MA0508.2.PRDM1	chr1	106866849	106866858	-	0.000	0.000	Merged-chr1-106866899-32
NR922--MA0508.2.PRDM1	chr16	21836808	21836817	+	0.000	0.000	Merged-chr16-21836791-13
NR1065--MA0508.2.PRDM1	chr17	86040918	86040927	-	0.000	0.000	Merged-chr17-86040828-28
NR1859--MA0508.2.PRDM1	chr5	100896485	100896494	-	0.000	0.000	Merged-chr5-100896571-13
NR555--MA0508.2.PRDM1	chr12	113155326	113155335	+	0.000	0.000	Merged-chr12-113155292-10
NR826--MA0508.2.PRDM1	chr14	122290592	122290601	-	0.000	0.000	Merged-chr14-122290582-19
NR1445--MA0508.2.PRDM1	chr3	60486666	60486675	+	0.000	0.000	Merged-chr3-60486566-72
NR141--MA0508.2.PRDM1	chr1	160765700	160765709	+	0.000	0.000	Merged-chr1-160765870-25
NR2090--MA0508.2.PRDM1	chr7	18873073	18873082	+	0.000	0.000	Merged-chr7-18872970-1
NR773--MA0508.2.PRDM1	chr14	63383605	63383614	-	0.000	0.000	Merged-chr14-63383555-18
NR1187--MA0508.2.PRDM1	chr19	34583375	34583384	+	0.000	0.000	Merged-chr19-34583205-74
NR1729--MA0508.2.PRDM1	chr4	137861612	137861621	-	0.000	0.000	Merged-chr4-137861569-3
NR1044--MA0508.2.PRDM1	chr17	65740403	65740412	-	0.000	0.000	Merged-chr17-65740416-17
NR677--MA0508.2.PRDM1	chr13	91224129	91224138	+	0.000	0.000	Merged-chr13-91224009-83
NR948--MA0508.2.PRDM1	chr16	44999616	44999625	-	0.000	0.000	Merged-chr16-44999747-49
NR1296--MA0508.2.PRDM1	chr2	92205376	92205385	+	0.000	0.000	Merged-chr2-92205451-35
NR2122--MA0508.2.PRDM1	chr7	64373931	64373940	+	0.000	0.000	Merged-chr7-64373946-61
NR1153--MA0508.2.PRDM1	chr19	6869651	6869660	+	0.000	0.000	Merged-chr19-6869528-29
NR2231--MA0508.2.PRDM1	chr7	143822986	143822995	+	0.000	0.000	Merged-chr7-143822961-65
NR914--MA0508.2.PRDM1	chr16	11475626	11475635	+	0.000	0.000	Merged-chr16-11475731-38
NR1328--MA0508.2.PRDM1	chr2	117089713	117089722	-	0.000	0.000	Merged-chr2-117089625-28
NR481--MA0508.2.PRDM1	chr12	52615855	52615864	-	0.000	0.000	Merged-chr12-52615986-19
NR133--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR385--MA0508.2.PRDM1	chr11	69838281	69838290	-	0.000	0.000	Merged-chr11-69838250-77
NR513--MA0508.2.PRDM1	chr12	86836926	86836935	+	0.000	0.000	Merged-chr12-86836773-41
NR2353--MA0508.2.PRDM1	chr9	13894666	13894675	-	0.000	0.000	Merged-chr9-13894754-54
NR255--MA0508.2.PRDM1	chr10	60000174	60000183	+	0.000	0.000	Merged-chr10-60000232-10
NR112--MA0508.2.PRDM1	chr1	138157197	138157206	-	0.000	0.000	Merged-chr1-138157317-43
NR778--MA0508.2.PRDM1	chr14	66260600	66260609	-	0.000	0.000	Merged-chr14-66260585-50
NR2223--MA0508.2.PRDM1	chr7	139389124	139389133	+	0.000	0.000	Merged-chr7-139388959-78
NR539--MA0508.2.PRDM1	chr12	104062022	104062031	+	0.000	0.000	Merged-chr12-104062030-43
NR2170--MA0508.2.PRDM1	chr7	107664528	107664537	+	0.000	0.000	Merged-chr7-107664561-57
NR2441--MA0508.2.PRDM1	chr9	107334435	107334444	+	0.000	0.000	Merged-chr9-107334469-86
NR2507--MA0508.2.PRDM1	chrX	163869098	163869107	+	0.000	0.000	Merged-chrX-163869062-41
NR582--MA0508.2.PRDM1	chr13	5705161	5705170	-	0.000	0.000	Merged-chr13-5705239-38
NR614--MA0508.2.PRDM1	chr13	30792399	30792408	+	0.000	0.000	Merged-chr13-30792464-54
NR409--MA0508.2.PRDM1	chr11	86544930	86544939	-	0.000	0.000	Merged-chr11-86544801-80
NR2040--MA0508.2.PRDM1	chr6	122486257	122486266	+	0.000	0.000	Merged-chr6-122486268-46
NR104--MA0508.2.PRDM1	chr1	127732844	127732853	+	0.000	0.000	Merged-chr1-127732945-24
NR2215--MA0508.2.PRDM1	chr7	135631979	135631988	+	0.000	0.000	Merged-chr7-135632078-25
NR356--MA0508.2.PRDM1	chr11	19977900	19977909	+	0.000	0.000	Merged-chr11-19977912-19
NR627--MA0508.2.PRDM1	chr13	52617344	52617353	-	0.000	0.000	Merged-chr13-52617361-10
NR1961--MA0508.2.PRDM1	chr6	65564421	65564430	-	0.000	0.000	Merged-chr6-65564422-101
NR988--MA0508.2.PRDM1	chr16	96061193	96061202	-	0.000	0.000	Merged-chr16-96061094-16
NR117--MA0508.2.PRDM1	chr1	138952323	138952332	+	0.000	0.000	Merged-chr1-138952405-35
NR369--MA0508.2.PRDM1	chr11	34101846	34101855	+	0.000	0.000	Merged-chr11-34101959-21
NR160--MA0508.2.PRDM1	chr1	171281209	171281218	+	0.000	0.000	Merged-chr1-171281333-62
NR173--MA0508.2.PRDM1	chr1	176939833	176939842	-	0.000	0.000	Merged-chr1-176939939-16
NR444--MA0508.2.PRDM1	chr11	119228903	119228912	+	0.000	0.000	Merged-chr11-119228815-89
NR1129--MA0508.2.PRDM1	chr18	70522417	70522426	+	0.000	0.000	Merged-chr18-70522488-53
NR301--MA0508.2.PRDM1	chr10	94829520	94829529	-	0.000	0.000	Merged-chr10-94829610-38
NR2393--MA0508.2.PRDM1	chr9	62349517	62349526	-	0.000	0.000	Merged-chr9-62349502-36
NR2459--MA0508.2.PRDM1	chr9	121718416	121718425	+	0.000	0.000	Merged-chr9-121718412-3
NR2250--MA0508.2.PRDM1	chr8	25132731	25132740	+	0.000	0.000	Merged-chr8-25132757-32
NR2316--MA0508.2.PRDM1	chr8	106821470	106821479	+	0.000	0.000	Merged-chr8-106821433-20
NR2154--MA0508.2.PRDM1	chr7	98108972	98108981	+	0.000	0.000	Merged-chr7-98109106-60
NR423--MA0508.2.PRDM1	chr11	97703273	97703282	+	0.000	0.000	Merged-chr11-97703111-88
NR2329--MA0508.2.PRDM1	chr8	120489343	120489352	+	0.000	0.000	Merged-chr8-120489155-2
NR675--MA0508.2.PRDM1	chr13	90929901	90929910	-	0.000	0.000	Merged-chr13-90930019-46
NR946--MA0508.2.PRDM1	chr16	44508329	44508338	+	0.000	0.000	Merged-chr16-44508258-19
NR2372--MA0508.2.PRDM1	chr9	42238781	42238790	-	0.000	0.000	Merged-chr9-42238939-28
NR707--MA0508.2.PRDM1	chr13	112447339	112447348	-	0.000	0.000	Merged-chr13-112447320-26
NR2133--MA0508.2.PRDM1	chr7	76047974	76047983	+	0.000	0.000	Merged-chr7-76048040-27
NR131--MA0508.2.PRDM1	chr1	155040530	155040539	-	0.000	0.000	Merged-chr1-155040391-76
NR449--MA0508.2.PRDM1	chr12	3983944	3983953	+	0.000	0.000	Merged-chr12-3983883-10
