#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR7796--MA0089.1.MAFG::NFE2L1	chr2	154603870	154603875	+	0.000	0.000	Merged-chr2-154603925-61
NR898--MA0117.2.Mafb	chr1	165828817	165828828	-	0.000	0.000	Merged-chr1-165828679-59
NR13241--MA0089.1.MAFG::NFE2L1	chr9	80332504	80332509	+	0.000	0.000	Merged-chr9-80332405-28
NR4593--MA0089.1.MAFG::NFE2L1	chr15	8109315	8109320	-	0.000	0.000	Merged-chr15-8109261-61
NR269--MA0089.1.MAFG::NFE2L1	chr1	58742727	58742732	+	0.000	0.000	Merged-chr1-58742743-31
NR2835--MA0089.1.MAFG::NFE2L1	chr12	77535137	77535142	-	0.000	0.000	Merged-chr12-77535328-6
NR1415--MA0089.1.MAFG::NFE2L1	chr10	41477337	41477342	-	0.000	0.000	Merged-chr10-41477275-81
NR5889--MA0501.1.MAF::NFE2	chr17	36042869	36042883	-	0.000	0.000	Merged-chr17-36042760-57
NR8737--MA0495.2.MAFF	chr3	121593326	121593346	+	0.000	0.000	Merged-chr3-121593516-30
NR7828--MA0501.1.MAF::NFE2	chr2	158723942	158723956	-	0.000	0.000	Merged-chr2-158724013-3
NR4958--MA0591.1.Bach1::Mafk	chr15	81166475	81166489	-	0.000	0.000	Merged-chr15-81166483-2
NR7404--MA0089.1.MAFG::NFE2L1	chr2	85047883	85047888	-	0.000	0.000	Merged-chr2-85048071-98
NR1262--MA0659.1.MAFG	chr10	20119542	20119562	+	0.000	0.000	Merged-chr10-20119637-31
NR8333--MA0089.1.MAFG::NFE2L1	chr3	59260918	59260923	+	0.000	0.000	Merged-chr3-59260932-51
NR11716--MA0501.1.MAF::NFE2	chr7	16314093	16314107	+	0.000	0.000	Merged-chr7-16314036-50
NR12210--MA0495.2.MAFF	chr7	112369096	112369116	+	0.000	0.000	Merged-chr7-112369142-36
NR11599--MA0089.1.MAFG::NFE2L1	chr6	142867533	142867538	+	0.000	0.000	Merged-chr6-142867733-58
NR2102--MA0591.1.Bach1::Mafk	chr11	11497910	11497924	+	0.000	0.000	Merged-chr11-11498094-24
NR13062--MA0496.2.MAFK	chr9	21526303	21526321	+	0.000	0.000	Merged-chr9-21526182-42
NR5711--MA0501.1.MAF::NFE2	chr17	12301061	12301075	-	0.000	0.000	Merged-chr17-12301160-36
NR12916--MA0089.1.MAFG::NFE2L1	chr8	116439098	116439103	+	0.000	0.000	Merged-chr8-116439156-33
NR13469--MA0089.1.MAFG::NFE2L1	chr9	115481296	115481301	-	0.000	0.000	Merged-chr9-115481366-14
NR12514--MA0496.2.MAFK	chr8	40962897	40962915	+	0.000	0.000	Merged-chr8-40963134-88
NR1000--MA0496.2.MAFK	chr1	180268832	180268850	+	0.000	0.000	Merged-chr1-180268774-35
NR13178--MA0501.1.MAF::NFE2	chr9	63602416	63602430	+	0.000	0.000	Merged-chr9-63602538-63
NR8627--MA0117.2.Mafb	chr3	103927761	103927772	-	0.000	0.000	Merged-chr3-103927636-31
NR2820--MA0089.1.MAFG::NFE2L1	chr12	70999533	70999538	+	0.000	0.000	Merged-chr12-70999631-61
NR5181--MA0495.2.MAFF	chr16	14237421	14237441	-	0.000	0.000	Merged-chr16-14237452-27
NR5766--MA0591.1.Bach1::Mafk	chr17	21909598	21909612	-	0.000	0.000	Merged-chr17-21909627-78
NR6365--MA0495.2.MAFF	chr18	39068273	39068293	+	0.000	0.000	Merged-chr18-39068377-42
NR5823--MA0117.2.Mafb	chr17	29171515	29171526	+	0.000	0.000	Merged-chr17-29171353-19
NR1591--MA0496.2.MAFK	chr10	67512299	67512317	+	0.000	0.000	Merged-chr10-67512381-13
NR6698--MA0117.2.Mafb	chr18	86601872	86601883	+	0.000	0.000	Merged-chr18-86601765-23
NR7893--MA0496.2.MAFK	chr2	168583322	168583340	-	0.000	0.000	Merged-chr2-168583356-49
NR2303--MA0501.1.MAF::NFE2	chr11	72941083	72941097	-	0.000	0.000	Merged-chr11-72940930-27
NR7334--MA0501.1.MAF::NFE2	chr2	70875326	70875340	+	0.000	0.000	Merged-chr2-70875354-33
NR1690--MA0089.1.MAFG::NFE2L1	chr10	82887508	82887513	-	0.000	0.000	Merged-chr10-82887554-36
NR11125--MA0495.2.MAFF	chr6	70709472	70709492	+	0.000	0.000	Merged-chr6-70709572-48
NR7604--MA0089.1.MAFG::NFE2L1	chr2	129180153	129180158	+	0.000	0.000	Merged-chr2-129180074-1
NR13423--MA0591.1.Bach1::Mafk	chr9	108597639	108597653	+	0.000	0.000	Merged-chr9-108597519-47
NR8464--MA0591.1.Bach1::Mafk	chr3	78958964	78958978	-	0.000	0.000	Merged-chr3-78959037-23
NR13367--MA0089.1.MAFG::NFE2L1	chr9	96696411	96696416	-	0.000	0.000	Merged-chr9-96696442-50
NR8533--MA0089.1.MAFG::NFE2L1	chr3	87846942	87846947	+	0.000	0.000	Merged-chr3-87846918-77
NR12667--MA0495.2.MAFF	chr8	72571103	72571123	+	0.000	0.000	Merged-chr8-72571324-95
NR12323--MA0089.1.MAFG::NFE2L1	chr7	141447311	141447316	-	0.000	0.000	Merged-chr7-141447520-63
NR441--MA0089.1.MAFG::NFE2L1	chr1	82839779	82839784	+	0.000	0.000	Merged-chr1-82839592-65
NR3130--MA0501.1.MAF::NFE2	chr13	9027369	9027383	+	0.000	0.000	Merged-chr13-9027395-10
NR13037--MA0591.1.Bach1::Mafk	chr9	14867165	14867179	-	0.000	0.000	Merged-chr9-14867208-21
NR4501--MA0089.1.MAFG::NFE2L1	chr14	118823538	118823543	+	0.000	0.000	Merged-chr14-118823574-15
NR7080--MA0591.1.Bach1::Mafk	chr2	32583666	32583680	+	0.000	0.000	Merged-chr2-32583588-24
NR6907--MA0495.2.MAFF	chr2	6478400	6478420	+	0.000	0.000	Merged-chr2-6478572-51
NR8538--MA0659.1.MAFG	chr3	88503277	88503297	+	0.000	0.000	Merged-chr3-88503323-39
NR11127--MA0659.1.MAFG	chr6	70709472	70709492	+	0.000	0.000	Merged-chr6-70709572-48
NR12678--MA0659.1.MAFG	chr8	75084001	75084021	+	0.000	0.000	Merged-chr8-75083999-30
NR13669--MA0089.1.MAFG::NFE2L1	chrX	101954292	101954297	-	0.000	0.000	Merged-chrX-101954276-51
NR11205--MA0089.1.MAFG::NFE2L1	chr6	91440937	91440942	+	0.000	0.000	Merged-chr6-91441090-75
NR8545--MA0495.2.MAFF	chr3	89872363	89872383	-	0.000	0.000	Merged-chr3-89872416-43
NR6255--MA0117.2.Mafb	chr18	13787133	13787144	-	0.000	0.000	Merged-chr18-13787099-71
NR13756--MA0089.1.MAFG::NFE2L1	chrX	167231321	167231326	+	0.000	0.000	Merged-chrX-167231316-28
NR11482--MA0089.1.MAFG::NFE2L1	chr6	130246087	130246092	-	0.000	0.000	Merged-chr6-130245976-1
NR9635--MA0495.2.MAFF	chr4	109665333	109665353	-	0.000	0.000	Merged-chr4-109665283-1
NR12989--MA0496.2.MAFK	chr8	128596687	128596705	+	0.000	0.000	Merged-chr8-128596588-1
NR12927--MA0089.1.MAFG::NFE2L1	chr8	118830484	118830489	+	0.000	0.000	Merged-chr8-118830505-12
NR11507--MA0089.1.MAFG::NFE2L1	chr6	131433513	131433518	-	0.000	0.000	Merged-chr6-131433462-1
NR1182--MA0659.1.MAFG	chr10	12823922	12823942	-	0.000	0.000	Merged-chr10-12823956-45
NR9077--MA0117.2.Mafb	chr4	8712299	8712310	-	0.000	0.000	Merged-chr4-8712432-5
NR8142--MA0089.1.MAFG::NFE2L1	chr3	22138113	22138118	-	0.000	0.000	Merged-chr3-22138280-48
NR145--MA0495.2.MAFF	chr1	31616474	31616494	-	0.000	0.000	Merged-chr1-31616471-4
NR12858--MA0501.1.MAF::NFE2	chr8	105827422	105827436	-	0.000	0.000	Merged-chr8-105827361-75
NR12638--MA0089.1.MAFG::NFE2L1	chr8	69329030	69329035	-	0.000	0.000	Merged-chr8-69328899-30
NR8733--MA0089.1.MAFG::NFE2L1	chr3	121474886	121474891	-	0.000	0.000	Merged-chr3-121474891-3
NR12322--MA0496.2.MAFK	chr7	141072585	141072603	-	0.000	0.000	Merged-chr7-141072410-71
NR5154--MA0089.1.MAFG::NFE2L1	chr16	11501222	11501227	+	0.000	0.000	Merged-chr16-11501282-30
NR5530--MA0089.1.MAFG::NFE2L1	chr16	77391606	77391611	-	0.000	0.000	Merged-chr16-77391496-1
NR9637--MA0659.1.MAFG	chr4	109665333	109665353	-	0.000	0.000	Merged-chr4-109665283-1
NR7574--MA0591.1.Bach1::Mafk	chr2	122789558	122789572	-	0.000	0.000	Merged-chr2-122789643-8
NR9859--MA0495.2.MAFF	chr4	155129613	155129633	-	0.000	0.000	Merged-chr4-155129607-22
NR4653--MA0117.2.Mafb	chr15	25441378	25441389	+	0.000	0.000	Merged-chr15-25441217-22
NR13412--MA0496.2.MAFK	chr9	108150736	108150754	-	0.000	0.000	Merged-chr9-108150702-30
NR9098--MA0495.2.MAFF	chr4	11616382	11616402	+	0.000	0.000	Merged-chr4-11616279-22
NR13618--MA0496.2.MAFK	chrX	71468814	71468832	-	0.000	0.000	Merged-chrX-71468864-48
NR487--MA0117.2.Mafb	chr1	89741176	89741187	-	0.000	0.000	Merged-chr1-89741042-1
NR6485--MA0501.1.MAF::NFE2	chr18	54987013	54987027	+	0.000	0.000	Merged-chr18-54986948-23
NR11607--MA0089.1.MAFG::NFE2L1	chr6	143609272	143609277	+	0.000	0.000	Merged-chr6-143609389-48
NR2468--MA0089.1.MAFG::NFE2L1	chr11	118260066	118260071	+	0.000	0.000	Merged-chr11-118260262-42
NR1990--MA0089.1.MAFG::NFE2L1	chr10	122800518	122800523	+	0.000	0.000	Merged-chr10-122800507-74
NR4544--MA0501.1.MAF::NFE2	chr14	121965188	121965202	+	0.000	0.000	Merged-chr14-121965362-59
NR11712--MA0495.2.MAFF	chr7	16314087	16314107	+	0.000	0.000	Merged-chr7-16314036-50
NR13176--MA0089.1.MAFG::NFE2L1	chr9	63602415	63602420	+	0.000	0.000	Merged-chr9-63602538-63
NR1265--MA0496.2.MAFK	chr10	20119543	20119561	-	0.000	0.000	Merged-chr10-20119637-31
NR2243--MA0496.2.MAFK	chr11	51898837	51898855	+	0.000	0.000	Merged-chr11-51898870-27
NR12364--MA0501.1.MAF::NFE2	chr8	10927708	10927722	+	0.000	0.000	Merged-chr8-10927860-5
NR4272--MA0501.1.MAF::NFE2	chr14	77861021	77861035	+	0.000	0.000	Merged-chr14-77861310-50
NR11600--MA0591.1.Bach1::Mafk	chr6	142925437	142925451	+	0.000	0.000	Merged-chr6-142925598-18
NR10967--MA0495.2.MAFF	chr6	49128468	49128488	+	0.000	0.000	Merged-chr6-49128471-29
NR2398--MA0501.1.MAF::NFE2	chr11	100588664	100588678	-	0.000	0.000	Merged-chr11-100588743-35
NR11945--MA0495.2.MAFF	chr7	70628281	70628301	+	0.000	0.000	Merged-chr7-70628191-1
NR4525--MA0089.1.MAFG::NFE2L1	chr14	120572338	120572343	-	0.000	0.000	Merged-chr14-120572441-59
NR725--MA0591.1.Bach1::Mafk	chr1	131384554	131384568	-	0.000	0.000	Merged-chr1-131384650-38
NR7600--MA0089.1.MAFG::NFE2L1	chr2	127923518	127923523	-	0.000	0.000	Merged-chr2-127923410-36
NR7083--MA0591.1.Bach1::Mafk	chr2	34826229	34826243	-	0.000	0.000	Merged-chr2-34826203-51
NR7790--MA0089.1.MAFG::NFE2L1	chr2	152788881	152788886	+	0.000	0.000	Merged-chr2-152788714-7
NR6447--MA0591.1.Bach1::Mafk	chr18	49721874	49721888	+	0.000	0.000	Merged-chr18-49721855-41
NR12649--MA0089.1.MAFG::NFE2L1	chr8	70601426	70601431	+	0.000	0.000	Merged-chr8-70601430-20
NR491--MA0591.1.Bach1::Mafk	chr1	89957109	89957123	+	0.000	0.000	Merged-chr1-89957067-1
NR1537--MA0089.1.MAFG::NFE2L1	chr10	59748932	59748937	+	0.000	0.000	Merged-chr10-59748873-11
NR6961--MA0089.1.MAFG::NFE2L1	chr2	13265007	13265012	-	0.000	0.000	Merged-chr2-13265108-24
NR6106--MA0089.1.MAFG::NFE2L1	chr17	83846446	83846451	-	0.000	0.000	Merged-chr17-83846499-25
NR10627--MA0495.2.MAFF	chr5	146655355	146655375	+	0.000	0.000	Merged-chr5-146655552-37
NR11730--MA0591.1.Bach1::Mafk	chr7	19332924	19332938	-	0.000	0.000	Merged-chr7-19332998-44
NR4538--MA0089.1.MAFG::NFE2L1	chr14	121879680	121879685	-	0.000	0.000	Merged-chr14-121879691-39
NR11403--MA0089.1.MAFG::NFE2L1	chr6	119346338	119346343	-	0.000	0.000	Merged-chr6-119346471-8
NR12257--MA0591.1.Bach1::Mafk	chr7	126369619	126369633	-	0.000	0.000	Merged-chr7-126369585-49
NR8542--MA0089.1.MAFG::NFE2L1	chr3	89459082	89459087	+	0.000	0.000	Merged-chr3-89459176-81
NR4879--MA0591.1.Bach1::Mafk	chr15	66824942	66824956	-	0.000	0.000	Merged-chr15-66824845-11
NR5885--MA0495.2.MAFF	chr17	36042869	36042889	-	0.000	0.000	Merged-chr17-36042760-57
NR5214--MA0501.1.MAF::NFE2	chr16	23609945	23609959	-	0.000	0.000	Merged-chr16-23609976-53
NR10510--MA0496.2.MAFK	chr5	118269184	118269202	-	0.000	0.000	Merged-chr5-118269215-26
NR12019--MA0495.2.MAFF	chr7	80629088	80629108	-	0.000	0.000	Merged-chr7-80629014-41
NR9765--MA0496.2.MAFK	chr4	144404463	144404481	-	0.000	0.000	Merged-chr4-144404562-1
NR7357--MA0496.2.MAFK	chr2	75823973	75823991	-	0.000	0.000	Merged-chr2-75823994-29
NR2023--MA0591.1.Bach1::Mafk	chr10	127041924	127041938	-	0.000	0.000	Merged-chr10-127041778-74
NR10979--MA0089.1.MAFG::NFE2L1	chr6	50601913	50601918	+	0.000	0.000	Merged-chr6-50601872-31
NR7424--MA0089.1.MAFG::NFE2L1	chr2	91265163	91265168	-	0.000	0.000	Merged-chr2-91265194-57
NR12950--MA0495.2.MAFF	chr8	125557551	125557571	-	0.000	0.000	Merged-chr8-125557520-11
NR6619--MA0591.1.Bach1::Mafk	chr18	75331121	75331135	+	0.000	0.000	Merged-chr18-75331173-4
NR1522--MA0089.1.MAFG::NFE2L1	chr10	56848210	56848215	+	0.000	0.000	Merged-chr10-56848025-2
NR5323--MA0659.1.MAFG	chr16	50737727	50737747	-	0.000	0.000	Merged-chr16-50737708-13
NR4694--MA0117.2.Mafb	chr15	31460756	31460767	+	0.000	0.000	Merged-chr15-31460865-20
NR13585--MA0117.2.Mafb	chrX	56346306	56346317	-	0.000	0.000	Merged-chrX-56346415-28
NR3001--MA0501.1.MAF::NFE2	chr12	107996272	107996286	+	0.000	0.000	Merged-chr12-107996436-13
NR12345--MA0089.1.MAFG::NFE2L1	chr8	4193656	4193661	-	0.000	0.000	Merged-chr8-4193483-29
NR9224--MA0495.2.MAFF	chr4	40773395	40773415	-	0.000	0.000	Merged-chr4-40773188-44
NR3036--MA0659.1.MAFG	chr12	116315653	116315673	+	0.000	0.000	Merged-chr12-116315725-53
NR3091--MA0089.1.MAFG::NFE2L1	chr13	6689943	6689948	-	0.000	0.000	Merged-chr13-6690119-33
NR2377--MA0089.1.MAFG::NFE2L1	chr11	97684305	97684310	-	0.000	0.000	Merged-chr11-97684318-65
NR8559--MA0496.2.MAFK	chr3	90587052	90587070	+	0.000	0.000	Merged-chr3-90587051-129
NR13124--MA0117.2.Mafb	chr9	41181626	41181637	+	0.000	0.000	Merged-chr9-41181548-13
NR300--MA0659.1.MAFG	chr1	65186472	65186492	-	0.000	0.000	Merged-chr1-65186701-72
NR3009--MA0117.2.Mafb	chr12	111713117	111713128	-	0.000	0.000	Merged-chr12-111713191-55
NR5322--MA0591.1.Bach1::Mafk	chr16	50737730	50737744	+	0.000	0.000	Merged-chr16-50737708-13
NR12340--MA0501.1.MAF::NFE2	chr8	3711786	3711800	+	0.000	0.000	Merged-chr8-3711702-3
NR1259--MA0089.1.MAFG::NFE2L1	chr10	19597194	19597199	+	0.000	0.000	Merged-chr10-19597137-35
NR8668--MA0089.1.MAFG::NFE2L1	chr3	108562552	108562557	-	0.000	0.000	Merged-chr3-108562830-113
NR12458--MA0089.1.MAFG::NFE2L1	chr8	27137160	27137165	-	0.000	0.000	Merged-chr8-27137178-38
NR8812--MA0117.2.Mafb	chr3	133411787	133411798	-	0.000	0.000	Merged-chr3-133411903-38
NR7624--MA0089.1.MAFG::NFE2L1	chr2	132497656	132497661	-	0.000	0.000	Merged-chr2-132497706-22
NR6758--MA0659.1.MAFG	chr19	8997796	8997816	-	0.000	0.000	Merged-chr19-8997882-60
NR873--MA0117.2.Mafb	chr1	161660870	161660881	+	0.000	0.000	Merged-chr1-161660991-11
NR3291--MA0117.2.Mafb	chr13	45455795	45455806	+	0.000	0.000	Merged-chr13-45455779-40
NR7335--MA0089.1.MAFG::NFE2L1	chr2	70920017	70920022	+	0.000	0.000	Merged-chr2-70920097-22
NR7711--MA0089.1.MAFG::NFE2L1	chr2	144217402	144217407	-	0.000	0.000	Merged-chr2-144217495-19
NR9452--MA0496.2.MAFK	chr4	75279033	75279051	+	0.000	0.000	Merged-chr4-75279089-1
NR13474--MA0089.1.MAFG::NFE2L1	chr9	115526462	115526467	-	0.000	0.000	Merged-chr9-115526484-32
NR12039--MA0117.2.Mafb	chr7	83144175	83144186	+	0.000	0.000	Merged-chr7-83144158-16
NR6310--MA0117.2.Mafb	chr18	25061740	25061751	+	0.000	0.000	Merged-chr18-25061659-23
NR5670--MA0496.2.MAFK	chr17	5303510	5303528	-	0.000	0.000	Merged-chr17-5303448-46
NR12646--MA0591.1.Bach1::Mafk	chr8	70549976	70549990	+	0.000	0.000	Merged-chr8-70549860-20
NR4723--MA0089.1.MAFG::NFE2L1	chr15	36261593	36261598	+	0.000	0.000	Merged-chr15-36261569-31
NR5066--MA0591.1.Bach1::Mafk	chr15	102376995	102377009	+	0.000	0.000	Merged-chr15-102377119-58
NR9771--MA0089.1.MAFG::NFE2L1	chr4	145263661	145263666	-	0.000	0.000	Merged-chr4-145263821-10
NR8351--MA0089.1.MAFG::NFE2L1	chr3	60639296	60639301	-	0.000	0.000	Merged-chr3-60639254-17
