#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR3359--MA0766.1.GATA5	chr18	23913297	23913304	-	0.000	0.000	Merged-chr18-23913382-65
NR3155--MA0482.1.Gata4	chr17	31224053	31224063	-	0.000	0.000	Merged-chr17-31224074-61
NR2700--MA0036.3.GATA2	chr15	94259677	94259687	+	0.000	0.000	Merged-chr15-94259724-7
NR6344--MA0037.3.GATA3	chr7	30099623	30099630	+	0.000	0.000	Merged-chr7-30099514-26
NR7124--MA0035.3.Gata1	chr8	128264197	128264207	-	0.000	0.000	Merged-chr8-128264362-5
NR6988--MA0766.1.GATA5	chr8	111595993	111596000	-	0.000	0.000	Merged-chr8-111595874-65
NR4642--MA0766.1.GATA5	chr3	89906214	89906221	-	0.000	0.000	Merged-chr3-89906356-37
NR3857--MA1104.1.GATA6	chr2	19628496	19628508	-	0.000	0.000	Merged-chr2-19628399-27
NR6394--MA0035.3.Gata1	chr7	47113494	47113504	-	0.000	0.000	Merged-chr7-47113657-15
NR7647--MA0035.3.Gata1	chrX	137019422	137019432	-	0.000	0.000	Merged-chrX-137019593-29
NR6370--MA0482.1.Gata4	chr7	44496630	44496640	+	0.000	0.000	Merged-chr7-44496496-71
NR2410--MA0482.1.Gata4	chr14	100235658	100235668	-	0.000	0.000	Merged-chr14-100235821-25
NR7147--MA0482.1.Gata4	chr9	20492727	20492737	-	0.000	0.000	Merged-chr9-20492841-60
NR6182--MA0037.3.GATA3	chr6	130312045	130312052	-	0.000	0.000	Merged-chr6-130312055-26
NR7326--MA1104.1.GATA6	chr9	69156193	69156205	-	0.000	0.000	Merged-chr9-69156335-38
NR7131--MA0140.2.GATA1::TAL1	chr9	7572398	7572415	-	0.000	0.000	Merged-chr9-7572579-40
NR4817--MA0766.1.GATA5	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR2856--MA0036.3.GATA2	chr16	49774802	49774812	+	0.000	0.000	Merged-chr16-49774880-113
NR4889--MA0035.3.Gata1	chr3	145933902	145933912	+	0.000	0.000	Merged-chr3-145933993-23
NR1763--MA0037.3.GATA3	chr12	118439074	118439081	+	0.000	0.000	Merged-chr12-118439012-3
NR6105--MA0037.3.GATA3	chr6	120251081	120251088	+	0.000	0.000	Merged-chr6-120251204-14
NR684--MA0035.3.Gata1	chr10	39488318	39488328	-	0.000	0.000	Merged-chr10-39488240-32
NR6902--MA0035.3.Gata1	chr8	68126304	68126314	-	0.000	0.000	Merged-chr8-68126185-13
NR5503--MA0037.3.GATA3	chr5	64472608	64472615	-	0.000	0.000	Merged-chr5-64472447-77
NR1872--MA0037.3.GATA3	chr13	42101817	42101824	-	0.000	0.000	Merged-chr13-42101708-35
NR7544--MA1104.1.GATA6	chr9	120493243	120493255	-	0.000	0.000	Merged-chr9-120493281-1
NR7068--MA1104.1.GATA6	chr8	123015269	123015281	-	0.000	0.000	Merged-chr8-123015317-27
NR1253--MA0037.3.GATA3	chr11	96075702	96075709	-	0.000	0.000	Merged-chr11-96075825-57
NR6163--MA0036.3.GATA2	chr6	129210607	129210617	-	0.000	0.000	Merged-chr6-129210550-50
NR1428--MA1104.1.GATA6	chr12	26460150	26460162	-	0.000	0.000	Merged-chr12-26460097-25
NR6787--MA0035.3.Gata1	chr7	143649722	143649732	+	0.000	0.000	Merged-chr7-143649559-54
NR7401--MA1104.1.GATA6	chr9	92314081	92314093	-	0.000	0.000	Merged-chr9-92314019-19
NR2556--MA0035.3.Gata1	chr15	52570470	52570480	+	0.000	0.000	Merged-chr15-52570490-21
NR421--MA0482.1.Gata4	chr1	164366711	164366721	+	0.000	0.000	Merged-chr1-164366862-30
NR1029--MA0036.3.GATA2	chr11	11522195	11522205	-	0.000	0.000	Merged-chr11-11522120-49
NR3836--MA1104.1.GATA6	chr2	13760571	13760583	+	0.000	0.000	Merged-chr2-13760550-51
NR2711--MA1104.1.GATA6	chr15	96543513	96543525	+	0.000	0.000	Merged-chr15-96543525-72
NR3309--MA0482.1.Gata4	chr17	83307181	83307191	-	0.000	0.000	Merged-chr17-83307130-30
NR2322--MA0766.1.GATA5	chr14	57713188	57713195	+	0.000	0.000	Merged-chr14-57713043-44
NR258--MA0766.1.GATA5	chr1	131638416	131638423	+	0.000	0.000	Merged-chr1-131638408-68
NR3198--MA1104.1.GATA6	chr17	50136227	50136239	-	0.000	0.000	Merged-chr17-50136209-46
NR2845--MA0766.1.GATA5	chr16	45025480	45025487	+	0.000	0.000	Merged-chr16-45025536-40
NR6482--MA0035.3.Gata1	chr7	84166279	84166289	+	0.000	0.000	Merged-chr7-84166236-11
NR4321--MA0482.1.Gata4	chr2	146498566	146498576	+	0.000	0.000	Merged-chr2-146498425-8
NR2641--MA0482.1.Gata4	chr15	85469059	85469069	-	0.000	0.000	Merged-chr15-85469002-5
NR986--MA0766.1.GATA5	chr10	128990355	128990362	-	0.000	0.000	Merged-chr10-128990510-111
NR5032--MA0482.1.Gata4	chr4	43973613	43973623	+	0.000	0.000	Merged-chr4-43973629-28
NR105--MA0036.3.GATA2	chr1	69496218	69496228	-	0.000	0.000	Merged-chr1-69496310-11
NR4972--MA0036.3.GATA2	chr4	6513161	6513171	-	0.000	0.000	Merged-chr4-6513131-20
NR638--MA0766.1.GATA5	chr10	21964643	21964650	-	0.000	0.000	Merged-chr10-21964511-16
NR628--MA0036.3.GATA2	chr10	17574971	17574981	-	0.000	0.000	Merged-chr10-17575084-24
NR7209--MA1104.1.GATA6	chr9	45828849	45828861	+	0.000	0.000	Merged-chr9-45828671-68
NR3758--MA0140.2.GATA1::TAL1	chr19	56761966	56761983	+	0.000	0.000	Merged-chr19-56762004-4
NR342--MA1104.1.GATA6	chr1	153141156	153141168	-	0.000	0.000	Merged-chr1-153140977-54
NR6981--MA0482.1.Gata4	chr8	110859815	110859825	+	0.000	0.000	Merged-chr8-110860019-49
NR1898--MA1104.1.GATA6	chr13	52922195	52922207	+	0.000	0.000	Merged-chr13-52922066-27
NR1119--MA0482.1.Gata4	chr11	53656982	53656992	+	0.000	0.000	Merged-chr11-53657053-47
NR7344--MA0482.1.Gata4	chr9	80057793	80057803	-	0.000	0.000	Merged-chr9-80057847-17
NR7047--MA1104.1.GATA6	chr8	117548683	117548695	-	0.000	0.000	Merged-chr8-117548585-70
NR180--MA1104.1.GATA6	chr1	86048456	86048468	+	0.000	0.000	Merged-chr1-86048437-13
