#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR2698--MA0463.1.Bcl6	chrX	73082485	73082498	-	0.000	0.000	Merged-chrX-73082481-64
NR2125--MA0463.1.Bcl6	chr5	142909449	142909462	+	0.000	0.000	Merged-chr5-142909413-47
NR1935--MA0463.1.Bcl6	chr4	130931051	130931064	+	0.000	0.000	Merged-chr4-130930977-2
NR1165--MA0463.1.Bcl6	chr17	23925348	23925361	+	0.000	0.000	Merged-chr17-23925294-2
NR1071--MA0463.1.Bcl6	chr16	44321831	44321844	+	0.000	0.000	Merged-chr16-44321913-9
NR2255--MA0463.1.Bcl6	chr6	120470859	120470872	+	0.000	0.000	Merged-chr6-120470872-38
NR1922--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR1032--MA0731.1.BCL6B	chr16	11034623	11034639	+	0.000	0.000	Merged-chr16-11034584-21
NR1760--MA0731.1.BCL6B	chr3	152920442	152920458	-	0.000	0.000	Merged-chr3-152920565-52
NR1510--MA0463.1.Bcl6	chr2	126676037	126676050	+	0.000	0.000	Merged-chr2-126676063-4
NR1141--MA0731.1.BCL6B	chr17	5887463	5887479	-	0.000	0.000	Merged-chr17-5887399-51
NR1837--MA0463.1.Bcl6	chr4	57656576	57656589	+	0.000	0.000	Merged-chr4-57656422-17
NR1949--MA0463.1.Bcl6	chr4	145312772	145312785	-	0.000	0.000	Merged-chr4-145312696-44
NR1568--MA0731.1.BCL6B	chr2	162931369	162931385	-	0.000	0.000	Merged-chr2-162931607-133
NR623--MA0463.1.Bcl6	chr13	12257807	12257820	+	0.000	0.000	Merged-chr13-12257954-77
NR2399--MA0463.1.Bcl6	chr7	101896592	101896605	+	0.000	0.000	Merged-chr7-101896554-69
NR1547--MA0731.1.BCL6B	chr2	145957574	145957590	-	0.000	0.000	Merged-chr2-145957643-25
NR2681--MA0731.1.BCL6B	chrX	8252416	8252432	-	0.000	0.000	Merged-chrX-8252507-67
NR1778--MA0731.1.BCL6B	chr4	8792355	8792371	+	0.000	0.000	Merged-chr4-8792257-5
NR1659--MA0463.1.Bcl6	chr3	88043087	88043100	+	0.000	0.000	Merged-chr3-88043136-39
NR440--MA0731.1.BCL6B	chr11	57952816	57952832	-	0.000	0.000	Merged-chr11-57952769-40
NR724--MA0731.1.BCL6B	chr13	93355319	93355335	+	0.000	0.000	Merged-chr13-93355176-15
NR1866--MA0731.1.BCL6B	chr4	86739316	86739332	+	0.000	0.000	Merged-chr4-86739424-15
NR454--MA0463.1.Bcl6	chr11	75533410	75533423	-	0.000	0.000	Merged-chr11-75533258-32
NR2682--MA0463.1.Bcl6	chrX	12006392	12006405	+	0.000	0.000	Merged-chrX-12006353-78
NR351--MA0463.1.Bcl6	chr10	94552062	94552075	+	0.000	0.000	Merged-chr10-94552139-57
NR2436--MA0463.1.Bcl6	chr7	139068522	139068535	+	0.000	0.000	Merged-chr7-139068338-42
NR1008--MA0731.1.BCL6B	chr15	102109295	102109311	+	0.000	0.000	Merged-chr15-102109338-20
NR2557--MA0463.1.Bcl6	chr8	122556837	122556850	-	0.000	0.000	Merged-chr8-122556749-52
NR955--MA0731.1.BCL6B	chr15	36938043	36938059	-	0.000	0.000	Merged-chr15-36937970-1
NR2360--MA0463.1.Bcl6	chr7	67353779	67353792	-	0.000	0.000	Merged-chr7-67353683-35
NR2208--MA0463.1.Bcl6	chr6	72401946	72401959	-	0.000	0.000	Merged-chr6-72402055-12
NR2472--MA0463.1.Bcl6	chr8	40961932	40961945	-	0.000	0.000	Merged-chr8-40961976-32
NR1942--MA0463.1.Bcl6	chr4	134767951	134767964	-	0.000	0.000	Merged-chr4-134767796-55
NR62--MA0731.1.BCL6B	chr1	59923361	59923377	-	0.000	0.000	Merged-chr1-59923331-34
NR2356--MA0463.1.Bcl6	chr7	64373942	64373955	-	0.000	0.000	Merged-chr7-64373946-61
NR1499--MA0463.1.Bcl6	chr2	117441216	117441229	+	0.000	0.000	Merged-chr2-117441143-41
NR1938--MA0463.1.Bcl6	chr4	133073286	133073299	-	0.000	0.000	Merged-chr4-133073490-32
NR1177--MA0463.1.Bcl6	chr17	35997138	35997151	-	0.000	0.000	Merged-chr17-35997233-37
NR388--MA0463.1.Bcl6	chr10	122578750	122578763	+	0.000	0.000	Merged-chr10-122578660-68
NR173--MA0463.1.Bcl6	chr1	161713000	161713013	-	0.000	0.000	Merged-chr1-161713119-39
NR2164--MA0463.1.Bcl6	chr6	30340652	30340665	-	0.000	0.000	Merged-chr6-30340459-13
NR2276--MA0463.1.Bcl6	chr6	131276621	131276634	-	0.000	0.000	Merged-chr6-131276753-31
NR2190--MA0731.1.BCL6B	chr6	54703245	54703261	+	0.000	0.000	Merged-chr6-54703132-16
NR2636--MA0731.1.BCL6B	chr9	86393757	86393773	+	0.000	0.000	Merged-chr9-86393704-34
NR472--MA0731.1.BCL6B	chr11	101008334	101008350	+	0.000	0.000	Merged-chr11-101008310-35
NR1518--MA0463.1.Bcl6	chr2	132607901	132607914	+	0.000	0.000	Merged-chr2-132607891-50
NR729--MA0463.1.Bcl6	chr13	95685910	95685923	+	0.000	0.000	Merged-chr13-95685937-61
NR594--MA0731.1.BCL6B	chr12	104479545	104479561	-	0.000	0.000	Merged-chr12-104479595-1
NR865--MA0731.1.BCL6B	chr14	70076773	70076789	+	0.000	0.000	Merged-chr14-70076912-39
NR331--MA0463.1.Bcl6	chr10	77984599	77984612	+	0.000	0.000	Merged-chr10-77984793-34
NR735--MA0731.1.BCL6B	chr13	102097597	102097613	-	0.000	0.000	Merged-chr13-102097534-1
NR2680--MA0463.1.Bcl6	chrX	8132522	8132535	+	0.000	0.000	Merged-chrX-8132452-84
NR573--MA0731.1.BCL6B	chr12	86891613	86891629	+	0.000	0.000	Merged-chr12-86891663-3
NR368--MA0731.1.BCL6B	chr10	105292902	105292918	-	0.000	0.000	Merged-chr10-105293001-1
NR1529--MA0731.1.BCL6B	chr2	135737800	135737816	-	0.000	0.000	Merged-chr2-135737673-31
NR1367--MA0731.1.BCL6B	chr2	11118760	11118776	-	0.000	0.000	Merged-chr2-11118835-29
NR2697--MA0731.1.BCL6B	chrX	52760345	52760361	-	0.000	0.000	Merged-chrX-52760494-47
NR172--MA0731.1.BCL6B	chr1	161660902	161660918	+	0.000	0.000	Merged-chr1-161660991-11
NR439--MA0463.1.Bcl6	chr11	57952819	57952832	+	0.000	0.000	Merged-chr11-57952769-40
NR493--MA0463.1.Bcl6	chr12	8326926	8326939	+	0.000	0.000	Merged-chr12-8326967-30
NR2437--MA0731.1.BCL6B	chr7	139068519	139068535	-	0.000	0.000	Merged-chr7-139068338-42
NR1054--MA0463.1.Bcl6	chr16	23988588	23988601	+	0.000	0.000	Merged-chr16-23988801-56
NR401--MA0731.1.BCL6B	chr11	4704383	4704399	+	0.000	0.000	Merged-chr11-4704501-78
NR382--MA0731.1.BCL6B	chr10	115406526	115406542	-	0.000	0.000	Merged-chr10-115406653-18
NR1072--MA0463.1.Bcl6	chr16	44321829	44321842	-	0.000	0.000	Merged-chr16-44321913-9
NR557--MA0731.1.BCL6B	chr12	69529960	69529976	-	0.000	0.000	Merged-chr12-69529974-44
NR2397--MA0731.1.BCL6B	chr7	100607551	100607567	+	0.000	0.000	Merged-chr7-100607633-74
NR1511--MA0463.1.Bcl6	chr2	126676219	126676232	-	0.000	0.000	Merged-chr2-126676063-4
NR2601--MA0463.1.Bcl6	chr9	48538503	48538516	-	0.000	0.000	Merged-chr9-48538454-59
NR1641--MA0463.1.Bcl6	chr3	75517780	75517793	-	0.000	0.000	Merged-chr3-75517936-30
NR727--MA0463.1.Bcl6	chr13	94381827	94381840	+	0.000	0.000	Merged-chr13-94381981-20
NR1413--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR244--MA0731.1.BCL6B	chr10	7681970	7681986	-	0.000	0.000	Merged-chr10-7681828-7
NR857--MA0463.1.Bcl6	chr14	57680133	57680146	+	0.000	0.000	Merged-chr14-57680165-28
NR2400--MA0463.1.Bcl6	chr7	104369993	104370006	-	0.000	0.000	Merged-chr7-104370069-34
NR660--MA0463.1.Bcl6	chr13	34114729	34114742	+	0.000	0.000	Merged-chr13-34114809-14
NR2321--MA0731.1.BCL6B	chr7	28372749	28372765	-	0.000	0.000	Merged-chr7-28372841-69
NR1427--MA0463.1.Bcl6	chr2	60880863	60880876	+	0.000	0.000	Merged-chr2-60880763-2
NR2605--MA0731.1.BCL6B	chr9	57836947	57836963	-	0.000	0.000	Merged-chr9-57836875-58
NR2129--MA0731.1.BCL6B	chr5	145201539	145201555	+	0.000	0.000	Merged-chr5-145201700-67
NR2441--MA0463.1.Bcl6	chr7	142435488	142435501	+	0.000	0.000	Merged-chr7-142435660-33
NR2647--MA0463.1.Bcl6	chr9	95072707	95072720	-	0.000	0.000	Merged-chr9-95072706-61
NR1745--MA0731.1.BCL6B	chr3	146783896	146783912	-	0.000	0.000	Merged-chr3-146783871-10
NR2565--MA0731.1.BCL6B	chr8	126422087	126422103	+	0.000	0.000	Merged-chr8-126422027-2
NR2665--MA0463.1.Bcl6	chr9	106822491	106822504	-	0.000	0.000	Merged-chr9-106822240-128
NR2213--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
NR1201--MA0731.1.BCL6B	chr17	62413615	62413631	-	0.000	0.000	Merged-chr17-62413697-2
NR1920--MA0463.1.Bcl6	chr4	120381174	120381187	+	0.000	0.000	Merged-chr4-120381159-28
NR1671--MA0731.1.BCL6B	chr3	96563333	96563349	+	0.000	0.000	Merged-chr3-96563377-23
NR2448--MA0731.1.BCL6B	chr8	13686698	13686714	+	0.000	0.000	Merged-chr8-13686705-81
NR175--MA0731.1.BCL6B	chr1	164966186	164966202	+	0.000	0.000	Merged-chr1-164966286-53
NR2227--MA0463.1.Bcl6	chr6	97107092	97107105	+	0.000	0.000	Merged-chr6-97107020-27
NR1173--MA0463.1.Bcl6	chr17	33865564	33865577	-	0.000	0.000	Merged-chr17-33865585-36
NR1191--MA0463.1.Bcl6	chr17	51855369	51855382	-	0.000	0.000	Merged-chr17-51855418-25
NR1500--MA0463.1.Bcl6	chr2	118730720	118730733	-	0.000	0.000	Merged-chr2-118730761-5
NR2375--MA0463.1.Bcl6	chr7	80636405	80636418	+	0.000	0.000	Merged-chr7-80636547-14
NR926--MA0463.1.Bcl6	chr15	6622717	6622730	-	0.000	0.000	Merged-chr15-6622657-10
NR1934--MA0731.1.BCL6B	chr4	129570169	129570185	+	0.000	0.000	Merged-chr4-129570214-45
NR295--MA0463.1.Bcl6	chr10	39039685	39039698	-	0.000	0.000	Merged-chr10-39039718-5
NR2165--MA0463.1.Bcl6	chr6	30351368	30351381	-	0.000	0.000	Merged-chr6-30351409-35
NR501--MA0463.1.Bcl6	chr12	17348213	17348226	+	0.000	0.000	Merged-chr12-17348366-60
NR2398--MA0463.1.Bcl6	chr7	101377953	101377966	+	0.000	0.000	Merged-chr7-101378062-62
NR861--MA0731.1.BCL6B	chr14	60129816	60129832	-	0.000	0.000	Merged-chr14-60129717-50
NR734--MA0463.1.Bcl6	chr13	102097600	102097613	+	0.000	0.000	Merged-chr13-102097534-1
NR1425--MA0463.1.Bcl6	chr2	60204337	60204350	-	0.000	0.000	Merged-chr2-60204421-25
