#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR1750--MA0037.3.GATA3	chr11	106057070	106057077	-	0.000	0.000	Merged-chr11-106057103-42
NR1746--MA0482.1.Gata4	chr11	104609418	104609428	-	0.000	0.000	Merged-chr11-104609685-47
NR2505--MA0766.1.GATA5	chr13	23556077	23556084	+	0.000	0.000	Merged-chr13-23556170-26
NR4480--MA0766.1.GATA5	chr17	64208603	64208610	+	0.000	0.000	Merged-chr17-64208497-3
NR4470--MA0036.3.GATA2	chr17	62784083	62784093	+	0.000	0.000	Merged-chr17-62784192-42
NR8363--MA0766.1.GATA5	chr6	129533346	129533353	+	0.000	0.000	Merged-chr6-129533355-94
NR612--MA0766.1.GATA5	chr1	143202527	143202534	+	0.000	0.000	Merged-chr1-143202432-31
NR5232--MA1104.1.GATA6	chr2	38321310	38321322	-	0.000	0.000	Merged-chr2-38321185-25
NR5205--MA0035.3.Gata1	chr2	22721880	22721890	+	0.000	0.000	Merged-chr2-22721936-56
NR7531--MA0037.3.GATA3	chr5	64519188	64519195	+	0.000	0.000	Merged-chr5-64519093-9
NR4865--MA0482.1.Gata4	chr18	62072967	62072977	+	0.000	0.000	Merged-chr18-62072861-2
NR5499--MA0036.3.GATA2	chr2	109608255	109608265	-	0.000	0.000	Merged-chr2-109608122-1
NR6540--MA0766.1.GATA5	chr3	146127390	146127397	-	0.000	0.000	Merged-chr3-146127552-12
NR9597--MA0766.1.GATA5	chr9	53271837	53271844	-	0.000	0.000	Merged-chr9-53271662-13
NR8967--MA0140.2.GATA1::TAL1	chr7	118922749	118922766	-	0.000	0.000	Merged-chr7-118922669-15
NR2561--MA0766.1.GATA5	chr13	49188131	49188138	+	0.000	0.000	Merged-chr13-49188113-1
NR6833--MA1104.1.GATA6	chr4	53384820	53384832	-	0.000	0.000	Merged-chr4-53384912-31
NR8995--MA0766.1.GATA5	chr7	127288042	127288049	+	0.000	0.000	Merged-chr7-127288112-51
NR8985--MA0036.3.GATA2	chr7	125472208	125472218	+	0.000	0.000	Merged-chr7-125472313-74
NR7145--MA0036.3.GATA2	chr4	135895435	135895445	+	0.000	0.000	Merged-chr4-135895375-12
NR2598--MA0036.3.GATA2	chr13	61996742	61996752	+	0.000	0.000	Merged-chr13-61996796-15
NR7401--MA1104.1.GATA6	chr5	29200061	29200073	-	0.000	0.000	Merged-chr5-29200032-4
NR6052--MA0037.3.GATA3	chr3	52298748	52298755	-	0.000	0.000	Merged-chr3-52298855-38
NR6118--MA0037.3.GATA3	chr3	60954285	60954292	+	0.000	0.000	Merged-chr3-60954370-10
NR3657--MA0482.1.Gata4	chr15	61438672	61438682	-	0.000	0.000	Merged-chr15-61438700-21
NR3089--MA1104.1.GATA6	chr14	40927276	40927288	+	0.000	0.000	Merged-chr14-40927194-29
NR8781--MA0035.3.Gata1	chr7	73600106	73600116	-	0.000	0.000	Merged-chr7-73600199-6
NR1138--MA0036.3.GATA2	chr10	69168673	69168683	+	0.000	0.000	Merged-chr10-69168741-15
NR6885--MA0140.2.GATA1::TAL1	chr4	63049721	63049738	-	0.000	0.000	Merged-chr4-63049665-7
NR6447--MA0036.3.GATA2	chr3	135515339	135515349	+	0.000	0.000	Merged-chr3-135515494-6
NR4573--MA0482.1.Gata4	chr17	86038315	86038325	+	0.000	0.000	Merged-chr17-86038391-20
NR9396--MA0035.3.Gata1	chr8	117801964	117801974	-	0.000	0.000	Merged-chr8-117802067-74
NR5555--MA0482.1.Gata4	chr2	121457053	121457063	+	0.000	0.000	Merged-chr2-121457132-54
NR8661--MA0482.1.Gata4	chr7	30280499	30280509	-	0.000	0.000	Merged-chr7-30280528-94
