#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1814--MA0463.1.Bcl6	chrX	7657334	7657347	+	0.000	0.000	Merged-chrX-7657381-29
NR1053--MA0463.1.Bcl6	chr2	160755731	160755744	-	0.000	0.000	Merged-chr2-160755675-4
NR1162--MA0731.1.BCL6B	chr3	139033354	139033370	-	0.000	0.000	Merged-chr3-139033383-15
NR479--MA0463.1.Bcl6	chr13	37801785	37801798	-	0.000	0.000	Merged-chr13-37801685-58
NR1071--MA0463.1.Bcl6	chr2	181377375	181377388	+	0.000	0.000	Merged-chr2-181377481-47
NR1542--MA0731.1.BCL6B	chr7	19310286	19310302	-	0.000	0.000	Merged-chr7-19310248-55
NR918--MA0463.1.Bcl6	chr2	18765774	18765787	+	0.000	0.000	Merged-chr2-18765910-35
NR1698--MA0731.1.BCL6B	chr8	106973589	106973605	-	0.000	0.000	Merged-chr8-106973584-40
NR1284--MA0731.1.BCL6B	chr4	144909007	144909023	-	0.000	0.000	Merged-chr4-144908993-28
NR1622--MA0463.1.Bcl6	chr7	128029573	128029586	-	0.000	0.000	Merged-chr7-128029602-11
NR1773--MA0731.1.BCL6B	chr9	96896840	96896856	-	0.000	0.000	Merged-chr9-96896917-17
NR1568--MA0731.1.BCL6B	chr7	68350058	68350074	+	0.000	0.000	Merged-chr7-68350249-38
NR399--MA0463.1.Bcl6	chr12	73162857	73162870	-	0.000	0.000	Merged-chr12-73162812-38
NR24--MA0463.1.Bcl6	chr1	60875480	60875493	+	0.000	0.000	Merged-chr1-60875356-55
NR1481--MA0731.1.BCL6B	chr6	113668825	113668841	+	0.000	0.000	Merged-chr6-113668955-38
NR1752--MA0731.1.BCL6B	chr9	63740650	63740666	-	0.000	0.000	Merged-chr9-63740717-42
NR1590--MA0731.1.BCL6B	chr7	98090357	98090373	+	0.000	0.000	Merged-chr7-98090470-13
NR22--MA0731.1.BCL6B	chr1	59608673	59608689	+	0.000	0.000	Merged-chr1-59608730-64
NR1494--MA0731.1.BCL6B	chr6	120324584	120324600	+	0.000	0.000	Merged-chr6-120324569-14
NR1765--MA0731.1.BCL6B	chr9	86662058	86662074	-	0.000	0.000	Merged-chr9-86661955-9
NR874--MA0463.1.Bcl6	chr19	16255597	16255610	-	0.000	0.000	Merged-chr19-16255427-25
NR1560--MA0463.1.Bcl6	chr7	45136082	45136095	+	0.000	0.000	Merged-chr7-45136227-69
NR628--MA0463.1.Bcl6	chr15	58870054	58870067	+	0.000	0.000	Merged-chr15-58870112-33
NR1003--MA0731.1.BCL6B	chr2	127310291	127310307	-	0.000	0.000	Merged-chr2-127310323-17
NR534--MA0463.1.Bcl6	chr13	113203098	113203111	+	0.000	0.000	Merged-chr13-113203194-33
NR646--MA0463.1.Bcl6	chr15	84654308	84654321	-	0.000	0.000	Merged-chr15-84654435-24
NR776--MA0463.1.Bcl6	chr17	44121573	44121586	-	0.000	0.000	Merged-chr17-44121634-62
NR203--MA0463.1.Bcl6	chr10	68054438	68054451	+	0.000	0.000	Merged-chr10-68054504-48
NR14--MA0731.1.BCL6B	chr1	40515344	40515360	-	0.000	0.000	Merged-chr1-40515347-62
NR1583--MA0463.1.Bcl6	chr7	80789263	80789276	+	0.000	0.000	Merged-chr7-80789417-43
NR92--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR221--MA0463.1.Bcl6	chr10	82778308	82778321	-	0.000	0.000	Merged-chr10-82778212-17
NR70--MA0731.1.BCL6B	chr1	131051591	131051607	+	0.000	0.000	Merged-chr1-131051393-11
NR472--MA0463.1.Bcl6	chr13	30614125	30614138	+	0.000	0.000	Merged-chr13-30614195-6
