#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR5543--MA0511.2.RUNX2	chr2	172382248	172382256	+	0.000	0.000	Merged-chr2-172382291-6
NR1627--MA0002.2.RUNX1	chr11	87240397	87240407	-	0.000	0.000	Merged-chr11-87240422-3
NR3493--MA0002.2.RUNX1	chr15	80897004	80897014	-	0.000	0.000	Merged-chr15-80896921-31
NR9327--MA0002.2.RUNX1	chr9	106394477	106394487	+	0.000	0.000	Merged-chr9-106394684-34
NR3022--MA0684.1.RUNX3	chr14	73290033	73290042	-	0.000	0.000	Merged-chr14-73290096-39
NR3145--MA0002.2.RUNX1	chr14	115250747	115250757	+	0.000	0.000	Merged-chr14-115250840-27
NR5652--MA0511.2.RUNX2	chr3	21911281	21911289	-	0.000	0.000	Merged-chr3-21911228-38
NR7110--MA0684.1.RUNX3	chr5	77134665	77134674	-	0.000	0.000	Merged-chr5-77134607-48
NR2891--MA0002.2.RUNX1	chr14	30675111	30675121	-	0.000	0.000	Merged-chr14-30675172-26
NR7899--MA0002.2.RUNX1	chr6	127582642	127582652	-	0.000	0.000	Merged-chr6-127582626-90
NR7028--MA0002.2.RUNX1	chr5	53809455	53809465	+	0.000	0.000	Merged-chr5-53809637-58
NR5619--MA0002.2.RUNX1	chr3	14944925	14944935	+	0.000	0.000	Merged-chr3-14944781-17
NR1051--MA0002.2.RUNX1	chr10	61680237	61680247	-	0.000	0.000	Merged-chr10-61680390-61
NR3939--MA0002.2.RUNX1	chr16	92801758	92801768	+	0.000	0.000	Merged-chr16-92801827-54
NR9313--MA0684.1.RUNX3	chr9	99243137	99243146	+	0.000	0.000	Merged-chr9-99243262-100
NR684--MA0002.2.RUNX1	chr1	175602475	175602485	-	0.000	0.000	Merged-chr1-175602466-27
NR9565--MA0684.1.RUNX3	chrX	145307430	145307439	-	0.000	0.000	Merged-chrX-145307441-1
NR2795--MA0002.2.RUNX1	chr14	8659868	8659878	-	0.000	0.000	Merged-chr14-8659683-4
NR7408--MA0002.2.RUNX1	chr6	3620706	3620716	+	0.000	0.000	Merged-chr6-3620670-56
NR3654--MA0684.1.RUNX3	chr16	22461877	22461886	-	0.000	0.000	Merged-chr16-22461951-26
NR7537--MA0684.1.RUNX3	chr6	38848074	38848083	-	0.000	0.000	Merged-chr6-38848269-41
NR3306--MA0684.1.RUNX3	chr15	36650102	36650111	-	0.000	0.000	Merged-chr15-36650116-39
NR8420--MA0002.2.RUNX1	chr7	117433803	117433813	-	0.000	0.000	Merged-chr7-117433722-72
NR9402--MA0002.2.RUNX1	chr9	121642794	121642804	-	0.000	0.000	Merged-chr9-121642625-86
NR9482--MA0511.2.RUNX2	chrX	59508506	59508514	-	0.000	0.000	Merged-chrX-59508552-38
NR7517--MA0002.2.RUNX1	chr6	34476053	34476063	-	0.000	0.000	Merged-chr6-34476190-64
NR3763--MA0684.1.RUNX3	chr16	49818780	49818789	+	0.000	0.000	Merged-chr16-49818889-55
NR921--MA0002.2.RUNX1	chr10	23812342	23812352	-	0.000	0.000	Merged-chr10-23812313-29
NR8943--MA0002.2.RUNX1	chr8	127815059	127815069	-	0.000	0.000	Merged-chr8-127815081-25
NR4170--MA0002.2.RUNX1	chr17	34210705	34210715	+	0.000	0.000	Merged-chr17-34210763-36
NR3637--MA0511.2.RUNX2	chr16	17619473	17619481	-	0.000	0.000	Merged-chr16-17619453-35
NR697--MA0002.2.RUNX1	chr1	177532840	177532850	-	0.000	0.000	Merged-chr1-177532869-13
NR3538--MA0002.2.RUNX1	chr15	93563705	93563715	-	0.000	0.000	Merged-chr15-93563752-30
NR1050--MA0684.1.RUNX3	chr10	60381313	60381322	-	0.000	0.000	Merged-chr10-60381393-83
NR2049--MA0511.2.RUNX2	chr12	86047582	86047590	-	0.000	0.000	Merged-chr12-86047582-19
