#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR1750--MA0037.3.GATA3	chr11	106057070	106057077	-	0.000	0.000	Merged-chr11-106057103-42
NR1746--MA0482.1.Gata4	chr11	104609418	104609428	-	0.000	0.000	Merged-chr11-104609685-47
NR1449--MA1104.1.GATA6	chr10	122578484	122578496	-	0.000	0.000	Merged-chr10-122578660-68
NR2505--MA0766.1.GATA5	chr13	23556077	23556084	+	0.000	0.000	Merged-chr13-23556170-26
NR7198--MA1104.1.GATA6	chr4	149147504	149147516	+	0.000	0.000	Merged-chr4-149147530-1
NR6251--MA0035.3.Gata1	chr3	89183058	89183068	+	0.000	0.000	Merged-chr3-89183015-64
NR8111--MA0766.1.GATA5	chr6	66252375	66252382	-	0.000	0.000	Merged-chr6-66252273-1,Merged-chr6-66252474-1
NR6160--MA0766.1.GATA5	chr3	68967474	68967481	+	0.000	0.000	Merged-chr3-68967303-47
NR4480--MA0766.1.GATA5	chr17	64208603	64208610	+	0.000	0.000	Merged-chr17-64208497-3
NR3695--MA1104.1.GATA6	chr15	80590803	80590815	+	0.000	0.000	Merged-chr15-80590747-44
NR612--MA0766.1.GATA5	chr1	143202527	143202534	+	0.000	0.000	Merged-chr1-143202432-31
NR5232--MA1104.1.GATA6	chr2	38321310	38321322	-	0.000	0.000	Merged-chr2-38321185-25
NR7531--MA0037.3.GATA3	chr5	64519188	64519195	+	0.000	0.000	Merged-chr5-64519093-9
NR4865--MA0482.1.Gata4	chr18	62072967	62072977	+	0.000	0.000	Merged-chr18-62072861-2
NR5499--MA0036.3.GATA2	chr2	109608255	109608265	-	0.000	0.000	Merged-chr2-109608122-1
NR6540--MA0766.1.GATA5	chr3	146127390	146127397	-	0.000	0.000	Merged-chr3-146127552-12
NR9597--MA0766.1.GATA5	chr9	53271837	53271844	-	0.000	0.000	Merged-chr9-53271662-13
NR8967--MA0140.2.GATA1::TAL1	chr7	118922749	118922766	-	0.000	0.000	Merged-chr7-118922669-15
NR2561--MA0766.1.GATA5	chr13	49188131	49188138	+	0.000	0.000	Merged-chr13-49188113-1
NR692--MA0036.3.GATA2	chr1	160195097	160195107	+	0.000	0.000	Merged-chr1-160195203-53
NR8995--MA0766.1.GATA5	chr7	127288042	127288049	+	0.000	0.000	Merged-chr7-127288112-51
NR8970--MA1104.1.GATA6	chr7	119894978	119894990	+	0.000	0.000	Merged-chr7-119895039-1
NR7145--MA0036.3.GATA2	chr4	135895435	135895445	+	0.000	0.000	Merged-chr4-135895375-12
NR7401--MA1104.1.GATA6	chr5	29200061	29200073	-	0.000	0.000	Merged-chr5-29200032-4
NR6052--MA0037.3.GATA3	chr3	52298748	52298755	-	0.000	0.000	Merged-chr3-52298855-38
NR3089--MA1104.1.GATA6	chr14	40927276	40927288	+	0.000	0.000	Merged-chr14-40927194-29
NR8781--MA0035.3.Gata1	chr7	73600106	73600116	-	0.000	0.000	Merged-chr7-73600199-6
NR2574--MA0766.1.GATA5	chr13	52922198	52922205	+	0.000	0.000	Merged-chr13-52922066-27
NR6885--MA0140.2.GATA1::TAL1	chr4	63049721	63049738	-	0.000	0.000	Merged-chr4-63049665-7
NR5555--MA0482.1.Gata4	chr2	121457053	121457063	+	0.000	0.000	Merged-chr2-121457132-54
NR8661--MA0482.1.Gata4	chr7	30280499	30280509	-	0.000	0.000	Merged-chr7-30280528-94
NR6657--MA0035.3.Gata1	chr4	9185020	9185030	-	0.000	0.000	Merged-chr4-9185047-5
NR4040--MA0035.3.Gata1	chr16	64758766	64758776	-	0.000	0.000	Merged-chr16-64758494-145
