#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1814--MA0463.1.Bcl6	chr4	41708498	41708511	+	0.000	0.000	Merged-chr4-41708469-7
NR1781--MA0731.1.BCL6B	chr4	9630902	9630918	-	0.000	0.000	Merged-chr4-9631004-95
NR1053--MA0463.1.Bcl6	chr16	23608674	23608687	-	0.000	0.000	Merged-chr16-23608841-3
NR479--MA0463.1.Bcl6	chr11	109671896	109671909	+	0.000	0.000	Merged-chr11-109672054-52
NR208--MA0731.1.BCL6B	chr1	180778302	180778318	-	0.000	0.000	Merged-chr1-180778261-1
NR2319--MA0731.1.BCL6B	chr7	27196245	27196261	+	0.000	0.000	Merged-chr7-27196117-84
NR282--MA0463.1.Bcl6	chr10	34127943	34127956	-	0.000	0.000	Merged-chr10-34127873-95
NR1707--MA0463.1.Bcl6	chr3	129308435	129308448	+	0.000	0.000	Merged-chr3-129308560-67
NR2428--MA0731.1.BCL6B	chr7	125551776	125551792	+	0.000	0.000	Merged-chr7-125551601-1
NR1819--MA0463.1.Bcl6	chr4	43972343	43972356	-	0.000	0.000	Merged-chr4-43972345-49
NR148--MA0463.1.Bcl6	chr1	136255787	136255800	-	0.000	0.000	Merged-chr1-136255836-2
NR1826--MA0731.1.BCL6B	chr4	53278267	53278283	-	0.000	0.000	Merged-chr4-53278272-26
NR1412--MA0731.1.BCL6B	chr2	52979409	52979425	-	0.000	0.000	Merged-chr2-52979573-5
NR721--MA0463.1.Bcl6	chr13	92671666	92671679	-	0.000	0.000	Merged-chr13-92671922-24
NR631--MA0731.1.BCL6B	chr13	14011559	14011575	+	0.000	0.000	Merged-chr13-14011718-22
NR1967--MA0463.1.Bcl6	chr5	3497909	3497922	-	0.000	0.000	Merged-chr5-3497810-31
NR1677--MA0731.1.BCL6B	chr3	100969745	100969761	+	0.000	0.000	Merged-chr3-100969599-56
NR990--MA0463.1.Bcl6	chr15	75862282	75862295	+	0.000	0.000	Merged-chr15-75862360-44
NR744--MA0463.1.Bcl6	chr13	106936883	106936896	-	0.000	0.000	Merged-chr13-106936851-56
NR1513--MA0731.1.BCL6B	chr2	130664268	130664284	-	0.000	0.000	Merged-chr2-130664423-57
NR874--MA0463.1.Bcl6	chr14	79290614	79290627	+	0.000	0.000	Merged-chr14-79290638-34
NR461--MA0731.1.BCL6B	chr11	95261347	95261363	-	0.000	0.000	Merged-chr11-95261394-7
NR2128--MA0731.1.BCL6B	chr5	143917669	143917685	+	0.000	0.000	Merged-chr5-143917664-24
NR1672--MA0463.1.Bcl6	chr3	97297577	97297590	+	0.000	0.000	Merged-chr3-97297834-52
NR2650--MA0463.1.Bcl6	chr9	96167362	96167375	+	0.000	0.000	Merged-chr9-96167406-22
NR2095--MA0463.1.Bcl6	chr5	105718531	105718544	-	0.000	0.000	Merged-chr5-105718341-55
NR1906--MA0731.1.BCL6B	chr4	108460927	108460943	-	0.000	0.000	Merged-chr4-108460975-1
NR602--MA0731.1.BCL6B	chr12	117173460	117173476	-	0.000	0.000	Merged-chr12-117173433-4
NR664--MA0463.1.Bcl6	chr13	41097586	41097599	+	0.000	0.000	Merged-chr13-41097728-40
NR1330--MA0731.1.BCL6B	chr19	14598236	14598252	+	0.000	0.000	Merged-chr19-14598034-110
NR561--MA0463.1.Bcl6	chr12	73671716	73671729	+	0.000	0.000	Merged-chr12-73671742-5
NR418--MA0463.1.Bcl6	chr11	24284276	24284289	+	0.000	0.000	Merged-chr11-24284420-3
NR1234--MA0731.1.BCL6B	chr17	88405208	88405224	+	0.000	0.000	Merged-chr17-88405254-11
NR2660--MA0731.1.BCL6B	chr9	103207871	103207887	-	0.000	0.000	Merged-chr9-103208007-48
NR1216--MA0463.1.Bcl6	chr17	78994670	78994683	+	0.000	0.000	Merged-chr17-78994621-3
NR2664--MA0463.1.Bcl6	chr9	106306858	106306871	+	0.000	0.000	Merged-chr9-106306956-36
NR1346--MA0463.1.Bcl6	chr19	41031105	41031118	+	0.000	0.000	Merged-chr19-41031181-46
NR1356--MA0731.1.BCL6B	chr19	60310813	60310829	-	0.000	0.000	Merged-chr19-60310774-21
NR105--MA0463.1.Bcl6	chr1	88578415	88578428	-	0.000	0.000	Merged-chr1-88578300-28
NR1364--MA0463.1.Bcl6	chr2	9200785	9200798	-	0.000	0.000	Merged-chr2-9200570-11
NR1006--MA0463.1.Bcl6	chr15	100845568	100845581	-	0.000	0.000	Merged-chr15-100845371-50
NR1322--MA0731.1.BCL6B	chr19	3731212	3731228	-	0.000	0.000	Merged-chr19-3731314-18
NR481--MA0463.1.Bcl6	chr11	114745307	114745320	-	0.000	0.000	Merged-chr11-114745299-23
NR123--MA0463.1.Bcl6	chr1	106595290	106595303	+	0.000	0.000	Merged-chr1-106595404-4
NR1812--MA0463.1.Bcl6	chr4	40781446	40781459	-	0.000	0.000	Merged-chr4-40781341-5
NR921--MA0731.1.BCL6B	chr15	5144593	5144609	+	0.000	0.000	Merged-chr15-5144505-4
NR1064--MA0731.1.BCL6B	chr16	31683791	31683807	+	0.000	0.000	Merged-chr16-31683796-20
NR1444--MA0731.1.BCL6B	chr2	72283051	72283067	+	0.000	0.000	Merged-chr2-72282934-17
NR1038--MA0463.1.Bcl6	chr16	13448032	13448045	+	0.000	0.000	Merged-chr16-13448119-36
NR2016--MA0463.1.Bcl6	chr5	35713917	35713930	+	0.000	0.000	Merged-chr5-35713868-16
NR2392--MA0463.1.Bcl6	chr7	97696750	97696763	+	0.000	0.000	Merged-chr7-97696718-62
NR860--MA0731.1.BCL6B	chr14	57910804	57910820	-	0.000	0.000	Merged-chr14-57910674-41
NR13--MA0463.1.Bcl6	chr1	12875753	12875766	-	0.000	0.000	Merged-chr1-12875704-39
NR500--MA0463.1.Bcl6	chr12	16533510	16533523	-	0.000	0.000	Merged-chr12-16533665-29
NR1880--MA0463.1.Bcl6	chr4	95053371	95053384	-	0.000	0.000	Merged-chr4-95053399-2
NR2603--MA0463.1.Bcl6	chr9	56995099	56995112	-	0.000	0.000	Merged-chr9-56995243-79
NR2169--MA0463.1.Bcl6	chr6	34346703	34346716	+	0.000	0.000	Merged-chr6-34346731-18
NR2474--MA0731.1.BCL6B	chr8	41443766	41443782	+	0.000	0.000	Merged-chr8-41443750-12
NR809--MA0731.1.BCL6B	chr14	25481268	25481284	-	0.000	0.000	Merged-chr14-25481230-34
NR1303--MA0463.1.Bcl6	chr18	75338860	75338873	+	0.000	0.000	Merged-chr18-75338929-5
NR27--MA0463.1.Bcl6	chr1	23321543	23321556	+	0.000	0.000	Merged-chr1-23321414-28
NR45--MA0463.1.Bcl6	chr1	36445320	36445333	+	0.000	0.000	Merged-chr1-36445137-58
NR1442--MA0463.1.Bcl6	chr2	71051812	71051825	-	0.000	0.000	Merged-chr2-71051882-1
NR868--MA0463.1.Bcl6	chr14	74977128	74977141	-	0.000	0.000	Merged-chr14-74977138-7
NR2411--MA0463.1.Bcl6	chr7	110796785	110796798	+	0.000	0.000	Merged-chr7-110796753-46
NR1769--MA0463.1.Bcl6	chr3	156550813	156550826	+	0.000	0.000	Merged-chr3-156550805-1
NR722--MA0731.1.BCL6B	chr13	92671666	92671682	+	0.000	0.000	Merged-chr13-92671922-24
NR1136--MA0731.1.BCL6B	chr16	97272486	97272502	-	0.000	0.000	Merged-chr16-97272459-57
NR1388--MA0731.1.BCL6B	chr2	37803106	37803122	+	0.000	0.000	Merged-chr2-37802977-26
NR1572--MA0463.1.Bcl6	chr2	165889049	165889062	-	0.000	0.000	Merged-chr2-165889031-9
NR2662--MA0463.1.Bcl6	chr9	106160174	106160187	+	0.000	0.000	Merged-chr9-106160171-45
NR2703--MA0731.1.BCL6B	chrX	100494214	100494230	-	0.000	0.000	Merged-chrX-100494288-61
NR2528--MA0463.1.Bcl6	chr8	94330997	94331010	-	0.000	0.000	Merged-chr8-94330995-25
NR2684--MA0731.1.BCL6B	chrX	13370534	13370550	+	0.000	0.000	Merged-chrX-13370495-7
NR225--MA0731.1.BCL6B	chr1	189936882	189936898	+	0.000	0.000	Merged-chr1-189936861-20
NR443--MA0731.1.BCL6B	chr11	58214898	58214914	+	0.000	0.000	Merged-chr11-58214991-50
NR823--MA0731.1.BCL6B	chr14	40992388	40992404	+	0.000	0.000	Merged-chr14-40992584-8
NR2461--MA0463.1.Bcl6	chr8	34047020	34047033	+	0.000	0.000	Merged-chr8-34046985-6
NR2121--MA0463.1.Bcl6	chr5	138116873	138116886	+	0.000	0.000	Merged-chr5-138117022-54
NR1264--MA0463.1.Bcl6	chr18	39664129	39664142	+	0.000	0.000	Merged-chr18-39664266-42
NR1161--MA0463.1.Bcl6	chr17	17567233	17567246	+	0.000	0.000	Merged-chr17-17567389-12
NR2578--MA0463.1.Bcl6	chr9	14966931	14966944	-	0.000	0.000	Merged-chr9-14967167-10
NR359--MA0463.1.Bcl6	chr10	99199137	99199150	-	0.000	0.000	Merged-chr10-99199242-8
NR1936--MA0463.1.Bcl6	chr4	132843297	132843310	+	0.000	0.000	Merged-chr4-132843203-52
NR2381--MA0463.1.Bcl6	chr7	83564940	83564953	-	0.000	0.000	Merged-chr7-83565043-35
NR1166--MA0463.1.Bcl6	chr17	24251628	24251641	+	0.000	0.000	Merged-chr17-24251490-51
NR2429--MA0731.1.BCL6B	chr7	126230773	126230789	-	0.000	0.000	Merged-chr7-126230639-34
NR1838--MA0463.1.Bcl6	chr4	58081258	58081271	+	0.000	0.000	Merged-chr4-58081365-7
NR167--MA0463.1.Bcl6	chr1	159390151	159390164	-	0.000	0.000	Merged-chr1-159390218-34
NR1068--MA0463.1.Bcl6	chr16	42172789	42172802	+	0.000	0.000	Merged-chr16-42172689-43
NR400--MA0463.1.Bcl6	chr11	3931994	3932007	+	0.000	0.000	Merged-chr11-3931934-36
NR658--MA0731.1.BCL6B	chr13	33001651	33001667	-	0.000	0.000	Merged-chr13-33001523-50
NR1655--MA0463.1.Bcl6	chr3	84581905	84581918	+	0.000	0.000	Merged-chr3-84581913-3
NR1776--MA0463.1.Bcl6	chr4	6817584	6817597	+	0.000	0.000	Merged-chr4-6817535-45
NR70--MA0463.1.Bcl6	chr1	62877030	62877043	-	0.000	0.000	Merged-chr1-62876956-19
NR2651--MA0463.1.Bcl6	chr9	96515933	96515946	-	0.000	0.000	Merged-chr9-96515884-18
NR507--MA0731.1.BCL6B	chr12	24565591	24565607	-	0.000	0.000	Merged-chr12-24565518-17
NR1217--MA0463.1.Bcl6	chr17	79100012	79100025	-	0.000	0.000	Merged-chr17-79100085-51
NR1329--MA0463.1.Bcl6	chr19	14598236	14598249	-	0.000	0.000	Merged-chr19-14598034-110
NR358--MA0731.1.BCL6B	chr10	98785560	98785576	+	0.000	0.000	Merged-chr10-98785565-23
NR2683--MA0463.1.Bcl6	chrX	13370534	13370547	-	0.000	0.000	Merged-chrX-13370495-7
NR464--MA0463.1.Bcl6	chr11	98487928	98487941	-	0.000	0.000	Merged-chr11-98487809-30
NR1365--MA0463.1.Bcl6	chr2	10343658	10343671	-	0.000	0.000	Merged-chr2-10343676-43
NR482--MA0463.1.Bcl6	chr11	114873360	114873373	-	0.000	0.000	Merged-chr11-114873395-35
NR124--MA0463.1.Bcl6	chr1	106607031	106607044	-	0.000	0.000	Merged-chr1-106607160-12
NR2567--MA0463.1.Bcl6	chr8	127447272	127447285	-	0.000	0.000	Merged-chr8-127447217-34
NR2473--MA0463.1.Bcl6	chr8	41443766	41443779	-	0.000	0.000	Merged-chr8-41443750-12
NR1043--MA0463.1.Bcl6	chr16	17508851	17508864	+	0.000	0.000	Merged-chr16-17508961-62
NR1710--MA0463.1.Bcl6	chr3	129602473	129602486	-	0.000	0.000	Merged-chr3-129602465-51
NR930--MA0463.1.Bcl6	chr15	10486030	10486043	-	0.000	0.000	Merged-chr15-10486107-67
NR1684--MA0731.1.BCL6B	chr3	107864169	107864185	+	0.000	0.000	Merged-chr3-107864110-34
NR1943--MA0463.1.Bcl6	chr4	135155554	135155567	-	0.000	0.000	Merged-chr4-135155615-17
NR702--MA0463.1.Bcl6	chr13	81351846	81351859	-	0.000	0.000	Merged-chr13-81351650-43
NR1031--MA0731.1.BCL6B	chr16	10384151	10384167	+	0.000	0.000	Merged-chr16-10384220-18
NR1968--MA0731.1.BCL6B	chr5	3508574	3508590	+	0.000	0.000	Merged-chr5-3508647-19
NR1612--MA0463.1.Bcl6	chr3	31145965	31145978	+	0.000	0.000	Merged-chr3-31145985-42
NR1733--MA0463.1.Bcl6	chr3	143426913	143426926	-	0.000	0.000	Merged-chr3-143426791-9
NR174--MA0463.1.Bcl6	chr1	164494789	164494802	+	0.000	0.000	Merged-chr1-164494906-11
NR991--MA0731.1.BCL6B	chr15	75862279	75862295	-	0.000	0.000	Merged-chr15-75862360-44
NR1093--MA0463.1.Bcl6	chr16	57465557	57465570	+	0.000	0.000	Merged-chr16-57465471-22
NR50--MA0463.1.Bcl6	chr1	40383107	40383120	+	0.000	0.000	Merged-chr1-40383046-56
NR1493--MA0731.1.BCL6B	chr2	114175318	114175334	-	0.000	0.000	Merged-chr2-114175184-57
NR2609--MA0463.1.Bcl6	chr9	63698479	63698492	+	0.000	0.000	Merged-chr9-63698652-22
NR1905--MA0731.1.BCL6B	chr4	108459769	108459785	+	0.000	0.000	Merged-chr4-108459700-11
NR1220--MA0731.1.BCL6B	chr17	80772627	80772643	-	0.000	0.000	Merged-chr17-80772766-52
NR1886--MA0731.1.BCL6B	chr4	96591234	96591250	+	0.000	0.000	Merged-chr4-96591096-6
NR999--MA0463.1.Bcl6	chr15	80149805	80149818	+	0.000	0.000	Merged-chr15-80149719-49
NR1613--MA0731.1.BCL6B	chr3	31145962	31145978	-	0.000	0.000	Merged-chr3-31145985-42
NR444--MA0463.1.Bcl6	chr11	62675924	62675937	+	0.000	0.000	Merged-chr11-62675914-24
NR69--MA0463.1.Bcl6	chr1	62877032	62877045	+	0.000	0.000	Merged-chr1-62876956-19
NR1193--MA0731.1.BCL6B	chr17	52461996	52462012	+	0.000	0.000	Merged-chr17-52461953-32
NR216--MA0463.1.Bcl6	chr1	185193768	185193781	+	0.000	0.000	Merged-chr1-185193700-43
NR1260--MA0463.1.Bcl6	chr18	36530114	36530127	-	0.000	0.000	Merged-chr18-36530023-27
NR686--MA0463.1.Bcl6	chr13	67399791	67399804	+	0.000	0.000	Merged-chr13-67399691-60
NR1587--MA0463.1.Bcl6	chr2	180745283	180745296	+	0.000	0.000	Merged-chr2-180745387-39
NR1748--MA0731.1.BCL6B	chr3	148730239	148730255	-	0.000	0.000	Merged-chr3-148730095-3
NR1390--MA0463.1.Bcl6	chr2	38926702	38926715	-	0.000	0.000	Merged-chr2-38926558-133
NR1914--MA0463.1.Bcl6	chr4	117146378	117146391	-	0.000	0.000	Merged-chr4-117146401-30
NR1820--MA0463.1.Bcl6	chr4	44106510	44106523	+	0.000	0.000	Merged-chr4-44106569-17
NR1509--MA0731.1.BCL6B	chr2	126593899	126593915	+	0.000	0.000	Merged-chr2-126594082-30
NR1050--MA0463.1.Bcl6	chr16	22548239	22548252	-	0.000	0.000	Merged-chr16-22548400-52
NR476--MA0463.1.Bcl6	chr11	103344789	103344802	+	0.000	0.000	Merged-chr11-103344829-56
NR662--MA0731.1.BCL6B	chr13	37963717	37963733	-	0.000	0.000	Merged-chr13-37963615-35
NR2364--MA0463.1.Bcl6	chr7	72261167	72261180	+	0.000	0.000	Merged-chr7-72261137-47
NR1294--MA0731.1.BCL6B	chr18	68059320	68059336	-	0.000	0.000	Merged-chr18-68059360-81
NR915--MA0463.1.Bcl6	chr14	122953499	122953512	-	0.000	0.000	Merged-chr14-122953434-8
NR1610--MA0463.1.Bcl6	chr3	31145932	31145945	+	0.000	0.000	Merged-chr3-31145985-42
NR1055--MA0731.1.BCL6B	chr16	25423965	25423981	+	0.000	0.000	Merged-chr16-25423952-5
NR87--MA0731.1.BCL6B	chr1	74661790	74661806	+	0.000	0.000	Merged-chr1-74661827-58
NR402--MA0731.1.BCL6B	chr11	6018449	6018465	-	0.000	0.000	Merged-chr11-6018281-55
NR817--MA0463.1.Bcl6	chr14	34674449	34674462	-	0.000	0.000	Merged-chr14-34674583-4
NR1512--MA0463.1.Bcl6	chr2	129873720	129873733	+	0.000	0.000	Merged-chr2-129873690-22
NR2172--MA0463.1.Bcl6	chr6	34955547	34955560	+	0.000	0.000	Merged-chr6-34955632-40
NR723--MA0463.1.Bcl6	chr13	92671874	92671887	+	0.000	0.000	Merged-chr13-92671922-24
NR620--MA0731.1.BCL6B	chr13	9638041	9638057	-	0.000	0.000	Merged-chr13-9637949-5
NR2038--MA0463.1.Bcl6	chr5	53490928	53490941	-	0.000	0.000	Merged-chr5-53490901-53
NR853--MA0463.1.Bcl6	chr14	53991442	53991455	-	0.000	0.000	Merged-chr14-53991550-13
NR1969--MA0463.1.Bcl6	chr5	3670359	3670372	+	0.000	0.000	Merged-chr5-3670094-38
NR2330--MA0731.1.BCL6B	chr7	39544305	39544321	-	0.000	0.000	Merged-chr7-39544508-62
NR2177--MA0463.1.Bcl6	chr6	38911332	38911345	+	0.000	0.000	Merged-chr6-38911348-28
NR1679--MA0731.1.BCL6B	chr3	101731254	101731270	-	0.000	0.000	Merged-chr3-101731258-4
NR992--MA0463.1.Bcl6	chr15	76351094	76351107	-	0.000	0.000	Merged-chr15-76351256-113
NR1265--MA0731.1.BCL6B	chr18	39664126	39664142	-	0.000	0.000	Merged-chr18-39664266-42
NR1884--MA0463.1.Bcl6	chr4	95765579	95765592	+	0.000	0.000	Merged-chr4-95765748-2
NR58--MA0731.1.BCL6B	chr1	53856982	53856998	-	0.000	0.000	Merged-chr1-53856868-4
NR53--MA0463.1.Bcl6	chr1	43389146	43389159	+	0.000	0.000	Merged-chr1-43389283-10
NR450--MA0731.1.BCL6B	chr11	71004529	71004545	-	0.000	0.000	Merged-chr11-71004359-68
NR1656--MA0463.1.Bcl6	chr3	84595233	84595246	+	0.000	0.000	Merged-chr3-84595329-34
