#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR2698--MA0463.1.Bcl6	chrX	73082485	73082498	-	0.000	0.000	Merged-chrX-73082481-64
NR1814--MA0463.1.Bcl6	chr4	41708498	41708511	+	0.000	0.000	Merged-chr4-41708469-7
NR2125--MA0463.1.Bcl6	chr5	142909449	142909462	+	0.000	0.000	Merged-chr5-142909413-47
NR1781--MA0731.1.BCL6B	chr4	9630902	9630918	-	0.000	0.000	Merged-chr4-9631004-95
NR1053--MA0463.1.Bcl6	chr16	23608674	23608687	-	0.000	0.000	Merged-chr16-23608841-3
NR1165--MA0463.1.Bcl6	chr17	23925348	23925361	+	0.000	0.000	Merged-chr17-23925294-2
NR2319--MA0731.1.BCL6B	chr7	27196245	27196261	+	0.000	0.000	Merged-chr7-27196117-84
NR282--MA0463.1.Bcl6	chr10	34127943	34127956	-	0.000	0.000	Merged-chr10-34127873-95
NR1707--MA0463.1.Bcl6	chr3	129308435	129308448	+	0.000	0.000	Merged-chr3-129308560-67
NR2428--MA0731.1.BCL6B	chr7	125551776	125551792	+	0.000	0.000	Merged-chr7-125551601-1
NR1032--MA0731.1.BCL6B	chr16	11034623	11034639	+	0.000	0.000	Merged-chr16-11034584-21
NR1826--MA0731.1.BCL6B	chr4	53278267	53278283	-	0.000	0.000	Merged-chr4-53278272-26
NR1510--MA0463.1.Bcl6	chr2	126676037	126676050	+	0.000	0.000	Merged-chr2-126676063-4
NR1141--MA0731.1.BCL6B	chr17	5887463	5887479	-	0.000	0.000	Merged-chr17-5887399-51
NR721--MA0463.1.Bcl6	chr13	92671666	92671679	-	0.000	0.000	Merged-chr13-92671922-24
NR1837--MA0463.1.Bcl6	chr4	57656576	57656589	+	0.000	0.000	Merged-chr4-57656422-17
NR631--MA0731.1.BCL6B	chr13	14011559	14011575	+	0.000	0.000	Merged-chr13-14011718-22
NR1967--MA0463.1.Bcl6	chr5	3497909	3497922	-	0.000	0.000	Merged-chr5-3497810-31
NR623--MA0463.1.Bcl6	chr13	12257807	12257820	+	0.000	0.000	Merged-chr13-12257954-77
NR1672--MA0463.1.Bcl6	chr3	97297577	97297590	+	0.000	0.000	Merged-chr3-97297834-52
NR2650--MA0463.1.Bcl6	chr9	96167362	96167375	+	0.000	0.000	Merged-chr9-96167406-22
NR2681--MA0731.1.BCL6B	chrX	8252416	8252432	-	0.000	0.000	Merged-chrX-8252507-67
NR1778--MA0731.1.BCL6B	chr4	8792355	8792371	+	0.000	0.000	Merged-chr4-8792257-5
NR602--MA0731.1.BCL6B	chr12	117173460	117173476	-	0.000	0.000	Merged-chr12-117173433-4
NR1659--MA0463.1.Bcl6	chr3	88043087	88043100	+	0.000	0.000	Merged-chr3-88043136-39
NR1330--MA0731.1.BCL6B	chr19	14598236	14598252	+	0.000	0.000	Merged-chr19-14598034-110
NR418--MA0463.1.Bcl6	chr11	24284276	24284289	+	0.000	0.000	Merged-chr11-24284420-3
NR1234--MA0731.1.BCL6B	chr17	88405208	88405224	+	0.000	0.000	Merged-chr17-88405254-11
NR1216--MA0463.1.Bcl6	chr17	78994670	78994683	+	0.000	0.000	Merged-chr17-78994621-3
NR724--MA0731.1.BCL6B	chr13	93355319	93355335	+	0.000	0.000	Merged-chr13-93355176-15
NR2664--MA0463.1.Bcl6	chr9	106306858	106306871	+	0.000	0.000	Merged-chr9-106306956-36
NR1346--MA0463.1.Bcl6	chr19	41031105	41031118	+	0.000	0.000	Merged-chr19-41031181-46
NR1356--MA0731.1.BCL6B	chr19	60310813	60310829	-	0.000	0.000	Merged-chr19-60310774-21
NR2436--MA0463.1.Bcl6	chr7	139068522	139068535	+	0.000	0.000	Merged-chr7-139068338-42
NR105--MA0463.1.Bcl6	chr1	88578415	88578428	-	0.000	0.000	Merged-chr1-88578300-28
NR1364--MA0463.1.Bcl6	chr2	9200785	9200798	-	0.000	0.000	Merged-chr2-9200570-11
NR2360--MA0463.1.Bcl6	chr7	67353779	67353792	-	0.000	0.000	Merged-chr7-67353683-35
NR921--MA0731.1.BCL6B	chr15	5144593	5144609	+	0.000	0.000	Merged-chr15-5144505-4
NR1942--MA0463.1.Bcl6	chr4	134767951	134767964	-	0.000	0.000	Merged-chr4-134767796-55
NR62--MA0731.1.BCL6B	chr1	59923361	59923377	-	0.000	0.000	Merged-chr1-59923331-34
NR2016--MA0463.1.Bcl6	chr5	35713917	35713930	+	0.000	0.000	Merged-chr5-35713868-16
NR173--MA0463.1.Bcl6	chr1	161713000	161713013	-	0.000	0.000	Merged-chr1-161713119-39
NR2164--MA0463.1.Bcl6	chr6	30340652	30340665	-	0.000	0.000	Merged-chr6-30340459-13
NR860--MA0731.1.BCL6B	chr14	57910804	57910820	-	0.000	0.000	Merged-chr14-57910674-41
NR13--MA0463.1.Bcl6	chr1	12875753	12875766	-	0.000	0.000	Merged-chr1-12875704-39
NR500--MA0463.1.Bcl6	chr12	16533510	16533523	-	0.000	0.000	Merged-chr12-16533665-29
NR2603--MA0463.1.Bcl6	chr9	56995099	56995112	-	0.000	0.000	Merged-chr9-56995243-79
NR2636--MA0731.1.BCL6B	chr9	86393757	86393773	+	0.000	0.000	Merged-chr9-86393704-34
NR2474--MA0731.1.BCL6B	chr8	41443766	41443782	+	0.000	0.000	Merged-chr8-41443750-12
NR809--MA0731.1.BCL6B	chr14	25481268	25481284	-	0.000	0.000	Merged-chr14-25481230-34
NR1303--MA0463.1.Bcl6	chr18	75338860	75338873	+	0.000	0.000	Merged-chr18-75338929-5
NR1442--MA0463.1.Bcl6	chr2	71051812	71051825	-	0.000	0.000	Merged-chr2-71051882-1
NR868--MA0463.1.Bcl6	chr14	74977128	74977141	-	0.000	0.000	Merged-chr14-74977138-7
NR1769--MA0463.1.Bcl6	chr3	156550813	156550826	+	0.000	0.000	Merged-chr3-156550805-1
NR594--MA0731.1.BCL6B	chr12	104479545	104479561	-	0.000	0.000	Merged-chr12-104479595-1
