#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR8964--MA0002.2.RUNX1	chr6	71962875	71962885	+	0.000	0.000	Merged-chr6-71962835-53
NR5272--MA0511.2.RUNX2	chr18	23734927	23734935	-	0.000	0.000	Merged-chr18-23734973-16
NR1085--MA0002.2.RUNX1	chr10	44029765	44029775	+	0.000	0.000	Merged-chr10-44029776-28
NR9618--MA0684.1.RUNX3	chr7	63922090	63922099	+	0.000	0.000	Merged-chr7-63922050-46
NR3863--MA0511.2.RUNX2	chr15	36214901	36214909	-	0.000	0.000	Merged-chr15-36214970-54
NR5609--MA0511.2.RUNX2	chr19	5257356	5257364	-	0.000	0.000	Merged-chr19-5257394-33
NR1041--MA0511.2.RUNX2	chr10	39402667	39402675	-	0.000	0.000	Merged-chr10-39402648-48
NR3641--MA0684.1.RUNX3	chr14	76569400	76569409	+	0.000	0.000	Merged-chr14-76569463-39
NR10233--MA0684.1.RUNX3	chr8	35430957	35430966	-	0.000	0.000	Merged-chr8-35430856-53
NR7253--MA0684.1.RUNX3	chr3	142863419	142863428	+	0.000	0.000	Merged-chr3-142863489-16
NR1564--MA0511.2.RUNX2	chr11	4418483	4418491	-	0.000	0.000	Merged-chr11-4418419-5
NR9012--MA0511.2.RUNX2	chr6	86849016	86849024	+	0.000	0.000	Merged-chr6-86849148-101
NR3959--MA0684.1.RUNX3	chr15	62189977	62189986	-	0.000	0.000	Merged-chr15-62190035-69
NR575--MA0002.2.RUNX1	chr1	152369329	152369339	-	0.000	0.000	Merged-chr1-152369531-31
NR5652--MA0511.2.RUNX2	chr19	10830054	10830062	-	0.000	0.000	Merged-chr19-10829902-50
NR9727--MA0684.1.RUNX3	chr7	84386688	84386697	+	0.000	0.000	Merged-chr7-84386751-45
NR9784--MA0002.2.RUNX1	chr7	99798453	99798463	+	0.000	0.000	Merged-chr7-99798520-10
NR4571--MA0002.2.RUNX1	chr16	75984025	75984035	+	0.000	0.000	Merged-chr16-75984013-36
NR3101--MA0511.2.RUNX2	chr13	85399092	85399100	-	0.000	0.000	Merged-chr13-85399027-23
NR7504--MA0002.2.RUNX1	chr4	46485877	46485887	+	0.000	0.000	Merged-chr4-46485924-53
NR7028--MA0002.2.RUNX1	chr3	107274013	107274023	+	0.000	0.000	Merged-chr3-107274021-28
NR975--MA0684.1.RUNX3	chr10	19718826	19718835	+	0.000	0.000	Merged-chr10-19718932-45
NR5348--MA0002.2.RUNX1	chr18	54986777	54986787	-	0.000	0.000	Merged-chr18-54986948-23
NR5619--MA0002.2.RUNX1	chr19	6858233	6858243	-	0.000	0.000	Merged-chr19-6858226-46
NR3939--MA0002.2.RUNX1	chr15	59374269	59374279	-	0.000	0.000	Merged-chr15-59374324-92
NR7091--MA0684.1.RUNX3	chr3	116483500	116483509	+	0.000	0.000	Merged-chr3-116483487-8
NR3624--MA0511.2.RUNX2	chr14	74990693	74990701	-	0.000	0.000	Merged-chr14-74990757-12
NR9787--MA0511.2.RUNX2	chr7	99946599	99946607	+	0.000	0.000	Merged-chr7-99946527-26
NR9770--MA0684.1.RUNX3	chr7	98534590	98534599	-	0.000	0.000	Merged-chr7-98534620-39
NR1098--MA0002.2.RUNX1	chr10	53374375	53374385	-	0.000	0.000	Merged-chr10-53374413-9
NR9836--MA0684.1.RUNX3	chr7	106551481	106551490	+	0.000	0.000	Merged-chr7-106551313-76
NR4680--MA0002.2.RUNX1	chr16	92801758	92801768	+	0.000	0.000	Merged-chr16-92801827-54
NR911--MA0511.2.RUNX2	chr10	5795439	5795447	-	0.000	0.000	Merged-chr10-5795457-7
NR7071--MA0002.2.RUNX1	chr3	115692658	115692668	-	0.000	0.000	Merged-chr3-115692552-34
NR9959--MA0002.2.RUNX1	chr7	125630513	125630523	-	0.000	0.000	Merged-chr7-125630465-44
NR3654--MA0684.1.RUNX3	chr14	78685264	78685273	+	0.000	0.000	Merged-chr14-78685455-11
NR86--MA0511.2.RUNX2	chr1	38963780	38963788	-	0.000	0.000	Merged-chr1-38963759-8
