#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR8146--MA0089.1.MAFG::NFE2L1	chr3	137287924	137287929	-	0.000	0.000	Merged-chr3-137287837-1
NR7102--MA0089.1.MAFG::NFE2L1	chr2	125456243	125456248	+	0.000	0.000	Merged-chr2-125456296-22
NR8676--MA0591.1.Bach1::Mafk	chr4	102393743	102393757	-	0.000	0.000	Merged-chr4-102393739-36
NR92--MA0089.1.MAFG::NFE2L1	chr1	39559237	39559242	+	0.000	0.000	Merged-chr1-39559167-24
NR489--MA0501.1.MAF::NFE2	chr1	128772711	128772725	-	0.000	0.000	Merged-chr1-128772538-19
NR4368--MA0496.2.MAFK	chr15	8073388	8073406	+	0.000	0.000	Merged-chr15-8073323-37
NR5805--MA0659.1.MAFG	chr18	34202739	34202759	-	0.000	0.000	Merged-chr18-34202543-19
NR7317--MA0089.1.MAFG::NFE2L1	chr2	150918919	150918924	-	0.000	0.000	Merged-chr2-150918832-31
NR2994--MA0496.2.MAFK	chr12	107405030	107405048	-	0.000	0.000	Merged-chr12-107404973-19
NR4114--MA0089.1.MAFG::NFE2L1	chr14	70963725	70963730	-	0.000	0.000	Merged-chr14-70963640-56
NR3388--MA0089.1.MAFG::NFE2L1	chr13	46159453	46159458	-	0.000	0.000	Merged-chr13-46159501-43
NR10082--MA0591.1.Bach1::Mafk	chr6	52012752	52012766	-	0.000	0.000	Merged-chr6-52012652-70
NR9377--MA0089.1.MAFG::NFE2L1	chr5	75066916	75066921	-	0.000	0.000	Merged-chr5-75066831-3
NR209--MA0659.1.MAFG	chr1	64486460	64486480	-	0.000	0.000	Merged-chr1-64486540-36
