#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR9618--MA0684.1.RUNX3	chr9	123377140	123377149	-	0.000	0.000	Merged-chr9-123377036-7
NR5321--MA0684.1.RUNX3	chr2	117403614	117403623	+	0.000	0.000	Merged-chr2-117403597-27
NR1312--MA0511.2.RUNX2	chr11	5177225	5177233	-	0.000	0.000	Merged-chr11-5177232-57
NR8378--MA0684.1.RUNX3	chr7	112180309	112180318	-	0.000	0.000	Merged-chr7-112180328-30
NR4098--MA0511.2.RUNX2	chr17	47508151	47508159	+	0.000	0.000	Merged-chr17-47508113-61
NR3707--MA0684.1.RUNX3	chr16	43620568	43620577	+	0.000	0.000	Merged-chr16-43620477-23
NR7951--MA0511.2.RUNX2	chr6	145802248	145802256	-	0.000	0.000	Merged-chr6-145802187-30
NR8550--MA0002.2.RUNX1	chr7	141562261	141562271	+	0.000	0.000	Merged-chr7-141562329-80
NR8821--MA0002.2.RUNX1	chr8	88771383	88771393	+	0.000	0.000	Merged-chr8-88771445-24
NR8186--MA0511.2.RUNX2	chr7	75796666	75796674	+	0.000	0.000	Merged-chr7-75796614-49
NR4985--MA0002.2.RUNX1	chr2	19276518	19276528	+	0.000	0.000	Merged-chr2-19276309-38
NR7376--MA0002.2.RUNX1	chr5	147583986	147583996	-	0.000	0.000	Merged-chr5-147584036-46
NR3145--MA0002.2.RUNX1	chr14	121970662	121970672	-	0.000	0.000	Merged-chr14-121970624-14
NR5381--MA0511.2.RUNX2	chr2	131814654	131814662	-	0.000	0.000	Merged-chr2-131814755-10
