#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR9608--MA0482.1.Gata4	chr9	61707989	61707999	+	0.000	0.000	Merged-chr9-61708026-57
NR1750--MA0037.3.GATA3	chr11	106057070	106057077	-	0.000	0.000	Merged-chr11-106057103-42
NR1746--MA0482.1.Gata4	chr11	104609418	104609428	-	0.000	0.000	Merged-chr11-104609685-47
NR1449--MA1104.1.GATA6	chr10	122578484	122578496	-	0.000	0.000	Merged-chr10-122578660-68
NR2505--MA0766.1.GATA5	chr13	23556077	23556084	+	0.000	0.000	Merged-chr13-23556170-26
NR1061--MA0482.1.Gata4	chr10	53889745	53889755	+	0.000	0.000	Merged-chr10-53889619-14
NR7198--MA1104.1.GATA6	chr4	149147504	149147516	+	0.000	0.000	Merged-chr4-149147530-1
NR6251--MA0035.3.Gata1	chr3	89183058	89183068	+	0.000	0.000	Merged-chr3-89183015-64
NR4571--MA0035.3.Gata1	chr17	84061870	84061880	+	0.000	0.000	Merged-chr17-84061758-18
NR8111--MA0766.1.GATA5	chr6	66252375	66252382	-	0.000	0.000	Merged-chr6-66252273-1,Merged-chr6-66252474-1
NR7418--MA0482.1.Gata4	chr5	36722516	36722526	-	0.000	0.000	Merged-chr5-36722614-37
NR4480--MA0766.1.GATA5	chr17	64208603	64208610	+	0.000	0.000	Merged-chr17-64208497-3
NR3695--MA1104.1.GATA6	chr15	80590803	80590815	+	0.000	0.000	Merged-chr15-80590747-44
NR612--MA0766.1.GATA5	chr1	143202527	143202534	+	0.000	0.000	Merged-chr1-143202432-31
NR7531--MA0037.3.GATA3	chr5	64519188	64519195	+	0.000	0.000	Merged-chr5-64519093-9
NR8967--MA0140.2.GATA1::TAL1	chr7	118922749	118922766	-	0.000	0.000	Merged-chr7-118922669-15
NR4180--MA0482.1.Gata4	chr16	93918466	93918476	+	0.000	0.000	Merged-chr16-93918388-61
NR2561--MA0766.1.GATA5	chr13	49188131	49188138	+	0.000	0.000	Merged-chr13-49188113-1
NR692--MA0036.3.GATA2	chr1	160195097	160195107	+	0.000	0.000	Merged-chr1-160195203-53
NR8995--MA0766.1.GATA5	chr7	127288042	127288049	+	0.000	0.000	Merged-chr7-127288112-51
NR7544--MA1104.1.GATA6	chr5	65867406	65867418	-	0.000	0.000	Merged-chr5-65867573-52
NR8970--MA1104.1.GATA6	chr7	119894978	119894990	+	0.000	0.000	Merged-chr7-119895039-1
NR7145--MA0036.3.GATA2	chr4	135895435	135895445	+	0.000	0.000	Merged-chr4-135895375-12
NR1064--MA0035.3.Gata1	chr10	53889744	53889754	+	0.000	0.000	Merged-chr10-53889619-14
NR6052--MA0037.3.GATA3	chr3	52298748	52298755	-	0.000	0.000	Merged-chr3-52298855-38
NR3657--MA0482.1.Gata4	chr15	61438672	61438682	-	0.000	0.000	Merged-chr15-61438700-21
NR3089--MA1104.1.GATA6	chr14	40927276	40927288	+	0.000	0.000	Merged-chr14-40927194-29
NR8324--MA0035.3.Gata1	chr6	125426393	125426403	-	0.000	0.000	Merged-chr6-125426605-47
NR8781--MA0035.3.Gata1	chr7	73600106	73600116	-	0.000	0.000	Merged-chr7-73600199-6
NR2574--MA0766.1.GATA5	chr13	52922198	52922205	+	0.000	0.000	Merged-chr13-52922066-27
NR8704--MA0035.3.Gata1	chr7	45526450	45526460	+	0.000	0.000	Merged-chr7-45526317-62
NR2835--MA0036.3.GATA2	chr13	101702250	101702260	-	0.000	0.000	Merged-chr13-101702260-81
NR6447--MA0036.3.GATA2	chr3	135515339	135515349	+	0.000	0.000	Merged-chr3-135515494-6
NR8661--MA0482.1.Gata4	chr7	30280499	30280509	-	0.000	0.000	Merged-chr7-30280528-94
NR2739--MA0036.3.GATA2	chr13	85498876	85498886	-	0.000	0.000	Merged-chr13-85498931-37
NR4040--MA0035.3.Gata1	chr16	64758766	64758776	-	0.000	0.000	Merged-chr16-64758494-145
NR2902--MA0035.3.Gata1	chr13	113023933	113023943	+	0.000	0.000	Merged-chr13-113023939-34
NR5207--MA0482.1.Gata4	chr2	22796696	22796706	-	0.000	0.000	Merged-chr2-22796662-28
NR7047--MA0140.2.GATA1::TAL1	chr4	101254799	101254816	-	0.000	0.000	Merged-chr4-101254668-139
