#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR3036--MA0002.2.RUNX1	chr14	40956702	40956712	-	0.000	0.000	Merged-chr14-40956605-62
NR2782--MA0002.2.RUNX1	chr13	94177381	94177391	+	0.000	0.000	Merged-chr13-94177315-11
NR6049--MA0511.2.RUNX2	chr3	60496532	60496540	-	0.000	0.000	Merged-chr3-60496424-34
NR10085--MA0002.2.RUNX1	chrX	37141939	37141949	+	0.000	0.000	Merged-chrX-37141960-22
NR5795--MA0511.2.RUNX2	chr2	160746826	160746834	-	0.000	0.000	Merged-chr2-160746776-15
NR9883--MA0511.2.RUNX2	chr9	98339863	98339871	+	0.000	0.000	Merged-chr9-98339700-17
NR1071--MA0684.1.RUNX3	chr10	60162674	60162683	-	0.000	0.000	Merged-chr10-60162645-38
NR3972--MA0511.2.RUNX2	chr16	70326814	70326822	-	0.000	0.000	Merged-chr16-70326807-66
NR3496--MA0511.2.RUNX2	chr15	52928624	52928632	+	0.000	0.000	Merged-chr15-52928656-21
NR2119--MA0684.1.RUNX3	chr12	76753001	76753010	+	0.000	0.000	Merged-chr12-76753055-50
NR802--MA0511.2.RUNX2	chr1	189746718	189746726	-	0.000	0.000	Merged-chr1-189746591-10
NR1421--MA0511.2.RUNX2	chr10	121282665	121282673	-	0.000	0.000	Merged-chr10-121282719-28
NR7899--MA0002.2.RUNX1	chr6	37355543	37355553	+	0.000	0.000	Merged-chr6-37355580-18
NR5282--MA0002.2.RUNX1	chr2	31180525	31180535	-	0.000	0.000	Merged-chr2-31180309-64
NR7028--MA0002.2.RUNX1	chr4	129525572	129525582	-	0.000	0.000	Merged-chr4-129525565-21
NR161--MA0002.2.RUNX1	chr1	54647515	54647525	+	0.000	0.000	Merged-chr1-54647549-11
NR7855--MA0511.2.RUNX2	chr6	15728979	15728987	-	0.000	0.000	Merged-chr6-15729145-52
NR5748--MA0684.1.RUNX3	chr2	154754296	154754305	+	0.000	0.000	Merged-chr2-154754253-27
NR1180--MA0684.1.RUNX3	chr10	80271339	80271348	-	0.000	0.000	Merged-chr10-80271512-28
NR3525--MA0002.2.RUNX1	chr15	61651349	61651359	+	0.000	0.000	Merged-chr15-61651331-17
NR6360--MA0002.2.RUNX1	chr3	126825137	126825147	+	0.000	0.000	Merged-chr3-126825034-19
NR6631--MA0002.2.RUNX1	chr4	11771740	11771750	-	0.000	0.000	Merged-chr4-11771838-52
NR640--MA0511.2.RUNX2	chr1	164414033	164414041	-	0.000	0.000	Merged-chr1-164413844-41
NR3925--MA0684.1.RUNX3	chr16	52107988	52107997	-	0.000	0.000	Merged-chr16-52108040-37
NR1974--MA0684.1.RUNX3	chr12	17554109	17554118	-	0.000	0.000	Merged-chr12-17554263-40
NR8834--MA0002.2.RUNX1	chr7	105554388	105554398	+	0.000	0.000	Merged-chr7-105554530-56
NR9422--MA0684.1.RUNX3	chr8	119380835	119380844	+	0.000	0.000	Merged-chr8-119380766-18
NR7537--MA0684.1.RUNX3	chr5	103746760	103746769	-	0.000	0.000	Merged-chr5-103746858-38
NR2381--MA0002.2.RUNX1	chr12	115920258	115920268	+	0.000	0.000	Merged-chr12-115920407-41
NR7389--MA0002.2.RUNX1	chr5	57857510	57857520	-	0.000	0.000	Merged-chr5-57857424-31
NR5043--MA0002.2.RUNX1	chr19	41656259	41656269	+	0.000	0.000	Merged-chr19-41656223-24
NR3363--MA0002.2.RUNX1	chr15	9455443	9455453	+	0.000	0.000	Merged-chr15-9455441-21
NR2288--MA0511.2.RUNX2	chr12	105538366	105538374	+	0.000	0.000	Merged-chr12-105538395-6
NR7821--MA0511.2.RUNX2	chr5	149368335	149368343	-	0.000	0.000	Merged-chr5-149368318-30
NR7123--MA0684.1.RUNX3	chr4	144996003	144996012	+	0.000	0.000	Merged-chr4-144996009-47
NR5837--MA0002.2.RUNX1	chr2	168540017	168540027	+	0.000	0.000	Merged-chr2-168539977-33
NR921--MA0002.2.RUNX1	chr10	19167847	19167857	+	0.000	0.000	Merged-chr10-19167953-53
NR9531--MA0684.1.RUNX3	chr9	11513964	11513973	-	0.000	0.000	Merged-chr9-11513974-36
NR9383--MA0002.2.RUNX1	chr8	110929262	110929272	+	0.000	0.000	Merged-chr8-110929357-31
NR2761--MA0002.2.RUNX1	chr13	91178712	91178722	-	0.000	0.000	Merged-chr13-91178743-26
NR7103--MA0002.2.RUNX1	chr4	139287490	139287500	+	0.000	0.000	Merged-chr4-139287610-26
NR8086--MA0684.1.RUNX3	chr6	86570877	86570886	-	0.000	0.000	Merged-chr6-86570900-55
NR5218--MA0002.2.RUNX1	chr2	18935683	18935693	+	0.000	0.000	Merged-chr2-18935718-26
NR6058--MA0684.1.RUNX3	chr3	62339075	62339084	+	0.000	0.000	Merged-chr3-62339060-22
NR825--MA0002.2.RUNX1	chr1	191872629	191872639	-	0.000	0.000	Merged-chr1-191872609-17
NR6230--MA0002.2.RUNX1	chr3	99141345	99141355	-	0.000	0.000	Merged-chr3-99141311-74
NR3776--MA0684.1.RUNX3	chr16	17695010	17695019	-	0.000	0.000	Merged-chr16-17695007-34
NR8956--MA0002.2.RUNX1	chr7	123030901	123030911	+	0.000	0.000	Merged-chr7-123030929-30
NR1348--MA0002.2.RUNX1	chr10	116914010	116914020	-	0.000	0.000	Merged-chr10-116914032-56
NR7864--MA0684.1.RUNX3	chr6	17382930	17382939	-	0.000	0.000	Merged-chr6-17382878-11
NR9001--MA0002.2.RUNX1	chr7	131055152	131055162	-	0.000	0.000	Merged-chr7-131055187-30
NR7388--MA0684.1.RUNX3	chr5	57719064	57719073	-	0.000	0.000	Merged-chr5-57718956-1
NR9938--MA0002.2.RUNX1	chr9	110916895	110916905	+	0.000	0.000	Merged-chr9-110916944-19
NR7987--MA0002.2.RUNX1	chr6	59209379	59209389	+	0.000	0.000	Merged-chr6-59209207-107
NR8813--MA0002.2.RUNX1	chr7	99450981	99450991	-	0.000	0.000	Merged-chr7-99450884-18
NR4040--MA0002.2.RUNX1	chr16	90456726	90456736	-	0.000	0.000	Merged-chr16-90456669-52
NR3137--MA0002.2.RUNX1	chr14	67993312	67993322	-	0.000	0.000	Merged-chr14-67993349-29
NR1186--MA0002.2.RUNX1	chr10	81194415	81194425	+	0.000	0.000	Merged-chr10-81194350-49
NR5644--MA0511.2.RUNX2	chr2	129816123	129816131	-	0.000	0.000	Merged-chr2-129816219-15
NR4711--MA0684.1.RUNX3	chr18	61647290	61647299	-	0.000	0.000	Merged-chr18-61647433-25
NR1457--MA0002.2.RUNX1	chr10	128504839	128504849	-	0.000	0.000	Merged-chr10-128504918-39
NR95--MA0684.1.RUNX3	chr1	37872359	37872368	-	0.000	0.000	Merged-chr1-37872414-68
NR5069--MA0002.2.RUNX1	chr19	46869319	46869329	+	0.000	0.000	Merged-chr19-46869507-48
NR3389--MA0002.2.RUNX1	chr15	27596891	27596901	+	0.000	0.000	Merged-chr15-27596992-56
NR5230--MA0511.2.RUNX2	chr2	22744596	22744604	+	0.000	0.000	Merged-chr2-22744632-58
NR4963--MA0684.1.RUNX3	chr19	21199929	21199938	-	0.000	0.000	Merged-chr19-21199898-12
NR75--MA0002.2.RUNX1	chr1	36252916	36252926	+	0.000	0.000	Merged-chr1-36253004-32
NR1509--MA0684.1.RUNX3	chr11	11657343	11657352	+	0.000	0.000	Merged-chr11-11657249-55
NR1566--MA0002.2.RUNX1	chr11	32138416	32138426	+	0.000	0.000	Merged-chr11-32138495-33
NR9557--MA0684.1.RUNX3	chr9	21411819	21411828	-	0.000	0.000	Merged-chr9-21411941-54
NR6623--MA0002.2.RUNX1	chr4	9135917	9135927	+	0.000	0.000	Merged-chr4-9136012-29
NR10109--MA0002.2.RUNX1	chrX	50930494	50930504	-	0.000	0.000	Merged-chrX-50930584-22
NR5260--MA0684.1.RUNX3	chr2	29453883	29453892	-	0.000	0.000	Merged-chr2-29453953-15
NR3868--MA0511.2.RUNX2	chr16	43376988	43376996	-	0.000	0.000	Merged-chr16-43376977-35
