#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR1814--MA0463.1.Bcl6	chr4	41708498	41708511	+	0.000	0.000	Merged-chr4-41708469-7
NR1781--MA0731.1.BCL6B	chr4	9630902	9630918	-	0.000	0.000	Merged-chr4-9631004-95
NR1053--MA0463.1.Bcl6	chr16	23608674	23608687	-	0.000	0.000	Merged-chr16-23608841-3
NR1165--MA0463.1.Bcl6	chr17	23925348	23925361	+	0.000	0.000	Merged-chr17-23925294-2
NR208--MA0731.1.BCL6B	chr1	180778302	180778318	-	0.000	0.000	Merged-chr1-180778261-1
NR1071--MA0463.1.Bcl6	chr16	44321831	44321844	+	0.000	0.000	Merged-chr16-44321913-9
NR2319--MA0731.1.BCL6B	chr7	27196245	27196261	+	0.000	0.000	Merged-chr7-27196117-84
NR1819--MA0463.1.Bcl6	chr4	43972343	43972356	-	0.000	0.000	Merged-chr4-43972345-49
NR1826--MA0731.1.BCL6B	chr4	53278267	53278283	-	0.000	0.000	Merged-chr4-53278272-26
NR1510--MA0463.1.Bcl6	chr2	126676037	126676050	+	0.000	0.000	Merged-chr2-126676063-4
NR1141--MA0731.1.BCL6B	chr17	5887463	5887479	-	0.000	0.000	Merged-chr17-5887399-51
NR631--MA0731.1.BCL6B	chr13	14011559	14011575	+	0.000	0.000	Merged-chr13-14011718-22
NR1967--MA0463.1.Bcl6	chr5	3497909	3497922	-	0.000	0.000	Merged-chr5-3497810-31
NR1677--MA0731.1.BCL6B	chr3	100969745	100969761	+	0.000	0.000	Merged-chr3-100969599-56
NR990--MA0463.1.Bcl6	chr15	75862282	75862295	+	0.000	0.000	Merged-chr15-75862360-44
NR623--MA0463.1.Bcl6	chr13	12257807	12257820	+	0.000	0.000	Merged-chr13-12257954-77
NR744--MA0463.1.Bcl6	chr13	106936883	106936896	-	0.000	0.000	Merged-chr13-106936851-56
NR461--MA0731.1.BCL6B	chr11	95261347	95261363	-	0.000	0.000	Merged-chr11-95261394-7
NR2650--MA0463.1.Bcl6	chr9	96167362	96167375	+	0.000	0.000	Merged-chr9-96167406-22
NR2681--MA0731.1.BCL6B	chrX	8252416	8252432	-	0.000	0.000	Merged-chrX-8252507-67
NR1778--MA0731.1.BCL6B	chr4	8792355	8792371	+	0.000	0.000	Merged-chr4-8792257-5
NR664--MA0463.1.Bcl6	chr13	41097586	41097599	+	0.000	0.000	Merged-chr13-41097728-40
NR1330--MA0731.1.BCL6B	chr19	14598236	14598252	+	0.000	0.000	Merged-chr19-14598034-110
NR561--MA0463.1.Bcl6	chr12	73671716	73671729	+	0.000	0.000	Merged-chr12-73671742-5
NR418--MA0463.1.Bcl6	chr11	24284276	24284289	+	0.000	0.000	Merged-chr11-24284420-3
NR1234--MA0731.1.BCL6B	chr17	88405208	88405224	+	0.000	0.000	Merged-chr17-88405254-11
NR2660--MA0731.1.BCL6B	chr9	103207871	103207887	-	0.000	0.000	Merged-chr9-103208007-48
NR1216--MA0463.1.Bcl6	chr17	78994670	78994683	+	0.000	0.000	Merged-chr17-78994621-3
NR2664--MA0463.1.Bcl6	chr9	106306858	106306871	+	0.000	0.000	Merged-chr9-106306956-36
NR454--MA0463.1.Bcl6	chr11	75533410	75533423	-	0.000	0.000	Merged-chr11-75533258-32
NR1346--MA0463.1.Bcl6	chr19	41031105	41031118	+	0.000	0.000	Merged-chr19-41031181-46
NR2682--MA0463.1.Bcl6	chrX	12006392	12006405	+	0.000	0.000	Merged-chrX-12006353-78
NR1364--MA0463.1.Bcl6	chr2	9200785	9200798	-	0.000	0.000	Merged-chr2-9200570-11
NR2557--MA0463.1.Bcl6	chr8	122556837	122556850	-	0.000	0.000	Merged-chr8-122556749-52
NR481--MA0463.1.Bcl6	chr11	114745307	114745320	-	0.000	0.000	Merged-chr11-114745299-23
NR123--MA0463.1.Bcl6	chr1	106595290	106595303	+	0.000	0.000	Merged-chr1-106595404-4
NR1812--MA0463.1.Bcl6	chr4	40781446	40781459	-	0.000	0.000	Merged-chr4-40781341-5
NR1938--MA0463.1.Bcl6	chr4	133073286	133073299	-	0.000	0.000	Merged-chr4-133073490-32
NR2392--MA0463.1.Bcl6	chr7	97696750	97696763	+	0.000	0.000	Merged-chr7-97696718-62
NR2164--MA0463.1.Bcl6	chr6	30340652	30340665	-	0.000	0.000	Merged-chr6-30340459-13
NR860--MA0731.1.BCL6B	chr14	57910804	57910820	-	0.000	0.000	Merged-chr14-57910674-41
NR13--MA0463.1.Bcl6	chr1	12875753	12875766	-	0.000	0.000	Merged-chr1-12875704-39
NR2603--MA0463.1.Bcl6	chr9	56995099	56995112	-	0.000	0.000	Merged-chr9-56995243-79
NR472--MA0731.1.BCL6B	chr11	101008334	101008350	+	0.000	0.000	Merged-chr11-101008310-35
NR1303--MA0463.1.Bcl6	chr18	75338860	75338873	+	0.000	0.000	Merged-chr18-75338929-5
NR45--MA0463.1.Bcl6	chr1	36445320	36445333	+	0.000	0.000	Merged-chr1-36445137-58
NR1442--MA0463.1.Bcl6	chr2	71051812	71051825	-	0.000	0.000	Merged-chr2-71051882-1
NR1769--MA0463.1.Bcl6	chr3	156550813	156550826	+	0.000	0.000	Merged-chr3-156550805-1
NR594--MA0731.1.BCL6B	chr12	104479545	104479561	-	0.000	0.000	Merged-chr12-104479595-1
NR1388--MA0731.1.BCL6B	chr2	37803106	37803122	+	0.000	0.000	Merged-chr2-37802977-26
NR1572--MA0463.1.Bcl6	chr2	165889049	165889062	-	0.000	0.000	Merged-chr2-165889031-9
NR2662--MA0463.1.Bcl6	chr9	106160174	106160187	+	0.000	0.000	Merged-chr9-106160171-45
NR331--MA0463.1.Bcl6	chr10	77984599	77984612	+	0.000	0.000	Merged-chr10-77984793-34
NR2684--MA0731.1.BCL6B	chrX	13370534	13370550	+	0.000	0.000	Merged-chrX-13370495-7
NR225--MA0731.1.BCL6B	chr1	189936882	189936898	+	0.000	0.000	Merged-chr1-189936861-20
NR2697--MA0731.1.BCL6B	chrX	52760345	52760361	-	0.000	0.000	Merged-chrX-52760494-47
NR443--MA0731.1.BCL6B	chr11	58214898	58214914	+	0.000	0.000	Merged-chr11-58214991-50
NR823--MA0731.1.BCL6B	chr14	40992388	40992404	+	0.000	0.000	Merged-chr14-40992584-8
NR2461--MA0463.1.Bcl6	chr8	34047020	34047033	+	0.000	0.000	Merged-chr8-34046985-6
NR493--MA0463.1.Bcl6	chr12	8326926	8326939	+	0.000	0.000	Merged-chr12-8326967-30
NR2578--MA0463.1.Bcl6	chr9	14966931	14966944	-	0.000	0.000	Merged-chr9-14967167-10
NR1054--MA0463.1.Bcl6	chr16	23988588	23988601	+	0.000	0.000	Merged-chr16-23988801-56
NR2381--MA0463.1.Bcl6	chr7	83564940	83564953	-	0.000	0.000	Merged-chr7-83565043-35
NR401--MA0731.1.BCL6B	chr11	4704383	4704399	+	0.000	0.000	Merged-chr11-4704501-78
NR1166--MA0463.1.Bcl6	chr17	24251628	24251641	+	0.000	0.000	Merged-chr17-24251490-51
NR1072--MA0463.1.Bcl6	chr16	44321829	44321842	-	0.000	0.000	Merged-chr16-44321913-9
NR557--MA0731.1.BCL6B	chr12	69529960	69529976	-	0.000	0.000	Merged-chr12-69529974-44
NR1511--MA0463.1.Bcl6	chr2	126676219	126676232	-	0.000	0.000	Merged-chr2-126676063-4
NR1068--MA0463.1.Bcl6	chr16	42172789	42172802	+	0.000	0.000	Merged-chr16-42172689-43
NR1641--MA0463.1.Bcl6	chr3	75517780	75517793	-	0.000	0.000	Merged-chr3-75517936-30
NR400--MA0463.1.Bcl6	chr11	3931994	3932007	+	0.000	0.000	Merged-chr11-3931934-36
NR727--MA0463.1.Bcl6	chr13	94381827	94381840	+	0.000	0.000	Merged-chr13-94381981-20
NR1655--MA0463.1.Bcl6	chr3	84581905	84581918	+	0.000	0.000	Merged-chr3-84581913-3
NR2321--MA0731.1.BCL6B	chr7	28372749	28372765	-	0.000	0.000	Merged-chr7-28372841-69
NR1776--MA0463.1.Bcl6	chr4	6817584	6817597	+	0.000	0.000	Merged-chr4-6817535-45
NR70--MA0463.1.Bcl6	chr1	62877030	62877043	-	0.000	0.000	Merged-chr1-62876956-19
NR2651--MA0463.1.Bcl6	chr9	96515933	96515946	-	0.000	0.000	Merged-chr9-96515884-18
NR2441--MA0463.1.Bcl6	chr7	142435488	142435501	+	0.000	0.000	Merged-chr7-142435660-33
NR1329--MA0463.1.Bcl6	chr19	14598236	14598249	-	0.000	0.000	Merged-chr19-14598034-110
NR2565--MA0731.1.BCL6B	chr8	126422087	126422103	+	0.000	0.000	Merged-chr8-126422027-2
NR2665--MA0463.1.Bcl6	chr9	106822491	106822504	-	0.000	0.000	Merged-chr9-106822240-128
NR2683--MA0463.1.Bcl6	chrX	13370534	13370547	-	0.000	0.000	Merged-chrX-13370495-7
NR1201--MA0731.1.BCL6B	chr17	62413615	62413631	-	0.000	0.000	Merged-chr17-62413697-2
NR2567--MA0463.1.Bcl6	chr8	127447272	127447285	-	0.000	0.000	Merged-chr8-127447217-34
NR1043--MA0463.1.Bcl6	chr16	17508851	17508864	+	0.000	0.000	Merged-chr16-17508961-62
NR1710--MA0463.1.Bcl6	chr3	129602473	129602486	-	0.000	0.000	Merged-chr3-129602465-51
NR2227--MA0463.1.Bcl6	chr6	97107092	97107105	+	0.000	0.000	Merged-chr6-97107020-27
NR930--MA0463.1.Bcl6	chr15	10486030	10486043	-	0.000	0.000	Merged-chr15-10486107-67
NR1684--MA0731.1.BCL6B	chr3	107864169	107864185	+	0.000	0.000	Merged-chr3-107864110-34
NR1943--MA0463.1.Bcl6	chr4	135155554	135155567	-	0.000	0.000	Merged-chr4-135155615-17
NR702--MA0463.1.Bcl6	chr13	81351846	81351859	-	0.000	0.000	Merged-chr13-81351650-43
NR1031--MA0731.1.BCL6B	chr16	10384151	10384167	+	0.000	0.000	Merged-chr16-10384220-18
NR1612--MA0463.1.Bcl6	chr3	31145965	31145978	+	0.000	0.000	Merged-chr3-31145985-42
NR1934--MA0731.1.BCL6B	chr4	129570169	129570185	+	0.000	0.000	Merged-chr4-129570214-45
NR174--MA0463.1.Bcl6	chr1	164494789	164494802	+	0.000	0.000	Merged-chr1-164494906-11
NR991--MA0731.1.BCL6B	chr15	75862279	75862295	-	0.000	0.000	Merged-chr15-75862360-44
NR295--MA0463.1.Bcl6	chr10	39039685	39039698	-	0.000	0.000	Merged-chr10-39039718-5
NR2165--MA0463.1.Bcl6	chr6	30351368	30351381	-	0.000	0.000	Merged-chr6-30351409-35
NR501--MA0463.1.Bcl6	chr12	17348213	17348226	+	0.000	0.000	Merged-chr12-17348366-60
NR50--MA0463.1.Bcl6	chr1	40383107	40383120	+	0.000	0.000	Merged-chr1-40383046-56
NR1425--MA0463.1.Bcl6	chr2	60204337	60204350	-	0.000	0.000	Merged-chr2-60204421-25
NR1895--MA0463.1.Bcl6	chr4	101261210	101261223	+	0.000	0.000	Merged-chr4-101261063-33
NR1905--MA0731.1.BCL6B	chr4	108459769	108459785	+	0.000	0.000	Merged-chr4-108459700-11
NR1886--MA0731.1.BCL6B	chr4	96591234	96591250	+	0.000	0.000	Merged-chr4-96591096-6
NR1613--MA0731.1.BCL6B	chr3	31145962	31145978	-	0.000	0.000	Merged-chr3-31145985-42
NR2099--MA0463.1.Bcl6	chr5	113828686	113828699	-	0.000	0.000	Merged-chr5-113828538-48
NR69--MA0463.1.Bcl6	chr1	62877032	62877045	+	0.000	0.000	Merged-chr1-62876956-19
NR1193--MA0731.1.BCL6B	chr17	52461996	52462012	+	0.000	0.000	Merged-chr17-52461953-32
NR1260--MA0463.1.Bcl6	chr18	36530114	36530127	-	0.000	0.000	Merged-chr18-36530023-27
NR431--MA0731.1.BCL6B	chr11	51638254	51638270	+	0.000	0.000	Merged-chr11-51638186-26
NR96--MA0463.1.Bcl6	chr1	82787570	82787583	+	0.000	0.000	Merged-chr1-82787603-20
NR1390--MA0463.1.Bcl6	chr2	38926702	38926715	-	0.000	0.000	Merged-chr2-38926558-133
NR1914--MA0463.1.Bcl6	chr4	117146378	117146391	-	0.000	0.000	Merged-chr4-117146401-30
NR1820--MA0463.1.Bcl6	chr4	44106510	44106523	+	0.000	0.000	Merged-chr4-44106569-17
NR1050--MA0463.1.Bcl6	chr16	22548239	22548252	-	0.000	0.000	Merged-chr16-22548400-52
NR476--MA0463.1.Bcl6	chr11	103344789	103344802	+	0.000	0.000	Merged-chr11-103344829-56
NR662--MA0731.1.BCL6B	chr13	37963717	37963733	-	0.000	0.000	Merged-chr13-37963615-35
NR136--MA0463.1.Bcl6	chr1	121608287	121608300	+	0.000	0.000	Merged-chr1-121608228-8
NR1294--MA0731.1.BCL6B	chr18	68059320	68059336	-	0.000	0.000	Merged-chr18-68059360-81
NR1610--MA0463.1.Bcl6	chr3	31145932	31145945	+	0.000	0.000	Merged-chr3-31145985-42
NR1055--MA0731.1.BCL6B	chr16	25423965	25423981	+	0.000	0.000	Merged-chr16-25423952-5
NR1279--MA0463.1.Bcl6	chr18	53177273	53177286	-	0.000	0.000	Merged-chr18-53177390-15
NR2154--MA0463.1.Bcl6	chr6	24310928	24310941	+	0.000	0.000	Merged-chr6-24310854-8
NR1512--MA0463.1.Bcl6	chr2	129873720	129873733	+	0.000	0.000	Merged-chr2-129873690-22
NR620--MA0731.1.BCL6B	chr13	9638041	9638057	-	0.000	0.000	Merged-chr13-9637949-5
NR2038--MA0463.1.Bcl6	chr5	53490928	53490941	-	0.000	0.000	Merged-chr5-53490901-53
NR1087--MA0463.1.Bcl6	chr16	52468700	52468713	+	0.000	0.000	Merged-chr16-52468577-24
NR298--MA0463.1.Bcl6	chr10	42220590	42220603	-	0.000	0.000	Merged-chr10-42220589-14
NR2330--MA0731.1.BCL6B	chr7	39544305	39544321	-	0.000	0.000	Merged-chr7-39544508-62
NR2177--MA0463.1.Bcl6	chr6	38911332	38911345	+	0.000	0.000	Merged-chr6-38911348-28
NR1508--MA0463.1.Bcl6	chr2	126499986	126499999	+	0.000	0.000	Merged-chr2-126499929-54
NR871--MA0463.1.Bcl6	chr14	75845845	75845858	-	0.000	0.000	Merged-chr14-75845908-1
NR992--MA0463.1.Bcl6	chr15	76351094	76351107	-	0.000	0.000	Merged-chr15-76351256-113
NR58--MA0731.1.BCL6B	chr1	53856982	53856998	-	0.000	0.000	Merged-chr1-53856868-4
NR53--MA0463.1.Bcl6	chr1	43389146	43389159	+	0.000	0.000	Merged-chr1-43389283-10
NR2522--MA0463.1.Bcl6	chr8	88294090	88294103	+	0.000	0.000	Merged-chr8-88293881-56
NR1889--MA0463.1.Bcl6	chr4	97777191	97777204	+	0.000	0.000	Merged-chr4-97777223-4
NR2431--MA0731.1.BCL6B	chr7	127895917	127895933	+	0.000	0.000	Merged-chr7-127895657-49
NR2518--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR1114--MA0731.1.BCL6B	chr16	76866285	76866301	-	0.000	0.000	Merged-chr16-76866196-31
NR1370--MA0463.1.Bcl6	chr2	15055493	15055506	-	0.000	0.000	Merged-chr2-15055346-111
NR94--MA0463.1.Bcl6	chr1	80758532	80758545	-	0.000	0.000	Merged-chr1-80758556-27
NR2554--MA0463.1.Bcl6	chr8	120702038	120702051	+	0.000	0.000	Merged-chr8-120702084-56
NR429--MA0463.1.Bcl6	chr11	51638256	51638269	+	0.000	0.000	Merged-chr11-51638186-26
NR2666--MA0463.1.Bcl6	chr9	107338458	107338471	+	0.000	0.000	Merged-chr9-107338409-31
NR822--MA0731.1.BCL6B	chr14	40955957	40955973	-	0.000	0.000	Merged-chr14-40955925-7
NR1074--MA0731.1.BCL6B	chr16	44321828	44321844	-	0.000	0.000	Merged-chr16-44321913-9
NR2223--MA0463.1.Bcl6	chr6	94690438	94690451	+	0.000	0.000	Merged-chr6-94690537-14
NR1478--MA0463.1.Bcl6	chr2	103583433	103583446	-	0.000	0.000	Merged-chr2-103583427-9
NR2456--MA0463.1.Bcl6	chr8	25256217	25256230	+	0.000	0.000	Merged-chr8-25256219-29
NR2707--MA0731.1.BCL6B	chrX	159708859	159708875	+	0.000	0.000	Merged-chrX-159708599-75
NR2131--MA0731.1.BCL6B	chr5	148325408	148325424	+	0.000	0.000	Merged-chr5-148325520-37
NR176--MA0731.1.BCL6B	chr1	165682669	165682685	+	0.000	0.000	Merged-chr1-165682736-19
NR1944--MA0463.1.Bcl6	chr4	135963648	135963661	-	0.000	0.000	Merged-chr4-135963723-59
NR488--MA0463.1.Bcl6	chr12	4817611	4817624	-	0.000	0.000	Merged-chr12-4817506-66
NR1841--MA0463.1.Bcl6	chr4	59334501	59334514	-	0.000	0.000	Merged-chr4-59334483-11
NR1890--MA0731.1.BCL6B	chr4	97777188	97777204	-	0.000	0.000	Merged-chr4-97777223-4
NR909--MA0463.1.Bcl6	chr14	120572382	120572395	-	0.000	0.000	Merged-chr14-120572441-59
NR1192--MA0463.1.Bcl6	chr17	52461996	52462009	-	0.000	0.000	Merged-chr17-52461953-32
NR2110--MA0731.1.BCL6B	chr5	124050169	124050185	+	0.000	0.000	Merged-chr5-124050362-25
NR1501--MA0463.1.Bcl6	chr2	121511698	121511711	-	0.000	0.000	Merged-chr2-121511602-35
NR15--MA0463.1.Bcl6	chr1	13560219	13560232	+	0.000	0.000	Merged-chr1-13560165-1
NR2245--MA0731.1.BCL6B	chr6	112852610	112852626	+	0.000	0.000	Merged-chr6-112852567-47
NR2516--MA0731.1.BCL6B	chr8	84011582	84011598	-	0.000	0.000	Merged-chr8-84011629-75
NR2529--MA0731.1.BCL6B	chr8	94434330	94434346	-	0.000	0.000	Merged-chr8-94434227-54
NR2604--MA0731.1.BCL6B	chr9	56995099	56995115	+	0.000	0.000	Merged-chr9-56995243-79
NR474--MA0731.1.BCL6B	chr11	102881279	102881295	-	0.000	0.000	Merged-chr11-102881162-74
NR1681--MA0463.1.Bcl6	chr3	103374143	103374156	+	0.000	0.000	Merged-chr3-103374270-26
