#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR15263--MA0493.1.Klf1	chr12	112673045	112673055	+	0.000	0.000	Merged-chr12-112673105-15
NR8539--MA0599.1.KLF5	chr10	127189278	127189287	-	0.000	0.000	Merged-chr10-127189101-51
NR51500--MA0599.1.KLF5	chr6	14900922	14900931	-	0.000	0.000	Merged-chr6-14901186-100
NR39123--MA1107.1.KLF9	chr3	65352868	65352880	-	0.000	0.000	Merged-chr3-65352895-35
NR26141--MA0741.1.KLF16	chr17	13760507	13760517	-	0.000	0.000	Merged-chr17-13760508-67
NR31801--MA0740.1.KLF14	chr19	29323607	29323620	-	0.000	0.000	Merged-chr19-29323777-46
NR1921--MA0493.1.Klf1	chr1	119648921	119648931	+	0.000	0.000	Merged-chr1-119648725-80
NR29469--MA0741.1.KLF16	chr18	36735028	36735038	+	0.000	0.000	Merged-chr18-36735138-69
NR39271--MA0742.1.Klf12	chr3	75557048	75557062	-	0.000	0.000	Merged-chr3-75556873-176
NR68252--MA0741.1.KLF16	chrX	167207823	167207833	+	0.000	0.000	Merged-chrX-167207953-22
NR43729--MA1107.1.KLF9	chr4	88912396	88912408	-	0.000	0.000	Merged-chr4-88912378-27
NR27124--MA0493.1.Klf1	chr17	35065261	35065271	+	0.000	0.000	Merged-chr17-35065202-25
NR56133--MA0039.3.KLF4	chr7	30321677	30321687	-	0.000	0.000	Merged-chr7-30321790-4
NR55925--MA0741.1.KLF16	chr7	27446744	27446754	+	0.000	0.000	Merged-chr7-27446803-18
NR49835--MA0599.1.KLF5	chr5	123683474	123683483	+	0.000	0.000	Merged-chr5-123683382-5
NR5148--MA0493.1.Klf1	chr10	24149304	24149314	-	0.000	0.000	Merged-chr10-24149317-57
NR59049--MA0039.3.KLF4	chr7	128180400	128180410	-	0.000	0.000	Merged-chr7-128180557-37
NR38280--MA0741.1.KLF16	chr2	178675886	178675896	+	0.000	0.000	Merged-chr2-178675729-5
NR13657--MA0599.1.KLF5	chr12	55080146	55080155	+	0.000	0.000	Merged-chr12-55079958-2,Merged-chr12-55080362-72
NR56690--MA0657.1.KLF13	chr7	47104244	47104261	-	0.000	0.000	Merged-chr7-47104097-36
NR55733--MA1107.1.KLF9	chr7	24442012	24442024	-	0.000	0.000	Merged-chr7-24442029-26
NR67070--MA1107.1.KLF9	chrX	12062745	12062757	+	0.000	0.000	Merged-chrX-12062732-18
NR5068--MA0599.1.KLF5	chr10	19591965	19591974	+	0.000	0.000	Merged-chr10-19591977-65
NR58436--MA0657.1.KLF13	chr7	116504217	116504234	+	0.000	0.000	Merged-chr7-116504406-66
NR44850--MA1107.1.KLF9	chr4	129008764	129008776	+	0.000	0.000	Merged-chr4-129008820-34
NR28820--MA0741.1.KLF16	chr17	87602379	87602389	+	0.000	0.000	Merged-chr17-87602344-31
NR27035--MA0599.1.KLF5	chr17	34171289	34171298	-	0.000	0.000	Merged-chr17-34171199-68
NR27711--MA0599.1.KLF5	chr17	51408599	51408608	+	0.000	0.000	Merged-chr17-51408616-68
NR11319--MA0039.3.KLF4	chr11	88595770	88595780	+	0.000	0.000	Merged-chr11-88595910-28
NR56730--MA0599.1.KLF5	chr7	49246034	49246043	+	0.000	0.000	Merged-chr7-49246156-57
NR67952--MA1107.1.KLF9	chrX	140664763	140664775	-	0.000	0.000	Merged-chrX-140664923-33
NR56231--MA0742.1.Klf12	chr7	31148941	31148955	-	0.000	0.000	Merged-chr7-31148926-5
NR57791--MA0741.1.KLF16	chr7	99381413	99381423	-	0.000	0.000	Merged-chr7-99381387-71
NR5735--MA0599.1.KLF5	chr10	60752825	60752834	+	0.000	0.000	Merged-chr10-60752721-60
NR13423--MA1107.1.KLF9	chr12	33010000	33010012	-	0.000	0.000	Merged-chr12-33010126-24
NR65398--MA0741.1.KLF16	chr9	94607624	94607634	-	0.000	0.000	Merged-chr9-94607543-65
NR11720--MA0741.1.KLF16	chr11	98438780	98438790	-	0.000	0.000	Merged-chr11-98438867-50
NR29055--MA0741.1.KLF16	chr18	7869136	7869146	-	0.000	0.000	Merged-chr18-7869140-116
NR39328--MA0741.1.KLF16	chr3	79129232	79129242	-	0.000	0.000	Merged-chr3-79129160-12
NR33815--MA1107.1.KLF9	chr2	32553886	32553898	-	0.000	0.000	Merged-chr2-32553962-47
NR57112--MA0493.1.Klf1	chr7	75821806	75821816	+	0.000	0.000	Merged-chr7-75821795-19
