#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1235--MA0508.2.PRDM1	chr18	13787153	13787162	+	0.000	0.000	Merged-chr18-13787099-71
NR1506--MA0508.2.PRDM1	chr2	101755965	101755974	-	0.000	0.000	Merged-chr2-101756112-111
NR2390--MA0508.2.PRDM1	chr7	29908552	29908561	-	0.000	0.000	Merged-chr7-29908489-59
NR2661--MA0508.2.PRDM1	chr9	92266007	92266016	+	0.000	0.000	Merged-chr9-92266025-66
NR1758--MA0508.2.PRDM1	chr3	131126041	131126050	-	0.000	0.000	Merged-chr3-131125958-32
NR454--MA0508.2.PRDM1	chr11	105364512	105364521	+	0.000	0.000	Merged-chr11-105364636-18
NR977--MA0508.2.PRDM1	chr15	61539046	61539055	+	0.000	0.000	Merged-chr15-61539170-27
NR1596--MA0508.2.PRDM1	chr2	174566135	174566144	+	0.000	0.000	Merged-chr2-174566072-46
NR420--MA0508.2.PRDM1	chr11	32039765	32039774	-	0.000	0.000	Merged-chr11-32039842-30
NR1214--MA0508.2.PRDM1	chr17	88405246	88405255	+	0.000	0.000	Merged-chr17-88405254-11
NR1737--MA0508.2.PRDM1	chr3	116332125	116332134	-	0.000	0.000	Merged-chr3-116332074-27
NR1989--MA0508.2.PRDM1	chr4	141618939	141618948	+	0.000	0.000	Merged-chr4-141618821-28
NR2382--MA0508.2.PRDM1	chr7	19004028	19004037	+	0.000	0.000	Merged-chr7-19004188-46
NR2510--MA0508.2.PRDM1	chr8	35628452	35628461	+	0.000	0.000	Merged-chr8-35628375-52
NR1588--MA0508.2.PRDM1	chr2	170024985	170024994	+	0.000	0.000	Merged-chr2-170025063-12
NR412--MA0508.2.PRDM1	chr11	14111025	14111034	+	0.000	0.000	Merged-chr11-14111026-9
NR2632--MA0508.2.PRDM1	chr9	69072415	69072424	+	0.000	0.000	Merged-chr9-69072353-12
NR534--MA0508.2.PRDM1	chr12	73342514	73342523	+	0.000	0.000	Merged-chr12-73342448-13
NR805--MA0508.2.PRDM1	chr14	18271189	18271198	-	0.000	0.000	Merged-chr14-18271014-66
NR1153--MA0508.2.PRDM1	chr17	33824544	33824553	+	0.000	0.000	Merged-chr17-33824550-48
NR547--MA0508.2.PRDM1	chr12	83987859	83987868	+	0.000	0.000	Merged-chr12-83987988-78
NR55--MA0508.2.PRDM1	chr1	52388418	52388427	+	0.000	0.000	Merged-chr1-52388435-48
NR765--MA0508.2.PRDM1	chr13	113198243	113198252	-	0.000	0.000	Merged-chr13-113198047-76
NR351--MA0508.2.PRDM1	chr10	93938811	93938820	+	0.000	0.000	Merged-chr10-93938916-38
NR1036--MA0508.2.PRDM1	chr16	24152155	24152164	+	0.000	0.000	Merged-chr16-24152137-5
NR1307--MA0508.2.PRDM1	chr18	70522417	70522426	+	0.000	0.000	Merged-chr18-70522488-53
NR2462--MA0508.2.PRDM1	chr7	113263266	113263275	+	0.000	0.000	Merged-chr7-113263148-32
NR2733--MA0508.2.PRDM1	chrX	159159850	159159859	+	0.000	0.000	Merged-chrX-159159822-7
NR68--MA0508.2.PRDM1	chr1	66279478	66279487	+	0.000	0.000	Merged-chr1-66279555-43
NR460--MA0508.2.PRDM1	chr11	117965735	117965744	+	0.000	0.000	Merged-chr11-117965771-41
NR1397--MA0508.2.PRDM1	chr2	18989001	18989010	+	0.000	0.000	Merged-chr2-18989067-34
NR2223--MA0508.2.PRDM1	chr6	29287297	29287306	+	0.000	0.000	Merged-chr6-29287093-11
NR906--MA0508.2.PRDM1	chr14	120406969	120406978	-	0.000	0.000	Merged-chr14-120407035-22
NR2603--MA0508.2.PRDM1	chr9	15003374	15003383	-	0.000	0.000	Merged-chr9-15003468-19
NR744--MA0508.2.PRDM1	chr13	106691942	106691951	-	0.000	0.000	Merged-chr13-106691961-50
NR539--MA0508.2.PRDM1	chr12	76753049	76753058	+	0.000	0.000	Merged-chr12-76753055-50
NR1267--MA0508.2.PRDM1	chr18	39801356	39801365	-	0.000	0.000	Merged-chr18-39801283-11
NR409--MA0508.2.PRDM1	chr11	11498210	11498219	+	0.000	0.000	Merged-chr11-11498094-24
NR1137--MA0508.2.PRDM1	chr17	17609838	17609847	+	0.000	0.000	Merged-chr17-17609984-33
NR2629--MA0508.2.PRDM1	chr9	61924872	61924881	-	0.000	0.000	Merged-chr9-61925004-1
NR975--MA0508.2.PRDM1	chr15	59524943	59524952	+	0.000	0.000	Merged-chr15-59525009-64
NR104--MA0508.2.PRDM1	chr1	98589790	98589799	-	0.000	0.000	Merged-chr1-98589738-39
NR627--MA0508.2.PRDM1	chr13	21234183	21234192	-	0.000	0.000	Merged-chr13-21234284-39
NR2467--MA0508.2.PRDM1	chr7	120830961	120830970	+	0.000	0.000	Merged-chr7-120830904-87
NR322--MA0508.2.PRDM1	chr10	75424737	75424746	+	0.000	0.000	Merged-chr10-75424715-43
NR988--MA0508.2.PRDM1	chr15	74918567	74918576	-	0.000	0.000	Merged-chr15-74918683-40
NR845--MA0508.2.PRDM1	chr14	61556957	61556966	-	0.000	0.000	Merged-chr14-61556804-76
NR683--MA0508.2.PRDM1	chr13	77708751	77708760	-	0.000	0.000	Merged-chr13-77708849-66
NR335--MA0508.2.PRDM1	chr10	84917552	84917561	-	0.000	0.000	Merged-chr10-84917565-76
NR587--MA0508.2.PRDM1	chr13	3637157	3637166	+	0.000	0.000	Merged-chr13-3636993-50
NR858--MA0508.2.PRDM1	chr14	78307348	78307357	+	0.000	0.000	Merged-chr14-78307471-124
NR444--MA0508.2.PRDM1	chr11	88455569	88455578	+	0.000	0.000	Merged-chr11-88455545-42
NR2555--MA0508.2.PRDM1	chr8	88161505	88161514	-	0.000	0.000	Merged-chr8-88161496-26
NR619--MA0508.2.PRDM1	chr13	16686828	16686837	-	0.000	0.000	Merged-chr13-16686860-2
NR391--MA0508.2.PRDM1	chr10	122047135	122047144	+	0.000	0.000	Merged-chr10-122047468-83
NR186--MA0508.2.PRDM1	chr1	172368889	172368898	+	0.000	0.000	Merged-chr1-172369010-35
NR837--MA0508.2.PRDM1	chr14	51386101	51386110	+	0.000	0.000	Merged-chr14-51385941-36
NR2011--MA0508.2.PRDM1	chr4	150282015	150282024	+	0.000	0.000	Merged-chr4-150281690-77
NR199--MA0508.2.PRDM1	chr1	181889154	181889163	+	0.000	0.000	Merged-chr1-181888995-34
NR327--MA0508.2.PRDM1	chr10	79417237	79417246	-	0.000	0.000	Merged-chr10-79417442-89
NR2372--MA0508.2.PRDM1	chr7	5357030	5357039	+	0.000	0.000	Merged-chr7-5357031-11
NR2709--MA0508.2.PRDM1	chrX	59586034	59586043	+	0.000	0.000	Merged-chrX-59585920-18
NR436--MA0508.2.PRDM1	chr11	70080177	70080186	-	0.000	0.000	Merged-chr11-70080197-11
NR1770--MA0508.2.PRDM1	chr3	137865680	137865689	-	0.000	0.000	Merged-chr3-137865594-62
NR2276--MA0508.2.PRDM1	chr6	86545344	86545353	-	0.000	0.000	Merged-chr6-86545449-8
NR545--MA0508.2.PRDM1	chr12	80131632	80131641	+	0.000	0.000	Merged-chr12-80131386-94
NR2656--MA0508.2.PRDM1	chr9	87178920	87178929	-	0.000	0.000	Merged-chr9-87178792-36
NR797--MA0508.2.PRDM1	chr14	13901661	13901670	+	0.000	0.000	Merged-chr14-13901902-42
NR383--MA0508.2.PRDM1	chr10	118714412	118714421	-	0.000	0.000	Merged-chr10-118714396-52
NR178--MA0508.2.PRDM1	chr1	161671161	161671170	-	0.000	0.000	Merged-chr1-161671075-50
NR306--MA0508.2.PRDM1	chr10	60000263	60000272	+	0.000	0.000	Merged-chr10-60000232-10
NR2146--MA0508.2.PRDM1	chr5	98161461	98161470	+	0.000	0.000	Merged-chr5-98161434-16
NR2398--MA0508.2.PRDM1	chr7	39642552	39642561	+	0.000	0.000	Merged-chr7-39642605-22
NR415--MA0508.2.PRDM1	chr11	21569329	21569338	-	0.000	0.000	Merged-chr11-21569385-20
NR2364--MA0508.2.PRDM1	chr6	145193580	145193589	+	0.000	0.000	Merged-chr6-145193570-49
NR1491--MA0508.2.PRDM1	chr2	85725909	85725918	-	0.000	0.000	Merged-chr2-85725914-24
NR1762--MA0508.2.PRDM1	chr3	134238888	134238897	+	0.000	0.000	Merged-chr3-134238964-2
NR2539--MA0508.2.PRDM1	chr8	68735089	68735098	+	0.000	0.000	Merged-chr8-68735158-122
NR2614--MA0508.2.PRDM1	chr9	37255598	37255607	+	0.000	0.000	Merged-chr9-37255654-90
NR1470--MA0508.2.PRDM1	chr2	71051855	71051864	-	0.000	0.000	Merged-chr2-71051882-1
NR1993--MA0508.2.PRDM1	chr4	145300435	145300444	+	0.000	0.000	Merged-chr4-145300303-61
NR2736--MA0508.2.PRDM1	chrX	166185334	166185343	+	0.000	0.000	Merged-chrX-166185579-37
NR2098--MA0508.2.PRDM1	chr5	52149276	52149285	+	0.000	0.000	Merged-chr5-52149380-37
NR1720--MA0508.2.PRDM1	chr3	100359136	100359145	-	0.000	0.000	Merged-chr3-100359234-42
NR2696--MA0508.2.PRDM1	chr9	122399008	122399017	+	0.000	0.000	Merged-chr9-122399009-31
NR2619--MA0508.2.PRDM1	chr9	42458489	42458498	-	0.000	0.000	Merged-chr9-42458437-4
NR489--MA0508.2.PRDM1	chr12	32017854	32017863	+	0.000	0.000	Merged-chr12-32017895-23
NR598--MA0508.2.PRDM1	chr13	6515638	6515647	-	0.000	0.000	Merged-chr13-6515620-23
NR1332--MA0508.2.PRDM1	chr19	4114053	4114062	+	0.000	0.000	Merged-chr19-4113915-47
NR2314--MA0508.2.PRDM1	chr6	122756187	122756196	+	0.000	0.000	Merged-chr6-122756168-13
NR197--MA0508.2.PRDM1	chr1	179578866	179578875	+	0.000	0.000	Merged-chr1-179578897-31
NR1868--MA0508.2.PRDM1	chr4	35006647	35006656	-	0.000	0.000	Merged-chr4-35006607-36
NR1040--MA0508.2.PRDM1	chr16	26581729	26581738	-	0.000	0.000	Merged-chr16-26581670-77
NR1292--MA0508.2.PRDM1	chr18	56569349	56569358	+	0.000	0.000	Merged-chr18-56569336-1
NR1563--MA0508.2.PRDM1	chr2	144742297	144742306	+	0.000	0.000	Merged-chr2-144742373-21
NR1672--MA0508.2.PRDM1	chr3	55660117	55660126	-	0.000	0.000	Merged-chr3-55660012-44
NR1943--MA0508.2.PRDM1	chr4	88641336	88641345	-	0.000	0.000	Merged-chr4-88641244-84
NR2449--MA0508.2.PRDM1	chr7	105356329	105356338	-	0.000	0.000	Merged-chr7-105356441-22
NR176--MA0508.2.PRDM1	chr1	160060802	160060811	+	0.000	0.000	Merged-chr1-160060816-2
NR51--MA0508.2.PRDM1	chr1	51104859	51104868	+	0.000	0.000	Merged-chr1-51104887-5
NR1542--MA0508.2.PRDM1	chr2	130068355	130068364	+	0.000	0.000	Merged-chr2-130068381-27
NR2014--MA0508.2.PRDM1	chr4	156203111	156203120	+	0.000	0.000	Merged-chr4-156203414-81
NR1709--MA0508.2.PRDM1	chr3	84581801	84581810	-	0.000	0.000	Merged-chr3-84581913-3
NR1481--MA0508.2.PRDM1	chr2	79180937	79180946	-	0.000	0.000	Merged-chr2-79180935-23
NR2258--MA0508.2.PRDM1	chr6	67266807	67266816	+	0.000	0.000	Merged-chr6-67267043-98
NR1799--MA0508.2.PRDM1	chr3	148360713	148360722	-	0.000	0.000	Merged-chr3-148360668-1
NR971--MA0508.2.PRDM1	chr15	53724376	53724385	+	0.000	0.000	Merged-chr15-53724398-47
NR1874--MA0508.2.PRDM1	chr4	40279588	40279597	-	0.000	0.000	Merged-chr4-40279458-68
NR841--MA0508.2.PRDM1	chr14	55644464	55644473	+	0.000	0.000	Merged-chr14-55644519-17
NR1460--MA0508.2.PRDM1	chr2	65337991	65338000	+	0.000	0.000	Merged-chr2-65337948-45
NR1112--MA0508.2.PRDM1	chr16	88212066	88212075	-	0.000	0.000	Merged-chr16-88212138-3
NR440--MA0508.2.PRDM1	chr11	78887160	78887169	-	0.000	0.000	Merged-chr11-78887268-28
NR692--MA0508.2.PRDM1	chr13	83888896	83888905	-	0.000	0.000	Merged-chr13-83888974-2
NR1648--MA0508.2.PRDM1	chr3	37173564	37173573	-	0.000	0.000	Merged-chr3-37173489-44
NR2088--MA0508.2.PRDM1	chr5	44180998	44181007	+	0.000	0.000	Merged-chr5-44180865-15
NR1343--MA0508.2.PRDM1	chr19	16781168	16781177	+	0.000	0.000	Merged-chr19-16781022-84
NR1138--MA0508.2.PRDM1	chr17	17867184	17867193	-	0.000	0.000	Merged-chr17-17867288-2
NR1409--MA0508.2.PRDM1	chr2	34042238	34042247	+	0.000	0.000	Merged-chr2-34042344-11
NR1356--MA0508.2.PRDM1	chr19	41031243	41031252	+	0.000	0.000	Merged-chr19-41031181-46
NR1213--MA0508.2.PRDM1	chr17	88042613	88042622	+	0.000	0.000	Merged-chr17-88042729-54
NR83--MA0508.2.PRDM1	chr1	82902054	82902063	-	0.000	0.000	Merged-chr1-82901993-1
NR1574--MA0508.2.PRDM1	chr2	150667384	150667393	+	0.000	0.000	Merged-chr2-150667676-130
NR1369--MA0508.2.PRDM1	chr19	56685687	56685696	+	0.000	0.000	Merged-chr19-56685748-31
NR541--MA0508.2.PRDM1	chr12	77781376	77781385	+	0.000	0.000	Merged-chr12-77781498-27
NR812--MA0508.2.PRDM1	chr14	27562754	27562763	+	0.000	0.000	Merged-chr14-27562668-44
NR1683--MA0508.2.PRDM1	chr3	65650520	65650529	+	0.000	0.000	Merged-chr3-65650597-39
NR650--MA0508.2.PRDM1	chr13	48513373	48513382	+	0.000	0.000	Merged-chr13-48513320-57
NR1606--MA0508.2.PRDM1	chr2	180589440	180589449	+	0.000	0.000	Merged-chr2-180589507-64
NR1587--MA0508.2.PRDM1	chr2	169865303	169865312	-	0.000	0.000	Merged-chr2-169865301-1
NR62--MA0508.2.PRDM1	chr1	60070884	60070893	+	0.000	0.000	Merged-chr1-60070874-17
NR3--MA0508.2.PRDM1	chr1	7206748	7206757	+	0.000	0.000	Merged-chr1-7206621-34
NR1205--MA0508.2.PRDM1	chr17	79020707	79020716	-	0.000	0.000	Merged-chr17-79020706-82
NR2360--MA0508.2.PRDM1	chr6	143462193	143462202	+	0.000	0.000	Merged-chr6-143462218-2
NR1295--MA0508.2.PRDM1	chr18	60963903	60963912	+	0.000	0.000	Merged-chr18-60963764-1
NR751--MA0508.2.PRDM1	chr13	108316207	108316216	-	0.000	0.000	Merged-chr13-108316339-65
NR1707--MA0508.2.PRDM1	chr3	83993486	83993495	+	0.000	0.000	Merged-chr3-83993440-19
NR2591--MA0508.2.PRDM1	chr9	7576796	7576805	-	0.000	0.000	Merged-chr9-7576753-19
NR403--MA0508.2.PRDM1	chr11	4289425	4289434	+	0.000	0.000	Merged-chr11-4289401-53
NR384--MA0508.2.PRDM1	chr10	118797439	118797448	-	0.000	0.000	Merged-chr10-118797511-13
NR1069--MA0508.2.PRDM1	chr16	55758467	55758476	+	0.000	0.000	Merged-chr16-55758589-1
NR764--MA0508.2.PRDM1	chr13	113198060	113198069	+	0.000	0.000	Merged-chr13-113198047-76
NR1035--MA0508.2.PRDM1	chr16	23100343	23100352	-	0.000	0.000	Merged-chr16-23100189-17
NR2060--MA0508.2.PRDM1	chr5	20945502	20945511	-	0.000	0.000	Merged-chr5-20945424-56
NR2602--MA0508.2.PRDM1	chr9	13894666	13894675	-	0.000	0.000	Merged-chr9-13894754-54
NR1157--MA0508.2.PRDM1	chr17	34305029	34305038	+	0.000	0.000	Merged-chr17-34305077-21
NR2583--MA0508.2.PRDM1	chr8	126867690	126867699	-	0.000	0.000	Merged-chr8-126867742-65
NR2440--MA0508.2.PRDM1	chr7	96914217	96914226	+	0.000	0.000	Merged-chr7-96914274-42
NR647--MA0508.2.PRDM1	chr13	44376101	44376110	-	0.000	0.000	Merged-chr13-44376077-22
NR1123--MA0508.2.PRDM1	chr17	8988501	8988510	-	0.000	0.000	Merged-chr17-8988548-64
